Date,Open,High,Low,Close,Volume
2025-03-19,27.27,27.52,26.52,26.92,15622
2025-03-18,26.7,27.4,26.7,26.91,29300
2025-03-17,26.69,27.24,26.05,26.65,25500
2025-03-14,25.61,27.08,25.49,26.81,36200
2025-03-13,25.43,25.81,25.25,25.65,25100
2025-03-12,24.7,25.77,24.52,25.62,32700
2025-03-11,24.0,24.54,23.53,24.35,30700
2025-03-10,24.47,25.31,23.89,24.08,44200
2025-03-07,25.0,25.49,23.7,24.38,46500
2025-03-06,26.5,27.47,24.57,24.95,75700
2025-03-05,26.35,27.14,26.04,26.94,52500
2025-03-04,26.0,26.22,25.34,26.08,54000
2025-03-03,27.65,27.9,26.0,26.26,44300
2025-02-28,28.18,28.5,27.53,27.75,42500
2025-02-27,29.75,29.75,28.29,28.45,39400
2025-02-26,28.97,30.24,28.88,29.96,71800
2025-02-25,28.47,29.22,27.4,28.74,63400
2025-02-24,28.36,28.9,27.84,28.51,44200
2025-02-21,32.0,32.32,27.97,28.32,122300
2025-02-20,30.25,32.54,29.75,32.46,338100
2025-02-19,26.5,29.62,26.5,29.2,189500
2025-02-18,25.7,26.82,25.5,26.45,61700
2025-02-14,25.0,25.48,24.99,25.48,27900
2025-02-13,24.81,25.25,24.37,25.14,58100
2025-02-12,25.33,25.48,24.8,25.0,30400
2025-02-11,25.6,25.67,24.33,25.33,57400
2025-02-10,24.81,25.48,24.2,25.29,74600
2025-02-07,25.03,25.09,24.29,24.63,33500
2025-02-06,24.65,25.26,24.24,25.01,41400
2025-02-05,25.0,25.57,24.09,24.78,44000
2025-02-04,24.43,24.98,23.57,24.74,63100
2025-02-03,23.3,24.4,23.08,24.15,64500
2025-01-31,25.0,25.31,23.06,23.6,95500
2025-01-30,26.59,26.97,23.18,25.22,248500
2025-01-29,28.99,29.17,27.68,27.88,253100
2025-01-28,28.84,30.49,27.44,28.65,291700
2025-01-27,27.36,27.93,26.79,27.36,325200
2025-01-24,25.97,26.4,25.58,25.84,143400
2025-01-23,25.55,26.27,25.3,25.65,101600
2025-01-22,25.23,25.96,24.43,25.39,170800
2025-01-21,24.04,25.5,24.04,24.84,165100
2025-01-17,23.93,24.34,22.46,23.83,87600
2025-01-16,22.25,24.23,21.95,23.64,156000
2025-01-15,22.42,23.03,21.58,22.25,86000
2025-01-14,22.25,22.25,21.85,22.04,21000
2025-01-13,22.05,22.53,21.72,22.15,47800
2025-01-10,22.03,22.66,21.84,21.96,29900
2025-01-08,22.2,22.89,21.67,22.03,29700
2025-01-07,22.84,23.4,22.07,22.44,31200
2025-01-06,23.2,23.64,22.33,22.51,69400
2025-01-03,23.31,23.32,22.91,23.2,22200
2025-01-02,23.2,24.06,22.78,23.31,25700
2024-12-31,22.97,23.64,22.34,23.17,39000
2024-12-30,22.87,23.45,22.48,23.17,38300
2024-12-27,23.45,23.66,22.88,22.88,16800
2024-12-26,23.34,23.81,23.31,23.57,12500
2024-12-24,22.75,23.55,22.35,23.37,14600
2024-12-23,22.75,22.75,22.28,22.51,17400
2024-12-20,24.2,24.2,22.73,22.9,36600
2024-12-19,23.73,24.48,23.56,24.19,42100
2024-12-18,23.49,24.23,23.33,23.56,36200
2024-12-17,23.12,23.64,22.9,23.3,30800
2024-12-16,21.11,24.49,21.11,23.12,67900
2024-12-13,21.43,21.63,20.8,20.94,13600
2024-12-12,21.84,22.51,21.63,21.69,18400
2024-12-11,22.11,22.59,22.05,22.05,31000
2024-12-10,22.17,22.58,22.0,22.26,9500
2024-12-09,22.03,22.23,21.55,22.12,15500
2024-12-06,22.0,22.29,21.68,21.82,11500
2024-12-05,22.24,22.57,21.97,22.13,21400
2024-12-04,22.37,22.46,21.92,22.45,22300
2024-12-03,22.93,23.61,22.38,22.38,30200
2024-12-02,22.99,23.64,22.78,23.04,30300
2024-11-29,22.53,22.97,21.63,22.88,11800
2024-11-27,22.43,22.83,21.89,22.69,22000
2024-11-26,21.1,22.33,21.08,22.23,44100
2024-11-25,21.45,21.53,21.21,21.25,19500
2024-11-22,21.8,22.24,21.45,21.45,27000
2024-11-21,21.42,21.92,21.22,21.87,18400
2024-11-20,21.27,22.09,21.03,21.19,40500
2024-11-19,21.3,21.92,20.82,21.21,52500
2024-11-18,21.01,21.34,21.01,21.19,12300
2024-11-15,21.06,21.37,20.76,21.02,31600
2024-11-14,21.44,21.6,21.11,21.27,13200
2024-11-13,21.06,21.67,20.95,21.57,16100
2024-11-12,21.2,21.23,20.75,21.14,18800
2024-11-11,21.96,22.1,20.95,21.15,26000
2024-11-08,21.76,22.23,21.58,21.84,17800
2024-11-07,21.01,21.88,20.63,21.62,16900
2024-11-06,20.72,21.43,20.67,21.02,24400
2024-11-05,21.11,21.43,20.83,21.02,27800
2024-11-04,20.37,21.65,20.37,21.27,28000
2024-11-01,19.75,20.44,19.75,20.44,17700
2024-10-31,19.4,21.41,18.33,19.88,30100
2024-10-30,20.16,20.16,19.47,19.64,14200
2024-10-29,19.99,20.2,19.88,19.97,16900
2024-10-28,20.28,20.51,20.14,20.21,12500
2024-10-25,20.14,20.28,19.87,20.14,22000
2024-10-24,19.85,20.35,19.83,20.17,10100
2024-10-23,20.48,20.68,19.87,20.04,14200
2024-10-22,20.57,20.78,20.45,20.69,7200
2024-10-21,20.38,20.6,20.33,20.4,11100
2024-10-18,20.54,20.9,20.28,20.56,28800
2024-10-17,20.77,21.09,20.68,20.86,18800
2024-10-16,20.74,21.31,20.4,20.62,22600
2024-10-15,20.2,21.23,20.2,20.74,33700
2024-10-14,20.07,20.65,19.85,20.31,31400
2024-10-11,19.51,20.1,19.34,19.91,19900
2024-10-10,19.73,20.13,19.2,19.67,28100
2024-10-09,19.69,20.27,19.22,19.77,19500
2024-10-08,18.57,20.15,18.57,19.69,45100
2024-10-07,18.35,19.56,18.27,19.06,43800
2024-10-04,18.6,19.34,18.6,18.78,13700
2024-10-03,18.82,18.93,18.55,18.68,20200
2024-10-02,18.39,19.11,18.27,18.8,19100
2024-10-01,18.48,19.11,18.14,18.48,20900
2024-09-30,18.34,18.87,18.17,18.37,19800
2024-09-27,19.46,19.46,18.21,18.49,35600
2024-09-26,18.91,19.99,18.83,19.56,22100
2024-09-25,19.07,19.85,18.73,18.82,41100
2024-09-24,17.87,19.33,17.84,18.91,93500
2024-09-23,17.56,17.88,17.56,17.79,43500
2024-09-20,17.28,17.88,17.28,17.49,29400
