Date,Open,High,Low,Close,Volume
2025-03-13,94.24,98.12,94.0,95.06,13018531
2025-03-12,92.47,96.99,92.24,95.64,23558200
2025-03-11,87.9,91.1,86.07,89.05,21962100
2025-03-10,89.59,91.37,85.76,87.08,21897900
2025-03-07,90.29,93.34,89.49,92.96,19133900
2025-03-06,90.93,93.29,89.03,89.27,18708100
2025-03-05,92.15,95.05,90.43,94.34,14010300
2025-03-04,90.2,93.59,86.8,91.2,23611500
2025-03-03,95.81,96.2,89.39,90.54,20281800
2025-02-28,91.0,94.46,89.87,93.63,23359100
2025-02-27,97.84,99.89,91.49,91.82,22386300
2025-02-26,96.0,99.72,95.5,97.71,21335200
2025-02-25,95.5,95.93,92.76,93.22,18608200
2025-02-24,100.22,100.7,95.28,95.41,14883700
2025-02-21,103.64,103.66,97.75,98.84,18650800
2025-02-20,103.98,104.85,102.34,103.18,14488000
2025-02-19,105.76,107.19,103.62,104.36,17875900
2025-02-18,102.64,107.88,102.05,106.79,29641900
2025-02-14,98.41,100.7,98.0,99.52,21284500
2025-02-13,92.06,96.07,92.02,95.66,16579900
2025-02-12,89.6,92.64,87.35,91.68,22874700
2025-02-11,94.25,95.84,93.56,94.08,12124000
2025-02-10,93.19,96.26,93.17,95.93,16217900
2025-02-07,95.59,95.93,91.59,92.3,15602800
2025-02-06,94.88,96.61,93.58,94.54,16141100
2025-02-05,90.39,93.65,90.22,93.6,15660000
2025-02-04,89.05,91.45,88.8,90.66,12827500
2025-02-03,88.65,91.4,88.02,89.92,18607900
2025-01-31,91.65,94.27,91.14,91.24,20540200
2025-01-30,90.66,93.16,90.3,92.5,22497100
2025-01-29,89.88,90.45,87.76,89.01,25342800
2025-01-28,92.61,93.45,88.04,88.25,34793600
2025-01-27,94.86,96.1,88.36,91.11,50696200
2025-01-24,105.5,105.72,102.72,103.19,19743800
2025-01-23,104.79,106.18,103.35,104.84,22677600
2025-01-22,109.17,110.67,107.76,109.23,20004300
2025-01-21,105.43,110.24,105.23,109.38,23533600
2025-01-17,104.64,105.88,102.5,105.75,18908900
2025-01-16,104.32,104.8,101.87,102.6,16243800
2025-01-15,99.44,103.93,99.35,103.19,27568100
2025-01-14,97.05,97.41,95.38,97.36,18613400
2025-01-13,95.84,96.0,92.88,95.06,22699100
2025-01-10,98.12,100.78,96.87,99.34,20512600
2025-01-08,102.82,103.48,98.3,99.41,33516900
2025-01-07,103.41,106.74,101.16,101.91,53570000
2025-01-06,95.57,101.52,95.48,99.26,42903300
2025-01-03,87.95,90.2,87.51,89.87,17484600
2025-01-02,84.98,87.65,84.74,87.33,18860000
