Date,Open,High,Low,Close,Volume
2025-03-19,208.03,209.34,206.24,208.74,94793
2025-03-18,210.3,211.49,207.35,208.53,251800
2025-03-17,207.57,211.97,207.57,210.68,279600
2025-03-14,203.45,207.78,203.45,207.4,296300
2025-03-13,204.24,206.25,200.77,201.99,354300
2025-03-12,206.54,210.35,204.6,204.75,325300
2025-03-11,213.1,213.28,204.85,206.01,314700
2025-03-10,213.82,216.48,211.35,212.4,387600
2025-03-07,211.0,215.95,210.39,215.31,398700
2025-03-06,208.65,212.48,208.27,211.54,315200
2025-03-05,207.0,210.73,207.0,210.44,322800
2025-03-04,207.43,209.85,205.18,206.55,496900
2025-03-03,211.3,212.13,206.3,207.1,370700
2025-02-28,209.92,210.83,207.39,210.29,550800
2025-02-27,210.99,213.33,209.25,209.5,347700
2025-02-26,215.26,216.66,210.92,210.99,372400
2025-02-25,213.56,217.07,212.6,214.98,385300
2025-02-24,214.26,214.55,207.4,212.8,393000
2025-02-21,218.45,219.18,213.96,215.44,350900
2025-02-20,211.76,221.59,211.76,218.45,454300
2025-02-19,218.3,220.24,216.34,217.73,549700
2025-02-18,216.4,220.04,215.87,219.52,360300
2025-02-14,218.77,220.81,216.06,216.42,299600
2025-02-13,215.0,217.75,214.23,217.28,284000
2025-02-12,213.44,215.69,212.41,214.33,228800
2025-02-11,216.2,220.09,215.66,216.66,199600
2025-02-10,216.18,217.16,214.0,216.8,227700
2025-02-07,216.08,217.36,213.1,214.39,225200
2025-02-06,216.94,218.48,214.31,215.3,271100
2025-02-05,217.84,217.85,214.34,215.55,257100
2025-02-04,216.01,219.04,215.84,217.13,265100
2025-02-03,218.08,218.32,213.33,216.64,310100
2025-01-31,220.35,223.44,219.33,220.22,411300
2025-01-30,219.47,222.46,218.85,220.63,213900
2025-01-29,220.21,222.18,217.88,217.97,226800
2025-01-28,224.52,224.52,219.75,220.5,274200
2025-01-27,218.0,224.29,217.47,224.07,309200
2025-01-24,219.39,220.29,216.73,218.07,302300
2025-01-23,219.77,221.4,217.28,219.49,347400
2025-01-22,221.36,221.91,218.17,219.41,335600
2025-01-21,218.15,221.4,216.92,220.18,375100
2025-01-17,215.55,217.56,214.8,216.38,510600
2025-01-16,211.01,215.0,211.01,213.82,595900
2025-01-15,210.56,213.57,208.95,211.48,680500
2025-01-14,204.41,207.49,203.89,207.41,332500
2025-01-13,199.15,204.06,199.01,203.83,414700
2025-01-10,199.71,200.31,196.83,200.12,595500
2025-01-08,204.79,205.85,201.82,202.09,431300
2025-01-07,206.79,208.61,204.48,205.43,257000
2025-01-06,208.66,211.23,206.16,206.96,260300
2025-01-03,205.31,207.86,204.2,207.56,263200
2025-01-02,209.64,210.74,204.27,204.97,228600
2024-12-31,208.97,209.99,206.96,208.46,271300
2024-12-30,209.22,211.18,206.03,208.05,280400
2024-12-27,210.55,212.99,208.9,210.48,275100
2024-12-26,210.62,213.97,210.12,212.5,612000
2024-12-24,208.61,211.54,207.7,211.5,245700
2024-12-23,207.67,209.09,207.44,208.53,374300
2024-12-20,206.38,213.07,206.38,208.95,920900
2024-12-19,210.5,217.88,208.04,208.16,694300
2024-12-18,223.58,225.63,211.54,212.0,554000
2024-12-17,224.41,228.09,221.68,223.17,588800
2024-12-16,226.8,227.21,222.32,223.2,630900
2024-12-13,225.41,228.7,223.0,225.62,720300
2024-12-12,233.17,244.04,224.1,228.26,1049100
2024-12-11,253.98,254.66,247.69,248.62,532800
2024-12-10,253.77,255.27,248.67,251.93,272200
2024-12-09,253.85,257.67,253.04,254.48,396900
2024-12-06,254.28,256.1,252.41,253.45,235900
2024-12-05,255.58,256.88,252.26,253.63,211600
2024-12-04,256.88,258.16,254.67,255.58,172700
2024-12-03,258.31,258.31,255.17,257.48,177600
2024-12-02,259.78,259.91,256.35,258.18,188300
2024-11-29,258.77,260.42,257.62,260.02,122000
2024-11-27,259.38,260.71,256.68,258.39,410500
2024-11-26,261.77,262.64,255.31,257.77,280400
2024-11-25,260.99,265.87,258.79,262.64,409600
2024-11-22,256.28,260.81,256.28,260.3,201100
2024-11-21,252.18,257.41,251.63,255.62,135200
2024-11-20,248.93,252.06,247.35,251.62,136600
2024-11-19,249.15,251.51,248.25,248.93,176600
2024-11-18,252.73,254.75,251.93,252.51,228000
2024-11-15,256.08,258.3,253.12,253.83,290500
2024-11-14,256.97,258.54,255.02,255.6,214700
2024-11-13,256.32,258.21,254.08,258.07,269800
2024-11-12,259.55,260.91,256.44,256.65,313200
2024-11-11,261.29,263.95,260.16,260.24,123900
2024-11-08,259.13,263.26,258.33,260.47,165300
2024-11-07,263.26,263.26,258.74,259.6,136100
2024-11-06,261.47,265.72,261.27,263.37,270600
2024-11-05,246.18,252.55,244.34,252.44,143200
2024-11-04,248.38,250.39,246.25,246.64,382000
2024-11-01,247.26,250.65,247.0,248.1,191600
2024-10-31,249.36,250.1,246.85,246.97,253700
2024-10-30,248.21,251.8,248.2,249.94,176300
2024-10-29,247.72,249.36,245.19,248.21,234000
2024-10-28,248.51,251.42,248.51,249.44,194200
2024-10-25,248.91,250.66,246.93,247.18,135300
2024-10-24,248.83,248.83,246.45,247.96,218700
2024-10-23,250.17,250.98,248.03,249.04,405600
2024-10-22,252.17,252.17,248.46,250.17,199200
2024-10-21,255.7,256.59,252.01,252.41,159800
2024-10-18,255.7,256.63,253.04,256.21,246200
2024-10-17,256.79,258.8,254.22,255.19,142800
2024-10-16,256.63,259.53,255.51,255.69,123800
2024-10-15,257.36,260.56,255.62,256.22,170400
2024-10-14,255.31,257.34,254.86,256.91,136300
2024-10-11,252.65,257.0,252.65,255.66,111700
2024-10-10,250.38,252.95,249.74,252.65,121400
2024-10-09,249.05,252.84,248.99,252.25,227600
2024-10-08,251.06,251.42,247.78,249.38,261600
2024-10-07,250.68,252.79,249.64,251.85,297700
2024-10-04,257.02,257.02,249.8,251.06,260100
2024-10-03,257.81,258.36,252.64,254.36,228000
2024-10-02,258.82,260.33,257.61,259.62,139200
2024-10-01,260.59,261.62,256.65,259.86,154400
2024-09-30,260.82,262.3,259.45,261.65,161100
2024-09-27,261.02,264.87,259.59,260.68,162700
2024-09-26,256.7,260.7,256.7,259.99,168800
2024-09-25,258.42,258.42,254.3,254.64,142200
2024-09-24,255.53,257.21,253.93,256.96,142100
2024-09-23,254.8,256.09,252.18,254.44,145000
2024-09-20,257.67,257.87,253.06,254.63,452700
2024-09-19,258.77,260.33,256.58,259.06,189600
2024-09-18,255.21,258.25,253.41,254.66,148100
2024-09-17,253.23,256.84,253.23,254.23,154900
2024-09-16,251.69,253.73,251.1,252.43,142900
2024-09-13,248.33,251.07,247.62,250.87,144700
2024-09-12,247.01,247.5,244.44,247.31,144300
2024-09-11,246.24,247.28,240.71,247.01,151800
2024-09-10,246.61,247.97,244.86,247.92,147700
2024-09-09,244.55,247.67,243.31,246.44,161800
2024-09-06,245.92,247.73,241.72,243.36,170900
2024-09-05,248.83,248.83,244.02,245.68,161200
2024-09-04,249.08,250.0,246.99,249.21,216600
2024-09-03,254.02,255.2,247.96,249.25,198900
2024-08-30,254.79,255.91,252.34,255.6,252500
2024-08-29,256.95,257.15,253.56,254.21,210400
2024-08-28,254.72,256.49,252.56,255.34,326200
2024-08-27,254.86,256.52,253.52,254.95,210700
2024-08-26,256.26,257.65,254.42,255.44,257300
2024-08-23,255.83,260.43,254.42,255.66,371600
2024-08-22,252.21,254.55,240.04,254.3,455700
