Date,Open,High,Low,Close,Volume
2025-03-13,0.03,0.03,0.03,0.03,4431574
2025-03-12,0.03,0.03,0.03,0.03,12700135
2025-03-11,0.02,0.03,0.01,0.03,16601209
2025-03-10,0.01,0.01,0.01,0.01,1049842
2025-03-07,0.01,0.01,0.01,0.01,444225
2025-03-06,0.01,0.01,0.01,0.01,583828
2025-03-05,0.01,0.01,0.01,0.01,1086451
2025-03-04,0.01,0.01,0.01,0.01,784018
2025-03-03,0.01,0.01,0.01,0.01,1306349
2025-02-28,0.01,0.02,0.01,0.01,1756059
2025-02-27,0.01,0.02,0.01,0.01,4557894
2025-02-26,0.02,0.02,0.02,0.02,3384571
2025-02-25,0.02,0.03,0.02,0.02,5284217
2025-02-24,0.03,0.03,0.02,0.02,4242346
2025-02-21,0.03,0.03,0.02,0.02,11704441
2025-02-20,0.01,0.03,0.01,0.03,31171193
2025-02-19,0.01,0.01,0.01,0.01,9729753
2025-02-18,0.01,0.01,0.0,0.01,3569732
2025-02-14,0.0,0.0,0.0,0.0,2288039
2025-02-13,0.0,0.0,0.0,0.0,315900
2025-02-12,0.0,0.0,0.0,0.0,391442
2025-02-11,0.0,0.0,0.0,0.0,404905
2025-02-10,0.0,0.0,0.0,0.0,43750
2025-02-07,0.0,0.0,0.0,0.0,159519
2025-02-06,0.0,0.0,0.0,0.0,15017
2025-02-05,0.0,0.0,0.0,0.0,206702
2025-02-04,0.0,0.0,0.0,0.0,255759
2025-02-03,0.0,0.0,0.0,0.0,366879
2025-01-31,0.01,0.01,0.0,0.0,1406707
2025-01-30,0.0,0.0,0.0,0.0,152360
2025-01-29,0.0,0.01,0.0,0.0,172802
2025-01-28,0.01,0.01,0.0,0.0,577857
2025-01-27,0.01,0.01,0.01,0.01,354885
2025-01-24,0.01,0.01,0.01,0.01,645242
2025-01-23,0.01,0.01,0.0,0.0,711594
2025-01-22,0.0,0.01,0.0,0.01,705840
2025-01-21,0.0,0.0,0.0,0.0,1575542
2025-01-17,0.0,0.01,0.0,0.0,701246
2025-01-16,0.0,0.01,0.0,0.0,543979
2025-01-15,0.01,0.01,0.0,0.0,2048345
