Date,Open,High,Low,Close,Volume
2025-03-14,602.11,608.76,594.0,607.88,929500
2025-03-13,612.84,617.1,590.5,591.65,1471800
2025-03-12,622.34,624.41,609.47,613.14,772800
2025-03-11,604.61,619.1,599.34,611.19,814800
2025-03-10,617.33,621.54,600.3,606.6,1373900
2025-03-07,625.0,639.68,618.6,634.75,1189300
2025-03-06,633.0,643.22,624.75,630.93,995600
2025-03-05,628.67,641.29,626.56,640.05,1240100
2025-03-04,646.07,650.45,613.05,624.9,2175000
2025-03-03,674.35,678.02,645.97,650.56,1130600
2025-02-28,657.68,670.36,651.94,668.51,1219300
2025-02-27,661.8,675.22,654.36,655.0,542400
2025-02-26,662.21,674.52,660.0,660.59,499900
2025-02-25,659.7,662.73,646.53,657.17,723700
2025-02-24,670.3,672.29,655.31,659.08,643900
2025-02-21,695.84,698.37,662.55,666.97,851000
2025-02-20,701.34,707.82,684.2,695.46,576100
2025-02-19,690.73,702.81,684.0,701.55,646400
2025-02-18,704.37,706.06,693.51,695.46,760600
2025-02-14,696.42,703.12,693.52,700.25,1034300
2025-02-13,680.87,695.73,679.57,693.82,796400
2025-02-12,671.28,679.84,670.84,678.42,454800
2025-02-11,677.5,681.69,671.3,681.01,515600
2025-02-10,689.79,690.6,675.57,680.66,540300
2025-02-07,694.08,694.63,681.62,683.94,549600
2025-02-06,690.5,694.86,684.39,689.97,446300
2025-02-05,691.41,693.23,683.39,687.25,521100
2025-02-04,702.31,712.01,687.72,688.07,527900
2025-02-03,687.03,706.1,684.21,694.13,856300
2025-01-31,703.67,716.75,697.74,705.38,1334300
2025-01-30,687.78,706.85,683.19,702.23,1113900
2025-01-29,665.43,670.59,660.78,664.24,1033000
2025-01-28,663.72,665.35,655.75,664.66,760100
2025-01-27,668.22,670.42,654.06,661.21,694700
2025-01-24,678.49,680.39,673.46,677.74,493400
2025-01-23,674.77,679.43,670.06,678.49,476900
2025-01-22,678.21,680.42,671.54,672.9,503400
2025-01-21,676.23,678.4,671.41,676.82,642400
