Date,Open,High,Low,Close,Volume
2025-03-19,3.28,3.3,3.27,3.27,31502
2025-03-18,3.3,3.31,3.28,3.28,16600
2025-03-17,3.32,3.32,3.3,3.3,10900
2025-03-14,3.29,3.3,3.28,3.29,18800
2025-03-13,3.28,3.32,3.28,3.28,38000
2025-03-12,3.29,3.3,3.26,3.28,16000
2025-03-11,3.26,3.3,3.25,3.29,40900
2025-03-10,3.29,3.3,3.25,3.26,29600
2025-03-07,3.29,3.33,3.26,3.28,33500
2025-03-06,3.29,3.3,3.27,3.27,29900
2025-03-05,3.27,3.35,3.26,3.29,188100
2025-03-04,3.3,3.3,3.26,3.28,42100
2025-03-03,3.3,3.3,3.28,3.3,72000
2025-02-28,3.29,3.3,3.28,3.29,22800
2025-02-27,3.27,3.29,3.27,3.28,13400
2025-02-26,3.26,3.29,3.26,3.28,40800
2025-02-25,3.28,3.3,3.27,3.29,62700
2025-02-24,3.28,3.3,3.28,3.28,50600
2025-02-21,3.3,3.3,3.27,3.29,40300
2025-02-20,3.3,3.3,3.27,3.29,71700
2025-02-19,3.29,3.3,3.27,3.28,45900
2025-02-18,3.3,3.31,3.26,3.29,22000
2025-02-14,3.3,3.3,3.28,3.29,6500
2025-02-13,3.27,3.28,3.27,3.28,22500
2025-02-12,3.25,3.27,3.24,3.25,18600
2025-02-11,3.25,3.28,3.25,3.27,40400
2025-02-10,3.29,3.3,3.27,3.27,30300
2025-02-07,3.31,3.31,3.26,3.29,32600
2025-02-06,3.29,3.31,3.28,3.31,42100
2025-02-05,3.27,3.31,3.26,3.26,42400
2025-02-04,3.28,3.32,3.26,3.29,93500
2025-02-03,3.23,3.29,3.22,3.26,123100
2025-01-31,3.26,3.29,3.25,3.28,65400
2025-01-30,3.25,3.27,3.24,3.25,42300
2025-01-29,3.28,3.28,3.22,3.25,118600
2025-01-28,3.25,3.28,3.22,3.25,59200
2025-01-27,3.23,3.27,3.22,3.24,23000
2025-01-24,3.24,3.25,3.23,3.25,38500
2025-01-23,3.22,3.24,3.22,3.23,27400
2025-01-22,3.22,3.25,3.21,3.23,55600
2025-01-21,3.22,3.23,3.22,3.22,42900
2025-01-17,3.22,3.23,3.21,3.22,35000
2025-01-16,3.21,3.22,3.21,3.22,7000
2025-01-15,3.21,3.23,3.2,3.2,8300
2025-01-14,3.17,3.2,3.16,3.2,35300
2025-01-13,3.21,3.22,3.15,3.17,59800
2025-01-10,3.2,3.21,3.19,3.2,10200
2025-01-08,3.22,3.24,3.2,3.22,33300
2025-01-07,3.19,3.23,3.19,3.22,35900
2025-01-06,3.2,3.22,3.2,3.21,29300
2025-01-03,3.21,3.22,3.2,3.21,13800
2025-01-02,3.22,3.23,3.2,3.22,34800
2024-12-31,3.15,3.22,3.15,3.2,108800
2024-12-30,3.09,3.17,3.09,3.16,105200
2024-12-27,3.22,3.22,3.16,3.17,35800
2024-12-26,3.22,3.22,3.18,3.21,43400
2024-12-24,3.21,3.22,3.21,3.22,19900
2024-12-23,3.19,3.22,3.18,3.21,50200
2024-12-20,3.13,3.21,3.13,3.17,152700
2024-12-19,3.16,3.17,3.13,3.13,61300
2024-12-18,3.18,3.19,3.15,3.17,80100
2024-12-17,3.21,3.21,3.18,3.19,61300
2024-12-16,3.24,3.25,3.22,3.22,108600
2024-12-13,3.25,3.25,3.2,3.25,106600
2024-12-12,3.22,3.23,3.22,3.23,32100
2024-12-11,3.24,3.25,3.22,3.23,42300
2024-12-10,3.22,3.24,3.22,3.23,29000
2024-12-09,3.23,3.24,3.22,3.23,69300
2024-12-06,3.23,3.23,3.22,3.23,26600
2024-12-05,3.21,3.23,3.21,3.22,38700
2024-12-04,3.2,3.24,3.2,3.22,83700
2024-12-03,3.19,3.22,3.18,3.21,75200
2024-12-02,3.2,3.2,3.18,3.19,62400
2024-11-29,3.16,3.2,3.16,3.19,135300
2024-11-27,3.13,3.16,3.13,3.14,29000
2024-11-26,3.16,3.16,3.13,3.13,26800
2024-11-25,3.14,3.17,3.13,3.16,77600
2024-11-22,3.14,3.16,3.13,3.14,202600
2024-11-21,3.11,3.13,3.11,3.12,35400
2024-11-20,3.11,3.13,3.11,3.12,79000
2024-11-19,3.11,3.13,3.11,3.13,31200
2024-11-18,3.11,3.13,3.11,3.12,21100
2024-11-15,3.16,3.16,3.1,3.1,74800
2024-11-14,3.14,3.16,3.14,3.14,80100
2024-11-13,3.15,3.15,3.13,3.13,44600
2024-11-12,3.17,3.17,3.14,3.14,65200
2024-11-11,3.16,3.18,3.16,3.17,63400
2024-11-08,3.18,3.2,3.17,3.19,63900
2024-11-07,3.14,3.18,3.14,3.17,112200
2024-11-06,3.14,3.17,3.14,3.15,34000
2024-11-05,3.15,3.17,3.13,3.16,71500
2024-11-04,3.15,3.18,3.15,3.16,42900
2024-11-01,3.19,3.2,3.17,3.19,57400
