Date,Open,High,Low,Close,Volume
2025-03-13,13.96,14.29,13.77,13.89,71902
2025-03-12,13.26,14.16,13.24,13.98,208800
2025-03-11,12.72,13.86,12.53,13.52,350800
2025-03-10,13.48,13.57,12.54,12.66,312300
2025-03-07,13.87,14.15,13.55,13.71,163300
2025-03-06,13.54,13.93,13.36,13.86,249500
2025-03-05,13.44,14.03,13.32,13.72,295900
2025-03-04,13.3,13.72,12.65,13.33,231800
2025-03-03,13.98,14.12,13.37,13.51,230000
2025-02-28,13.49,14.14,13.06,13.83,1344300
2025-02-27,13.58,13.76,13.38,13.49,278200
2025-02-26,13.3,13.76,13.24,13.65,267900
2025-02-25,13.25,13.39,12.5,13.21,277800
2025-02-24,13.19,13.61,13.0,13.22,261000
2025-02-21,13.38,13.4,12.81,13.17,286100
2025-02-20,12.8,13.3,12.51,13.07,292600
2025-02-19,13.2,13.2,12.72,12.88,237900
2025-02-18,12.73,13.56,12.68,13.52,218600
2025-02-14,12.62,12.9,12.41,12.65,161700
2025-02-13,12.29,12.74,12.15,12.42,185800
2025-02-12,12.87,12.96,12.23,12.25,206600
2025-02-11,13.01,13.31,12.9,13.09,204100
2025-02-10,12.58,13.41,12.5,13.05,345100
2025-02-07,12.54,12.65,12.18,12.29,168000
2025-02-06,12.14,12.83,12.14,12.54,174700
2025-02-05,12.16,12.31,11.87,12.05,157700
2025-02-04,11.9,12.18,11.89,12.11,210300
2025-02-03,11.57,12.36,11.48,11.89,238100
2025-01-31,12.04,12.35,11.79,11.82,274600
2025-01-30,12.41,12.62,12.07,12.11,156700
2025-01-29,12.15,12.42,11.96,12.23,166300
2025-01-28,12.04,12.48,11.66,12.29,235200
2025-01-27,12.19,12.42,12.0,12.04,174700
2025-01-24,12.7,12.92,12.26,12.29,174600
2025-01-23,12.67,12.87,12.5,12.68,223100
2025-01-22,13.29,13.54,12.52,12.8,361400
2025-01-21,12.74,13.43,12.5,13.35,339100
2025-01-17,12.12,12.59,12.11,12.54,255200
2025-01-16,11.36,12.06,11.36,11.9,299600
2025-01-15,11.34,11.69,11.26,11.39,249500
2025-01-14,11.25,11.46,10.81,11.17,330200
2025-01-13,10.69,11.25,10.59,11.23,441300
2025-01-10,11.23,11.59,10.65,10.79,583400
2025-01-08,11.94,12.83,10.4,11.23,1179400
2025-01-07,14.55,15.19,14.33,14.54,321300
2025-01-06,14.66,15.26,14.5,14.52,214900
2025-01-03,14.69,14.84,14.29,14.44,201400
2025-01-02,15.23,15.38,14.64,14.68,164200
2024-12-31,14.79,15.15,14.77,14.98,221000
2024-12-30,14.8,14.87,14.56,14.77,183800
2024-12-27,15.26,16.01,14.87,14.99,221500
2024-12-26,15.25,15.48,14.68,15.41,252700
2024-12-24,15.24,15.55,15.13,15.37,113800
2024-12-23,15.12,15.73,15.07,15.29,259800
2024-12-20,15.43,16.11,15.19,15.28,758100
2024-12-19,16.44,16.77,15.59,15.66,206500
2024-12-18,17.02,17.77,16.07,16.31,241900
2024-12-17,16.68,17.15,16.31,17.03,190900
2024-12-16,17.15,17.42,16.76,16.79,171300
2024-12-13,17.95,17.95,17.18,17.22,113100
2024-12-12,18.41,18.41,17.86,18.07,130600
2024-12-11,19.05,19.29,18.27,18.53,316700
2024-12-10,18.63,19.08,17.74,18.72,158600
2024-12-09,18.88,19.48,18.52,18.6,166300
2024-12-06,19.55,19.73,18.34,18.5,123300
2024-12-05,20.09,20.11,19.28,19.33,145900
2024-12-04,19.38,20.31,19.38,20.28,160400
2024-12-03,19.55,20.32,19.17,19.52,213600
2024-12-02,19.35,19.61,18.83,19.35,140000
2024-11-29,19.74,20.0,19.33,19.51,114500
2024-11-27,19.35,19.83,19.24,19.4,106300
2024-11-26,20.11,20.32,19.04,19.14,132100
2024-11-25,20.03,20.62,19.83,20.24,241100
2024-11-22,19.56,20.03,19.19,19.89,161100
2024-11-21,18.32,19.59,18.26,19.43,268000
2024-11-20,17.17,18.18,16.99,18.17,256200
2024-11-19,17.21,17.36,16.98,17.29,161800
2024-11-18,17.61,17.86,17.23,17.38,155500
2024-11-15,17.41,17.51,16.76,17.45,167600
2024-11-14,18.98,18.98,17.02,17.08,263000
2024-11-13,19.45,19.45,18.65,18.86,168800
2024-11-12,19.31,19.51,18.82,19.21,328300
2024-11-11,19.58,19.58,18.7,19.47,204100
2024-11-08,18.99,19.47,18.98,19.42,201900
2024-11-07,20.1,20.1,18.59,19.33,271000
2024-11-06,17.8,20.31,17.77,19.98,500400
2024-11-05,16.56,16.83,16.0,16.55,192600
2024-11-04,15.99,16.69,15.9,16.55,155100
2024-11-01,15.92,16.06,15.21,15.99,162700
2024-10-31,16.55,16.58,15.75,15.79,149900
2024-10-30,16.66,17.48,16.54,16.58,203900
2024-10-29,16.34,16.71,15.89,16.71,147600
2024-10-28,15.63,16.38,15.63,16.35,194300
2024-10-25,16.08,16.4,15.49,15.54,147000
2024-10-24,16.74,17.18,15.25,15.93,170500
2024-10-23,16.4,16.73,15.98,16.23,150000
2024-10-22,16.67,16.67,16.32,16.5,102800
2024-10-21,17.66,17.75,16.63,16.65,177300
2024-10-18,18.19,18.4,17.62,17.66,135200
2024-10-17,17.15,18.17,17.09,18.04,163700
2024-10-16,17.57,17.71,17.12,17.19,145700
2024-10-15,17.18,17.5,17.11,17.26,114900
2024-10-14,17.92,17.97,17.39,17.4,111700
2024-10-11,17.79,18.23,17.7,18.12,147900
2024-10-10,18.1,18.41,17.77,17.77,161600
2024-10-09,17.8,18.54,17.77,18.33,143900
2024-10-08,17.49,17.83,16.94,17.8,119500
2024-10-07,17.37,17.79,17.14,17.77,117600
2024-10-04,17.81,18.32,17.42,17.45,91000
2024-10-03,17.93,17.95,17.47,17.49,91600
2024-10-02,18.02,18.32,17.82,18.27,150600
2024-10-01,18.04,18.44,17.84,18.02,156400
2024-09-30,18.4,18.59,17.88,18.08,135000
2024-09-27,18.78,19.05,18.5,18.58,357300
2024-09-26,18.39,18.98,18.3,18.73,174700
2024-09-25,17.65,17.87,17.45,17.84,133400
2024-09-24,17.0,17.93,16.93,17.74,367200
2024-09-23,16.85,17.12,16.18,16.64,406500
2024-09-20,17.3,17.3,16.55,16.68,673600
2024-09-19,17.38,17.66,17.02,17.52,264600
2024-09-18,16.72,17.51,16.37,16.71,311100
2024-09-17,16.18,16.77,15.7,16.66,176400
2024-09-16,16.23,16.32,15.83,16.0,124700
2024-09-13,15.06,16.15,15.06,16.13,182600
2024-09-12,14.48,15.06,14.13,14.87,163500
2024-09-11,14.37,14.48,13.71,14.31,221400
2024-09-10,14.33,14.75,14.05,14.49,208800
2024-09-09,14.39,14.7,14.19,14.32,220500
2024-09-06,14.38,14.51,14.16,14.31,158100
2024-09-05,14.12,14.49,13.9,14.39,183800
2024-09-04,14.03,14.09,13.65,13.94,183600
2024-09-03,14.5,14.53,13.47,13.91,211100
2024-08-30,14.72,15.05,14.57,14.76,213000
2024-08-29,14.9,15.11,14.73,14.74,121100
2024-08-28,14.87,14.93,14.43,14.67,129000
2024-08-27,14.85,15.14,14.82,15.04,114600
