Date,Open,High,Low,Close,Volume
2025-03-13,1.41,1.43,1.36,1.37,8068
2025-03-12,1.43,1.48,1.35,1.39,19700
2025-03-11,1.41,1.46,1.35,1.45,9600
2025-03-10,1.42,1.52,1.33,1.41,40700
2025-03-07,1.45,1.51,1.37,1.44,38300
2025-03-06,1.46,1.49,1.4,1.46,55800
2025-03-05,1.37,1.49,1.37,1.47,36600
2025-03-04,1.37,1.37,1.3,1.37,29800
2025-03-03,1.44,1.46,1.36,1.36,23500
2025-02-28,1.46,1.47,1.4,1.46,15300
2025-02-27,1.51,1.52,1.45,1.46,25600
2025-02-26,1.48,1.55,1.45,1.55,27100
2025-02-25,1.53,1.53,1.45,1.49,20200
2025-02-24,1.44,1.54,1.44,1.53,39500
2025-02-21,1.44,1.48,1.43,1.44,33900
2025-02-20,1.52,1.52,1.41,1.46,59500
2025-02-19,1.59,1.59,1.51,1.52,38100
2025-02-18,1.71,1.75,1.51,1.59,139700
2025-02-14,1.84,1.85,1.7,1.71,83700
2025-02-13,1.76,1.83,1.68,1.79,101700
2025-02-12,1.72,1.78,1.63,1.75,56300
2025-02-11,1.79,1.79,1.71,1.74,62600
2025-02-10,1.88,1.94,1.73,1.85,163600
2025-02-07,1.9,2.15,1.82,1.94,870400
2025-02-06,1.89,1.91,1.78,1.79,130200
2025-02-05,1.92,1.94,1.84,1.89,35400
2025-02-04,1.91,2.0,1.89,1.91,124400
2025-02-03,1.93,2.01,1.89,1.93,88100
2025-01-31,2.05,2.21,1.94,1.97,117700
2025-01-30,2.03,2.16,2.02,2.08,72300
2025-01-29,1.98,2.34,1.94,2.14,183900
2025-01-28,2.02,2.08,1.8,2.0,106300
2025-01-27,2.21,2.3,2.01,2.02,56800
2025-01-24,2.21,2.3,2.2,2.2,29500
2025-01-23,2.25,2.33,2.16,2.21,29400
2025-01-22,2.16,2.18,2.09,2.16,28300
2025-01-21,2.14,2.41,2.08,2.18,97900
2025-01-17,2.22,2.22,2.06,2.14,82600
2025-01-16,2.15,2.19,2.05,2.15,44300
2025-01-15,2.28,2.37,2.05,2.1,152000
2025-01-14,1.86,2.5,1.86,2.22,823800
2025-01-13,1.9,1.9,1.81,1.81,39600
2025-01-10,2.47,2.56,1.73,1.93,285700
2025-01-08,2.73,2.74,2.46,2.56,91300
2025-01-07,2.7,2.78,2.58,2.7,116800
2025-01-06,2.69,3.0,2.63,2.7,327900
2025-01-03,3.23,3.23,2.7,2.81,578800
2025-01-02,2.89,3.19,2.69,3.03,388000
2024-12-31,2.5,2.86,2.38,2.58,398200
2024-12-30,2.35,2.82,2.2,2.59,401200
2024-12-27,2.88,2.88,2.23,2.38,533400
2024-12-26,2.43,2.92,2.43,2.66,739900
2024-12-24,3.0,3.13,2.45,2.53,1590800
2024-12-23,3.84,5.11,2.81,3.11,105557300
2024-12-20,1.22,1.25,1.17,1.2,186100
2024-12-19,1.25,1.28,1.19,1.22,85800
2024-12-18,1.32,1.44,1.24,1.24,93000
2024-12-17,1.33,1.37,1.29,1.31,132600
2024-12-16,1.5,1.5,1.28,1.33,73900
2024-12-13,1.5,1.54,1.44,1.51,47500
2024-12-12,1.54,1.59,1.49,1.51,68300
2024-12-11,1.55,1.59,1.51,1.54,40700
2024-12-10,1.64,1.64,1.53,1.58,100200
2024-12-09,1.6,1.64,1.59,1.62,42700
2024-12-06,1.55,1.66,1.46,1.59,143700
2024-12-05,1.57,1.6,1.35,1.49,151600
2024-12-04,1.69,1.69,1.57,1.6,119600
2024-12-03,1.59,1.74,1.55,1.6,215000
2024-12-02,1.54,1.7,1.38,1.64,313700
2024-11-29,1.56,1.56,1.5,1.51,49900
2024-11-27,1.44,1.66,1.41,1.53,313500
2024-11-26,1.58,1.6,1.41,1.43,227900
2024-11-25,1.33,1.6,1.28,1.6,741400
2024-11-22,1.32,1.33,1.27,1.29,111500
2024-11-21,1.35,1.36,1.22,1.3,403700
2024-11-20,1.29,1.46,1.27,1.38,1146800
2024-11-19,1.36,1.36,1.2,1.31,120000
2024-11-18,1.43,1.43,1.35,1.36,41000
2024-11-15,1.58,1.58,1.42,1.45,52500
2024-11-14,1.79,1.8,1.57,1.59,59100
2024-11-13,1.9,1.93,1.75,1.79,96400
2024-11-12,1.92,1.97,1.82,1.91,92000
2024-11-11,1.96,2.06,1.88,1.92,191800
2024-11-08,2.16,2.16,1.9,1.93,66000
