Date,Open,High,Low,Close,Volume
2025-03-18,1.37,1.37,1.32,1.36,43569
2025-03-17,1.39,1.44,1.35,1.39,78700
2025-03-14,1.38,1.45,1.3,1.38,250500
2025-03-13,1.33,1.42,1.23,1.32,318100
2025-03-12,1.25,1.35,1.21,1.3,407800
2025-03-11,1.27,1.3,1.22,1.28,26200
2025-03-10,1.29,1.33,1.24,1.24,23700
2025-03-07,1.3,1.34,1.28,1.3,24000
2025-03-06,1.27,1.32,1.26,1.31,78100
2025-03-05,1.24,1.32,1.21,1.27,37400
2025-03-04,1.2,1.27,1.2,1.25,43300
2025-03-03,1.33,1.35,1.2,1.22,71500
2025-02-28,1.35,1.39,1.33,1.36,42700
2025-02-27,1.4,1.4,1.31,1.38,87800
2025-02-26,1.44,1.49,1.35,1.4,249400
2025-02-25,1.27,1.4,1.24,1.39,69800
2025-02-24,1.35,1.37,1.2,1.3,141100
2025-02-21,1.45,1.48,1.35,1.35,129400
2025-02-20,1.47,1.52,1.46,1.49,36100
2025-02-19,1.41,1.51,1.4,1.5,81600
2025-02-18,1.42,1.49,1.39,1.4,156500
2025-02-14,1.51,1.56,1.4,1.42,233500
2025-02-13,1.5,1.57,1.45,1.51,133900
2025-02-12,1.48,1.56,1.45,1.53,150200
2025-02-11,1.55,1.58,1.42,1.48,707200
2025-02-10,1.63,1.67,1.54,1.54,77900
2025-02-07,1.68,1.68,1.6,1.63,65500
2025-02-06,1.78,1.82,1.63,1.66,201700
2025-02-05,1.66,1.77,1.56,1.72,234600
2025-02-04,1.75,1.75,1.61,1.7,236200
2025-02-03,1.7,1.86,1.63,1.79,830700
2025-01-31,1.82,1.89,1.5,1.61,432900
2025-01-30,1.83,1.88,1.76,1.83,149500
2025-01-29,1.81,1.9,1.8,1.84,76600
2025-01-28,1.92,1.98,1.72,1.78,200900
2025-01-27,1.91,2.0,1.86,1.9,90900
2025-01-24,1.93,2.09,1.91,1.97,340400
2025-01-23,1.81,2.02,1.79,1.96,283000
2025-01-22,1.9,2.0,1.77,1.87,967700
2025-01-21,2.0,2.0,1.88,1.94,311900
2025-01-17,2.06,2.07,1.91,1.96,461800
2025-01-16,1.67,2.0,1.67,1.98,582200
2025-01-15,1.84,1.92,1.62,1.75,594500
2025-01-14,1.91,2.16,1.8,1.8,4825400
2025-01-13,1.73,1.93,1.51,1.72,1052600
2025-01-10,1.62,2.07,1.55,1.77,4168800
2025-01-08,1.95,3.37,1.66,1.71,166105600
2025-01-07,0.98,1.14,0.97,1.09,432500
2025-01-06,1.01,1.01,0.94,0.99,97600
2025-01-03,0.95,1.0,0.91,0.99,163000
2025-01-02,0.89,0.99,0.89,0.95,529500
2024-12-31,0.92,0.93,0.88,0.89,105100
2024-12-30,0.94,0.94,0.88,0.89,49000
2024-12-27,0.93,0.96,0.93,0.94,30600
2024-12-26,0.93,0.97,0.89,0.95,80500
2024-12-24,0.88,0.97,0.86,0.96,155500
2024-12-23,0.86,0.9,0.83,0.88,79200
2024-12-20,0.83,0.89,0.83,0.88,95000
2024-12-19,0.82,0.86,0.8,0.83,113700
2024-12-18,0.88,0.9,0.81,0.82,660000
2024-12-17,0.88,0.99,0.83,0.97,309100
2024-12-16,0.82,0.92,0.77,0.88,298400
2024-12-13,0.92,0.92,0.8,0.83,176000
2024-12-12,0.96,0.96,0.89,0.92,89700
2024-12-11,0.94,0.98,0.92,0.95,74100
2024-12-10,0.91,0.95,0.9,0.94,21100
2024-12-09,0.93,0.96,0.9,0.9,214800
2024-12-06,0.92,0.95,0.9,0.92,161000
2024-12-05,0.98,0.98,0.91,0.93,124000
2024-12-04,1.02,1.02,0.96,0.97,144700
2024-12-03,0.95,1.05,0.95,1.0,132400
2024-12-02,0.99,1.11,0.86,1.05,813000
2024-11-29,1.03,1.1,0.93,1.0,8598600
2024-11-27,0.93,0.94,0.85,0.9,87300
2024-11-26,0.85,0.9,0.85,0.88,83900
2024-11-25,0.86,0.89,0.77,0.87,109400
2024-11-22,0.91,0.99,0.83,0.86,141900
2024-11-21,0.93,0.95,0.91,0.91,101900
2024-11-20,0.97,1.01,0.93,0.94,128700
2024-11-19,1.0,1.04,0.96,0.97,186000
2024-11-18,1.08,1.1,0.98,0.99,830200
2024-11-15,1.14,1.21,1.1,1.13,220700
2024-11-14,1.15,1.18,1.07,1.15,114800
2024-11-13,1.21,1.22,1.05,1.1,222800
2024-11-12,1.34,1.34,1.21,1.23,106500
2024-11-11,1.23,1.35,1.2,1.32,119400
2024-11-08,1.27,1.33,1.15,1.28,163400
2024-11-07,1.17,1.29,1.12,1.28,263600
2024-11-06,1.17,1.18,1.07,1.18,143100
2024-11-05,1.04,1.14,1.01,1.11,136500
2024-11-04,1.09,1.09,1.0,1.06,143600
2024-11-01,1.12,1.13,1.05,1.05,145100
2024-10-31,1.13,1.2,1.05,1.13,928800
2024-10-30,1.15,1.15,1.12,1.13,26100
2024-10-29,1.17,1.19,1.13,1.15,23000
2024-10-28,1.15,1.2,1.13,1.2,41200
2024-10-25,1.15,1.18,1.14,1.17,33600
2024-10-24,1.11,1.14,1.09,1.14,37600
2024-10-23,1.18,1.18,1.11,1.11,47900
2024-10-22,1.16,1.19,1.11,1.19,45600
2024-10-21,1.16,1.22,1.12,1.16,51300
2024-10-18,1.19,1.24,1.1,1.21,78300
2024-10-17,1.16,1.21,1.16,1.2,37400
2024-10-16,1.13,1.17,1.09,1.17,231300
2024-10-15,1.01,1.15,1.0,1.12,391500
2024-10-14,1.01,1.03,1.01,1.01,88200
2024-10-11,1.02,1.04,1.01,1.03,20800
2024-10-10,1.04,1.04,1.01,1.02,24900
2024-10-09,1.03,1.07,1.02,1.04,38800
2024-10-08,1.02,1.08,1.01,1.05,52200
2024-10-07,1.05,1.06,1.01,1.05,34800
2024-10-04,1.03,1.06,1.02,1.06,46500
2024-10-03,1.03,1.03,1.0,1.02,37800
2024-10-02,1.08,1.08,1.01,1.06,49200
2024-10-01,1.11,1.11,1.03,1.04,50600
2024-09-30,1.07,1.1,1.05,1.1,73300
2024-09-27,1.05,1.1,1.03,1.09,91700
2024-09-26,1.05,1.08,1.04,1.06,35300
2024-09-25,1.06,1.08,1.04,1.05,36400
2024-09-24,1.08,1.09,1.04,1.08,53600
2024-09-23,1.04,1.07,1.04,1.04,24600
2024-09-20,1.05,1.09,1.03,1.04,65200
2024-09-19,1.03,1.07,1.03,1.06,49100
2024-09-18,1.08,1.12,1.0,1.02,138000
2024-09-17,1.1,1.12,1.06,1.09,77000
2024-09-16,1.09,1.12,1.08,1.1,43500
2024-09-13,1.08,1.12,1.06,1.1,89700
2024-09-12,1.07,1.12,1.06,1.08,133500
2024-09-11,1.02,1.17,1.0,1.17,256300
2024-09-10,1.09,1.13,1.01,1.07,3765400
2024-09-09,1.18,1.24,1.17,1.23,62500
2024-09-06,1.19,1.23,1.18,1.2,69700
2024-09-05,1.12,1.2,1.12,1.2,71900
2024-09-04,1.1,1.14,1.09,1.13,50400
2024-09-03,1.15,1.18,1.09,1.1,145900
2024-08-30,1.2,1.22,1.14,1.17,106500
2024-08-29,1.25,1.26,1.19,1.2,78700
2024-08-28,1.43,1.43,1.16,1.23,248200
2024-08-27,1.43,1.43,1.39,1.42,58700
2024-08-26,1.45,1.52,1.39,1.39,74100
2024-08-23,1.44,1.52,1.39,1.45,85200
2024-08-22,1.4,1.45,1.39,1.4,32500
2024-08-21,1.35,1.43,1.35,1.4,102000
2024-08-20,1.48,1.48,1.34,1.41,99800
2024-08-19,1.51,1.59,1.43,1.45,192100
2024-08-16,1.31,1.55,1.31,1.49,227600
2024-08-15,1.4,1.4,1.31,1.36,120000
2024-08-14,1.22,1.45,1.22,1.37,502500
2024-08-13,1.3,1.3,1.2,1.25,125700
2024-08-12,1.3,1.32,1.23,1.3,81700
2024-08-09,1.22,1.39,1.22,1.29,332200
2024-08-08,1.18,1.3,1.13,1.24,452300
2024-08-07,1.41,1.41,1.13,1.18,2810900
2024-08-06,1.68,1.74,1.35,1.36,288800
2024-08-05,1.58,1.69,1.41,1.66,405800
2024-08-02,1.95,1.95,1.73,1.74,337400
2024-08-01,2.06,2.1,1.98,1.99,315000
2024-07-31,2.13,2.17,2.02,2.06,379200
