Date,Open,High,Low,Close,Volume
2025-03-12,0.4,0.42,0.4,0.42,2700
2025-03-11,0.51,0.51,0.4,0.43,11100
2025-03-10,0.49,0.49,0.49,0.49,200
2025-03-07,0.4,0.46,0.4,0.44,4300
2025-03-06,0.41,0.45,0.4,0.44,46500
2025-03-05,0.46,0.51,0.42,0.42,28500
2025-03-04,0.49,0.49,0.43,0.45,5200
2025-03-03,0.42,0.5,0.42,0.5,22500
2025-02-28,0.4,0.48,0.4,0.48,1400
2025-02-27,0.43,0.48,0.42,0.48,37500
2025-02-26,0.55,0.55,0.42,0.43,132500
2025-02-25,0.55,0.55,0.5,0.53,17800
2025-02-24,0.54,0.56,0.5,0.5,35400
2025-02-21,0.61,0.61,0.54,0.56,36700
2025-02-20,0.67,0.68,0.55,0.59,103600
2025-02-19,0.7,0.75,0.66,0.66,26200
2025-02-18,0.74,0.87,0.67,0.7,65300
2025-02-14,0.77,0.81,0.75,0.75,9200
2025-02-13,0.69,0.81,0.66,0.81,16100
2025-02-12,0.66,0.77,0.66,0.68,4500
2025-02-11,0.7,0.7,0.66,0.66,32100
2025-02-10,0.6,0.7,0.57,0.66,37200
2025-02-07,0.72,0.83,0.54,0.56,177900
2025-02-06,0.4,0.75,0.4,0.72,195000
2025-02-05,0.74,0.76,0.46,0.56,740800
2025-02-04,0.77,0.77,0.71,0.75,91800
2025-02-03,0.74,0.76,0.74,0.75,20800
2025-01-31,0.74,0.75,0.73,0.74,12900
2025-01-30,0.76,0.76,0.72,0.73,14600
2025-01-29,0.75,0.77,0.72,0.75,33200
2025-01-28,0.74,0.76,0.74,0.75,11100
2025-01-27,0.79,0.79,0.7,0.73,16300
2025-01-24,0.77,0.79,0.74,0.75,12500
2025-01-23,0.76,0.78,0.75,0.76,23700
2025-01-22,0.8,0.8,0.76,0.77,18700
2025-01-21,0.77,0.8,0.75,0.77,49100
2025-01-17,0.73,0.75,0.72,0.75,6800
2025-01-16,0.75,0.75,0.7,0.7,15700
2025-01-15,0.75,0.77,0.73,0.73,22800
2025-01-14,0.72,0.75,0.71,0.73,7500
2025-01-13,0.73,0.74,0.7,0.73,34100
2025-01-10,0.73,0.75,0.72,0.74,66000
2025-01-08,0.8,0.8,0.7,0.74,41400
2025-01-07,0.78,0.8,0.77,0.8,45100
2025-01-06,0.82,0.85,0.71,0.76,85100
2025-01-03,0.8,0.83,0.78,0.82,75700
2025-01-02,0.65,0.98,0.65,0.78,531300
2024-12-31,0.68,0.68,0.64,0.64,107700
2024-12-30,0.65,0.68,0.63,0.65,98700
2024-12-27,0.68,0.68,0.56,0.67,155800
2024-12-26,0.64,0.7,0.64,0.66,1028800
2024-12-24,0.65,0.67,0.6,0.64,54300
2024-12-23,0.63,0.65,0.62,0.62,53500
2024-12-20,0.65,0.68,0.62,0.65,31400
2024-12-19,0.63,0.65,0.62,0.64,14800
2024-12-18,0.64,0.68,0.61,0.65,55600
2024-12-17,0.67,0.7,0.55,0.65,102600
2024-12-16,0.7,0.71,0.67,0.67,39700
2024-12-13,0.77,0.77,0.7,0.7,102700
2024-12-12,0.76,0.79,0.73,0.73,47100
2024-12-11,0.79,0.79,0.73,0.76,83500
2024-12-10,0.79,0.83,0.73,0.74,42900
2024-12-09,0.81,0.85,0.75,0.79,96900
2024-12-06,0.9,0.9,0.82,0.85,68300
2024-12-05,0.89,0.9,0.86,0.87,48500
2024-12-04,0.92,0.93,0.85,0.89,40700
2024-12-03,0.89,0.94,0.87,0.88,29400
2024-12-02,0.93,0.94,0.89,0.91,20500
2024-11-29,0.91,0.94,0.9,0.93,26700
2024-11-27,0.92,0.96,0.86,0.92,27500
2024-11-26,0.94,0.96,0.85,0.9,62600
2024-11-25,0.96,1.04,0.92,0.94,134400
2024-11-22,0.96,1.0,0.9,0.96,52100
2024-11-21,0.91,0.96,0.88,0.93,38000
2024-11-20,0.91,0.94,0.88,0.9,66300
2024-11-19,0.92,0.94,0.88,0.94,42200
2024-11-18,0.95,0.95,0.89,0.94,69400
2024-11-15,0.9,0.94,0.89,0.93,59100
2024-11-14,0.9,0.94,0.85,0.89,99000
2024-11-13,0.82,0.96,0.8,0.93,192300
2024-11-12,0.85,0.87,0.8,0.83,116600
2024-11-11,0.84,0.86,0.82,0.86,156400
2024-11-08,0.76,0.85,0.75,0.83,194900
2024-11-07,0.78,0.8,0.78,0.78,28700
2024-11-06,0.85,0.89,0.75,0.77,135500
2024-11-05,0.85,0.88,0.83,0.86,28000
2024-11-04,0.94,0.94,0.82,0.86,110300
2024-11-01,0.99,0.99,0.91,0.94,38500
2024-10-31,1.02,1.02,0.92,0.98,41600
2024-10-30,0.98,1.06,0.92,0.99,118600
2024-10-29,0.91,1.02,0.91,0.98,189100
2024-10-28,0.88,1.41,0.88,0.94,3507800
2024-10-25,0.89,0.93,0.87,0.9,57800
2024-10-24,0.88,0.91,0.85,0.89,75500
2024-10-23,0.93,0.93,0.88,0.88,25400
2024-10-22,0.91,0.94,0.89,0.92,85400
2024-10-21,0.85,0.94,0.85,0.89,70800
2024-10-18,0.83,0.87,0.78,0.87,95600
2024-10-17,0.84,0.86,0.77,0.79,155700
2024-10-16,0.85,0.88,0.8,0.84,81000
2024-10-15,0.97,0.97,0.76,0.87,261000
2024-10-14,0.96,1.0,0.92,0.94,107900
2024-10-11,0.99,0.99,0.9,0.95,284900
