Date,Open,High,Low,Close,Volume
2025-03-18,2.14,2.19,2.14,2.15,1284
2025-03-17,2.1,2.22,2.1,2.22,8200
2025-03-14,2.14,2.22,2.11,2.19,4700
2025-03-13,2.12,2.18,2.1,2.18,3400
2025-03-12,2.1,2.22,2.1,2.19,5500
2025-03-11,2.28,2.28,2.04,2.1,5900
2025-03-10,2.06,2.14,1.97,2.12,6100
2025-03-07,2.12,2.21,2.1,2.14,9700
2025-03-06,2.02,2.11,1.97,2.1,8900
2025-03-05,1.91,2.05,1.91,2.04,9500
2025-03-04,2.02,2.03,1.87,1.96,26400
2025-03-03,2.24,2.26,2.06,2.06,7900
2025-02-28,2.11,2.21,2.09,2.19,17900
2025-02-27,2.17,2.28,2.1,2.14,11200
2025-02-26,2.23,2.25,2.17,2.19,9400
2025-02-25,2.44,2.44,2.0,2.17,107200
2025-02-24,2.57,2.61,2.4,2.49,10700
2025-02-21,2.61,2.64,2.48,2.63,13600
2025-02-20,2.57,2.71,2.55,2.65,464000
2025-02-19,2.59,2.73,2.48,2.58,11700
2025-02-18,2.55,2.62,2.5,2.57,6200
2025-02-14,2.56,2.62,2.56,2.62,7600
2025-02-13,2.45,2.61,2.41,2.61,16500
2025-02-12,2.52,2.63,2.4,2.5,50100
2025-02-11,2.55,2.63,2.52,2.55,15400
2025-02-10,2.73,2.73,2.56,2.63,34400
2025-02-07,2.83,2.86,2.63,2.73,17400
2025-02-06,2.78,2.92,2.75,2.76,11200
2025-02-05,2.82,2.89,2.78,2.85,9500
2025-02-04,2.78,2.88,2.7,2.83,25300
2025-02-03,2.86,2.9,2.66,2.86,77200
2025-01-31,2.91,2.95,2.87,2.87,7300
2025-01-30,2.99,2.99,2.8,2.91,370700
2025-01-29,2.91,2.99,2.83,2.86,20200
2025-01-28,2.94,2.94,2.78,2.91,27000
2025-01-27,3.13,3.15,2.57,2.98,222200
2025-01-24,3.27,3.46,3.03,3.07,163800
2025-01-23,3.42,3.42,3.1,3.27,151200
2025-01-22,3.34,3.51,3.12,3.31,420300
2025-01-21,3.3,3.6,3.07,3.31,92600
2025-01-17,3.32,3.5,3.1,3.26,103100
2025-01-16,3.3,3.43,3.0,3.26,231800
2025-01-15,3.56,6.38,3.34,3.78,3347700
2025-01-14,3.69,3.69,3.4,3.43,21400
2025-01-13,3.62,3.66,3.35,3.66,24200
2025-01-10,3.26,3.74,3.17,3.62,66000
2025-01-08,3.18,3.22,3.01,3.22,27200
2025-01-07,3.28,3.41,3.0,3.14,19300
2025-01-06,3.22,3.43,3.01,3.24,65600
2025-01-03,3.28,3.58,3.15,3.19,58200
2025-01-02,3.05,3.48,3.01,3.41,112800
2024-12-31,3.26,3.26,3.05,3.15,4900
2024-12-30,3.14,3.27,3.08,3.21,10600
2024-12-27,3.02,3.13,3.0,3.08,7800
2024-12-26,3.11,3.26,3.02,3.11,13900
2024-12-24,3.31,3.31,3.02,3.19,15700
2024-12-23,3.51,3.76,3.32,3.34,24800
2024-12-20,3.39,3.7,3.39,3.69,8300
2024-12-19,3.35,3.63,3.3,3.51,33000
2024-12-18,3.6,3.8,3.33,3.35,35200
2024-12-17,3.53,3.7,3.25,3.65,51400
2024-12-16,3.76,3.87,3.16,3.62,68700
2024-12-13,3.77,3.99,3.66,3.7,49900
2024-12-12,3.5,3.83,3.49,3.78,12400
2024-12-11,3.33,3.78,3.33,3.69,20500
2024-12-10,3.2,3.54,3.19,3.29,42400
2024-12-09,3.3,3.38,3.07,3.3,22300
2024-12-06,3.19,3.35,3.15,3.23,9600
2024-12-05,3.08,3.18,2.9,3.18,8400
2024-12-04,3.02,3.29,2.89,3.11,120600
2024-12-03,3.21,3.36,3.01,3.12,72800
2024-12-02,3.4,3.49,3.29,3.32,9000
2024-11-29,3.21,3.49,3.11,3.31,26200
2024-11-27,3.22,3.39,3.13,3.33,21800
2024-11-26,3.44,3.51,3.22,3.27,12800
2024-11-25,3.36,3.49,3.3,3.45,5900
2024-11-22,3.34,3.36,3.2,3.36,32200
2024-11-21,3.14,3.42,3.03,3.3,15800
2024-11-20,3.15,3.28,3.15,3.15,5000
2024-11-19,3.07,3.29,3.07,3.19,12400
2024-11-18,3.23,3.29,3.01,3.11,36400
2024-11-15,3.38,3.38,3.15,3.24,2900
2024-11-14,3.49,3.49,3.14,3.23,6400
2024-11-13,3.27,3.56,3.27,3.31,9500
2024-11-12,3.3,3.55,3.3,3.54,4600
2024-11-11,3.32,3.49,3.3,3.35,10600
2024-11-08,3.42,3.48,3.33,3.47,8300
2024-11-07,3.64,3.64,3.29,3.45,5900
2024-11-06,3.44,3.69,3.36,3.46,35000
2024-11-05,3.35,3.41,3.35,3.41,3200
2024-11-04,3.4,3.4,3.24,3.3,2300
2024-11-01,3.4,3.4,3.3,3.32,1000
2024-10-31,3.29,3.37,3.29,3.35,2400
2024-10-30,3.64,3.64,3.25,3.48,18900
2024-10-29,3.65,3.74,3.55,3.69,1100
2024-10-28,3.69,3.78,3.56,3.66,3500
2024-10-25,3.66,3.71,3.52,3.65,13900
2024-10-24,3.75,3.88,3.54,3.7,17200
2024-10-23,3.76,3.93,3.67,3.74,13300
2024-10-22,3.95,4.1,3.84,3.88,31400
2024-10-21,3.53,3.79,3.53,3.79,18400
2024-10-18,3.35,3.59,3.35,3.53,14500
2024-10-17,3.26,3.37,3.26,3.27,7100
2024-10-16,3.11,3.55,3.07,3.28,22600
2024-10-15,3.03,3.24,3.02,3.22,2100
2024-10-14,2.99,3.16,2.91,3.15,5400
2024-10-11,2.87,2.93,2.87,2.93,900
2024-10-10,2.87,2.96,2.87,2.96,3900
2024-10-09,2.84,3.05,2.84,2.97,20800
2024-10-08,2.91,2.92,2.84,2.84,9300
2024-10-07,2.85,2.94,2.75,2.81,13500
2024-10-04,2.75,2.95,2.75,2.83,3500
2024-10-03,2.78,2.78,2.78,2.78,600
2024-10-02,2.74,2.8,2.67,2.8,5500
2024-10-01,3.0,3.05,2.81,2.81,10500
2024-09-30,3.08,3.08,2.79,2.89,4200
2024-09-27,3.01,3.11,2.81,2.94,13300
2024-09-26,2.77,2.98,2.63,2.97,14300
2024-09-25,2.96,3.03,2.63,2.7,11800
2024-09-24,3.1,3.48,2.88,2.93,69700
2024-09-23,2.69,3.5,2.6,3.11,108700
2024-09-20,2.64,2.7,2.58,2.62,8000
2024-09-19,2.71,2.71,2.63,2.66,17100
2024-09-18,2.64,2.7,2.6,2.6,2600
2024-09-17,2.7,2.7,2.6,2.65,3300
2024-09-16,2.71,2.83,2.65,2.72,9900
2024-09-13,2.69,2.8,2.59,2.71,16900
2024-09-12,2.54,2.75,2.39,2.62,22500
2024-09-11,2.35,2.57,2.33,2.57,59200
2024-09-10,2.45,2.45,2.36,2.43,2000
2024-09-09,2.32,2.47,2.32,2.43,4500
2024-09-06,2.5,2.53,2.42,2.43,6300
2024-09-05,2.43,2.48,2.42,2.43,16900
2024-09-04,2.43,2.46,2.42,2.46,18400
2024-09-03,2.55,2.55,2.42,2.45,7900
2024-08-30,2.65,2.72,2.51,2.58,21100
2024-08-29,2.47,2.64,2.47,2.59,27600
2024-08-28,2.42,2.86,2.42,2.49,300100
2024-08-27,2.49,2.64,2.4,2.4,11900
2024-08-26,2.52,2.79,2.41,2.49,13400
2024-08-23,2.62,2.69,2.34,2.5,37700
2024-08-22,2.56,2.69,2.41,2.5,18800
2024-08-21,2.5,2.57,2.4,2.56,24400
2024-08-20,2.71,2.79,2.46,2.46,18900
2024-08-19,2.81,3.05,2.62,2.74,57300
2024-08-16,3.18,3.31,2.86,2.95,88900
2024-08-15,3.15,3.27,3.1,3.2,23800
2024-08-14,3.27,3.29,3.06,3.2,14500
2024-08-13,3.09,3.42,3.09,3.3,10800
2024-08-12,2.92,3.2,2.92,3.12,16300
2024-08-09,2.9,2.95,2.81,2.95,5400
2024-08-08,2.79,2.93,2.76,2.9,15000
2024-08-07,2.98,2.98,2.84,2.87,26000
2024-08-06,3.1,3.15,2.97,2.99,17500
2024-08-05,3.21,3.25,3.08,3.12,26500
2024-08-02,3.31,3.39,3.31,3.35,27800
2024-08-01,3.66,3.72,3.32,3.43,59200
2024-07-31,3.76,3.78,3.56,3.76,13300
2024-07-30,3.45,3.76,3.45,3.69,43700
2024-07-29,3.38,3.54,3.3,3.49,24900
2024-07-26,3.44,3.5,3.37,3.45,13000
2024-07-25,3.28,3.54,3.25,3.38,47800
2024-07-24,3.33,3.49,3.24,3.27,128500
