Date,Open,High,Low,Close,Volume
2025-03-13,2.4,2.44,2.28,2.43,10151
2025-03-12,2.26,2.4,2.26,2.36,8200
2025-03-11,2.22,2.33,2.2,2.26,13600
2025-03-10,2.3,2.35,2.21,2.21,20000
2025-03-07,2.3,2.36,2.21,2.29,20200
2025-03-06,2.25,2.34,2.24,2.3,19500
2025-03-05,2.2,2.26,2.16,2.21,8900
2025-03-04,2.03,2.25,2.02,2.17,51200
2025-03-03,2.22,2.26,2.02,2.1,86100
2025-02-28,2.47,2.52,2.04,2.29,105300
2025-02-27,2.63,2.68,2.46,2.46,33200
2025-02-26,2.7,2.7,2.59,2.68,14700
2025-02-25,2.71,2.71,2.54,2.63,18900
2025-02-24,2.82,2.89,2.6,2.71,47400
2025-02-21,2.7,3.05,2.67,3.0,85400
2025-02-20,2.66,2.76,2.66,2.74,7100
2025-02-19,2.75,2.8,2.66,2.75,33100
2025-02-18,2.85,2.87,2.72,2.79,35100
2025-02-14,2.87,2.97,2.8,2.87,10900
2025-02-13,3.04,3.05,2.78,2.89,42300
2025-02-12,2.73,3.08,2.73,2.97,116900
2025-02-11,2.8,2.8,2.65,2.73,12200
2025-02-10,2.74,2.79,2.68,2.79,33900
2025-02-07,2.8,2.86,2.72,2.78,24700
2025-02-06,2.94,2.94,2.71,2.79,42400
2025-02-05,2.94,2.95,2.75,2.85,47500
2025-02-04,2.85,3.0,2.8,2.84,33400
2025-02-03,2.91,3.05,2.82,2.84,21600
2025-01-31,3.2,3.2,2.9,2.98,73100
2025-01-30,2.79,3.13,2.79,3.12,38100
2025-01-29,2.76,2.85,2.69,2.78,11700
2025-01-28,2.85,2.85,2.69,2.76,19100
2025-01-27,2.69,3.0,2.6,2.77,46500
2025-01-24,2.65,2.92,2.55,2.79,86000
2025-01-23,2.54,2.64,2.46,2.6,56400
2025-01-22,2.64,2.64,2.51,2.61,23800
2025-01-21,2.82,2.85,2.57,2.64,105200
2025-01-17,2.84,2.88,2.72,2.77,26100
2025-01-16,2.81,3.0,2.71,2.74,34000
2025-01-15,2.99,2.99,2.7,2.76,60800
2025-01-14,3.02,3.08,2.72,2.76,125200
2025-01-13,2.63,3.07,2.63,3.01,154400
2025-01-10,2.77,2.8,2.5,2.58,74600
2025-01-08,3.1,3.12,2.56,2.73,220800
2025-01-07,3.16,3.31,3.06,3.13,75000
2025-01-06,3.81,3.83,3.25,3.26,278800
