Date,Open,High,Low,Close,Volume
2025-03-14,481.95,486.96,478.58,486.49,1427800
2025-03-13,478.23,481.79,475.11,479.85,1760700
2025-03-12,483.71,487.22,474.04,478.26,1677600
2025-03-11,490.0,490.94,479.49,480.0,1859200
2025-03-10,489.47,495.26,483.68,488.39,1829000
2025-03-07,509.76,512.47,487.56,497.0,1911200
2025-03-06,517.0,521.46,509.2,514.21,1470100
2025-03-05,517.01,526.78,515.08,522.9,1645600
2025-03-04,527.07,529.02,514.75,516.81,1404400
2025-03-03,533.74,537.55,527.29,529.31,1834200
2025-02-28,530.19,534.19,525.24,533.74,1639000
2025-02-27,530.41,534.4,522.83,525.36,1035900
2025-02-26,532.41,535.2,528.54,529.24,703900
2025-02-25,533.95,535.14,528.55,532.42,1042200
2025-02-24,532.25,535.45,530.46,532.26,1325000
2025-02-21,534.09,535.18,530.59,532.44,1335100
2025-02-20,539.89,541.16,531.95,534.47,1308800
2025-02-19,541.3,542.52,538.54,541.72,1745100
2025-02-18,542.41,543.35,536.18,542.79,1745000
2025-02-14,543.25,544.41,537.92,538.72,973300
2025-02-13,535.77,541.79,533.26,541.34,1490200
2025-02-12,534.91,536.03,526.04,530.55,1492000
2025-02-11,539.03,541.02,525.27,539.54,2259000
2025-02-10,517.07,519.68,512.58,514.37,1695800
2025-02-07,517.67,520.69,515.59,518.22,1396900
2025-02-06,514.76,520.42,514.76,518.13,1440100
2025-02-05,515.15,516.36,509.48,513.34,1420900
2025-02-04,511.92,517.52,511.3,512.77,1232700
2025-02-03,516.98,518.47,510.4,517.45,1839000
2025-01-31,523.27,527.05,519.27,520.47,1256800
2025-01-30,520.6,525.99,518.66,522.6,771400
2025-01-29,518.22,521.19,514.52,516.29,947500
2025-01-28,519.49,524.39,515.3,519.51,1010300
2025-01-27,510.25,521.16,506.67,519.81,994700
2025-01-24,512.51,516.83,509.38,512.83,950400
2025-01-23,508.32,512.88,505.08,512.62,911100
2025-01-22,509.19,510.14,505.47,510.04,940600
2025-01-21,504.71,509.25,503.37,509.13,1295900
2025-01-17,502.14,506.23,500.13,500.96,1784900
2025-01-16,498.87,505.2,496.05,504.25,1215800
2025-01-15,489.73,497.12,486.93,495.63,1972700
2025-01-14,483.95,486.11,481.56,483.6,1548700
2025-01-13,479.09,482.33,477.74,481.72,1461800
2025-01-10,488.24,490.47,480.38,481.85,1189400
2025-01-08,487.24,495.24,486.39,494.97,1250900
2025-01-07,492.54,496.12,487.59,490.47,1544900
2025-01-06,500.3,500.3,491.74,493.3,879100
2025-01-03,497.5,501.92,494.88,498.67,1386600
2025-01-02,498.95,502.36,492.35,494.61,1541900
2024-12-31,497.83,500.03,494.82,497.13,705400
2024-12-30,497.62,499.55,493.11,497.12,794300
2024-12-27,501.01,505.65,498.56,500.9,671900
2024-12-26,501.17,505.12,499.09,503.87,563100
2024-12-24,498.89,503.84,497.32,503.84,432200
2024-12-23,489.14,498.0,487.65,497.35,1622300
2024-12-20,484.13,493.93,483.05,490.92,2543600
2024-12-19,492.05,494.61,484.85,485.68,1684100
2024-12-18,499.25,505.18,488.81,489.25,1439900
2024-12-17,501.15,501.15,496.49,499.61,1456400
2024-12-16,505.61,509.08,501.29,501.95,1402400
2024-12-13,512.82,514.32,503.36,504.84,1191800
2024-12-12,515.73,517.71,511.9,511.95,838800
2024-12-11,511.13,518.91,508.84,515.34,882200
2024-12-10,512.71,513.57,508.49,511.23,1369500
2024-12-09,513.13,517.01,508.46,512.43,1205800
2024-12-06,513.32,519.64,512.21,515.84,914200
2024-12-05,518.45,518.45,510.88,512.97,991900
2024-12-04,518.33,526.94,518.33,519.32,1295800
2024-12-03,522.54,524.03,516.8,517.26,1253000
2024-12-02,521.48,523.35,517.35,521.93,1460200
2024-11-29,522.61,525.8,520.47,521.57,842500
2024-11-27,522.06,525.87,518.59,521.92,1391600
2024-11-26,520.63,523.06,515.04,521.02,948000
2024-11-25,514.93,518.98,512.99,518.66,1890300
2024-11-22,508.19,515.59,508.19,512.64,1230000
2024-11-21,506.21,511.74,502.53,509.56,1159400
2024-11-20,501.81,505.67,494.37,501.35,1258400
2024-11-19,500.95,504.09,498.03,500.53,1402600
2024-11-18,499.85,502.94,497.38,501.22,1449700
2024-11-15,504.36,508.98,500.28,501.51,1187600
2024-11-14,512.48,513.9,508.48,508.83,794200
2024-11-13,502.06,513.97,501.76,508.48,1098400
2024-11-12,505.15,506.25,501.43,501.69,1035100
2024-11-11,498.72,508.15,498.24,505.46,1125600
2024-11-08,495.48,505.69,495.48,501.04,1343100
2024-11-07,492.97,496.55,490.56,495.34,1314700
2024-11-06,501.83,501.83,475.6,488.25,2389600
2024-11-05,484.25,488.08,483.12,487.97,1879500
2024-11-04,482.21,485.02,481.21,484.05,1908700
2024-11-01,480.16,485.5,479.18,481.6,940300
2024-10-31,483.15,484.16,478.33,478.66,1326400
2024-10-30,485.9,488.85,483.03,484.22,1109300
2024-10-29,485.96,488.08,484.31,485.02,1615500
2024-10-28,492.1,493.18,484.59,485.51,1303500
2024-10-25,495.83,497.16,486.91,488.87,984400
2024-10-24,497.23,502.63,490.3,491.46,1761300
2024-10-23,511.68,512.73,507.79,509.11,1023100
2024-10-22,517.22,517.54,508.82,511.7,1316400
2024-10-21,519.32,522.89,516.85,521.34,808200
2024-10-18,522.05,523.72,519.03,522.94,1832000
2024-10-17,529.86,530.11,513.38,517.12,1447600
2024-10-16,523.0,527.73,520.16,527.12,629000
2024-10-15,528.12,531.4,525.96,526.58,1298400
2024-10-14,520.71,526.67,520.71,525.65,639200
2024-10-11,515.69,520.87,514.84,520.16,662100
2024-10-10,518.11,519.64,512.13,513.29,719100
2024-10-09,517.16,522.49,516.72,519.62,819200
2024-10-08,509.51,517.72,508.65,516.51,1005200
2024-10-07,510.73,511.74,503.35,504.62,816000
2024-10-04,511.76,514.31,506.55,510.35,683800
2024-10-03,512.75,515.15,511.61,512.78,753900
2024-10-02,512.25,514.82,509.24,512.89,962300
2024-10-01,516.8,517.03,509.64,510.4,978400
2024-09-30,510.24,515.64,508.5,514.79,1000000
2024-09-27,509.79,514.85,509.38,510.9,806700
2024-09-26,511.42,514.1,507.45,509.89,1209400
2024-09-25,517.67,520.21,511.34,512.99,931100
2024-09-24,515.45,517.67,511.19,516.27,1070900
2024-09-23,518.18,525.97,516.28,519.23,960800
2024-09-20,521.53,523.37,518.16,521.81,1814700
2024-09-19,523.14,524.93,520.23,522.36,936300
2024-09-18,518.79,523.41,514.19,517.68,951100
2024-09-17,523.24,523.97,515.75,520.53,1124000
2024-09-16,520.01,526.15,518.77,525.51,1015800
2024-09-13,520.15,522.28,516.23,517.61,1148800
2024-09-12,512.31,519.16,510.77,518.17,889700
2024-09-11,515.12,515.87,502.71,513.98,1176100
2024-09-10,515.86,519.13,511.84,518.11,972200
2024-09-09,512.97,518.03,511.73,514.0,937800
2024-09-06,515.26,519.65,508.31,508.83,1037700
2024-09-05,512.98,516.75,511.9,515.17,1171700
2024-09-04,509.16,512.13,507.37,511.49,781200
2024-09-03,513.15,515.63,505.19,508.99,1059300
2024-08-30,507.84,512.18,505.4,511.42,1245400
2024-08-29,504.62,510.07,503.22,506.25,1096300
2024-08-28,503.57,508.48,498.78,503.48,1368200
2024-08-27,498.56,504.99,497.86,503.6,1123400
2024-08-26,499.74,503.14,498.55,499.33,850600
2024-08-23,497.8,500.04,495.14,497.91,679800
2024-08-22,496.31,498.04,494.04,496.05,1347700
2024-08-21,495.2,496.62,492.81,496.31,857100
2024-08-20,495.1,496.64,493.34,495.2,2046700
2024-08-19,489.26,493.25,489.26,493.09,972900
2024-08-16,491.36,491.51,486.4,488.24,1012800
2024-08-15,491.38,494.81,488.95,490.29,778500
2024-08-14,486.39,490.81,485.23,490.01,736200
2024-08-13,485.95,488.53,483.7,487.07,639900
2024-08-12,485.82,487.37,480.89,481.88,731900
2024-08-09,485.39,487.58,482.92,485.9,611200
2024-08-08,476.23,485.55,474.74,484.58,932200
2024-08-07,481.22,487.81,474.87,475.56,1305900
2024-08-06,472.44,484.56,470.8,476.91,1473500
2024-08-05,474.78,475.33,465.19,469.46,1562600
2024-08-02,483.25,487.11,477.55,483.44,1214400
2024-08-01,487.29,488.97,483.54,487.91,1049100
2024-07-31,488.92,490.06,478.63,482.14,1644700
2024-07-30,492.95,500.26,478.08,485.9,1399900
2024-07-29,488.85,490.67,485.9,487.21,1122500
2024-07-26,484.1,490.03,482.11,487.2,823300
2024-07-25,475.48,489.37,474.42,480.74,785700
2024-07-24,492.25,493.92,477.64,479.08,1091200
2024-07-23,485.25,495.48,484.49,492.91,1024000
2024-07-22,482.34,485.37,479.4,484.71,1094700
2024-07-19,482.78,482.94,476.42,477.27,1094400
2024-07-18,485.28,488.85,481.56,482.1,1250200
2024-07-17,485.82,487.34,483.41,487.25,1411200
2024-07-16,481.91,486.23,480.16,486.17,1215100
2024-07-15,476.34,480.63,474.65,479.97,1083500
2024-07-12,472.17,478.6,471.46,475.76,1355500
2024-07-11,464.38,470.73,464.38,470.69,1376100
2024-07-10,458.88,463.57,455.95,463.51,1233400
2024-07-09,456.32,458.91,454.4,457.84,892300
2024-07-08,451.81,454.61,451.09,453.45,833100
2024-07-05,448.95,451.62,445.61,450.84,777100
2024-07-03,447.45,449.22,446.17,447.03,462100
2024-07-02,443.97,448.36,443.97,448.04,731300
2024-07-01,445.98,448.7,441.71,443.93,1079600
2024-06-28,444.21,445.57,439.66,443.61,3028300
2024-06-27,447.59,448.57,444.06,446.51,1100900
2024-06-26,443.93,446.72,441.19,445.96,1630800
2024-06-25,443.4,446.84,440.4,446.38,999100
2024-06-24,438.14,444.16,435.99,442.59,958500
2024-06-21,436.33,437.87,433.67,436.87,1367400
2024-06-20,433.82,437.97,432.15,436.36,1006600
2024-06-18,431.72,433.88,429.09,433.52,983500
2024-06-17,429.98,432.49,427.57,430.98,765900
2024-06-14,432.4,433.67,427.58,432.08,789400
2024-06-13,437.65,438.31,433.04,434.85,689600
2024-06-12,431.88,439.45,429.8,437.89,1219000
2024-06-11,427.61,427.61,424.9,426.52,1148200
2024-06-10,425.37,427.96,423.21,427.7,694700
2024-06-07,429.36,430.57,425.94,426.45,810100
2024-06-06,435.04,436.6,431.78,432.33,613100
2024-06-05,430.4,434.65,425.55,433.96,879900
2024-06-04,426.69,431.1,424.98,429.53,657600
2024-06-03,426.15,429.96,422.55,426.96,1230000
2024-05-31,419.72,425.42,417.25,425.22,1849700
2024-05-30,421.88,422.52,418.05,419.33,1086300
2024-05-29,423.99,426.1,421.82,422.69,870800
2024-05-28,433.21,434.41,425.8,427.79,1199900
2024-05-24,434.64,436.62,431.77,434.97,661800
2024-05-23,437.84,437.84,431.73,433.03,1142300
2024-05-22,436.56,439.32,435.3,439.0,922700
2024-05-21,434.48,437.94,433.64,436.59,1516000
2024-05-20,436.26,438.28,433.74,434.48,1080000
2024-05-17,436.4,438.81,433.88,438.59,1236200
2024-05-16,432.61,437.58,429.11,434.76,1105900
2024-05-15,426.11,432.72,424.94,432.45,1272000
2024-05-14,424.82,426.54,417.24,424.84,1692400
2024-05-13,429.26,430.35,424.43,424.82,1135300
2024-05-10,430.52,432.02,427.93,428.35,858900
2024-05-09,425.89,429.21,425.49,429.07,1289200
2024-05-08,425.21,427.19,424.28,426.01,749000
2024-05-07,421.93,425.61,421.93,425.37,795100
2024-05-06,424.21,424.58,417.75,422.59,1316500
2024-05-03,418.82,422.2,417.39,422.01,1917800
2024-05-02,414.43,416.12,405.79,413.85,1222000
2024-05-01,410.78,417.91,410.78,413.1,1083100
2024-04-30,411.81,414.24,407.42,412.73,2004200
2024-04-29,414.89,414.89,411.32,412.22,1526500
2024-04-26,412.91,415.74,409.77,412.68,1611500
2024-04-25,424.85,426.79,404.65,412.4,2418900
2024-04-24,409.06,411.49,405.9,410.2,3357300
2024-04-23,413.93,415.07,408.31,410.18,2356300
2024-04-22,411.91,414.79,409.96,413.82,1168500
2024-04-19,411.6,411.76,406.86,409.49,1138200
2024-04-18,411.87,412.68,405.36,410.29,1155000
2024-04-17,408.32,410.86,406.46,409.04,851100
2024-04-16,406.2,410.43,404.71,405.52,1058800
2024-04-15,418.69,419.49,405.22,406.51,1054100
2024-04-12,416.11,418.8,413.35,414.7,1182200
2024-04-11,421.1,422.82,418.9,419.77,1129200
2024-04-10,425.6,427.1,420.17,420.88,954400
2024-04-09,434.13,435.04,429.07,431.76,739400
2024-04-08,428.8,432.39,428.61,430.88,1049700
2024-04-05,425.14,428.89,420.87,428.37,1158000
