Date,Open,High,Low,Close,Volume
2025-03-19,0.95,1.05,0.93,0.99,665697
2025-03-18,1.05,1.05,0.93,0.95,1167300
2025-03-17,1.11,1.12,1.05,1.05,607100
2025-03-14,1.05,1.15,1.03,1.11,849300
2025-03-13,1.13,1.13,1.03,1.05,908700
2025-03-12,1.16,1.2,1.05,1.12,958300
2025-03-11,1.22,1.25,1.15,1.16,743500
2025-03-10,1.36,1.36,1.24,1.24,417300
2025-03-07,1.32,1.39,1.28,1.37,355100
2025-03-06,1.36,1.38,1.27,1.33,705200
2025-03-05,1.24,1.31,1.22,1.3,500900
2025-03-04,1.28,1.28,1.16,1.24,1040200
2025-03-03,1.39,1.42,1.27,1.28,374500
2025-02-28,1.48,1.48,1.36,1.37,636900
2025-02-27,1.52,1.52,1.42,1.46,518700
2025-02-26,1.53,1.58,1.5,1.52,391200
2025-02-25,1.64,1.66,1.52,1.53,920900
2025-02-24,1.7,1.73,1.61,1.65,752300
2025-02-21,1.79,1.84,1.69,1.69,616200
2025-02-20,1.86,1.89,1.68,1.76,863200
2025-02-19,1.76,1.92,1.67,1.86,2068400
2025-02-18,1.75,1.85,1.68,1.76,1481400
2025-02-14,1.74,1.8,1.74,1.78,434300
2025-02-13,1.84,1.85,1.72,1.73,1480000
2025-02-12,1.77,1.83,1.73,1.81,502800
2025-02-11,1.87,1.87,1.76,1.79,594200
2025-02-10,1.88,1.95,1.81,1.89,237300
2025-02-07,1.9,1.91,1.8,1.83,672200
2025-02-06,1.9,1.95,1.86,1.92,297100
2025-02-05,1.94,1.94,1.86,1.88,419200
2025-02-04,1.94,1.99,1.91,1.95,326400
2025-02-03,2.02,2.03,1.93,1.94,363200
2025-01-31,2.1,2.11,2.02,2.04,302700
2025-01-30,2.17,2.2,2.08,2.09,236000
2025-01-29,2.1,2.16,2.05,2.15,272600
2025-01-28,2.1,2.15,2.06,2.08,372000
2025-01-27,2.23,2.37,2.09,2.1,396500
2025-01-24,2.27,2.3,2.22,2.25,170100
2025-01-23,2.14,2.31,2.14,2.26,197000
2025-01-22,2.16,2.2,2.09,2.14,207900
2025-01-21,2.17,2.21,2.08,2.15,282100
2025-01-17,2.21,2.24,2.13,2.17,249400
2025-01-16,2.23,2.23,2.17,2.19,209000
2025-01-15,2.2,2.32,2.17,2.23,321300
2025-01-14,2.23,2.23,2.09,2.13,330600
2025-01-13,2.17,2.21,2.07,2.2,780600
2025-01-10,2.18,2.2,2.12,2.19,403800
2025-01-08,2.36,2.4,2.21,2.23,401800
2025-01-07,2.52,2.54,2.38,2.39,390800
2025-01-06,2.51,2.58,2.44,2.51,343700
