Date,Open,High,Low,Close,Volume
2025-03-19,2.28,2.38,2.2,2.29,89185
2025-03-18,2.18,2.29,2.1,2.22,35000
2025-03-17,2.25,2.34,2.22,2.25,94500
2025-03-14,2.3,2.34,2.19,2.23,104800
2025-03-13,2.24,2.24,2.11,2.23,67500
2025-03-12,2.28,2.34,2.21,2.24,144700
2025-03-11,2.3,2.33,2.2,2.29,65200
2025-03-10,2.35,2.4,2.18,2.31,75300
2025-03-07,2.37,2.46,2.3,2.45,44600
2025-03-06,2.24,2.42,2.16,2.39,50600
2025-03-05,2.23,2.34,2.16,2.24,22100
2025-03-04,2.21,2.25,2.11,2.24,72300
2025-03-03,2.4,2.42,2.21,2.24,96700
2025-02-28,2.35,2.38,2.33,2.36,80700
2025-02-27,2.38,2.4,2.35,2.37,29400
2025-02-26,2.37,2.42,2.36,2.37,47500
2025-02-25,2.4,2.5,2.36,2.39,43100
2025-02-24,2.38,2.46,2.34,2.43,61400
2025-02-21,2.48,2.58,2.38,2.42,100100
2025-02-20,2.5,2.57,2.42,2.47,90800
2025-02-19,2.62,2.62,2.51,2.55,38100
2025-02-18,2.63,2.66,2.54,2.59,78500
2025-02-14,2.55,2.63,2.48,2.63,99800
2025-02-13,2.74,2.75,2.47,2.5,226400
2025-02-12,2.63,2.75,2.56,2.58,130800
2025-02-11,2.85,2.89,2.53,2.77,443300
2025-02-10,3.12,3.21,2.97,3.02,110300
2025-02-07,3.3,3.3,3.05,3.14,63000
2025-02-06,3.34,3.39,3.0,3.19,75500
2025-02-05,3.2,3.35,3.2,3.29,70000
2025-02-04,3.02,3.17,3.02,3.13,36900
2025-02-03,3.0,3.15,3.0,3.02,60300
2025-01-31,3.09,3.23,3.05,3.14,76100
2025-01-30,3.25,3.25,3.07,3.09,62800
2025-01-29,3.21,3.26,3.14,3.17,30800
2025-01-28,3.28,3.28,2.99,3.23,140300
2025-01-27,3.36,3.38,3.18,3.27,120900
2025-01-24,3.51,3.6,3.38,3.43,67900
2025-01-23,3.42,3.64,3.36,3.56,234600
2025-01-22,3.27,3.49,3.19,3.4,175600
2025-01-21,3.16,3.27,2.99,3.18,140300
2025-01-17,3.1,3.15,2.95,3.01,69400
2025-01-16,2.94,3.06,2.81,3.01,137600
2025-01-15,2.83,3.01,2.83,2.93,125400
2025-01-14,3.06,3.21,2.81,2.82,217400
2025-01-13,3.08,3.11,3.0,3.06,89300
2025-01-10,3.48,3.48,3.05,3.16,158700
2025-01-08,3.53,3.53,3.37,3.41,144900
2025-01-07,3.42,3.6,3.28,3.59,213300
2025-01-06,3.55,3.62,3.4,3.62,252100
2025-01-03,3.51,3.57,3.33,3.43,186000
2025-01-02,3.49,3.6,3.27,3.52,236700
2024-12-31,3.4,3.5,3.27,3.49,283900
2024-12-30,3.44,3.48,3.29,3.31,228500
2024-12-27,3.39,3.5,3.2,3.39,239800
2024-12-26,3.24,3.3,3.17,3.3,136600
2024-12-24,3.06,3.2,3.0,3.17,108300
2024-12-23,2.82,3.03,2.82,3.0,104400
2024-12-20,2.78,2.89,2.78,2.89,73100
2024-12-19,2.92,2.96,2.76,2.85,63100
2024-12-18,3.01,3.05,2.78,2.83,144100
2024-12-17,3.1,3.11,2.86,2.96,79300
2024-12-16,3.09,3.09,2.91,2.94,132300
2024-12-13,3.0,3.06,2.81,2.99,122300
2024-12-12,3.06,3.14,3.0,3.03,27200
2024-12-11,3.08,3.13,3.01,3.06,55700
2024-12-10,3.01,3.11,3.0,3.07,102000
2024-12-09,3.07,3.13,2.91,3.0,220300
2024-12-06,3.32,3.37,3.1,3.12,232100
2024-12-05,3.36,3.43,3.33,3.39,151800
2024-12-04,3.38,3.43,3.2,3.36,102300
2024-12-03,3.4,3.47,3.15,3.43,284700
2024-12-02,3.15,3.48,3.13,3.41,747400
2024-11-29,2.85,3.01,2.75,2.98,306500
2024-11-27,2.76,2.88,2.7,2.82,126300
2024-11-26,2.82,2.88,2.68,2.7,96000
2024-11-25,2.8,2.82,2.68,2.81,138300
2024-11-22,2.78,2.8,2.74,2.77,75400
2024-11-21,2.8,2.82,2.72,2.8,119400
2024-11-20,2.63,2.81,2.62,2.79,134800
2024-11-19,2.51,2.7,2.45,2.69,148200
2024-11-18,2.56,2.67,2.52,2.6,64300
2024-11-15,2.62,2.62,2.51,2.57,101200
2024-11-14,2.64,2.71,2.64,2.65,40500
2024-11-13,2.77,2.8,2.63,2.66,83800
2024-11-12,2.73,2.81,2.72,2.75,66000
2024-11-11,2.7,2.82,2.65,2.82,94700
2024-11-08,2.68,2.75,2.57,2.64,113000
2024-11-07,2.86,2.9,2.71,2.8,119000
2024-11-06,2.6,2.98,2.6,2.88,313600
