Date,Open,High,Low,Close,Volume
2025-03-13,0.04,0.04,0.04,0.04,16000
2025-03-12,0.04,0.04,0.04,0.04,24000
2025-03-11,0.04,0.04,0.04,0.04,40000
2025-03-10,0.04,0.04,0.04,0.04,32300
2025-03-07,0.04,0.04,0.04,0.04,85900
2025-03-06,0.04,0.04,0.04,0.04,132300
2025-03-05,0.04,0.05,0.04,0.05,114000
2025-03-04,0.05,0.05,0.05,0.05,21000
2025-03-03,0.05,0.05,0.05,0.05,50000
2025-02-28,0.05,0.05,0.04,0.05,60000
2025-02-27,0.05,0.05,0.05,0.05,30000
2025-02-26,0.05,0.05,0.05,0.05,32000
2025-02-25,0.05,0.05,0.04,0.05,134900
2025-02-24,0.05,0.05,0.05,0.05,69000
2025-02-21,0.05,0.06,0.05,0.05,16000
2025-02-20,0.05,0.05,0.05,0.05,21000
2025-02-19,0.05,0.05,0.05,0.05,5200
2025-02-18,0.05,0.05,0.05,0.05,5000
2025-02-14,0.06,0.06,0.05,0.05,86000
2025-02-13,0.06,0.06,0.06,0.06,12100
2025-02-12,0.06,0.07,0.06,0.06,25600
2025-02-11,0.06,0.07,0.06,0.06,40800
2025-02-10,0.06,0.07,0.06,0.07,15000
2025-02-07,0.07,0.07,0.07,0.07,0
2025-02-06,0.06,0.07,0.05,0.07,27100
2025-02-05,0.05,0.06,0.05,0.06,116800
2025-02-04,0.05,0.05,0.05,0.05,15600
2025-02-03,0.05,0.05,0.05,0.05,37100
2025-01-31,0.05,0.06,0.04,0.05,55100
2025-01-30,0.05,0.05,0.04,0.04,72400
2025-01-29,0.05,0.05,0.05,0.05,31600
2025-01-28,0.05,0.05,0.05,0.05,24500
2025-01-27,0.06,0.07,0.05,0.05,96600
2025-01-24,0.06,0.07,0.06,0.07,9100
2025-01-23,0.07,0.07,0.07,0.07,0
2025-01-22,0.06,0.08,0.06,0.07,8700
2025-01-21,0.08,0.08,0.08,0.08,0
2025-01-17,0.07,0.08,0.07,0.08,35000
2025-01-16,0.07,0.07,0.07,0.07,61800
2025-01-15,0.08,0.08,0.08,0.08,16000
2025-01-14,0.09,0.09,0.09,0.09,3000
2025-01-13,0.08,0.08,0.06,0.07,110800
2025-01-10,0.09,0.09,0.07,0.08,28000
2025-01-08,0.07,0.07,0.07,0.07,53500
2025-01-07,0.08,0.09,0.07,0.09,16000
2025-01-06,0.09,0.09,0.07,0.08,21000
2025-01-03,0.09,0.09,0.09,0.09,14000
2025-01-02,0.07,0.07,0.07,0.07,38100
2024-12-31,0.06,0.06,0.05,0.06,241100
2024-12-30,0.08,0.08,0.07,0.08,32800
2024-12-27,0.08,0.08,0.08,0.08,0
