Date,Open,High,Low,Close,Volume
2025-03-12,0.51,0.51,0.51,0.51,0
2025-03-11,0.51,0.51,0.51,0.51,0
2025-03-10,0.51,0.51,0.51,0.51,0
2025-03-07,0.51,0.51,0.51,0.51,0
2025-03-06,0.51,0.51,0.51,0.51,0
2025-03-05,0.51,0.51,0.51,0.51,0
2025-03-04,0.51,0.51,0.51,0.51,0
2025-03-03,0.51,0.51,0.51,0.51,500
2025-02-28,0.34,0.34,0.34,0.34,0
2025-02-27,0.34,0.34,0.34,0.34,0
2025-02-26,0.34,0.34,0.34,0.34,0
2025-02-25,0.34,0.34,0.34,0.34,0
2025-02-24,0.34,0.34,0.34,0.34,0
2025-02-21,0.34,0.34,0.34,0.34,0
2025-02-20,0.34,0.34,0.34,0.34,0
2025-02-19,0.34,0.34,0.34,0.34,200
2025-02-18,0.51,0.51,0.51,0.51,0
2025-02-14,0.51,0.51,0.51,0.51,0
2025-02-13,0.51,0.51,0.51,0.51,0
2025-02-12,0.51,0.51,0.51,0.51,0
2025-02-11,0.51,0.51,0.51,0.51,0
2025-02-10,0.51,0.51,0.51,0.51,0
2025-02-07,0.51,0.51,0.51,0.51,0
2025-02-06,0.51,0.51,0.51,0.51,0
2025-02-05,0.51,0.51,0.51,0.51,0
2025-02-04,0.51,0.51,0.51,0.51,0
2025-02-03,0.51,0.51,0.51,0.51,0
2025-01-31,0.51,0.51,0.51,0.51,0
2025-01-30,0.51,0.51,0.51,0.51,0
2025-01-29,0.51,0.51,0.51,0.51,0
2025-01-28,0.51,0.51,0.51,0.51,200
2025-01-27,0.43,0.43,0.43,0.43,0
2025-01-24,0.43,0.43,0.43,0.43,300
2025-01-23,0.51,0.51,0.51,0.51,0
2025-01-22,0.51,0.51,0.51,0.51,0
2025-01-21,0.51,0.51,0.51,0.51,100
2025-01-17,0.51,0.51,0.51,0.51,0
2025-01-16,0.51,0.51,0.51,0.51,0
2025-01-15,0.51,0.51,0.51,0.51,0
2025-01-14,0.51,0.51,0.51,0.51,0
2025-01-13,0.51,0.51,0.51,0.51,0
2025-01-10,0.51,0.51,0.51,0.51,0
2025-01-08,0.51,0.51,0.51,0.51,0
2025-01-07,0.51,0.51,0.51,0.51,0
2025-01-06,0.51,0.51,0.51,0.51,0
2025-01-03,0.51,0.51,0.51,0.51,0
2025-01-02,0.51,0.51,0.51,0.51,0
2024-12-31,0.51,0.51,0.51,0.51,0
2024-12-30,0.51,0.51,0.51,0.51,0
2024-12-27,0.51,0.51,0.51,0.51,0
2024-12-26,0.51,0.51,0.51,0.51,0
2024-12-24,0.51,0.51,0.51,0.51,0
2024-12-23,0.51,0.51,0.51,0.51,300
2024-12-20,0.34,0.34,0.34,0.34,200
2024-12-19,0.34,0.34,0.34,0.34,0
2024-12-18,0.39,0.39,0.34,0.34,4000
2024-12-17,0.34,0.34,0.34,0.34,0
2024-12-16,0.34,0.34,0.34,0.34,0
2024-12-13,0.34,0.34,0.34,0.34,0
2024-12-12,0.34,0.34,0.34,0.34,0
2024-12-11,0.34,0.34,0.34,0.34,0
2024-12-10,0.34,0.34,0.34,0.34,0
2024-12-09,0.34,0.34,0.34,0.34,0
2024-12-06,0.34,0.34,0.34,0.34,0
2024-12-05,0.34,0.34,0.34,0.34,0
2024-12-04,0.34,0.34,0.34,0.34,800
2024-12-03,0.48,0.48,0.48,0.48,0
2024-12-02,0.48,0.48,0.48,0.48,0
2024-11-29,0.48,0.48,0.48,0.48,0
2024-11-27,0.48,0.48,0.48,0.48,0
2024-11-26,0.48,0.48,0.48,0.48,0
2024-11-25,0.48,0.48,0.48,0.48,0
2024-11-22,0.48,0.48,0.48,0.48,0
2024-11-21,0.48,0.48,0.48,0.48,0
2024-11-20,0.48,0.48,0.48,0.48,0
2024-11-19,0.48,0.48,0.48,0.48,0
2024-11-18,0.48,0.48,0.48,0.48,0
2024-11-15,0.48,0.48,0.48,0.48,0
2024-11-14,0.48,0.48,0.48,0.48,0
2024-11-13,0.5,0.68,0.35,0.48,10300
2024-11-12,0.41,0.5,0.41,0.5,2400
2024-11-11,0.33,0.33,0.33,0.33,14400
2024-11-08,0.38,0.7,0.38,0.45,4100
2024-11-07,0.77,0.77,0.77,0.77,100
2024-11-06,0.45,0.45,0.45,0.45,0
2024-11-05,0.41,0.74,0.41,0.45,1100
2024-11-04,0.7,0.7,0.45,0.45,5800
2024-11-01,0.7,0.7,0.7,0.7,0
2024-10-31,0.48,0.7,0.48,0.7,1400
2024-10-30,0.46,0.5,0.46,0.5,300
2024-10-29,0.56,0.56,0.56,0.56,0
2024-10-28,0.56,0.62,0.56,0.56,3500
2024-10-25,0.7,0.7,0.7,0.7,100
2024-10-24,0.65,0.65,0.65,0.65,1900
2024-10-23,0.69,0.69,0.69,0.69,0
2024-10-22,0.69,0.69,0.69,0.69,0
2024-10-21,0.69,0.69,0.69,0.69,100
2024-10-18,0.74,0.74,0.74,0.74,100
2024-10-17,0.75,0.75,0.75,0.75,100
2024-10-16,0.66,0.66,0.66,0.66,0
2024-10-15,0.66,0.66,0.66,0.66,0
2024-10-14,0.66,0.75,0.66,0.66,6700
2024-10-11,0.8,0.8,0.8,0.8,0
2024-10-10,0.8,0.8,0.8,0.8,0
2024-10-09,0.8,0.8,0.8,0.8,0
2024-10-08,0.8,0.8,0.8,0.8,100
2024-10-07,0.8,0.8,0.8,0.8,0
2024-10-04,0.8,0.8,0.8,0.8,0
2024-10-03,0.8,0.8,0.8,0.8,0
2024-10-02,0.8,0.8,0.8,0.8,0
2024-10-01,0.8,0.8,0.8,0.8,0
2024-09-30,0.8,0.8,0.8,0.8,0
2024-09-27,0.8,0.8,0.8,0.8,0
2024-09-26,0.8,0.8,0.8,0.8,0
2024-09-25,0.8,0.8,0.8,0.8,100
2024-09-24,0.79,0.79,0.79,0.79,0
2024-09-23,0.79,0.79,0.79,0.79,0
2024-09-20,0.79,0.79,0.79,0.79,0
2024-09-19,0.65,0.79,0.65,0.79,1300
2024-09-18,0.79,0.79,0.79,0.79,0
2024-09-17,0.79,0.79,0.79,0.79,0
2024-09-16,0.79,0.79,0.79,0.79,0
2024-09-13,0.79,0.79,0.79,0.79,0
2024-09-12,0.79,0.79,0.79,0.79,0
2024-09-11,0.79,0.79,0.79,0.79,100
2024-09-10,0.8,0.8,0.8,0.8,0
2024-09-09,0.8,0.8,0.8,0.8,0
2024-09-06,0.8,0.8,0.8,0.8,0
2024-09-05,0.8,0.8,0.8,0.8,0
2024-09-04,0.8,0.8,0.8,0.8,100
2024-09-03,0.94,0.94,0.94,0.94,0
2024-08-30,0.94,0.94,0.94,0.94,0
2024-08-29,0.94,0.94,0.94,0.94,0
2024-08-28,0.94,0.94,0.94,0.94,0
2024-08-27,0.94,0.94,0.94,0.94,0
2024-08-26,0.94,0.94,0.94,0.94,0
2024-08-23,0.94,0.94,0.94,0.94,0
2024-08-22,0.94,0.94,0.94,0.94,0
2024-08-21,0.94,0.94,0.94,0.94,100
2024-08-20,0.9,0.9,0.9,0.9,0
2024-08-19,0.9,0.9,0.9,0.9,100
2024-08-16,0.95,0.95,0.95,0.95,0
2024-08-15,0.95,0.95,0.95,0.95,0
2024-08-14,0.95,0.95,0.95,0.95,0
2024-08-13,0.95,0.95,0.95,0.95,0
2024-08-12,0.95,0.95,0.95,0.95,0
2024-08-09,0.95,0.95,0.95,0.95,0
2024-08-08,0.95,0.95,0.95,0.95,0
2024-08-07,0.95,0.95,0.95,0.95,100
2024-08-06,0.9,0.9,0.9,0.9,0
2024-08-05,0.9,0.9,0.9,0.9,100
2024-08-02,0.95,0.95,0.95,0.95,0
2024-08-01,0.95,0.95,0.95,0.95,0
2024-07-31,0.95,0.95,0.95,0.95,0
2024-07-30,0.95,0.95,0.95,0.95,0
2024-07-29,0.95,0.95,0.95,0.95,0
2024-07-26,0.95,0.95,0.95,0.95,0
2024-07-25,0.95,0.95,0.95,0.95,0
2024-07-24,0.95,0.95,0.95,0.95,100
2024-07-23,0.9,0.9,0.9,0.9,100
2024-07-22,0.95,0.95,0.95,0.95,100
2024-07-19,0.95,0.95,0.95,0.95,1000
2024-07-18,0.62,0.62,0.62,0.62,0
2024-07-17,0.62,0.62,0.62,0.62,0
2024-07-16,0.62,0.62,0.62,0.62,600
2024-07-15,0.6,0.6,0.6,0.6,0
2024-07-12,0.6,0.6,0.6,0.6,0
2024-07-11,0.65,0.65,0.6,0.6,1400
2024-07-10,0.95,0.95,0.95,0.95,0
2024-07-09,0.95,0.95,0.95,0.95,100
2024-07-08,0.95,0.95,0.95,0.95,100
2024-07-05,0.95,0.95,0.95,0.95,100
2024-07-03,0.95,0.95,0.95,0.95,100
2024-07-02,0.95,0.95,0.95,0.95,1400
2024-07-01,0.95,0.95,0.95,0.95,200
2024-06-28,0.9,0.95,0.9,0.95,200
2024-06-27,0.9,0.9,0.9,0.9,1000
2024-06-26,0.9,0.9,0.9,0.9,100
2024-06-25,0.9,0.9,0.9,0.9,0
2024-06-24,0.9,0.9,0.9,0.9,100
2024-06-21,0.65,0.65,0.65,0.65,400
2024-06-20,0.9,0.9,0.9,0.9,100
2024-06-18,0.9,0.9,0.9,0.9,0
