Date,Open,High,Low,Close,Volume
2025-03-13,0.83,0.89,0.82,0.83,1127466
2025-03-12,0.82,0.83,0.81,0.81,240700
2025-03-11,0.79,0.82,0.77,0.81,401600
2025-03-10,0.82,0.83,0.77,0.79,411600
2025-03-07,0.82,0.85,0.81,0.84,485900
2025-03-06,0.79,0.85,0.79,0.83,506100
2025-03-05,0.78,0.82,0.78,0.81,370400
2025-03-04,0.76,0.81,0.74,0.78,583500
2025-03-03,0.82,0.82,0.78,0.78,423800
2025-02-28,0.79,0.82,0.77,0.81,448800
2025-02-27,0.83,0.84,0.78,0.79,445300
2025-02-26,0.81,0.84,0.81,0.83,387700
2025-02-25,0.87,0.88,0.8,0.81,1177300
2025-02-24,0.88,0.89,0.85,0.87,622100
2025-02-21,0.9,0.92,0.86,0.86,759400
2025-02-20,0.93,0.93,0.89,0.91,676800
2025-02-19,0.93,0.93,0.9,0.92,574100
2025-02-18,0.93,0.95,0.92,0.92,684200
2025-02-14,0.94,0.94,0.91,0.93,763000
2025-02-13,0.9,0.95,0.9,0.93,1234100
2025-02-12,0.89,0.91,0.86,0.9,660600
2025-02-11,0.88,0.92,0.85,0.9,1128800
2025-02-10,0.93,0.96,0.87,0.88,3111900
2025-02-07,0.89,0.92,0.87,0.88,858600
2025-02-06,0.94,0.95,0.9,0.91,928800
2025-02-05,0.91,0.94,0.91,0.94,573500
2025-02-04,0.93,0.95,0.9,0.93,578100
2025-02-03,0.89,0.92,0.86,0.92,534100
2025-01-31,0.94,0.97,0.91,0.92,844100
2025-01-30,0.91,0.96,0.89,0.94,687800
2025-01-29,0.89,0.92,0.89,0.9,365400
2025-01-28,0.94,0.94,0.89,0.9,520400
2025-01-27,0.93,0.98,0.9,0.94,717500
2025-01-24,0.93,1.01,0.92,0.95,1338700
2025-01-23,0.88,0.94,0.84,0.92,974400
2025-01-22,0.9,0.9,0.85,0.88,755900
2025-01-21,0.92,0.94,0.88,0.89,628000
2025-01-17,0.88,0.95,0.88,0.93,485700
2025-01-16,0.89,0.9,0.88,0.89,517600
2025-01-15,0.92,0.92,0.86,0.89,1029600
2025-01-14,0.94,0.94,0.89,0.92,833100
2025-01-13,0.95,0.95,0.85,0.92,808900
2025-01-10,0.98,0.98,0.9,0.95,1047800
2025-01-08,0.92,1.02,0.85,0.99,3455000
2025-01-07,0.97,1.02,0.93,0.94,1383700
2025-01-06,1.01,1.05,0.93,0.95,4659600
2025-01-03,0.87,0.99,0.86,0.95,2559200
2025-01-02,0.84,0.89,0.79,0.86,1561800
2024-12-31,0.87,0.87,0.81,0.83,1298500
2024-12-30,0.82,0.87,0.79,0.84,1391100
2024-12-27,0.88,0.88,0.81,0.84,1579300
2024-12-26,0.85,0.92,0.85,0.88,1808700
2024-12-24,0.85,0.89,0.82,0.86,1418000
2024-12-23,0.73,0.86,0.72,0.85,3929600
2024-12-20,0.72,0.75,0.7,0.71,1550100
2024-12-19,0.72,0.75,0.7,0.72,1711800
2024-12-18,0.79,0.83,0.7,0.7,2978800
2024-12-17,0.82,0.83,0.78,0.79,1462700
2024-12-16,0.81,0.86,0.79,0.8,2081000
2024-12-13,0.83,0.85,0.79,0.8,1933400
2024-12-12,0.84,0.85,0.82,0.83,1280000
2024-12-11,0.88,0.89,0.83,0.85,1498900
2024-12-10,0.92,0.92,0.87,0.89,1115800
2024-12-09,0.93,0.96,0.89,0.92,1291800
2024-12-06,0.89,0.93,0.86,0.91,1340900
2024-12-05,0.87,0.91,0.86,0.88,969200
2024-12-04,0.89,0.9,0.84,0.87,1321400
2024-12-03,0.98,0.99,0.87,0.87,1880200
2024-12-02,0.95,1.04,0.94,0.95,2000000
2024-11-29,0.96,0.97,0.91,0.95,753500
2024-11-27,0.94,0.98,0.93,0.96,885400
2024-11-26,0.93,0.99,0.91,0.94,1189800
2024-11-25,0.9,0.98,0.9,0.92,1139500
2024-11-22,0.89,0.93,0.87,0.91,745300
2024-11-21,0.89,0.92,0.87,0.89,696300
