Date,Open,High,Low,Close,Volume
2025-03-13,2.8,2.81,2.67,2.76,9213
2025-03-12,2.9,2.95,2.7,2.72,32900
2025-03-11,2.74,2.92,2.64,2.91,19000
2025-03-10,2.8,2.82,2.55,2.75,48100
2025-03-07,2.68,2.98,2.68,2.83,69900
2025-03-06,2.52,2.82,2.52,2.72,38200
2025-03-05,2.55,2.69,2.4,2.6,187400
2025-03-04,2.2,2.49,2.02,2.39,108400
2025-03-03,3.17,3.25,2.24,2.29,1487200
2025-02-28,3.41,3.45,3.06,3.31,72100
2025-02-27,3.75,3.75,3.31,3.36,24600
2025-02-26,3.5,3.96,3.45,3.5,42000
2025-02-25,4.0,4.2,3.33,3.5,91000
2025-02-24,4.5,4.5,3.92,4.0,59700
2025-02-21,4.55,5.1,4.42,4.48,62200
2025-02-20,4.77,4.77,4.4,4.69,49300
2025-02-19,5.02,5.26,4.72,4.77,60800
2025-02-18,6.71,6.71,4.66,5.06,125900
2025-02-14,6.71,6.71,6.02,6.21,23100
2025-02-13,7.49,7.49,6.62,6.7,22500
2025-02-12,6.82,7.28,6.79,6.89,6800
2025-02-11,7.31,7.31,6.6,6.81,59500
2025-02-10,7.66,7.97,7.32,7.35,18100
2025-02-07,8.4,8.61,7.88,7.95,104600
2025-02-06,8.4,8.4,7.7,8.29,33500
2025-02-05,7.58,7.96,7.4,7.81,27100
2025-02-04,7.4,7.8,7.15,7.67,10500
2025-02-03,7.19,7.66,6.86,7.49,20200
2025-01-31,7.33,7.4,6.99,7.28,35900
2025-01-30,6.99,7.6,6.99,7.29,45600
2025-01-29,7.62,7.62,7.21,7.38,86200
2025-01-28,7.0,7.62,6.51,7.38,63500
2025-01-27,7.14,7.14,6.82,7.05,46600
2025-01-24,6.31,7.06,6.13,6.73,145300
2025-01-23,5.69,6.42,5.66,6.42,143800
2025-01-22,5.55,5.84,5.55,5.72,82800
2025-01-21,6.0,6.08,5.44,5.51,89500
2025-01-17,6.79,7.13,6.06,6.15,102200
2025-01-16,7.23,7.23,6.52,6.84,90300
2025-01-15,6.51,7.09,6.51,6.86,59600
2025-01-14,7.16,7.16,6.52,6.68,90600
2025-01-13,9.3,9.31,6.81,7.33,492600
2025-01-10,8.07,8.32,8.05,8.06,344400
2025-01-08,8.65,8.89,8.07,8.07,78500
2025-01-07,9.1,9.51,8.7,9.03,126700
2025-01-06,8.61,9.49,8.26,9.07,222700
2025-01-03,8.62,9.02,8.47,8.66,206300
2025-01-02,8.9,8.9,7.94,8.67,283700
2024-12-31,7.95,9.6,7.95,8.88,262700
2024-12-30,8.0,8.9,7.4,8.42,1202600
2024-12-27,11.01,15.0,11.01,13.42,506400
2024-12-26,10.53,11.5,9.55,11.4,263400
2024-12-24,11.01,12.25,9.71,11.61,666800
2024-12-23,11.8,19.44,11.11,12.57,28352000
2024-12-20,5.05,5.46,5.02,5.02,28900
2024-12-19,5.49,5.5,5.2,5.33,8900
2024-12-18,5.0,5.5,5.0,5.21,32400
2024-12-17,4.89,5.09,4.7,5.07,10100
2024-12-16,4.83,4.89,4.7,4.7,6900
2024-12-13,4.67,4.71,4.62,4.65,4300
2024-12-12,5.02,5.19,4.83,4.84,5200
2024-12-11,4.85,5.1,4.77,5.01,6300
2024-12-10,4.7,5.17,4.67,5.15,4100
2024-12-09,4.65,4.98,4.6,4.98,7900
2024-12-06,5.04,5.04,4.77,4.77,3600
