Date,Open,High,Low,Close,Volume
2025-03-19,73.04,73.69,71.74,72.28,786422
2025-03-18,72.86,73.74,72.58,72.79,778300
2025-03-17,72.79,73.76,72.37,73.22,1037900
2025-03-14,72.2,73.39,72.01,73.14,941200
2025-03-13,72.65,74.02,71.75,71.86,801900
2025-03-12,75.89,75.89,73.07,73.25,998200
2025-03-11,76.53,77.39,74.91,75.41,1693100
2025-03-10,73.12,77.57,73.12,77.24,2201600
2025-03-07,73.35,74.07,72.65,73.25,2112000
2025-03-06,77.0,77.5,72.18,74.19,2345400
2025-03-05,75.7,78.34,75.08,78.01,1978600
2025-03-04,76.22,76.45,74.51,75.41,1699200
2025-03-03,80.21,80.68,77.0,77.42,1292100
2025-02-28,79.88,80.52,77.87,80.21,8236500
2025-02-27,80.54,80.9,79.58,79.93,1021100
2025-02-26,81.1,81.62,80.31,80.51,825600
2025-02-25,80.27,81.73,79.4,81.36,876400
2025-02-24,80.23,80.6,79.33,79.99,1073800
2025-02-21,82.0,82.17,79.09,79.99,691000
2025-02-20,82.72,82.83,81.18,81.4,791600
2025-02-19,82.14,83.06,81.73,82.83,769700
2025-02-18,80.59,82.79,80.55,82.63,1015700
2025-02-14,80.64,81.9,80.09,80.54,860200
2025-02-13,79.5,80.7,78.85,80.17,712800
2025-02-12,78.91,79.99,77.87,79.21,1041600
2025-02-11,79.4,80.82,79.4,80.18,593800
2025-02-10,80.29,80.42,79.27,80.07,777900
2025-02-07,80.8,80.85,79.79,80.19,589800
2025-02-06,80.73,81.3,79.96,80.63,640300
2025-02-05,81.16,81.45,80.64,80.64,576700
2025-02-04,80.58,81.83,80.25,81.37,817700
2025-02-03,81.94,82.76,80.07,80.62,1103700
2025-01-31,84.28,84.58,83.05,83.27,1485400
2025-01-30,84.4,85.22,83.71,84.57,778500
2025-01-29,86.55,86.55,83.91,84.23,873500
2025-01-28,86.7,87.46,86.34,86.81,616600
2025-01-27,86.51,87.44,86.07,87.28,632300
2025-01-24,86.21,86.52,85.56,86.06,746500
2025-01-23,84.24,86.6,83.6,86.55,655300
2025-01-22,84.22,84.64,83.48,84.15,549000
2025-01-21,84.18,84.66,83.28,84.46,820500
2025-01-17,83.33,83.71,82.36,83.4,546700
2025-01-16,82.32,82.63,81.39,82.51,544800
