Date,Open,High,Low,Close,Volume
2025-03-19,204.0,210.35,203.48,210.1,652368
2025-03-18,205.96,206.36,203.7,204.32,1067500
2025-03-17,203.82,207.71,203.06,206.5,1904900
2025-03-14,205.67,206.32,201.84,204.57,1365500
2025-03-13,204.48,206.2,201.93,203.63,1262900
2025-03-12,204.48,206.72,203.49,205.33,1414900
2025-03-11,202.04,206.02,201.77,203.8,1543500
2025-03-10,200.98,202.47,197.0,201.93,1883600
2025-03-07,206.76,207.45,198.71,204.33,1889400
2025-03-06,214.2,216.46,207.33,207.87,2273200
2025-03-05,208.1,215.27,208.1,214.81,1750100
2025-03-04,207.98,209.09,202.01,208.55,2106700
2025-03-03,212.89,214.5,207.78,208.05,1781700
2025-02-28,208.72,212.1,206.71,211.98,1858300
2025-02-27,209.85,211.37,207.63,208.21,1122800
2025-02-26,208.81,210.28,207.46,209.11,1281000
2025-02-25,210.48,210.68,206.07,207.91,1922000
2025-02-24,213.21,213.7,207.28,212.02,1206500
2025-02-21,216.0,216.53,210.66,211.65,1439100
2025-02-20,215.18,215.33,209.04,215.24,1648300
2025-02-19,218.59,218.75,212.46,215.18,1582300
2025-02-18,208.64,216.52,208.41,216.38,2462900
2025-02-14,210.23,212.59,208.55,208.76,1454700
2025-02-13,209.18,210.58,207.83,210.09,1338200
2025-02-12,207.43,210.11,206.56,209.18,1162800
2025-02-11,212.27,214.04,208.38,209.94,1783200
2025-02-10,210.01,215.84,206.28,212.51,3454100
2025-02-07,198.0,212.88,195.97,208.77,6798600
2025-02-06,184.08,184.53,181.86,183.08,2779700
2025-02-05,185.1,186.17,182.92,184.92,1697800
2025-02-04,186.14,186.61,182.66,183.54,1661200
2025-02-03,184.62,187.59,182.89,186.07,1741400
2025-01-31,190.07,190.93,185.39,185.51,1680700
2025-01-30,190.91,192.5,189.88,191.23,1213100
2025-01-29,186.92,191.61,186.92,190.09,1430400
2025-01-28,186.85,189.7,185.73,187.14,1616100
2025-01-27,185.05,190.58,184.18,187.87,2335500
2025-01-24,184.0,185.63,182.57,185.49,1638800
2025-01-23,183.28,184.69,179.61,183.82,2066900
2025-01-22,185.36,188.18,183.54,187.99,1548500
2025-01-21,187.55,189.04,184.43,185.14,1611200
2025-01-17,186.95,186.95,184.82,186.41,1443700
2025-01-16,182.27,184.46,181.26,183.37,1282200
2025-01-15,183.4,183.8,179.58,181.32,1332000
2025-01-14,178.91,181.53,178.65,180.03,876200
2025-01-13,178.61,179.98,177.93,178.76,957500
2025-01-10,181.9,182.88,177.35,178.61,1420400
2025-01-08,181.59,183.91,180.17,183.74,1976300
2025-01-07,188.09,188.71,180.88,181.75,2250900
2025-01-06,190.64,192.14,188.31,188.98,1233400
2025-01-03,184.6,189.18,184.2,188.75,1452700
2025-01-02,184.66,185.1,180.87,183.07,1437600
2024-12-31,184.77,185.77,183.65,184.08,1106900
2024-12-30,184.19,185.93,182.0,184.54,1317100
2024-12-27,187.43,188.36,184.7,186.43,1010700
2024-12-26,184.75,187.56,184.71,187.16,733500
2024-12-24,184.0,185.82,183.63,185.39,461100
2024-12-23,181.09,183.37,181.09,183.22,1198400
2024-12-20,180.0,184.2,179.0,181.97,3579400
2024-12-19,183.5,184.49,181.16,181.38,1570300
2024-12-18,186.52,188.4,181.64,181.9,2022500
2024-12-17,186.64,187.32,185.85,185.93,1372700
2024-12-16,185.92,188.78,185.32,187.18,1847000
2024-12-13,188.3,188.65,184.7,185.48,1327900
2024-12-12,189.33,190.54,188.27,189.64,796900
2024-12-11,188.88,191.26,186.05,190.46,1489200
2024-12-10,186.71,188.24,184.71,185.36,1153900
2024-12-09,188.97,191.02,187.67,187.9,1420500
2024-12-06,190.36,191.91,188.17,189.71,1500800
2024-12-05,189.35,191.63,188.0,190.03,1976700
2024-12-04,188.5,188.88,187.25,188.2,1431300
2024-12-03,187.4,188.38,186.94,188.06,926700
2024-12-02,188.36,188.63,187.0,187.95,1257300
2024-11-29,186.21,189.31,186.21,188.38,679600
2024-11-27,188.23,188.56,185.35,185.56,1235800
2024-11-26,188.19,189.28,187.14,187.85,1788200
2024-11-25,189.76,190.43,187.47,187.62,2501800
2024-11-22,187.0,188.45,185.87,188.15,1081900
2024-11-21,187.31,187.31,184.91,186.58,1168900
2024-11-20,186.07,186.75,184.2,185.5,1364500
2024-11-19,182.12,186.3,181.06,186.01,1535800
2024-11-18,178.14,183.36,177.09,182.93,1255500
2024-11-15,181.0,181.0,176.68,177.62,1349600
2024-11-14,181.0,182.35,179.29,181.48,1071500
2024-11-13,180.29,182.62,180.1,181.87,1074400
2024-11-12,178.66,180.67,177.17,180.55,1115100
2024-11-11,178.44,180.51,178.12,179.39,2134000
2024-11-08,179.17,179.34,173.2,177.9,2225700
2024-11-07,174.0,180.53,171.4,179.17,3777500
2024-11-06,166.49,169.04,165.35,166.62,3089300
2024-11-05,163.65,165.49,162.8,164.03,1303500
2024-11-04,164.22,164.7,161.02,162.93,1829600
2024-11-01,161.12,164.4,160.83,163.78,1457800
2024-10-31,162.75,164.46,161.28,161.72,1414000
2024-10-30,162.2,164.68,160.62,162.89,1659300
2024-10-29,160.39,163.54,158.65,162.28,1603500
2024-10-28,162.0,162.14,160.01,160.75,1395700
2024-10-25,162.4,163.85,161.15,161.79,1040800
2024-10-24,161.62,163.07,159.96,161.26,1218900
2024-10-23,160.0,161.29,159.23,161.01,1694800
2024-10-22,156.99,160.31,156.53,160.02,1697000
2024-10-21,154.47,156.93,154.13,156.88,1129100
2024-10-18,154.41,155.8,154.15,155.27,976800
2024-10-17,155.97,156.53,154.03,154.79,816400
2024-10-16,155.89,155.97,154.28,154.91,766300
2024-10-15,155.36,157.51,154.99,156.05,1310200
2024-10-14,155.51,156.49,154.69,155.43,725100
2024-10-11,153.06,156.48,153.06,155.09,1311700
2024-10-10,152.34,154.04,152.27,153.49,912100
2024-10-09,153.0,155.3,152.76,153.86,880000
2024-10-08,152.27,153.08,151.32,152.94,757000
2024-10-07,151.43,152.55,150.45,152.21,1041500
2024-10-04,149.0,152.12,147.78,151.69,1768100
2024-10-03,149.91,151.19,146.76,147.66,1462100
2024-10-02,150.32,151.67,148.93,151.37,1178200
2024-10-01,153.07,153.07,149.51,150.48,1379100
2024-09-30,153.07,154.85,152.26,153.71,1343700
2024-09-27,152.49,153.81,152.2,153.05,1371000
2024-09-26,152.29,152.5,150.44,151.69,1485400
2024-09-25,150.65,150.9,149.66,150.77,841600
2024-09-24,149.63,151.11,147.94,150.9,1190500
2024-09-23,149.58,150.75,148.06,149.73,1495700
2024-09-20,152.52,152.94,147.23,148.78,5624000
2024-09-19,156.22,158.11,153.52,153.66,1971000
2024-09-18,152.95,155.16,151.43,153.33,1449600
2024-09-17,152.48,155.83,151.04,152.71,1534300
2024-09-16,152.45,153.05,150.91,152.45,1320600
2024-09-13,153.82,154.9,152.07,152.18,1223400
2024-09-12,152.77,154.76,152.28,153.61,1194200
2024-09-11,153.77,153.84,150.19,152.34,1720800
2024-09-10,157.1,157.43,153.98,154.85,853200
2024-09-09,155.44,156.42,149.86,156.32,2107800
2024-09-06,157.76,159.43,156.52,156.61,1246000
2024-09-05,158.6,159.06,156.78,157.06,1021700
2024-09-04,155.63,159.13,155.63,158.04,990100
2024-09-03,160.75,161.48,154.62,155.9,1581700
2024-08-30,161.06,162.12,160.43,161.71,1206500
2024-08-29,160.48,162.98,160.16,160.5,929600
2024-08-28,160.89,161.15,158.13,159.0,1153700
2024-08-27,160.31,161.92,160.16,160.78,783900
2024-08-26,159.94,161.2,159.71,160.38,805600
2024-08-23,160.2,160.9,158.8,159.39,1076200
2024-08-22,160.0,161.82,158.52,158.7,1221900
2024-08-21,156.62,161.37,156.49,160.07,1849400
2024-08-20,150.73,155.64,149.98,154.81,2750600
2024-08-19,150.0,150.86,148.6,150.5,1078300
2024-08-16,146.46,151.1,146.39,149.94,1901100
2024-08-15,145.9,148.05,145.5,146.38,1129900
2024-08-14,144.63,145.91,143.17,144.91,954200
2024-08-13,147.31,147.81,144.7,144.88,1575400
2024-08-12,145.89,149.5,145.26,147.29,2585200
2024-08-09,142.14,145.7,141.34,144.82,3996300
2024-08-08,136.83,138.87,135.24,138.78,2622100
2024-08-07,141.0,141.44,135.61,135.67,2707300
2024-08-06,139.35,141.47,138.99,140.11,1599900
2024-08-05,141.16,141.4,137.51,139.49,1935900
2024-08-02,146.0,146.57,143.16,143.68,1809600
2024-08-01,150.16,150.23,144.96,145.96,1684800
2024-07-31,151.1,152.25,150.38,150.53,1590800
2024-07-30,150.43,152.45,149.86,150.0,1360700
2024-07-29,151.41,151.92,150.23,150.7,1313000
2024-07-26,150.63,151.06,149.16,150.75,1358900
2024-07-25,153.5,153.5,150.02,150.3,1466200
2024-07-24,151.79,155.12,151.66,152.89,1842500
2024-07-23,150.45,152.52,150.07,151.71,1109700
2024-07-22,150.56,151.06,148.86,150.45,1084500
2024-07-19,150.45,151.25,148.92,150.32,1643000
2024-07-18,149.87,151.32,148.78,150.3,1853500
2024-07-17,154.13,154.13,149.83,149.87,1708400
2024-07-16,153.79,154.56,152.73,154.1,1176500
2024-07-15,153.55,154.57,152.31,153.31,1188000
2024-07-12,151.89,155.28,151.76,153.35,1576100
2024-07-11,150.01,153.08,149.85,151.52,2371800
2024-07-10,149.4,149.98,147.62,148.83,1799400
2024-07-09,151.95,151.95,149.15,149.36,1320300
2024-07-08,151.84,152.81,151.03,152.0,1177700
2024-07-05,152.84,153.01,151.51,151.74,1130300
2024-07-03,154.21,154.95,152.8,153.5,717300
2024-07-02,154.56,155.45,154.29,154.65,1509200
2024-07-01,154.05,155.88,153.38,154.29,1259900
2024-06-28,156.84,158.18,155.2,155.49,1625800
2024-06-27,157.88,158.55,156.46,156.98,1092300
2024-06-26,158.83,159.6,156.98,157.54,1302500
2024-06-25,160.0,160.72,157.8,159.04,1018900
2024-06-24,158.06,160.23,157.44,159.71,1557800
2024-06-21,155.65,159.25,155.16,158.22,3197600
2024-06-20,155.01,155.56,153.99,154.98,1387500
2024-06-18,157.39,158.42,155.22,155.37,1184600
2024-06-17,158.16,158.96,157.17,157.4,1027900
2024-06-14,157.01,159.25,155.94,158.96,1174800
2024-06-13,158.64,160.4,157.56,157.72,1273400
2024-06-12,157.0,160.26,156.71,159.67,3424800
2024-06-11,160.0,160.97,157.76,158.51,1831600
2024-06-10,164.12,165.42,159.84,160.54,2126700
2024-06-07,165.65,166.43,164.65,164.77,1504400
2024-06-06,167.12,168.68,165.45,165.67,1521300
2024-06-05,166.64,167.75,165.07,167.43,1554500
2024-06-04,163.06,166.29,161.38,165.96,1729900
2024-06-03,160.25,163.73,160.01,163.64,1776200
2024-05-31,160.16,160.84,158.45,160.36,2263900
2024-05-30,159.68,160.73,157.87,159.78,1223200
