Date,Open,High,Low,Close,Volume
2025-03-13,0.78,0.8,0.61,0.7,10724
2025-03-12,1.0,1.0,0.78,0.78,900
2025-03-11,0.77,1.01,0.77,1.01,2300
2025-03-10,0.85,1.0,0.83,0.84,7400
2025-03-07,0.93,0.93,0.93,0.93,0
2025-03-06,0.93,0.93,0.93,0.93,500
2025-03-05,1.16,1.24,1.03,1.03,400
2025-03-04,1.12,1.18,1.12,1.16,2500
2025-03-03,1.1,1.1,1.1,1.1,0
2025-02-28,1.1,1.1,1.1,1.1,200
2025-02-27,1.26,1.26,1.11,1.14,2000
2025-02-26,1.09,1.29,1.03,1.27,18500
2025-02-25,1.02,1.05,0.85,1.03,800
2025-02-24,1.03,1.03,1.03,1.03,600
2025-02-21,1.03,1.03,1.03,1.03,1300
2025-02-20,1.05,1.12,1.05,1.12,600
2025-02-19,1.02,1.04,1.02,1.03,2400
2025-02-18,1.03,1.07,0.99,1.07,9200
2025-02-14,1.03,1.03,0.87,0.87,2300
2025-02-13,1.2,1.2,0.95,1.19,3500
2025-02-12,1.04,1.15,1.04,1.15,6000
2025-02-11,1.0,1.0,1.0,1.0,400
2025-02-10,1.0,1.02,1.0,1.0,1700
2025-02-07,1.02,1.02,1.02,1.02,1100
2025-02-06,1.25,1.25,1.0,1.0,700
2025-02-05,1.22,1.25,1.06,1.19,16000
2025-02-04,1.28,1.28,1.15,1.16,1400
2025-02-03,1.12,1.14,1.09,1.12,4700
2025-01-31,1.15,1.28,1.15,1.2,4300
2025-01-30,1.29,1.29,1.29,1.29,1900
2025-01-29,1.17,1.3,1.17,1.26,2000
2025-01-28,1.19,1.19,1.19,1.19,300
2025-01-27,1.21,1.21,1.12,1.12,4500
2025-01-24,1.11,1.2,1.08,1.17,1700
2025-01-23,1.02,1.11,1.02,1.1,13500
2025-01-22,1.06,1.21,1.0,1.21,2100
2025-01-21,1.06,1.06,1.06,1.06,100
2025-01-17,1.0,1.12,1.0,1.08,1900
2025-01-16,1.2,1.27,1.2,1.27,1400
2025-01-15,1.06,1.06,1.06,1.06,700
2025-01-14,1.12,1.29,1.05,1.05,3700
2025-01-13,1.12,1.12,1.05,1.05,1100
2025-01-10,0.93,1.15,0.88,1.15,4600
2025-01-08,1.02,1.09,0.95,0.95,8800
2025-01-07,1.09,1.15,1.02,1.06,4100
2025-01-06,1.0,1.14,1.0,1.1,2600
2025-01-03,1.0,1.2,1.0,1.2,1800
2025-01-02,0.94,1.0,0.94,0.95,7700
2024-12-31,1.05,1.11,0.98,0.98,10600
2024-12-30,0.98,1.2,0.98,1.1,2100
2024-12-27,1.1,1.2,1.07,1.09,4100
2024-12-26,1.18,1.22,1.1,1.1,3600
2024-12-24,1.26,1.33,1.12,1.12,5100
2024-12-23,1.21,1.4,1.21,1.31,15500
2024-12-20,1.09,1.36,1.0,1.21,28700
2024-12-19,1.0,1.14,0.76,1.01,50900
2024-12-18,1.4,1.41,1.05,1.06,94900
2024-12-17,1.94,2.0,1.24,1.41,759000
2024-12-16,3.73,4.04,3.52,3.65,22100
2024-12-13,4.0,4.1,3.67,3.69,36600
2024-12-12,4.35,4.35,3.97,4.01,17100
2024-12-11,4.0,4.1,3.85,4.05,27500
2024-12-10,3.8,4.09,3.71,3.99,142700
2024-12-09,4.07,4.14,3.7,3.79,36400
2024-12-06,3.5,3.99,3.5,3.91,29400
2024-12-05,3.99,4.08,3.34,3.48,63900
2024-12-04,4.48,4.59,4.13,4.17,56900
2024-12-03,3.96,4.73,3.95,4.59,167100
2024-12-02,3.82,4.39,3.61,4.13,257700
2024-11-29,3.61,3.83,3.61,3.78,20800
2024-11-27,3.59,3.94,3.53,3.69,34500
2024-11-26,3.56,3.7,3.14,3.69,102000
2024-11-25,3.75,3.85,3.27,3.56,97800
2024-11-22,3.52,3.75,3.5,3.62,25700
2024-11-21,3.7,3.95,3.37,3.6,44900
2024-11-20,3.28,3.72,3.28,3.71,29900
2024-11-19,3.28,3.37,3.1,3.26,28000
2024-11-18,3.24,3.36,3.05,3.11,92000
2024-11-15,3.75,3.9,3.04,3.16,49000
2024-11-14,3.54,3.9,3.45,3.65,87900
2024-11-13,3.37,3.45,3.29,3.45,22500
2024-11-12,3.26,3.41,3.19,3.33,57100
2024-11-11,3.15,3.24,3.1,3.22,54500
2024-11-08,3.36,3.36,3.05,3.1,53800
2024-11-07,3.3,3.43,2.87,3.3,253500
2024-11-06,3.4,3.4,3.09,3.28,43600
2024-11-05,3.19,3.38,2.93,3.29,471000
2024-11-04,2.92,3.45,2.92,3.24,54300
2024-11-01,2.84,2.96,2.74,2.95,51000
2024-10-31,4.01,4.81,2.76,2.79,454200
2024-10-30,3.79,4.18,3.61,4.03,94600
2024-10-29,3.71,4.14,3.53,3.79,166100
2024-10-28,3.5,3.99,3.38,3.74,173000
2024-10-25,3.35,3.74,3.09,3.38,227500
2024-10-24,2.78,3.99,2.75,3.39,982000
2024-10-23,2.86,2.86,2.64,2.73,12400
2024-10-22,2.69,2.88,2.68,2.77,18000
2024-10-21,2.56,2.76,2.56,2.69,19400
2024-10-18,2.55,2.66,2.42,2.53,25300
2024-10-17,2.57,2.68,2.42,2.52,47800
2024-10-16,2.58,3.39,2.39,2.6,374400
2024-10-15,2.11,2.47,2.03,2.42,144100
2024-10-14,2.04,2.3,2.04,2.17,21600
2024-10-11,2.0,2.11,1.77,2.03,84600
2024-10-10,1.8,2.14,1.8,2.0,146900
2024-10-09,1.75,1.92,1.53,1.8,135200
2024-10-08,2.49,2.78,1.39,1.73,615800
2024-10-07,2.56,2.68,2.4,2.4,14900
2024-10-04,2.85,2.85,2.5,2.55,78300
2024-10-03,3.11,3.12,2.78,2.82,96700
2024-10-02,3.26,3.4,2.95,2.99,29900
2024-10-01,3.47,3.99,3.15,3.25,107400
2024-09-30,3.62,4.18,3.39,3.4,52700
2024-09-27,3.59,3.59,3.18,3.36,21200
2024-09-26,3.32,3.57,3.2,3.27,23000
2024-09-25,4.34,4.34,3.36,3.38,82500
2024-09-24,4.42,4.68,4.22,4.23,14600
2024-09-23,5.01,5.01,4.31,4.49,16000
2024-09-20,4.51,4.76,4.5,4.75,32600
2024-09-19,5.17,5.29,4.5,4.55,60300
2024-09-18,5.4,5.63,5.0,5.16,40400
2024-09-17,5.75,6.0,5.65,6.0,18000
2024-09-16,5.5,5.75,5.5,5.73,7900
2024-09-13,5.67,5.72,5.5,5.61,7800
2024-09-12,5.75,5.75,5.61,5.61,5700
2024-09-11,5.67,5.86,5.67,5.67,7300
2024-09-10,5.32,5.66,5.32,5.57,14300
2024-09-09,5.8,5.8,5.3,5.32,5300
2024-09-06,5.39,5.64,5.39,5.63,6100
2024-09-05,5.34,5.42,5.07,5.42,5800
2024-09-04,5.46,5.46,5.09,5.18,7400
2024-09-03,5.85,5.85,5.47,5.49,13600
2024-08-30,5.67,5.79,5.57,5.73,5300
2024-08-29,5.21,5.64,5.2,5.53,11500
2024-08-28,5.18,5.31,5.11,5.27,11400
2024-08-27,5.26,5.52,5.01,5.25,71700
2024-08-26,5.45,5.45,5.2,5.22,15400
2024-08-23,5.19,5.5,5.04,5.38,11500
2024-08-22,5.28,5.28,5.07,5.13,10400
2024-08-21,5.29,5.43,5.1,5.19,21400
2024-08-20,5.13,5.4,4.95,5.24,32600
2024-08-19,4.95,5.22,4.9,5.13,61600
2024-08-16,4.98,5.0,4.57,4.81,80000
2024-08-15,5.38,5.51,4.81,4.92,80600
2024-08-14,4.67,5.3,4.67,5.2,27500
2024-08-13,4.79,4.8,4.6,4.73,13900
2024-08-12,4.6,4.8,4.31,4.79,41700
2024-08-09,4.33,4.73,4.33,4.58,20200
2024-08-08,4.31,5.2,4.21,4.48,123400
2024-08-07,4.9,5.0,4.66,4.8,126700
2024-08-06,4.9,5.14,4.66,4.94,37200
2024-08-05,4.88,4.93,4.24,4.9,107900
2024-08-02,5.29,5.44,4.75,5.23,230400
2024-08-01,5.13,5.41,4.51,4.86,648600
2024-07-31,7.4,7.5,4.95,5.1,1061400
2024-07-30,8.51,8.9,6.88,8.06,224200
2024-07-29,7.15,8.56,6.81,8.56,359600
2024-07-26,7.05,7.1,6.63,6.72,63600
2024-07-25,6.92,7.16,6.86,6.9,14300
2024-07-24,7.16,7.46,6.49,6.92,120500
2024-07-23,7.9,8.24,7.0,7.28,68600
2024-07-22,7.18,7.69,6.61,7.69,70800
2024-07-19,7.9,8.12,6.89,7.1,175700
2024-07-18,6.75,8.2,6.6,7.73,212600
2024-07-17,6.43,7.12,5.91,6.75,337100
2024-07-16,5.67,6.38,5.51,6.0,37500
2024-07-15,6.79,6.79,6.18,6.25,13800
2024-07-12,6.82,6.85,6.58,6.58,11100
2024-07-11,7.07,7.07,6.66,6.85,12300
2024-07-10,6.9,6.9,6.71,6.72,3800
2024-07-09,6.85,7.22,6.83,6.83,22500
2024-07-08,7.16,7.2,6.65,6.75,20600
2024-07-05,6.63,7.29,6.5,6.64,17400
2024-07-03,6.85,6.85,6.44,6.44,13000
2024-07-02,6.49,6.8,6.24,6.68,49800
2024-07-01,6.3,6.77,6.3,6.52,14200
2024-06-28,6.39,6.49,6.01,6.49,7200
2024-06-27,6.24,6.33,6.01,6.18,8000
2024-06-26,6.0,6.34,6.0,6.0,16700
2024-06-25,5.77,5.98,5.29,5.79,13800
2024-06-24,6.21,6.81,5.75,6.07,16700
2024-06-21,6.42,6.71,5.99,6.1,24300
2024-06-20,6.37,6.4,6.17,6.32,5200
2024-06-18,6.4,6.53,6.01,6.13,16100
2024-06-17,6.89,7.03,6.29,6.51,7500
2024-06-14,7.17,7.77,6.56,6.86,26000
2024-06-13,6.8,7.2,6.8,7.2,5700
2024-06-12,7.25,7.25,6.82,6.91,4800
2024-06-11,6.97,7.47,6.9,7.22,5000
2024-06-10,7.11,7.45,6.75,7.0,11800
2024-06-07,7.01,7.8,7.0,7.43,35300
2024-06-06,6.98,7.25,6.62,6.9,29100
2024-06-05,7.17,7.71,6.41,6.41,23200
2024-06-04,7.11,7.45,6.85,7.17,7800
2024-06-03,6.77,8.0,6.77,7.11,101100
2024-05-31,7.18,8.22,5.6,6.78,455000
2024-05-30,5.12,5.22,5.12,5.2,2200
2024-05-29,4.84,5.35,4.84,5.0,5300
2024-05-28,5.3,5.3,4.8,5.01,9500
2024-05-24,5.24,5.4,5.24,5.4,1000
2024-05-23,5.0,5.5,5.0,5.15,8300
2024-05-22,5.5,5.59,5.41,5.59,1300
2024-05-21,5.54,5.85,5.4,5.4,3200
2024-05-20,5.53,5.75,5.45,5.5,4300
2024-05-17,5.26,5.7,5.26,5.54,3400
2024-05-16,5.5,5.54,5.3,5.54,5700
2024-05-15,5.5,5.81,5.5,5.63,4400
2024-05-14,5.83,5.83,5.25,5.51,6800
2024-05-13,5.9,5.9,5.0,5.56,12300
2024-05-10,6.16,6.16,5.14,5.75,10400
2024-05-09,5.58,6.1,5.41,5.41,3200
2024-05-08,5.7,5.7,5.7,5.7,1300
2024-05-07,6.14,6.16,6.14,6.16,700
2024-05-06,6.01,6.19,5.75,5.85,5800
2024-05-03,6.43,6.59,6.01,6.05,2700
2024-05-02,6.24,6.44,6.18,6.18,4200
2024-05-01,6.45,6.5,6.0,6.0,10100
2024-04-30,6.72,6.87,5.94,5.94,11500
2024-04-29,5.76,6.07,5.76,5.85,2900
2024-04-26,6.29,6.74,5.62,5.83,12300
2024-04-25,5.75,5.95,5.4,5.93,8500
2024-04-24,4.8,5.1,4.74,5.01,3500
