Date,Open,High,Low,Close,Volume
2025-03-13,6.97,6.96,6.73,6.8,37096
2025-03-12,6.85,6.98,6.6,6.82,75100
2025-03-11,6.58,6.81,6.52,6.72,105700
2025-03-10,6.69,6.92,6.38,6.51,90900
2025-03-07,6.9,7.0,6.75,6.92,72800
2025-03-06,7.14,7.16,6.82,6.94,147900
2025-03-05,6.58,7.15,6.58,7.1,167200
2025-03-04,6.43,6.53,6.03,6.41,111800
2025-03-03,6.9,6.99,6.35,6.44,125800
2025-02-28,6.89,6.9,6.67,6.85,76900
2025-02-27,7.02,7.21,6.94,7.03,56400
2025-02-26,7.1,7.3,6.99,7.14,121800
2025-02-25,6.8,6.98,6.55,6.85,148200
2025-02-24,7.51,7.51,6.55,6.76,238700
2025-02-21,7.75,7.88,7.43,7.57,193600
2025-02-20,7.5,7.97,7.42,7.58,362100
2025-02-19,7.21,7.55,6.85,7.38,318300
2025-02-18,6.88,7.5,6.61,7.28,373300
2025-02-14,6.65,7.16,6.57,6.61,196800
2025-02-13,6.41,6.57,6.3,6.55,120800
2025-02-12,6.4,6.5,6.2,6.41,113700
2025-02-11,6.37,6.38,6.11,6.28,77000
2025-02-10,6.12,6.48,6.07,6.4,188600
2025-02-07,6.2,6.2,5.76,5.98,156800
2025-02-06,5.69,6.34,5.69,6.23,264900
2025-02-05,5.66,5.78,5.62,5.77,41100
2025-02-04,5.65,5.74,5.6,5.64,60200
2025-02-03,5.58,5.68,5.4,5.51,52800
2025-01-31,5.84,5.85,5.63,5.68,71100
2025-01-30,5.65,5.88,5.64,5.84,70900
2025-01-29,5.71,5.84,5.55,5.63,67600
2025-01-28,5.82,5.87,5.52,5.74,84600
2025-01-27,5.39,5.87,5.31,5.82,198700
2025-01-24,5.19,5.6,5.12,5.53,234200
2025-01-23,5.13,5.25,5.11,5.2,62700
2025-01-22,5.17,5.23,5.09,5.15,50400
2025-01-21,4.93,5.19,4.92,5.15,99900
2025-01-17,4.74,4.96,4.69,4.92,61000
2025-01-16,4.68,4.86,4.65,4.73,60800
2025-01-15,4.83,4.83,4.61,4.75,101900
2025-01-14,4.7,4.9,4.7,4.82,82700
2025-01-13,4.6,4.71,4.57,4.57,74900
2025-01-10,4.7,4.75,4.6,4.65,79200
2025-01-08,4.86,4.94,4.73,4.73,126500
2025-01-07,5.04,5.11,4.9,4.99,62200
2025-01-06,5.09,5.34,5.03,5.03,191500
2025-01-03,4.93,5.07,4.83,5.03,127300
2025-01-02,4.7,4.89,4.7,4.85,114800
2024-12-31,4.8,4.84,4.71,4.8,68500
2024-12-30,4.86,4.86,4.65,4.73,209400
2024-12-27,4.95,4.98,4.73,4.87,134400
2024-12-26,4.84,5.05,4.73,4.96,126100
2024-12-24,4.74,4.89,4.74,4.81,66500
2024-12-23,4.7,4.84,4.7,4.72,33900
2024-12-20,4.56,4.74,4.51,4.71,157700
2024-12-19,4.66,4.7,4.52,4.54,71600
