Date,Open,High,Low,Close,Volume
2025-03-14,197.41,198.65,195.32,197.95,38050600
2025-03-13,198.17,198.88,191.82,193.89,41270800
2025-03-12,200.72,201.52,195.29,198.89,43679300
2025-03-11,193.9,200.18,193.4,196.59,54002900
2025-03-10,195.6,196.73,190.85,194.54,62350900
2025-03-07,199.49,202.27,192.53,199.25,59802800
2025-03-06,204.4,205.77,198.3,200.7,49863800
2025-03-05,204.8,209.98,203.26,208.36,38610100
2025-03-04,200.11,206.8,197.43,203.8,60853100
2025-03-03,213.35,214.01,202.55,205.02,42948400
2025-02-28,208.65,212.62,206.99,212.28,51771700
2025-02-27,218.35,219.97,208.37,208.74,40548600
2025-02-26,214.94,218.16,213.09,214.35,39120600
2025-02-25,211.63,213.34,204.16,212.8,58958000
2025-02-24,217.45,217.72,212.42,212.71,42387600
2025-02-21,223.28,223.31,214.74,216.58,55323900
2025-02-20,224.78,225.13,221.81,222.88,30001700
2025-02-19,225.52,226.83,223.71,226.63,28566700
2025-02-18,228.82,229.3,223.72,226.65,42975100
2025-02-14,229.2,229.89,227.23,228.68,27031100
2025-02-13,228.85,230.42,227.52,230.37,31346500
2025-02-12,230.46,231.18,228.16,228.93,32285200
2025-02-11,231.92,233.44,230.13,232.76,23713700
2025-02-10,230.55,233.92,229.2,233.14,35419900
2025-02-07,232.5,234.81,228.06,229.15,77539300
2025-02-06,238.01,239.66,236.01,238.83,60897100
2025-02-05,237.02,238.32,235.2,236.17,38727300
2025-02-04,239.01,242.52,238.03,242.06,29713800
2025-02-03,234.06,239.25,232.9,237.42,37285900
2025-01-31,236.5,240.29,236.41,237.68,36162400
2025-01-30,237.14,237.95,232.22,234.64,32020700
2025-01-29,239.02,240.39,236.15,237.07,26091700
2025-01-28,234.29,241.77,233.98,238.15,41587200
2025-01-27,226.21,235.61,225.86,235.42,49428300
2025-01-24,234.5,236.4,232.93,234.85,25890700
2025-01-23,234.1,235.52,231.51,235.42,26404400
2025-01-22,232.02,235.44,231.19,235.01,41448200
2025-01-21,228.9,231.78,226.94,230.71,39951500
2025-01-17,225.84,226.51,223.08,225.94,42370100
2025-01-16,224.42,224.65,220.31,220.66,24757300
2025-01-15,222.83,223.57,220.75,223.35,31291300
2025-01-14,220.44,221.82,216.2,217.76,24711700
2025-01-13,218.06,219.4,216.47,218.46,27262700
2025-01-10,221.46,221.71,216.5,218.94,36811500
2025-01-08,223.19,223.52,220.2,222.13,25033300
2025-01-07,227.9,228.38,221.46,222.11,28084200
2025-01-06,226.78,228.84,224.84,227.61,31849800
2025-01-03,222.51,225.36,221.62,224.19,27515600
2025-01-02,222.03,225.15,218.19,220.22,33956600
2024-12-31,222.97,223.23,218.94,219.39,24819700
2024-12-30,220.06,223.0,218.43,221.3,28321200
2024-12-27,225.6,226.03,220.9,223.75,27367100
2024-12-26,228.5,228.5,226.67,227.05,16146700
2024-12-24,226.94,229.14,226.13,229.05,15007500
2024-12-23,225.01,226.88,223.9,225.06,28070000
2024-12-20,219.84,226.21,218.73,224.92,88279200
2024-12-19,224.91,226.09,222.92,223.29,39918700
2024-12-18,230.77,231.4,220.11,220.52,43281400
2024-12-17,232.39,232.73,227.85,231.15,35948100
2024-12-16,230.23,233.0,228.01,232.93,37552100
2024-12-13,228.4,230.2,225.86,227.46,28768100
2024-12-12,229.83,231.09,227.63,228.97,28204100
2024-12-11,226.41,231.2,226.26,230.26,35385800
2024-12-10,226.09,229.06,224.2,225.04,31199900
2024-12-09,227.21,230.08,225.67,226.09,46819400
2024-12-06,220.75,227.15,220.6,227.03,44178100
2024-12-05,218.03,222.15,217.3,220.55,41140200
2024-12-04,215.96,220.0,215.75,218.16,48745700
2024-12-03,210.31,214.02,209.65,213.44,32214800
2024-12-02,209.96,212.99,209.51,210.71,39523200
2024-11-29,205.83,208.2,204.59,207.89,24892400
2024-11-27,206.98,207.64,205.05,205.74,28061600
2024-11-26,201.9,208.0,201.79,207.86,41673700
2024-11-25,199.28,201.95,199.0,201.45,40685700
2024-11-22,198.25,199.26,196.75,197.12,31530800
2024-11-21,203.49,203.49,195.75,198.38,58800000
2024-11-20,202.98,203.13,199.45,202.88,32769000
2024-11-19,199.33,205.3,198.78,204.61,31197900
2024-11-18,204.15,204.67,200.95,201.7,36512500
2024-11-15,206.76,207.34,199.61,202.61,86591100
2024-11-14,214.16,215.9,210.88,211.48,42620300
2024-11-13,209.4,215.09,209.14,214.1,46212900
2024-11-12,208.37,209.54,206.01,208.91,38942900
2024-11-11,208.5,209.65,205.59,206.84,35456000
2024-11-08,209.72,209.96,207.44,208.18,36075800
2024-11-07,207.44,212.25,207.19,210.05,52878400
2024-11-06,200.01,207.55,199.14,207.09,72292200
2024-11-05,196.04,199.82,195.99,199.5,30564800
2024-11-04,196.45,197.33,194.31,195.78,38492100
2024-11-01,199.0,200.5,197.02,197.93,99687800
2024-10-31,190.51,190.6,185.23,186.4,75146800
2024-10-30,194.7,195.61,192.42,192.73,37707600
2024-10-29,188.58,191.46,187.82,190.83,35690200
2024-10-28,189.57,190.21,188.21,188.39,27930800
2024-10-25,187.85,190.45,187.53,187.83,29362100
2024-10-24,185.25,187.11,183.86,186.38,21647400
2024-10-23,188.85,189.16,183.69,184.71,31937100
2024-10-22,188.35,191.52,186.98,189.7,29650600
2024-10-21,188.05,189.46,186.4,189.07,24639400
2024-10-18,187.15,190.74,186.28,188.99,37417700
2024-10-17,188.22,188.94,186.0,187.53,25039400
2024-10-16,187.05,187.78,185.61,186.89,23456800
2024-10-15,187.63,188.41,184.58,187.69,32178900
2024-10-14,189.78,189.83,187.36,187.54,22614400
2024-10-11,186.63,189.93,186.3,188.82,25751600
2024-10-10,187.13,188.13,185.83,186.65,27785000
2024-10-09,182.82,185.85,182.05,185.17,26343100
2024-10-08,181.92,183.09,180.92,182.72,26372100
2024-10-07,182.95,183.6,180.25,180.8,42364200
2024-10-04,185.75,187.6,183.6,186.51,40890300
2024-10-03,183.05,183.44,180.88,181.96,30204300
