Date,Open,High,Low,Close,Volume
2025-03-13,47.03,47.44,46.58,46.63,37010
2025-03-12,47.67,47.82,46.65,47.33,211900
2025-03-11,48.22,48.57,47.22,47.32,212700
2025-03-10,47.2,48.57,47.2,48.24,194000
2025-03-07,47.72,48.23,47.29,47.89,165000
2025-03-06,46.66,48.36,46.37,48.02,179100
2025-03-05,46.23,47.61,46.23,47.57,257900
2025-03-04,46.17,47.18,45.33,46.23,357700
2025-03-03,48.12,48.7,45.91,46.47,265400
2025-02-28,47.1,47.96,46.96,47.94,283100
2025-02-27,47.38,47.7,46.76,47.24,367600
2025-02-26,48.44,48.68,47.36,47.58,214700
2025-02-25,48.63,48.97,47.96,48.52,262900
2025-02-24,48.56,48.92,47.63,48.48,184000
2025-02-21,49.64,49.93,47.63,48.16,262600
2025-02-20,48.53,49.14,47.94,48.99,283300
2025-02-19,48.77,49.17,48.35,48.85,245200
2025-02-18,49.56,49.84,49.07,49.47,193800
2025-02-14,49.36,49.97,48.86,49.56,191400
2025-02-13,49.84,50.79,48.95,49.3,187700
2025-02-12,50.07,50.48,49.62,49.65,212100
2025-02-11,49.82,52.1,49.82,51.27,216200
2025-02-10,50.94,50.94,50.1,50.54,265200
2025-02-07,50.66,50.98,49.59,50.74,377900
2025-02-06,50.39,51.39,50.17,50.81,235700
2025-02-05,49.96,50.28,49.52,49.97,304700
2025-02-04,49.51,50.11,49.48,49.56,231200
2025-02-03,49.95,50.89,49.01,49.48,291200
2025-01-31,52.33,52.33,50.68,51.02,414900
2025-01-30,52.98,53.52,52.37,52.51,146700
2025-01-29,52.61,53.7,52.22,52.46,203600
2025-01-28,53.02,53.15,51.58,52.54,189700
2025-01-27,54.31,54.35,52.62,52.72,202300
2025-01-24,55.5,55.82,54.45,54.77,173000
2025-01-23,56.46,56.93,55.37,55.46,292400
2025-01-22,57.01,58.06,56.42,56.45,285900
2025-01-21,56.1,57.5,56.1,57.32,311700
2025-01-17,54.53,56.33,54.53,55.42,315500
2025-01-16,54.34,55.11,54.03,54.13,267100
2025-01-15,54.34,55.93,53.84,54.42,412200
2025-01-14,53.64,54.02,52.01,52.78,373500
2025-01-13,49.81,53.5,49.34,53.14,380000
2025-01-10,52.19,54.37,50.42,50.5,489400
2025-01-08,55.63,56.16,51.02,52.26,771400
2025-01-07,64.5,65.18,56.93,57.32,965400
2025-01-06,71.71,72.47,70.66,70.78,376800
2025-01-03,70.99,71.73,69.85,71.55,215700
2025-01-02,71.7,72.59,70.05,70.91,122100
2024-12-31,71.27,72.31,70.71,71.06,127200
