Date,Open,High,Low,Close,Volume
2025-03-19,3.44,3.65,3.39,3.46,3189499
2025-03-18,3.67,3.75,3.33,3.39,4556600
2025-03-17,3.34,3.86,3.34,3.83,5026900
2025-03-14,3.28,3.43,3.23,3.35,6432700
2025-03-13,3.09,3.25,2.97,3.18,3528000
2025-03-12,3.06,3.31,2.94,3.09,6160200
2025-03-11,2.83,3.02,2.68,2.88,4692100
2025-03-10,2.83,2.84,2.53,2.81,5722300
2025-03-07,3.11,3.18,2.81,2.94,4162300
2025-03-06,3.45,3.57,3.09,3.16,4637100
2025-03-05,3.16,3.61,3.1,3.58,4776600
2025-03-04,3.03,3.26,2.95,3.15,4454700
2025-03-03,3.56,3.59,3.14,3.17,3605000
2025-02-28,3.51,3.55,3.22,3.43,5562600
2025-02-27,3.61,3.89,3.54,3.58,5562600
2025-02-26,3.66,3.73,3.52,3.58,3627100
2025-02-25,3.87,3.9,3.53,3.61,4779600
2025-02-24,4.27,4.28,3.58,3.91,8219100
2025-02-21,4.83,5.01,4.19,4.23,5822900
2025-02-20,4.94,5.05,4.61,4.79,5740300
2025-02-19,5.12,5.48,5.02,5.06,6047000
2025-02-18,6.15,6.16,5.01,5.15,11257300
2025-02-14,6.59,6.8,6.13,6.19,5842900
2025-02-13,6.36,6.86,6.11,6.52,10686900
2025-02-12,5.27,6.4,5.25,6.14,12671600
2025-02-11,5.27,5.71,5.17,5.45,9519700
2025-02-10,4.9,5.5,4.6,5.38,15678400
2025-02-07,4.64,5.2,4.4,4.9,25468800
2025-02-06,3.2,5.13,3.12,4.99,121528100
2025-02-05,2.5,2.63,2.42,2.54,7111600
2025-02-04,2.54,2.62,2.42,2.48,1948700
2025-02-03,2.48,2.65,2.44,2.54,3042800
2025-01-31,2.52,2.67,2.51,2.62,3363700
2025-01-30,2.49,2.59,2.46,2.51,2205900
2025-01-29,2.51,2.57,2.36,2.45,2553700
2025-01-28,2.38,2.6,2.28,2.51,2409600
2025-01-27,2.39,2.5,2.33,2.37,2944800
2025-01-24,2.22,2.5,2.22,2.46,3607600
2025-01-23,2.13,2.32,2.1,2.25,2589800
2025-01-22,2.17,2.32,2.12,2.13,3407000
2025-01-21,2.0,2.17,1.99,2.16,3520000
2025-01-17,1.97,2.07,1.96,2.0,2651000
2025-01-16,1.93,1.98,1.81,1.97,2920900
2025-01-15,1.79,1.94,1.77,1.93,2333700
2025-01-14,1.76,1.78,1.65,1.7,1682200
2025-01-13,1.77,1.78,1.68,1.72,2144800
2025-01-10,1.76,1.84,1.68,1.81,2425600
2025-01-08,1.96,1.98,1.85,1.85,3042400
2025-01-07,2.07,2.19,1.98,2.03,3650200
2025-01-06,2.0,2.12,1.92,2.03,3957700
2025-01-03,1.79,1.99,1.75,1.97,4288300
2025-01-02,1.74,1.86,1.68,1.76,3527000
2024-12-31,1.79,1.92,1.68,1.69,2763800
2024-12-30,1.8,1.87,1.64,1.82,5076600
2024-12-27,2.0,2.03,1.82,1.86,2918900
2024-12-26,1.74,2.04,1.73,2.01,4712800
2024-12-24,1.91,1.94,1.74,1.78,2145500
2024-12-23,1.72,1.88,1.67,1.87,3407200
2024-12-20,1.66,1.78,1.63,1.72,3812100
2024-12-19,1.57,1.78,1.52,1.75,7989200
2024-12-18,1.49,1.77,1.41,1.5,9577600
2024-12-17,1.44,1.46,1.4,1.46,1373400
2024-12-16,1.44,1.48,1.41,1.45,1170800
2024-12-13,1.42,1.46,1.4,1.43,1603700
2024-12-12,1.45,1.51,1.42,1.42,1710400
2024-12-11,1.47,1.5,1.43,1.46,1768200
2024-12-10,1.52,1.54,1.43,1.45,1918500
2024-12-09,1.52,1.64,1.48,1.51,3979500
2024-12-06,1.42,1.52,1.42,1.5,2448200
2024-12-05,1.46,1.51,1.4,1.42,2115500
2024-12-04,1.49,1.54,1.46,1.48,2228100
2024-12-03,1.47,1.49,1.41,1.46,2454400
2024-12-02,1.44,1.46,1.4,1.45,2181300
2024-11-29,1.44,1.52,1.42,1.44,1039400
2024-11-27,1.42,1.47,1.42,1.43,1428600
2024-11-26,1.46,1.51,1.39,1.42,3043500
2024-11-25,1.52,1.56,1.41,1.49,3618600
2024-11-22,1.48,1.59,1.48,1.52,3649600
2024-11-21,1.45,1.52,1.39,1.47,4630000
2024-11-20,1.25,1.46,1.22,1.43,6033300
2024-11-19,1.23,1.26,1.18,1.21,4329700
2024-11-18,1.31,1.32,1.22,1.25,4449300
2024-11-15,1.35,1.41,1.29,1.31,7203300
2024-11-14,1.52,1.59,1.38,1.4,4238600
2024-11-13,1.42,1.52,1.39,1.49,5663800
2024-11-12,1.41,1.41,1.31,1.36,5724500
2024-11-11,1.53,1.57,1.39,1.4,9395900
2024-11-08,1.81,1.81,1.4,1.46,18556900
2024-11-07,1.91,1.97,1.65,1.79,25072800
2024-11-06,3.36,3.47,3.19,3.24,6316400
2024-11-05,3.12,3.28,3.08,3.25,1632900
2024-11-04,3.17,3.22,2.91,3.11,2583900
2024-11-01,3.21,3.28,3.16,3.16,1319000
2024-10-31,3.5,3.5,3.15,3.2,2307200
2024-10-30,3.67,3.69,3.52,3.53,1472700
2024-10-29,3.46,3.7,3.43,3.7,2320600
2024-10-28,3.12,3.5,3.12,3.5,1999300
2024-10-25,3.18,3.19,3.03,3.08,1130700
2024-10-24,3.12,3.2,3.05,3.07,1120800
2024-10-23,3.21,3.27,3.03,3.06,1571300
2024-10-22,3.14,3.29,3.08,3.29,1123400
2024-10-21,3.26,3.35,3.12,3.17,1384200
2024-10-18,3.27,3.38,3.26,3.31,1080100
2024-10-17,3.43,3.44,3.21,3.24,1931600
2024-10-16,3.55,3.64,3.37,3.46,1924000
2024-10-15,3.53,3.53,3.34,3.48,1668300
2024-10-14,3.5,3.57,3.32,3.51,2412200
2024-10-11,2.95,3.58,2.95,3.49,5736500
2024-10-10,3.04,3.08,2.92,2.96,2039800
2024-10-09,3.01,3.22,2.96,3.13,2814300
2024-10-08,3.1,3.22,2.96,3.03,3578300
2024-10-07,2.78,3.07,2.64,3.05,5216700
2024-10-04,2.78,2.85,2.72,2.77,1375800
2024-10-03,2.75,2.8,2.67,2.69,1481000
2024-10-02,2.79,2.89,2.76,2.77,1624400
2024-10-01,3.06,3.08,2.77,2.81,3074100
2024-09-30,3.12,3.25,3.06,3.07,1776700
2024-09-27,3.07,3.3,3.02,3.14,3640300
2024-09-26,2.8,3.05,2.76,3.0,2632700
2024-09-25,2.77,2.78,2.67,2.68,1173500
2024-09-24,2.71,2.79,2.67,2.76,1300800
2024-09-23,2.8,2.8,2.58,2.67,2454400
2024-09-20,2.87,2.89,2.78,2.79,2017100
2024-09-19,3.06,3.07,2.87,2.9,2779600
2024-09-18,2.84,3.09,2.77,2.91,2815000
2024-09-17,2.97,2.99,2.85,2.87,1521600
2024-09-16,2.95,3.02,2.87,2.92,2763800
2024-09-13,2.82,2.96,2.73,2.94,3250300
2024-09-12,2.76,2.78,2.57,2.75,2373400
2024-09-11,2.7,2.85,2.65,2.76,2130000
2024-09-10,2.9,2.91,2.53,2.72,3119600
2024-09-09,2.88,2.99,2.85,2.88,1827900
2024-09-06,2.98,2.98,2.74,2.84,1748900
2024-09-05,2.82,3.07,2.78,2.94,2705000
2024-09-04,2.97,3.02,2.78,2.8,2426300
2024-09-03,3.14,3.3,3.02,3.04,2114800
2024-08-30,3.5,3.52,3.18,3.22,2670200
2024-08-29,3.54,3.63,3.45,3.46,1920400
2024-08-28,3.53,3.68,3.45,3.49,2444200
2024-08-27,3.68,3.77,3.57,3.65,1926200
2024-08-26,3.98,4.04,3.59,3.71,3520600
2024-08-23,3.65,4.24,3.65,3.98,4030200
2024-08-22,3.93,3.97,3.52,3.61,3618200
2024-08-21,4.11,4.18,3.8,3.96,4900700
2024-08-20,4.2,4.62,3.99,4.06,6224100
2024-08-19,3.69,4.35,3.6,4.18,10568400
2024-08-16,3.31,3.66,3.29,3.65,4934300
2024-08-15,3.41,3.52,3.26,3.4,5737200
2024-08-14,3.3,3.42,2.98,3.24,7824000
2024-08-13,2.81,3.42,2.81,3.25,9765500
2024-08-12,3.22,3.25,2.79,2.81,5775100
2024-08-09,2.87,3.13,2.61,3.12,13771800
2024-08-08,2.09,2.88,2.09,2.88,69658100
2024-08-07,1.81,1.87,1.76,1.78,3361700
2024-08-06,1.94,1.95,1.77,1.78,1108400
2024-08-05,1.68,1.92,1.68,1.84,1509800
2024-08-02,2.08,2.08,1.95,1.98,1998000
2024-08-01,2.38,2.41,2.13,2.21,1751800
2024-07-31,2.33,2.49,2.26,2.38,1663600
2024-07-30,2.37,2.42,2.25,2.31,962200
2024-07-29,2.45,2.47,2.3,2.37,1638200
2024-07-26,2.41,2.42,2.3,2.37,1011700
2024-07-25,2.18,2.42,2.15,2.32,1622100
2024-07-24,2.35,2.42,2.17,2.18,1501000
2024-07-23,2.27,2.37,2.17,2.36,1634300
2024-07-22,2.19,2.26,2.12,2.25,1045400
2024-07-19,2.18,2.25,2.11,2.17,1435600
2024-07-18,2.42,2.44,2.22,2.22,2561900
2024-07-17,2.4,2.5,2.3,2.39,3168500
2024-07-16,2.1,2.48,2.1,2.47,4236900
2024-07-15,2.17,2.18,2.06,2.07,2184300
2024-07-12,2.1,2.25,2.09,2.13,4015200
2024-07-11,1.75,2.03,1.75,2.0,3323100
2024-07-10,1.79,1.83,1.66,1.67,1137600
2024-07-09,1.74,1.79,1.64,1.78,1344400
2024-07-08,1.71,1.8,1.67,1.75,1465800
2024-07-05,1.67,1.77,1.63,1.69,1625500
2024-07-03,1.68,1.71,1.64,1.67,643200
2024-07-02,1.68,1.71,1.57,1.68,1325700
2024-07-01,1.65,1.72,1.63,1.69,2221100
2024-06-28,1.53,1.67,1.52,1.66,5064400
2024-06-27,1.4,1.5,1.39,1.49,1012000
2024-06-26,1.43,1.45,1.4,1.42,931900
2024-06-25,1.5,1.5,1.43,1.43,1372100
2024-06-24,1.43,1.58,1.43,1.51,1942400
2024-06-21,1.42,1.47,1.4,1.46,1773200
2024-06-20,1.44,1.45,1.39,1.41,1512000
2024-06-18,1.5,1.52,1.43,1.44,2362400
2024-06-17,1.47,1.54,1.47,1.52,1246500
2024-06-14,1.51,1.53,1.46,1.47,2091300
2024-06-13,1.64,1.64,1.52,1.54,1550600
2024-06-12,1.64,1.79,1.61,1.61,3097400
2024-06-11,1.5,1.6,1.45,1.58,2307600
2024-06-10,1.58,1.59,1.5,1.51,2480100
2024-06-07,1.64,1.65,1.57,1.6,2436600
2024-06-06,1.7,1.71,1.64,1.65,1657900
2024-06-05,1.61,1.7,1.57,1.7,1617500
2024-06-04,1.73,1.73,1.6,1.61,2557700
2024-06-03,1.93,2.02,1.72,1.75,3845300
2024-05-31,1.95,2.18,1.87,1.89,5045900
2024-05-30,1.87,1.96,1.8,1.94,2605100
2024-05-29,2.0,2.07,1.8,1.86,7524500
2024-05-28,2.16,2.34,2.12,2.24,4449000
2024-05-24,2.19,2.25,2.11,2.14,1562100
2024-05-23,2.35,2.35,2.13,2.19,3132900
2024-05-22,2.3,2.36,2.3,2.34,1268500
2024-05-21,2.35,2.42,2.27,2.34,1167400
2024-05-20,2.47,2.54,2.33,2.37,1333400
2024-05-17,2.61,2.61,2.46,2.49,1469500
2024-05-16,2.56,2.63,2.51,2.59,1322600
2024-05-15,2.45,2.61,2.4,2.56,2675500
2024-05-14,2.38,2.54,2.33,2.36,2091100
2024-05-13,2.16,2.35,2.16,2.33,1435100
2024-05-10,2.27,2.3,2.13,2.15,1180000
2024-05-09,2.14,2.29,2.13,2.24,1474800
2024-05-08,2.12,2.18,2.11,2.13,1020800
2024-05-07,2.13,2.17,2.11,2.16,1371200
2024-05-06,2.1,2.14,2.08,2.09,1649800
2024-05-03,2.1,2.19,1.99,2.06,1136600
2024-05-02,1.99,2.04,1.92,2.02,973700
2024-05-01,1.91,2.01,1.89,1.94,923400
2024-04-30,1.92,2.04,1.89,1.91,1388200
2024-04-29,1.85,1.98,1.85,1.96,1566100
2024-04-26,1.86,1.89,1.82,1.82,867100
