Date,Open,High,Low,Close,Volume
2025-03-13,1.4,1.43,1.2,1.26,1772352
2025-03-12,1.2,1.2,1.11,1.19,244200
2025-03-11,1.26,1.29,1.1,1.22,1473000
2025-03-10,1.05,1.13,0.97,1.1,1461300
2025-03-07,1.06,1.07,0.96,1.06,50100
2025-03-06,1.04,1.1,1.03,1.08,24600
2025-03-05,1.23,1.25,1.0,1.07,126000
2025-03-04,0.97,1.04,0.95,1.02,61000
2025-03-03,1.0,1.04,0.97,1.02,35000
2025-02-28,0.96,1.04,0.95,1.01,95000
2025-02-27,1.01,1.02,0.95,0.97,63300
2025-02-26,0.98,1.03,0.95,1.0,101300
2025-02-25,1.01,1.06,0.96,1.0,87900
2025-02-24,1.03,1.12,0.98,1.03,255900
2025-02-21,1.05,1.07,1.0,1.03,230300
2025-02-20,1.17,1.17,1.08,1.1,165200
2025-02-19,1.14,1.2,1.11,1.14,280300
2025-02-18,1.24,1.24,1.14,1.17,147100
2025-02-14,1.24,1.25,1.21,1.21,81500
2025-02-13,1.21,1.29,1.2,1.27,144500
2025-02-12,1.29,1.29,1.21,1.23,120900
2025-02-11,1.25,1.29,1.25,1.28,47800
2025-02-10,1.24,1.33,1.21,1.25,248600
2025-02-07,1.29,1.29,1.21,1.24,144100
2025-02-06,1.35,1.37,1.25,1.29,153500
2025-02-05,1.29,1.38,1.28,1.35,231100
2025-02-04,1.26,1.32,1.2,1.25,207000
2025-02-03,1.34,1.34,1.22,1.24,234400
2025-01-31,1.37,1.39,1.33,1.34,133200
2025-01-30,1.48,1.48,1.31,1.36,242000
2025-01-29,1.52,1.52,1.4,1.43,137100
2025-01-28,1.54,1.54,1.4,1.51,132100
2025-01-27,1.69,1.69,1.41,1.49,469800
2025-01-24,1.71,1.73,1.51,1.57,393100
2025-01-23,1.78,1.83,1.65,1.7,274900
2025-01-22,1.73,1.81,1.51,1.68,432200
2025-01-21,1.75,1.97,1.72,1.81,1837300
2025-01-17,2.06,2.14,1.67,1.73,1207000
2025-01-16,2.05,2.2,1.8,2.11,3572000
2025-01-15,1.51,3.68,1.47,2.28,199203400
2025-01-14,1.49,1.49,1.32,1.37,192400
2025-01-13,1.55,1.58,1.31,1.49,477200
2025-01-10,1.81,1.94,1.48,1.5,4316800
2025-01-08,1.57,1.62,1.33,1.44,336800
2025-01-07,1.74,1.79,1.56,1.69,815500
2025-01-06,1.67,1.75,1.5,1.54,268800
2025-01-03,1.43,1.9,1.43,1.67,586100
2025-01-02,1.67,1.73,1.29,1.39,451100
2024-12-31,2.27,2.29,1.42,1.71,1126600
2024-12-30,1.63,2.68,1.45,2.38,5397800
2024-12-27,1.28,1.43,1.13,1.41,4172600
2024-12-26,1.07,1.11,1.07,1.09,71600
2024-12-24,0.99,1.05,0.95,1.01,80600
2024-12-23,0.92,0.97,0.91,0.95,97100
2024-12-20,0.93,0.99,0.86,0.87,161800
2024-12-19,0.92,0.93,0.85,0.93,27200
2024-12-18,0.92,0.94,0.9,0.92,37000
2024-12-17,1.0,1.0,0.85,0.92,50100
2024-12-16,0.95,0.98,0.91,0.94,55500
2024-12-13,1.0,1.0,0.96,0.97,36900
2024-12-12,1.05,1.06,1.0,1.0,24200
2024-12-11,1.08,1.08,1.01,1.07,23300
2024-12-10,1.12,1.14,1.05,1.07,55100
2024-12-09,1.14,1.2,1.05,1.1,68000
2024-12-06,1.18,1.18,1.0,1.11,101300
2024-12-05,1.16,1.19,1.08,1.13,342800
2024-12-04,1.15,1.15,1.0,1.1,65300
2024-12-03,1.12,1.18,1.04,1.12,172600
2024-12-02,0.93,1.18,0.91,1.12,1100400
2024-11-29,0.91,0.93,0.87,0.9,19200
2024-11-27,0.91,0.97,0.87,0.92,32900
2024-11-26,0.92,0.99,0.9,0.93,33600
2024-11-25,0.86,0.96,0.86,0.92,51700
2024-11-22,0.88,0.88,0.84,0.88,23900
2024-11-21,0.82,0.88,0.79,0.84,59200
2024-11-20,0.85,0.85,0.77,0.84,52500
2024-11-19,0.91,0.92,0.84,0.86,82800
2024-11-18,0.92,0.95,0.9,0.9,86800
2024-11-15,1.01,1.05,0.92,0.94,65500
2024-11-14,1.02,1.06,0.98,1.02,116100
2024-11-13,1.05,1.07,1.02,1.03,80000
2024-11-12,1.04,1.11,1.02,1.05,114100
2024-11-11,1.13,1.16,1.04,1.04,114000
2024-11-08,1.19,1.2,1.13,1.16,117700
2024-11-07,1.14,1.22,1.14,1.16,118000
2024-11-06,1.19,1.23,1.13,1.17,193500
2024-11-05,1.27,1.3,1.17,1.23,185900
2024-11-04,1.24,1.31,1.16,1.3,286900
2024-11-01,1.25,1.3,1.15,1.24,321200
2024-10-31,1.23,1.36,1.21,1.32,1034100
2024-10-30,1.18,1.27,1.05,1.25,2507900
2024-10-29,1.57,1.95,1.07,1.22,120555500
2024-10-28,0.72,0.72,0.66,0.69,24700
2024-10-25,0.67,0.73,0.67,0.69,21900
2024-10-24,0.73,0.73,0.69,0.73,66500
2024-10-23,0.71,0.71,0.67,0.71,44100
2024-10-22,0.69,0.72,0.68,0.7,45700
2024-10-21,0.73,0.73,0.67,0.7,67200
2024-10-18,0.65,0.69,0.65,0.69,51000
2024-10-17,0.73,0.75,0.63,0.68,208100
2024-10-16,0.57,0.75,0.52,0.7,422600
2024-10-15,0.65,0.66,0.56,0.59,158600
2024-10-14,0.67,0.67,0.65,0.65,56000
2024-10-11,0.69,0.69,0.65,0.67,57600
2024-10-10,0.68,0.71,0.65,0.65,82100
2024-10-09,0.71,0.73,0.66,0.68,43900
2024-10-08,0.73,0.75,0.68,0.71,89500
2024-10-07,0.83,0.83,0.73,0.74,150700
2024-10-04,0.71,0.91,0.71,0.84,1177600
2024-10-03,0.84,0.87,0.65,0.71,606200
2024-10-02,0.83,0.91,0.83,0.87,68100
2024-10-01,0.92,0.94,0.82,0.84,116600
2024-09-30,1.0,1.0,0.91,0.96,143100
2024-09-27,1.03,1.03,0.94,0.99,132400
2024-09-26,1.0,1.08,1.0,1.03,167000
2024-09-25,1.08,1.12,0.96,1.0,406700
2024-09-24,1.08,1.45,1.02,1.08,1299400
2024-09-23,1.07,1.17,1.01,1.11,390100
2024-09-20,1.1,1.12,1.03,1.06,131500
2024-09-19,1.2,1.2,1.05,1.08,248200
2024-09-18,1.29,1.37,1.14,1.21,323200
2024-09-17,1.54,1.68,1.27,1.33,333800
2024-09-16,1.51,1.67,1.45,1.66,325800
2024-09-13,1.76,1.78,1.42,1.54,681000
2024-09-12,2.62,3.22,1.69,1.7,19468700
2024-09-11,2.5,2.5,2.09,2.31,15275000
2024-09-10,1.89,3.15,1.75,2.0,146559400
2024-09-09,1.1,1.1,1.0,1.01,7700
2024-09-06,1.21,1.25,1.12,1.12,10400
2024-09-05,1.22,1.26,1.17,1.21,3500
2024-09-04,1.23,1.25,1.2,1.2,3100
2024-09-03,1.24,1.31,1.22,1.23,12400
2024-08-30,1.2,1.38,1.2,1.33,10100
2024-08-29,1.36,1.39,1.25,1.27,13200
2024-08-28,1.38,1.4,1.33,1.36,2500
2024-08-27,1.37,1.39,1.35,1.35,8600
2024-08-26,1.4,1.4,1.32,1.32,1700
2024-08-23,1.33,1.36,1.32,1.35,1200
2024-08-22,1.27,1.38,1.26,1.37,28000
2024-08-21,1.27,1.27,1.22,1.26,1900
2024-08-20,1.22,1.34,1.22,1.24,12300
2024-08-19,1.27,1.27,1.24,1.25,11200
2024-08-16,1.25,1.35,1.25,1.3,25400
2024-08-15,1.35,1.35,1.23,1.25,31600
2024-08-14,1.42,1.42,1.34,1.4,8700
2024-08-13,1.31,1.45,1.31,1.42,16800
2024-08-12,1.47,1.47,1.35,1.37,1200
2024-08-09,1.41,1.45,1.41,1.41,4100
2024-08-08,1.3,1.41,1.3,1.37,9600
2024-08-07,1.42,1.48,1.38,1.41,9400
2024-08-06,1.35,1.43,1.35,1.42,12400
2024-08-05,1.36,1.37,1.26,1.34,22500
2024-08-02,1.37,1.4,1.36,1.39,4100
2024-08-01,1.46,1.46,1.41,1.41,3500
2024-07-31,1.49,1.49,1.45,1.45,3200
2024-07-30,1.59,1.61,1.36,1.5,26800
2024-07-29,1.66,1.66,1.56,1.59,9000
2024-07-26,1.6,1.62,1.55,1.62,9600
2024-07-25,1.66,1.66,1.59,1.62,16200
2024-07-24,1.73,1.73,1.65,1.65,11900
2024-07-23,1.53,1.66,1.53,1.65,2900
2024-07-22,1.56,1.59,1.51,1.56,8700
2024-07-19,1.66,1.7,1.59,1.61,4300
2024-07-18,1.77,1.77,1.65,1.65,5500
2024-07-17,1.7,1.77,1.7,1.72,11100
2024-07-16,1.95,1.95,1.7,1.84,26500
2024-07-15,1.82,1.97,1.8,1.88,44700
2024-07-12,1.79,1.8,1.79,1.8,1700
2024-07-11,1.67,1.85,1.58,1.82,9100
2024-07-10,1.61,1.71,1.61,1.66,2100
2024-07-09,1.7,1.7,1.69,1.69,900
2024-07-08,1.72,1.74,1.68,1.7,10200
2024-07-05,1.65,1.69,1.61,1.69,6600
2024-07-03,1.58,1.73,1.55,1.64,12900
2024-07-02,1.65,1.67,1.59,1.61,6100
2024-07-01,1.76,1.76,1.6,1.65,13300
2024-06-28,1.55,1.72,1.55,1.64,11300
2024-06-27,1.48,1.55,1.48,1.55,3400
2024-06-26,1.47,1.5,1.45,1.49,3100
2024-06-25,1.43,1.47,1.4,1.47,4400
2024-06-24,1.37,1.45,1.37,1.43,7100
2024-06-21,1.53,1.54,1.25,1.37,61700
2024-06-20,1.53,1.54,1.46,1.53,8000
2024-06-18,1.6,1.72,1.53,1.53,4900
2024-06-17,1.95,1.95,1.5,1.5,47600
2024-06-14,1.72,1.89,1.7,1.86,12900
2024-06-13,1.77,1.84,1.7,1.7,5700
2024-06-12,1.7,1.77,1.7,1.76,1700
2024-06-11,1.72,1.76,1.7,1.71,6000
2024-06-10,1.9,1.9,1.74,1.76,7700
2024-06-07,1.83,1.84,1.7,1.81,16800
2024-06-06,1.95,2.12,1.77,1.9,54000
2024-06-05,1.78,1.93,1.78,1.93,3900
2024-06-04,1.81,1.99,1.75,1.92,5900
2024-06-03,1.77,1.94,1.77,1.9,2100
2024-05-31,1.92,1.94,1.76,1.94,7600
2024-05-30,1.86,1.91,1.86,1.91,1400
2024-05-29,1.88,1.97,1.8,1.97,9100
2024-05-28,1.92,1.94,1.77,1.88,21500
2024-05-24,1.74,1.93,1.62,1.9,34400
2024-05-23,1.7,1.72,1.66,1.72,2600
2024-05-22,1.74,1.75,1.6,1.72,6100
2024-05-21,1.6,1.7,1.6,1.7,2900
2024-05-20,1.68,1.68,1.6,1.6,2200
2024-05-17,1.68,1.71,1.68,1.71,5500
2024-05-16,1.64,1.68,1.61,1.64,12700
2024-05-15,1.64,1.64,1.63,1.63,3400
2024-05-14,1.63,1.66,1.6,1.66,8800
2024-05-13,1.61,1.65,1.6,1.6,11800
2024-05-10,1.63,1.65,1.62,1.65,3000
2024-05-09,1.68,1.68,1.63,1.64,1800
2024-05-08,1.68,1.71,1.55,1.64,9200
2024-05-07,1.75,1.76,1.67,1.67,5900
2024-05-06,1.65,1.79,1.65,1.75,7800
2024-05-03,1.66,1.7,1.66,1.7,13600
2024-05-02,1.6,1.73,1.55,1.69,5300
2024-05-01,1.64,1.76,1.64,1.7,6700
2024-04-30,1.73,1.73,1.59,1.65,9900
2024-04-29,1.59,1.79,1.59,1.75,9700
2024-04-26,1.52,1.63,1.48,1.58,6400
2024-04-25,1.57,1.6,1.5,1.5,4800
2024-04-24,1.6,1.63,1.56,1.59,14100
2024-04-23,1.64,1.69,1.49,1.64,48800
2024-04-22,1.73,1.74,1.66,1.66,24600
2024-04-19,1.69,1.74,1.69,1.71,8400
2024-04-18,1.74,1.75,1.65,1.68,14300
2024-04-17,1.84,1.84,1.5,1.7,25300
2024-04-16,1.8,1.9,1.8,1.83,6500
2024-04-15,1.88,1.88,1.8,1.8,16100
2024-04-12,1.92,1.96,1.83,1.83,7400
2024-04-11,1.98,1.98,1.81,1.89,8900
2024-04-10,1.95,2.0,1.81,1.91,9900
2024-04-09,1.85,2.05,1.79,1.96,40800
2024-04-08,1.9,1.9,1.7,1.81,43700
2024-04-05,1.93,1.93,1.81,1.81,30100
2024-04-04,1.99,1.99,1.88,1.88,24700
2024-04-03,2.08,2.08,1.9,1.92,36600
2024-04-02,2.15,2.15,1.96,2.0,46400
2024-04-01,2.02,2.25,2.02,2.16,51600
2024-03-28,2.05,2.1,2.05,2.1,9500
2024-03-27,2.0,2.1,1.96,2.1,20700
2024-03-26,2.03,2.03,1.95,2.0,25900
2024-03-25,2.0,2.09,1.95,2.04,5800
2024-03-22,1.85,2.03,1.85,2.03,17600
2024-03-21,1.92,1.99,1.88,1.88,22400
2024-03-20,2.01,2.01,1.82,1.9,43100
2024-03-19,2.09,2.09,1.95,1.97,16000
2024-03-18,1.96,2.11,1.96,2.0,24700
2024-03-15,1.97,2.08,1.89,1.97,16700
2024-03-14,1.98,2.1,1.8,1.9,39800
2024-03-13,2.11,2.13,2.0,2.02,80400
2024-03-12,2.09,2.43,1.98,2.22,358100
2024-03-11,1.98,2.1,1.98,2.03,26400
2024-03-08,1.97,2.08,1.91,1.98,21800
2024-03-07,1.97,2.13,1.96,2.0,48000
2024-03-06,1.95,2.1,1.88,2.03,37800
2024-03-05,2.11,2.11,1.85,1.97,43900
2024-03-04,2.22,2.26,2.02,2.03,13300
2024-03-01,2.19,2.19,2.04,2.09,25500
2024-02-29,2.03,2.14,1.96,2.1,43800
2024-02-28,2.09,2.13,2.05,2.07,58500
2024-02-27,1.92,2.1,1.92,2.0,38800
2024-02-26,1.89,2.11,1.89,2.02,60100
2024-02-23,1.88,1.95,1.88,1.91,15500
2024-02-22,1.99,2.01,1.81,1.95,97400
2024-02-21,1.96,1.97,1.82,1.87,70300
2024-02-20,2.09,2.27,1.83,1.98,1207000
2024-02-16,1.79,1.92,1.79,1.85,56100
