Date,Open,High,Low,Close,Volume
2025-03-19,10.0,10.12,10.0,10.12,981
2025-03-18,10.1,10.1,10.09,10.1,1000
2025-03-17,10.06,10.07,10.06,10.06,2500
2025-03-14,10.4,10.4,10.17,10.19,1300
2025-03-13,10.04,10.35,10.0,10.35,1500
2025-03-12,10.0,10.01,9.94,9.94,3400
2025-03-11,10.07,10.14,10.02,10.02,4600
2025-03-10,10.7,10.7,10.06,10.15,2000
2025-03-07,10.28,10.28,10.28,10.28,500
2025-03-06,10.42,10.45,10.28,10.45,2000
2025-03-05,10.51,10.74,10.47,10.55,1800
2025-03-04,10.51,10.77,10.17,10.34,2500
2025-03-03,10.51,10.51,10.51,10.51,700
2025-02-28,10.51,10.51,10.51,10.51,400
2025-02-27,10.23,10.51,10.07,10.51,1000
2025-02-26,10.3,10.5,10.3,10.49,900
2025-02-25,10.18,10.3,10.18,10.3,1600
2025-02-24,10.17,10.18,10.17,10.18,800
2025-02-21,10.1,10.1,9.93,10.09,4200
2025-02-20,10.06,10.07,10.05,10.06,1800
2025-02-19,10.22,10.22,10.0,10.06,2700
2025-02-18,10.29,10.29,10.05,10.05,3300
2025-02-14,10.31,10.31,10.31,10.31,600
2025-02-13,10.25,10.25,10.25,10.25,0
2025-02-12,10.3,10.38,10.25,10.25,2900
2025-02-11,10.39,10.39,10.3,10.3,2000
2025-02-10,10.28,10.51,10.28,10.51,2900
2025-02-07,10.29,10.29,10.29,10.29,500
2025-02-06,10.27,10.27,10.27,10.27,1000
2025-02-05,10.39,10.39,10.31,10.31,1200
2025-02-04,10.18,10.46,10.18,10.3,1100
2025-02-03,10.51,10.51,10.12,10.19,1800
2025-01-31,10.47,10.47,10.35,10.35,400
2025-01-30,10.15,10.5,10.15,10.5,1800
2025-01-29,10.14,10.22,10.14,10.22,1200
2025-01-28,10.46,10.52,10.46,10.52,1200
2025-01-27,10.3,10.31,10.11,10.31,700
2025-01-24,10.39,10.51,10.39,10.51,900
2025-01-23,10.26,10.26,10.26,10.26,300
2025-01-22,10.24,10.52,10.12,10.52,2700
2025-01-21,10.15,10.45,10.07,10.35,5800
2025-01-17,10.41,10.41,10.41,10.41,200
2025-01-16,10.2,10.5,10.2,10.5,700
2025-01-15,10.29,10.35,10.24,10.35,2500
2025-01-14,10.1,10.3,10.1,10.3,1800
2025-01-13,10.53,10.57,10.13,10.16,10800
2025-01-10,10.7,10.7,10.53,10.63,1600
2025-01-08,10.56,10.64,10.53,10.64,1600
2025-01-07,10.67,10.8,10.67,10.8,600
2025-01-06,10.79,10.79,10.79,10.79,500
2025-01-03,10.54,10.81,10.52,10.8,3000
2025-01-02,10.72,10.76,10.72,10.76,700
2024-12-31,10.6,10.76,10.6,10.76,600
2024-12-30,10.83,10.83,10.42,10.76,3800
2024-12-27,10.62,10.76,10.62,10.76,600
2024-12-26,10.72,10.79,10.59,10.6,1900
2024-12-24,10.6,10.78,10.6,10.71,1300
2024-12-23,10.41,10.53,10.4,10.4,2100
2024-12-20,10.4,10.78,10.4,10.56,3000
2024-12-19,10.43,10.72,10.43,10.45,3500
2024-12-18,10.3,10.6,10.3,10.32,4100
2024-12-17,10.45,10.71,10.35,10.35,1900
2024-12-16,10.61,10.78,10.38,10.78,3100
2024-12-13,10.45,10.82,10.45,10.73,6800
2024-12-12,10.64,10.8,10.64,10.72,3700
2024-12-11,10.41,10.55,10.27,10.28,9100
2024-12-10,10.15,10.55,10.05,10.36,19000
2024-12-09,9.4,10.02,9.4,9.76,11400
2024-12-06,9.55,9.65,9.4,9.65,6300
2024-12-05,9.83,9.88,9.41,9.69,7400
2024-12-04,9.21,9.78,9.21,9.78,5400
2024-12-03,9.42,9.48,9.16,9.44,9400
2024-12-02,9.32,9.33,9.0,9.33,10600
2024-11-29,9.02,9.49,9.02,9.07,1600
2024-11-27,9.26,9.26,9.26,9.26,0
2024-11-26,9.06,9.35,9.06,9.26,9900
2024-11-25,9.22,9.33,9.01,9.21,19600
2024-11-22,9.07,9.23,9.07,9.23,800
2024-11-21,8.91,9.25,8.86,9.0,10200
2024-11-20,8.83,9.25,8.83,9.25,8300
2024-11-19,8.91,9.1,8.82,8.85,11700
2024-11-18,8.83,9.24,8.67,8.97,19900
2024-11-15,8.89,9.03,8.8,9.03,7500
2024-11-14,8.68,8.96,8.68,8.96,2200
2024-11-13,8.8,8.97,8.61,8.61,11100
2024-11-12,8.81,8.97,8.75,8.79,10300
2024-11-11,8.86,9.13,8.85,8.96,7600
2024-11-08,9.0,9.13,8.71,8.88,9400
2024-11-07,9.17,9.17,8.7,8.9,5800
2024-11-06,9.22,9.22,9.05,9.05,1000
2024-11-05,9.02,9.17,8.76,8.94,3500
2024-11-04,9.2,9.25,8.81,8.81,21100
2024-11-01,8.54,9.09,8.54,8.92,9200
2024-10-31,8.92,9.1,8.85,8.94,14300
2024-10-30,8.87,9.08,8.85,8.95,10600
2024-10-29,9.02,9.03,8.86,8.86,2000
2024-10-28,8.93,9.12,8.85,9.03,12100
2024-10-25,8.81,8.99,8.61,8.99,25100
2024-10-24,9.03,9.05,8.62,8.86,23000
2024-10-23,8.91,9.22,8.9,9.15,8600
2024-10-22,8.96,9.3,8.96,9.0,8700
2024-10-21,9.32,9.32,8.93,8.93,1700
2024-10-18,9.5,9.5,9.03,9.03,900
2024-10-17,9.21,9.49,9.09,9.49,8000
2024-10-16,9.02,9.36,9.02,9.21,15100
2024-10-15,9.04,9.15,8.81,8.81,8600
2024-10-14,9.1,9.23,8.9,9.0,15200
2024-10-11,8.98,8.98,8.98,8.98,400
2024-10-10,8.75,8.97,8.75,8.97,2900
2024-10-09,9.19,9.19,8.85,8.87,16500
2024-10-08,8.9,9.2,8.6,8.99,16500
2024-10-07,9.0,9.0,9.0,9.0,0
2024-10-04,9.0,9.17,9.0,9.0,800
2024-10-03,9.05,9.14,8.9,9.11,3000
2024-10-02,9.02,9.23,9.02,9.02,4600
2024-10-01,9.02,9.18,9.02,9.02,6900
2024-09-30,9.02,9.18,9.0,9.0,3700
2024-09-27,9.19,9.32,9.19,9.22,5000
2024-09-26,9.49,9.5,9.23,9.3,6100
2024-09-25,9.51,9.7,9.33,9.37,8600
2024-09-24,9.48,9.77,9.36,9.51,8400
2024-09-23,9.54,9.54,9.0,9.33,6700
2024-09-20,9.44,9.6,9.15,9.6,16500
2024-09-19,9.35,9.55,9.35,9.42,7300
2024-09-18,9.25,9.31,9.25,9.25,2700
2024-09-17,9.19,9.54,9.19,9.25,4500
2024-09-16,9.11,9.29,8.79,9.03,5900
2024-09-13,9.0,9.29,8.78,8.9,16600
2024-09-12,8.66,9.01,8.66,8.87,4100
2024-09-11,8.78,8.87,8.65,8.68,6000
2024-09-10,8.47,8.76,8.22,8.61,21600
2024-09-09,10.47,10.47,7.77,8.46,138800
2024-09-06,10.77,11.39,10.36,10.36,28800
2024-09-05,11.95,11.95,10.88,10.89,46600
2024-09-04,12.61,12.68,11.31,11.78,24200
2024-09-03,13.47,13.47,12.32,12.67,8300
2024-08-30,12.83,14.69,12.83,13.29,30900
2024-08-29,12.13,12.51,12.13,12.49,42300
2024-08-28,11.31,13.53,10.86,12.35,95900
2024-08-27,10.6,11.48,10.31,10.78,42600
2024-08-26,10.58,10.62,10.58,10.62,3600
2024-08-23,11.23,11.23,10.57,10.57,4900
2024-08-22,10.86,11.5,10.56,11.4,10200
2024-08-21,10.88,10.88,10.6,10.6,1900
2024-08-20,10.83,11.09,10.66,10.88,3000
2024-08-19,10.08,11.19,9.94,11.08,39000
2024-08-16,9.01,9.18,8.99,8.99,193300
2024-08-15,9.25,9.35,9.25,9.26,1800
2024-08-14,9.03,9.34,9.03,9.31,6400
2024-08-13,9.11,9.41,8.97,8.98,11200
2024-08-12,8.97,9.35,8.97,9.05,10700
2024-08-09,9.1,9.1,9.1,9.1,0
2024-08-08,9.02,9.27,8.87,9.1,5000
2024-08-07,9.56,9.56,9.02,9.02,1000
2024-08-06,9.2,9.2,9.2,9.2,300
2024-08-05,9.45,9.45,8.87,9.11,4100
2024-08-02,9.48,9.48,9.45,9.45,800
2024-08-01,9.4,9.6,9.4,9.57,1600
2024-07-31,9.25,9.38,9.25,9.38,1000
2024-07-30,9.39,9.39,9.39,9.39,800
2024-07-29,9.85,9.9,8.84,9.35,13900
2024-07-26,9.79,9.79,9.79,9.79,0
2024-07-25,9.79,9.79,9.79,9.79,300
2024-07-24,9.79,9.79,9.79,9.79,0
2024-07-23,9.79,9.79,9.79,9.79,300
2024-07-22,9.89,9.94,9.79,9.94,16600
2024-07-19,9.87,9.87,9.87,9.87,0
2024-07-18,9.85,9.88,9.81,9.87,2100
2024-07-17,9.94,9.98,9.87,9.98,2000
2024-07-16,9.88,9.88,9.87,9.87,1300
2024-07-15,9.97,10.0,9.87,9.87,2600
2024-07-12,10.04,10.05,9.96,9.99,3000
2024-07-11,10.1,10.18,10.1,10.1,1200
2024-07-10,10.05,10.13,9.96,10.03,7400
2024-07-09,9.98,10.04,9.98,10.04,3100
2024-07-08,10.0,10.0,9.98,9.98,1200
2024-07-05,9.99,10.0,9.99,10.0,2200
2024-07-03,9.93,9.93,9.93,9.93,2600
2024-07-02,10.05,10.05,9.94,9.94,900
2024-07-01,9.92,9.92,9.92,9.92,300
2024-06-28,10.04,10.04,10.04,10.04,300
2024-06-27,9.99,9.99,9.92,9.95,1600
2024-06-26,9.95,10.05,9.92,10.05,2800
2024-06-25,10.04,10.04,10.04,10.04,0
2024-06-24,10.04,10.04,10.04,10.04,400
2024-06-21,9.95,10.04,9.94,10.04,4000
2024-06-20,9.9,9.9,9.86,9.86,700
2024-06-18,9.9,9.91,9.9,9.9,1400
2024-06-17,9.9,9.98,9.9,9.92,1500
2024-06-14,10.12,10.12,9.9,9.9,2600
2024-06-13,10.13,10.13,10.13,10.13,400
2024-06-12,10.0,10.0,9.98,9.98,1000
2024-06-11,9.99,9.99,9.99,9.99,0
2024-06-10,10.07,10.07,9.99,9.99,1400
2024-06-07,9.94,9.94,9.94,9.94,300
2024-06-06,10.0,10.0,9.9,9.94,2000
2024-06-05,10.09,10.09,10.09,10.09,500
2024-06-04,10.18,10.22,10.0,10.0,9000
2024-06-03,10.21,10.21,10.15,10.15,1100
2024-05-31,10.02,10.1,10.02,10.1,2800
2024-05-30,10.16,10.22,10.02,10.03,5400
2024-05-29,10.03,10.14,10.02,10.02,9800
2024-05-28,10.14,10.33,10.03,10.06,4700
2024-05-24,10.24,10.24,10.1,10.14,3600
2024-05-23,10.25,10.35,10.18,10.27,4500
2024-05-22,10.37,10.46,10.2,10.44,2400
2024-05-21,10.41,10.46,10.35,10.37,1600
2024-05-20,10.39,10.47,10.28,10.47,3300
2024-05-17,10.4,10.47,10.28,10.35,3200
2024-05-16,10.38,10.46,10.38,10.46,700
2024-05-15,10.46,10.46,10.41,10.41,300
2024-05-14,10.34,10.34,10.34,10.34,300
2024-05-13,10.42,10.42,10.38,10.38,1600
2024-05-10,10.42,10.46,10.38,10.46,600
2024-05-09,10.4,10.47,10.38,10.38,1900
2024-05-08,10.4,10.47,10.4,10.41,1100
2024-05-07,10.47,10.47,10.38,10.38,900
2024-05-06,10.2,10.36,10.2,10.31,3300
2024-05-03,10.35,10.35,10.02,10.02,10400
2024-05-02,10.55,10.56,10.36,10.56,800
2024-05-01,10.56,10.56,10.56,10.56,1300
2024-04-30,10.56,10.56,10.51,10.51,1200
2024-04-29,10.42,10.42,10.42,10.42,400
2024-04-26,10.5,10.5,10.5,10.5,0
2024-04-25,10.52,10.52,10.5,10.5,3600
2024-04-24,10.78,10.78,10.78,10.78,200
2024-04-23,10.57,10.57,10.57,10.57,1700
2024-04-22,10.61,10.62,10.44,10.46,1600
2024-04-19,10.62,10.62,10.62,10.62,0
2024-04-18,10.62,10.62,10.62,10.62,1100
2024-04-17,10.76,10.76,10.76,10.76,500
2024-04-16,10.72,10.72,10.72,10.72,400
2024-04-15,10.77,10.77,10.75,10.75,300
2024-04-12,11.13,11.13,11.13,11.13,400
2024-04-11,10.82,10.82,10.82,10.82,400
2024-04-10,11.0,11.0,10.73,10.82,1800
2024-04-09,11.01,11.01,11.01,11.01,500
2024-04-08,11.23,11.23,11.23,11.23,500
2024-04-05,11.28,11.33,11.28,11.33,800
2024-04-04,11.3,11.33,11.3,11.33,900
2024-04-03,11.3,11.3,11.3,11.3,400
2024-04-02,11.26,11.26,11.25,11.25,700
2024-04-01,11.3,11.3,11.26,11.26,800
2024-03-28,11.26,11.26,11.26,11.26,300
2024-03-27,11.26,11.26,11.26,11.26,600
2024-03-26,11.12,11.29,11.12,11.29,5000
2024-03-25,11.25,11.32,11.25,11.32,1100
2024-03-22,11.36,11.37,11.13,11.36,1300
2024-03-21,11.27,11.27,11.08,11.23,2400
2024-03-20,10.98,11.51,10.98,11.39,3800
2024-03-19,10.76,11.0,10.76,10.82,7000
2024-03-18,10.76,10.76,10.75,10.75,800
2024-03-15,10.77,10.84,10.7,10.84,1000
2024-03-14,10.77,10.77,10.7,10.75,2400
2024-03-13,10.4,10.74,10.4,10.57,2500
2024-03-12,10.39,10.39,10.35,10.35,500
2024-03-11,10.4,10.48,10.35,10.35,1500
2024-03-08,10.43,10.59,10.43,10.59,900
2024-03-07,10.43,10.43,10.37,10.42,1900
2024-03-06,10.6,10.76,10.46,10.46,1800
2024-03-05,10.38,10.73,10.38,10.41,4400
2024-03-04,10.45,10.45,10.45,10.45,400
2024-03-01,10.64,10.77,10.45,10.45,3200
2024-02-29,10.4,10.4,10.4,10.4,0
2024-02-28,10.16,10.57,10.16,10.4,12000
2024-02-27,10.84,10.85,10.78,10.85,4600
2024-02-26,10.5,10.5,10.5,10.5,500
2024-02-23,10.57,10.6,10.56,10.56,900
2024-02-22,10.53,10.89,10.53,10.89,3000
2024-02-21,10.83,10.9,10.83,10.9,1400
2024-02-20,10.68,10.99,10.61,10.62,1800
2024-02-16,10.61,10.61,10.6,10.6,1300
2024-02-15,10.69,10.69,10.5,10.55,7700
2024-02-14,10.88,10.88,10.67,10.7,2100
2024-02-13,10.8,10.8,10.8,10.8,1300
2024-02-12,11.0,11.0,10.81,10.81,700
2024-02-09,10.85,10.85,10.78,10.78,1400
2024-02-08,10.81,10.89,10.81,10.81,900
2024-02-07,11.0,11.0,10.75,11.0,3200
2024-02-06,10.98,11.0,10.91,10.91,1300
2024-02-05,10.82,10.98,10.82,10.98,600
2024-02-02,11.0,11.0,10.78,10.88,2300
2024-02-01,10.82,10.82,10.82,10.82,600
2024-01-31,10.81,10.81,10.81,10.81,1200
2024-01-30,11.03,11.04,10.89,10.95,2400
2024-01-29,10.89,11.06,10.85,10.97,2800
2024-01-26,10.95,10.95,10.95,10.95,500
2024-01-25,10.92,11.05,10.77,11.05,4100
2024-01-24,10.8,10.92,10.75,10.92,2900
2024-01-23,10.84,10.92,10.8,10.8,1900
2024-01-22,11.19,11.19,10.77,10.8,6700
2024-01-19,10.92,11.15,10.92,11.14,1300
2024-01-18,11.06,11.06,10.99,10.99,1800
2024-01-17,11.1,11.18,11.1,11.13,3700
2024-01-16,11.14,11.29,11.09,11.19,1100
2024-01-12,11.13,11.13,11.09,11.09,2300
2024-01-11,11.4,11.4,11.2,11.2,2700
2024-01-10,11.5,11.5,11.48,11.48,3700
2024-01-09,11.48,11.48,11.48,11.48,0
2024-01-08,11.47,11.56,11.47,11.48,2800
2024-01-05,11.72,11.72,11.64,11.67,2300
2024-01-04,11.23,11.71,10.8,11.71,8100
2024-01-03,11.19,11.19,11.09,11.15,1100
