Date,Open,High,Low,Close,Volume
2025-03-20,0.69,0.69,0.61,0.67,78715
2025-03-19,0.68,0.73,0.63,0.65,21500
2025-03-18,0.69,0.69,0.62,0.66,63900
2025-03-17,0.64,0.69,0.58,0.68,122200
2025-03-14,0.58,0.64,0.55,0.61,137400
2025-03-13,0.73,0.8,0.52,0.6,256300
2025-03-12,0.8,0.81,0.61,0.74,319400
2025-03-11,0.77,0.84,0.74,0.74,53400
2025-03-10,0.8,0.85,0.75,0.81,124400
2025-03-07,0.82,0.87,0.73,0.79,96800
2025-03-06,0.88,0.95,0.8,0.85,157700
2025-03-05,0.88,0.95,0.84,0.88,209300
2025-03-04,0.95,0.95,0.86,0.88,260400
2025-03-03,0.95,1.03,0.82,0.98,234000
2025-02-28,0.89,0.98,0.86,0.93,201300
2025-02-27,1.02,1.1,0.88,0.88,804200
2025-02-26,1.07,1.14,0.97,1.1,165400
2025-02-25,0.95,1.24,0.94,1.08,1779500
2025-02-24,0.93,0.96,0.83,0.95,109800
2025-02-21,0.82,0.93,0.77,0.93,4326900
2025-02-20,0.9,0.96,0.81,0.82,222900
2025-02-19,0.88,0.94,0.88,0.91,14200
2025-02-18,0.95,0.98,0.87,0.9,88900
2025-02-14,0.97,0.99,0.84,0.94,163500
2025-02-13,0.85,0.95,0.78,0.91,262400
2025-02-12,0.89,0.94,0.8,0.85,177000
2025-02-11,0.87,0.94,0.81,0.89,188700
2025-02-10,0.94,0.99,0.83,0.88,89600
2025-02-07,0.9,1.07,0.9,0.91,251600
2025-02-06,1.03,1.1,0.93,0.93,100300
2025-02-05,1.03,1.09,1.02,1.04,35300
2025-02-04,1.01,1.09,1.01,1.06,55200
2025-02-03,1.03,1.06,0.95,1.04,131500
2025-01-31,0.88,1.04,0.82,1.03,289100
2025-01-30,0.99,1.02,0.82,0.82,152400
2025-01-29,0.92,1.02,0.9,0.95,213800
2025-01-28,0.95,1.0,0.92,0.92,52300
2025-01-27,1.02,1.08,0.91,0.96,118500
2025-01-24,1.1,1.1,1.0,1.01,103600
2025-01-23,1.11,1.11,1.0,1.08,219000
2025-01-22,1.1,1.19,1.1,1.14,96600
2025-01-21,1.18,1.18,1.0,1.13,192100
2025-01-17,1.19,1.27,1.16,1.16,174700
2025-01-16,1.32,1.32,1.18,1.18,49300
2025-01-15,1.25,1.32,1.21,1.24,105100
2025-01-14,1.36,1.46,1.17,1.29,278200
2025-01-13,1.41,1.49,1.35,1.41,35800
2025-01-10,1.27,1.5,1.26,1.44,215700
2025-01-08,1.44,1.44,1.23,1.31,106000
2025-01-07,1.46,1.57,1.35,1.37,93800
