Date,Open,High,Low,Close,Volume
2025-03-21,4.6,4.62,4.53,4.53,45500
2025-03-20,4.57,4.69,4.55,4.64,26000
2025-03-19,4.69,4.69,4.52,4.52,16300
2025-03-18,4.54,4.7,4.51,4.64,41600
2025-03-17,4.32,4.62,4.32,4.55,30400
2025-03-14,4.31,4.49,4.31,4.43,67400
2025-03-13,4.34,4.42,4.29,4.31,28500
2025-03-12,4.26,4.39,4.22,4.32,18800
2025-03-11,4.29,4.32,4.17,4.22,37700
2025-03-10,4.43,4.49,4.25,4.32,21000
2025-03-07,4.48,4.5,4.32,4.41,27300
2025-03-06,4.58,4.61,4.31,4.4,40400
2025-03-05,4.31,4.5,4.22,4.5,36200
2025-03-04,4.31,4.31,4.13,4.3,45300
2025-03-03,4.47,4.47,4.31,4.32,28600
2025-02-28,4.75,4.78,4.35,4.49,103600
2025-02-27,4.79,4.79,4.71,4.76,45200
2025-02-26,4.64,4.78,4.59,4.78,66500
2025-02-25,4.65,4.65,4.48,4.58,81900
2025-02-24,4.65,4.66,4.46,4.59,122800
2025-02-21,4.42,4.59,4.42,4.58,40700
2025-02-20,4.42,4.53,4.38,4.46,34200
2025-02-19,4.49,4.54,4.44,4.49,39400
2025-02-18,4.37,4.5,4.3,4.46,41800
2025-02-14,4.29,4.55,4.25,4.45,90300
2025-02-13,4.15,4.29,4.13,4.24,12000
2025-02-12,4.24,4.24,4.1,4.15,44400
2025-02-11,4.16,4.24,4.06,4.17,34200
2025-02-10,4.1,4.22,4.0,4.19,42800
2025-02-07,4.16,4.16,4.0,4.1,25100
2025-02-06,4.15,4.22,4.08,4.1,9700
2025-02-05,4.12,4.18,4.08,4.1,7200
2025-02-04,4.03,4.18,4.02,4.18,21200
2025-02-03,4.0,4.05,3.82,4.04,31500
2025-01-31,4.23,4.23,4.03,4.05,23400
2025-01-30,4.15,4.3,4.09,4.18,28300
2025-01-29,4.18,4.19,4.03,4.15,11200
2025-01-28,4.33,4.35,4.05,4.12,21700
2025-01-27,4.05,4.26,4.03,4.16,68400
2025-01-24,4.06,4.19,4.01,4.05,63800
2025-01-23,3.94,4.03,3.94,3.98,13400
2025-01-22,3.93,3.99,3.88,3.98,16000
2025-01-21,3.99,4.0,3.9,3.99,16900
2025-01-17,3.85,4.01,3.85,3.94,18800
2025-01-16,3.89,3.97,3.89,3.89,10800
2025-01-15,4.05,4.05,3.89,3.93,12900
2025-01-14,3.95,4.06,3.94,3.94,26400
2025-01-13,3.82,3.97,3.82,3.95,21600
2025-01-10,3.91,3.93,3.79,3.86,47200
2025-01-08,3.92,4.03,3.87,3.96,19900
2025-01-07,4.04,4.11,3.86,3.98,31600
2025-01-06,4.05,4.16,4.03,4.03,22100
2025-01-03,4.19,4.19,4.05,4.08,13200
2025-01-02,4.14,4.19,4.02,4.08,19600
2024-12-31,3.95,4.15,3.95,4.1,27300
2024-12-30,3.93,4.1,3.92,4.09,29100
2024-12-27,4.03,4.18,3.95,4.04,60600
2024-12-26,4.05,4.21,3.98,4.09,28200
2024-12-24,4.06,4.06,3.95,4.01,14900
2024-12-23,4.0,4.07,3.91,3.96,44600
2024-12-20,3.88,4.17,3.88,4.13,69400
2024-12-19,4.0,4.0,3.78,3.87,46800
2024-12-18,3.98,3.99,3.76,3.88,93100
2024-12-17,4.24,4.24,3.88,3.9,111800
2024-12-16,4.37,4.4,4.15,4.19,39000
2024-12-13,4.36,4.42,4.28,4.38,11800
2024-12-12,4.39,4.45,4.31,4.43,8300
2024-12-11,4.4,4.52,4.34,4.42,50300
2024-12-10,4.47,4.47,4.32,4.43,23100
2024-12-09,4.4,4.58,4.4,4.5,60100
2024-12-06,4.5,4.5,4.26,4.38,37200
2024-12-05,4.37,4.5,4.34,4.5,34000
2024-12-04,4.33,4.44,4.33,4.36,26000
2024-12-03,4.41,4.49,4.22,4.38,64800
2024-12-02,4.44,4.54,4.32,4.4,43700
2024-11-29,4.35,4.57,4.35,4.44,58700
2024-11-27,4.32,4.35,4.29,4.34,28600
2024-11-26,4.36,4.56,4.25,4.31,25200
2024-11-25,4.3,4.48,4.28,4.35,27900
2024-11-22,4.35,4.48,4.33,4.36,16500
2024-11-21,4.44,4.59,4.33,4.44,20200
2024-11-20,4.45,4.61,4.31,4.49,30700
2024-11-19,4.65,4.68,4.47,4.47,17900
2024-11-18,4.69,4.81,4.5,4.62,77800
2024-11-15,4.21,4.49,4.21,4.33,25800
2024-11-14,4.16,4.39,4.16,4.25,34500
2024-11-13,4.45,4.58,4.29,4.41,82500
2024-11-12,4.65,4.79,4.61,4.62,74200
2024-11-11,4.66,4.8,4.65,4.7,63100
2024-11-08,4.74,4.79,4.64,4.68,31200
2024-11-07,4.63,4.79,4.62,4.73,51700
2024-11-06,4.53,4.75,4.35,4.63,63100
2024-11-05,4.5,4.7,4.47,4.63,94200
2024-11-04,4.64,4.64,4.42,4.46,47000
2024-11-01,4.56,4.71,4.48,4.64,86000
2024-10-31,4.37,4.6,4.3,4.54,76900
2024-10-30,4.51,4.54,4.34,4.4,19600
2024-10-29,4.63,4.69,4.51,4.51,82900
2024-10-28,4.35,4.6,4.3,4.57,205200
2024-10-25,4.17,4.4,4.16,4.3,91900
2024-10-24,4.15,4.23,4.13,4.18,17700
2024-10-23,4.18,4.18,4.09,4.15,29400
2024-10-22,4.24,4.3,4.15,4.15,43900
2024-10-21,4.21,4.29,4.15,4.2,33000
2024-10-18,4.32,4.33,4.19,4.29,68800
2024-10-17,4.3,4.3,4.19,4.19,33500
2024-10-16,4.19,4.32,4.12,4.23,40700
2024-10-15,4.27,4.38,4.04,4.23,86100
2024-10-14,4.47,4.51,4.3,4.4,41000
2024-10-11,4.38,4.58,4.3,4.52,36300
2024-10-10,4.4,4.5,4.29,4.33,29500
2024-10-09,4.33,4.5,4.3,4.35,58100
2024-10-08,4.62,4.62,4.31,4.33,127700
2024-10-07,4.78,4.79,4.57,4.65,99600
2024-10-04,4.66,4.82,4.63,4.7,91000
2024-10-03,4.8,4.82,4.45,4.69,193900
2024-10-02,4.95,4.97,4.63,4.79,168300
2024-10-01,4.67,4.75,4.25,4.71,170600
2024-09-30,4.15,4.63,4.14,4.6,439200
2024-09-27,3.84,4.04,3.71,3.99,178900
2024-09-26,3.83,3.86,3.63,3.85,93300
2024-09-25,3.64,3.75,3.62,3.69,14500
2024-09-24,3.74,3.9,3.62,3.67,100500
2024-09-23,3.6,3.79,3.55,3.74,96400
2024-09-20,3.5,3.6,3.49,3.59,50800
2024-09-19,3.6,3.6,3.51,3.52,16000
2024-09-18,3.47,3.58,3.47,3.51,14700
2024-09-17,3.46,3.66,3.46,3.49,47100
2024-09-16,3.47,3.57,3.45,3.5,13200
2024-09-13,3.5,3.55,3.45,3.48,11500
2024-09-12,3.49,3.56,3.49,3.49,20000
2024-09-11,3.46,3.55,3.43,3.48,26600
2024-09-10,3.46,3.5,3.42,3.45,8100
2024-09-09,3.5,3.53,3.42,3.42,46600
2024-09-06,3.54,3.54,3.48,3.48,13400
2024-09-05,3.55,3.6,3.42,3.56,51400
2024-09-04,3.62,3.64,3.56,3.59,25500
2024-09-03,3.67,3.67,3.61,3.63,8500
2024-08-30,3.68,3.74,3.65,3.65,13900
2024-08-29,3.75,3.77,3.66,3.66,29100
2024-08-28,3.7,3.71,3.65,3.68,23200
2024-08-27,3.66,3.81,3.63,3.7,31800
2024-08-26,3.8,3.82,3.64,3.66,22400
2024-08-23,3.71,3.86,3.65,3.77,40900
2024-08-22,3.76,3.85,3.75,3.75,33300
2024-08-21,3.63,3.84,3.62,3.76,75000
2024-08-20,3.7,3.75,3.6,3.62,24000
2024-08-19,3.62,3.75,3.62,3.69,37300
2024-08-16,3.7,3.73,3.55,3.62,83300
2024-08-15,3.67,3.88,3.67,3.69,15500
2024-08-14,3.86,3.95,3.62,3.67,53600
2024-08-13,3.96,4.04,3.81,3.98,166600
2024-08-12,3.71,3.93,3.65,3.78,86100
2024-08-09,3.69,3.69,3.63,3.66,18800
2024-08-08,3.56,3.72,3.56,3.68,26400
2024-08-07,3.74,3.74,3.53,3.56,36900
2024-08-06,3.59,3.69,3.58,3.66,15500
2024-08-05,3.55,3.75,3.34,3.7,140300
2024-08-02,3.73,3.73,3.6,3.69,61400
2024-08-01,3.76,3.89,3.76,3.78,65800
2024-07-31,3.95,4.07,3.87,3.87,93400
2024-07-30,3.93,4.11,3.69,4.08,237700
2024-07-29,3.97,4.13,3.92,4.05,245300
2024-07-26,3.81,3.92,3.55,3.85,139100
2024-07-25,3.65,3.8,3.59,3.78,89900
2024-07-24,3.6,3.73,3.52,3.66,54900
2024-07-23,3.72,3.72,3.44,3.65,116000
2024-07-22,3.55,3.84,3.44,3.75,426100
2024-07-19,3.21,3.56,3.18,3.44,958700
2024-07-18,2.86,3.0,2.86,2.93,21700
2024-07-17,2.88,2.96,2.86,2.91,55100
2024-07-16,2.93,3.12,2.92,2.97,29600
2024-07-15,2.93,3.01,2.92,2.96,23600
2024-07-12,2.86,2.98,2.85,2.93,47800
2024-07-11,2.96,3.03,2.91,2.95,17100
2024-07-10,2.93,2.95,2.89,2.91,26000
2024-07-09,2.92,2.97,2.91,2.93,8800
2024-07-08,2.94,2.99,2.91,2.96,12900
2024-07-05,2.87,3.03,2.86,2.92,37600
2024-07-03,2.86,3.04,2.86,2.96,47600
2024-07-02,2.92,2.98,2.87,2.91,60500
2024-07-01,2.92,3.06,2.92,3.01,37600
2024-06-28,3.03,3.06,2.92,2.96,26000
2024-06-27,3.13,3.16,2.99,3.0,39700
2024-06-26,3.09,3.13,3.09,3.13,5900
2024-06-25,3.1,3.18,3.1,3.13,19500
2024-06-24,3.14,3.18,3.09,3.14,15600
2024-06-21,3.1,3.2,3.1,3.18,9200
2024-06-20,3.16,3.27,3.09,3.09,43600
2024-06-18,3.26,3.31,3.21,3.21,32200
2024-06-17,3.27,3.42,3.21,3.23,36800
2024-06-14,3.26,3.35,3.14,3.19,39700
2024-06-13,3.26,3.41,3.24,3.27,14700
2024-06-12,3.34,3.42,3.23,3.23,14300
2024-06-11,3.43,3.44,3.3,3.31,25000
2024-06-10,3.32,3.5,3.27,3.45,44900
2024-06-07,3.27,3.32,3.22,3.32,24600
2024-06-06,3.27,3.32,3.25,3.25,22800
2024-06-05,3.46,3.54,3.22,3.3,67900
2024-06-04,3.41,3.53,3.4,3.49,60600
2024-06-03,3.16,3.42,3.16,3.41,148300
2024-05-31,3.13,3.18,3.08,3.16,22400
2024-05-30,3.12,3.17,3.11,3.17,33200
2024-05-29,3.07,3.15,3.05,3.1,38900
2024-05-28,3.03,3.09,3.01,3.07,49800
2024-05-24,2.95,3.08,2.95,3.06,48300
2024-05-23,3.07,3.07,2.91,2.91,35700
2024-05-22,3.07,3.1,2.99,3.01,19200
2024-05-21,3.01,3.09,3.01,3.03,24000
2024-05-20,2.94,3.14,2.93,3.06,85500
2024-05-17,2.94,2.96,2.91,2.96,37600
2024-05-16,2.92,2.96,2.92,2.96,33300
2024-05-15,2.96,2.96,2.89,2.94,44600
2024-05-14,3.0,3.0,2.86,2.88,146700
2024-05-13,2.94,2.96,2.86,2.86,63800
2024-05-10,2.95,2.96,2.86,2.94,38700
2024-05-09,2.98,2.98,2.84,2.91,14200
2024-05-08,2.96,2.96,2.89,2.96,18600
2024-05-07,2.89,2.96,2.86,2.91,26200
2024-05-06,2.96,2.96,2.86,2.88,32100
2024-05-03,2.97,3.0,2.89,2.96,46200
2024-05-02,2.96,2.97,2.86,2.89,63500
2024-05-01,2.94,2.99,2.89,2.93,8600
2024-04-30,3.01,3.01,2.91,2.96,21600
2024-04-29,2.94,3.01,2.94,2.99,33900
2024-04-26,2.98,2.98,2.94,2.95,11400
2024-04-25,2.96,2.99,2.89,2.98,28200
2024-04-24,3.03,3.06,2.95,2.98,16100
2024-04-23,2.97,3.03,2.94,3.03,18700
2024-04-22,3.09,3.09,2.93,2.94,32600
2024-04-19,3.1,3.1,2.99,3.05,17200
2024-04-18,3.05,3.08,3.05,3.08,62000
2024-04-17,2.92,3.0,2.86,2.96,19500
2024-04-16,2.92,2.96,2.86,2.91,39000
2024-04-15,3.06,3.11,2.96,2.96,23500
2024-04-12,3.16,3.16,2.97,3.15,32900
2024-04-11,3.21,3.21,3.12,3.16,18600
2024-04-10,3.2,3.21,3.13,3.16,29500
2024-04-09,3.21,3.21,3.13,3.21,46700
2024-04-08,3.1,3.12,3.07,3.12,38500
2024-04-05,3.14,3.15,3.07,3.11,67800
2024-04-04,3.02,3.11,3.02,3.05,92500
2024-04-03,3.0,3.0,2.93,2.93,29200
2024-04-02,3.06,3.06,2.94,2.97,53500
2024-04-01,3.06,3.06,2.96,3.03,107100
2024-03-28,2.95,3.03,2.88,2.96,129700
2024-03-27,2.71,2.84,2.71,2.81,48800
2024-03-26,2.73,2.78,2.71,2.71,22800
2024-03-25,2.78,2.82,2.76,2.76,19500
2024-03-22,2.85,2.85,2.76,2.81,42200
2024-03-21,2.93,2.93,2.84,2.84,23400
2024-03-20,2.83,2.96,2.82,2.89,40900
2024-03-19,2.83,2.83,2.8,2.82,14500
2024-03-18,2.84,2.84,2.8,2.82,20100
2024-03-15,2.74,2.84,2.74,2.84,37300
2024-03-14,2.8,2.83,2.74,2.74,35100
2024-03-13,2.79,2.84,2.76,2.83,25500
2024-03-12,2.77,2.83,2.72,2.76,27400
2024-03-11,2.73,2.81,2.73,2.76,20800
2024-03-08,2.75,2.77,2.71,2.74,23200
2024-03-07,2.7,2.76,2.7,2.7,24100
2024-03-06,2.74,2.76,2.71,2.74,34300
2024-03-05,2.68,2.76,2.68,2.72,20300
2024-03-04,2.71,2.77,2.67,2.72,27300
2024-03-01,2.7,2.77,2.69,2.75,26200
2024-02-29,2.71,2.75,2.69,2.7,50100
2024-02-28,2.74,2.76,2.67,2.69,23000
2024-02-27,2.67,2.73,2.67,2.71,14900
2024-02-26,2.74,2.76,2.67,2.67,24700
2024-02-23,2.67,2.75,2.65,2.75,26000
2024-02-22,2.83,2.87,2.66,2.67,75400
2024-02-21,2.88,2.9,2.76,2.76,26300
2024-02-20,2.96,2.96,2.84,2.87,48200
2024-02-16,2.75,2.96,2.75,2.95,54400
