Date,Open,High,Low,Close,Volume
2025-03-13,86.46,86.46,81.73,81.79,240389
2025-03-12,88.43,88.5,83.6,86.46,1241500
2025-03-11,86.67,89.2,85.37,87.63,640800
2025-03-10,86.03,89.24,86.03,87.37,1018500
2025-03-07,82.86,87.88,82.56,87.18,1149600
2025-03-06,83.4,83.97,81.47,82.65,1692800
2025-03-05,87.91,88.68,84.01,84.19,1020600
2025-03-04,89.54,90.01,87.66,88.54,973000
2025-03-03,90.46,91.49,88.9,90.46,780200
2025-02-28,89.6,91.15,89.29,90.39,1191500
2025-02-27,87.92,89.86,86.78,88.78,958000
2025-02-26,90.28,94.41,86.71,87.89,1669800
2025-02-25,89.34,90.22,86.76,88.07,1075700
2025-02-24,91.27,92.35,89.2,89.34,756700
2025-02-21,90.96,91.64,88.35,91.04,950100
2025-02-20,91.2,91.95,88.63,90.11,985600
2025-02-19,90.95,92.93,89.16,92.04,1142100
2025-02-18,95.33,96.11,88.12,90.96,2347300
2025-02-14,108.11,108.92,94.0,95.1,2081500
2025-02-13,106.65,109.33,104.15,108.6,1012300
2025-02-12,112.6,115.94,106.02,106.15,1267300
2025-02-11,109.74,114.15,109.74,113.98,725800
2025-02-10,109.63,110.34,106.55,109.41,594600
2025-02-07,109.12,110.5,107.36,108.3,703300
2025-02-06,107.59,110.08,107.55,108.77,545900
2025-02-05,107.3,107.87,105.81,106.78,871000
2025-02-04,106.75,109.33,106.19,107.64,1078400
2025-02-03,107.0,109.11,105.33,106.7,960600
2025-01-31,113.68,113.68,102.9,107.9,1947400
2025-01-30,112.73,116.36,111.6,115.8,604400
2025-01-29,110.24,112.77,109.88,112.38,704900
2025-01-28,108.24,111.28,108.24,109.72,686600
2025-01-27,104.97,108.77,104.97,107.92,695000
2025-01-24,108.53,109.13,103.5,105.27,919600
2025-01-23,110.26,112.64,108.61,109.0,568300
2025-01-22,112.5,113.21,110.39,110.53,442900
2025-01-21,113.11,114.85,110.31,112.7,574900
2025-01-17,110.67,112.87,110.4,112.11,583800
2025-01-16,110.54,112.18,109.54,110.41,654500
2025-01-15,109.78,111.73,107.41,111.0,944700
2025-01-14,106.85,109.22,105.9,108.5,854500
2025-01-13,101.05,106.17,100.84,105.57,1168100
2025-01-10,103.98,105.02,100.1,100.57,1041500
2025-01-08,108.31,111.02,102.14,103.33,1826100
2025-01-07,103.36,104.71,102.14,102.29,967800
2025-01-06,106.1,106.71,102.21,103.35,587000
2025-01-03,104.18,106.32,103.65,106.1,413600
2025-01-02,101.42,104.38,101.18,104.22,412500
2024-12-31,101.35,103.05,100.77,101.54,356700
2024-12-30,100.07,102.2,99.9,100.66,449000
2024-12-27,100.06,100.48,97.39,99.79,413100
2024-12-26,100.91,101.4,99.57,100.7,603400
2024-12-24,98.92,101.41,98.9,101.37,205400
2024-12-23,101.6,101.68,97.13,99.24,638700
2024-12-20,101.65,103.89,100.92,101.51,1905200
2024-12-19,102.6,104.12,101.35,102.97,1051900
2024-12-18,104.7,106.19,101.79,102.14,606200
2024-12-17,109.9,110.06,104.59,105.23,762000
2024-12-16,107.28,112.53,107.28,110.74,800500
2024-12-13,104.76,106.77,104.62,106.67,592200
2024-12-12,104.27,105.36,103.54,104.47,593900
2024-12-11,103.34,104.56,101.68,104.34,629400
2024-12-10,100.44,103.88,100.09,102.8,566800
2024-12-09,98.18,100.63,98.18,100.43,579100
2024-12-06,96.35,98.28,95.39,97.89,447800
2024-12-05,96.03,96.91,94.32,96.0,382100
2024-12-04,97.22,97.37,95.04,95.95,496800
