Date,Open,High,Low,Close,Volume
2025-03-19,388.68,403.19,388.68,402.23,350253
2025-03-18,397.65,397.65,386.04,386.89,196900
2025-03-17,392.51,402.07,391.04,399.68,271000
2025-03-14,388.73,396.34,381.33,395.63,327300
2025-03-13,402.07,404.99,384.06,385.02,519900
2025-03-12,392.45,412.21,388.54,402.07,798000
2025-03-11,380.0,387.45,372.09,378.71,576400
2025-03-10,394.37,395.43,380.49,381.68,511600
2025-03-07,394.0,399.32,382.41,398.73,348500
2025-03-06,400.69,406.09,394.23,395.3,341200
2025-03-05,408.33,408.33,400.08,404.82,246800
2025-03-04,404.72,412.5,402.14,408.03,258500
2025-03-03,413.85,419.43,406.84,408.0,251000
2025-02-28,410.74,414.68,408.14,414.21,226900
2025-02-27,417.24,419.43,408.48,409.09,181000
2025-02-26,419.55,423.41,412.92,416.0,417800
2025-02-25,413.6,423.89,413.6,422.74,323600
2025-02-24,406.51,416.79,404.56,414.56,268900
2025-02-21,420.18,420.18,403.1,405.59,481900
2025-02-20,422.71,424.85,418.84,420.54,264500
2025-02-19,423.1,429.35,423.1,426.21,239000
2025-02-18,431.8,434.31,424.87,425.98,324300
2025-02-14,443.69,445.17,431.85,432.17,270800
2025-02-13,440.06,443.22,435.03,442.54,305400
2025-02-12,423.67,437.03,423.3,435.35,257300
2025-02-11,432.19,433.46,424.36,427.55,263200
2025-02-10,427.7,432.84,425.89,432.17,332800
2025-02-07,437.29,437.29,426.41,426.82,350700
2025-02-06,432.49,438.54,430.74,435.27,374800
2025-02-05,420.99,429.74,419.31,429.42,242100
2025-02-04,417.23,424.34,417.23,420.99,178600
2025-02-03,413.19,422.64,410.98,419.58,330100
2025-01-31,422.34,422.96,417.11,421.27,314000
2025-01-30,422.67,426.3,419.85,422.56,252200
2025-01-29,415.01,422.12,415.01,419.09,232100
2025-01-28,419.5,420.4,410.43,415.21,320600
2025-01-27,406.07,420.41,406.07,419.49,275000
2025-01-24,406.28,411.25,403.69,410.76,250800
2025-01-23,399.84,408.89,398.73,407.31,300500
2025-01-22,403.03,403.03,398.11,400.73,144600
2025-01-21,392.25,403.9,391.71,401.93,254700
2025-01-17,393.38,393.38,387.07,391.05,266900
2025-01-16,390.14,393.05,383.03,390.52,284700
2025-01-15,401.62,402.52,389.91,390.84,247800
2025-01-14,393.15,399.54,393.01,394.53,271900
2025-01-13,381.85,392.45,379.55,392.07,262300
2025-01-10,388.38,389.79,380.52,385.6,313200
2025-01-08,388.81,390.74,385.68,390.38,163300
2025-01-07,395.89,396.58,388.37,388.85,223400
2025-01-06,398.43,402.11,394.87,396.29,241700
2025-01-03,393.68,399.43,391.91,397.46,171200
2025-01-02,397.77,400.76,393.86,394.18,202600
2024-12-31,398.72,403.87,395.58,395.76,195300
2024-12-30,399.4,400.79,396.65,398.23,128300
2024-12-27,402.0,405.5,401.12,403.5,134600
2024-12-26,403.19,407.07,401.55,405.0,177300
2024-12-24,399.81,403.21,396.23,403.19,64100
2024-12-23,400.52,400.8,394.97,399.09,205100
2024-12-20,408.76,412.3,402.03,402.68,765300
2024-12-19,406.26,412.58,404.19,408.66,219000
2024-12-18,420.27,420.98,404.51,405.68,288900
2024-12-17,421.89,426.55,417.33,420.89,224800
2024-12-16,422.56,427.62,422.56,424.01,265000
2024-12-13,423.22,427.35,422.94,424.77,187700
2024-12-12,426.86,430.05,422.54,425.2,192100
2024-12-11,419.26,439.16,419.26,427.3,391600
2024-12-10,419.09,428.41,405.84,416.37,482000
2024-12-09,424.88,425.2,411.86,417.61,474100
2024-12-06,419.76,423.88,419.27,421.77,267700
2024-12-05,416.95,421.46,414.1,419.57,162800
2024-12-04,419.29,421.53,414.48,415.28,187800
2024-12-03,422.35,422.96,413.95,417.03,269300
2024-12-02,421.15,423.05,417.63,420.58,205100
2024-11-29,423.67,423.67,419.16,420.39,82500
2024-11-27,428.16,428.54,417.13,420.48,213300
2024-11-26,423.45,427.21,421.11,425.98,199400
2024-11-25,429.9,435.08,425.16,426.18,283300
2024-11-22,417.87,428.1,416.74,427.37,274800
2024-11-21,415.89,418.32,409.79,415.91,162100
2024-11-20,412.29,415.07,407.17,413.46,161500
2024-11-19,403.58,411.78,403.51,411.18,172200
2024-11-18,401.11,405.13,398.85,404.12,164900
2024-11-15,402.54,406.39,396.06,400.92,189500
2024-11-14,410.98,411.34,401.71,405.23,245800
2024-11-13,417.69,417.69,408.47,408.62,260400
2024-11-12,412.57,417.87,409.72,416.57,187200
2024-11-11,412.01,414.58,408.98,410.48,202300
2024-11-08,413.51,419.77,411.9,412.36,229700
2024-11-07,410.26,416.11,407.65,412.88,176400
2024-11-06,408.59,415.64,404.17,408.69,279000
2024-11-05,377.15,397.02,377.15,396.43,258300
2024-11-04,387.66,393.44,378.99,380.63,302100
2024-11-01,393.05,396.27,391.94,392.72,196200
2024-10-31,397.28,397.61,391.68,393.05,195300
