Date,Open,High,Low,Close,Volume
2025-03-19,0.96,0.96,0.91,0.93,594070
2025-03-18,1.0,1.0,0.91,0.95,479700
2025-03-17,0.96,1.03,0.96,1.0,582100
2025-03-14,1.0,1.0,0.96,0.98,403700
2025-03-13,1.12,1.13,0.98,0.99,546800
2025-03-12,1.12,1.23,1.11,1.14,348400
2025-03-11,1.11,1.15,1.06,1.13,282000
2025-03-10,1.16,1.21,1.09,1.11,458800
2025-03-07,1.08,1.21,1.08,1.16,405900
2025-03-06,1.29,1.29,1.1,1.1,887600
2025-03-05,1.42,1.49,1.24,1.31,970700
2025-03-04,1.35,1.54,1.32,1.4,1621600
2025-03-03,1.3,1.49,1.29,1.37,1779600
2025-02-28,1.16,1.36,0.98,1.24,1228400
2025-02-27,1.21,1.33,1.16,1.17,1704300
2025-02-26,1.01,1.5,0.99,1.13,7232800
2025-02-25,1.02,1.07,0.93,1.04,1284500
2025-02-24,0.91,1.2,0.9,1.15,2675700
2025-02-21,0.92,0.92,0.89,0.91,302600
2025-02-20,0.87,0.92,0.86,0.88,372000
2025-02-19,0.87,0.88,0.86,0.86,139600
2025-02-18,0.86,0.89,0.85,0.86,217300
2025-02-14,0.9,0.91,0.86,0.88,185500
2025-02-13,0.9,0.93,0.88,0.89,575300
2025-02-12,0.88,0.89,0.86,0.87,95500
2025-02-11,0.88,0.89,0.85,0.87,71100
2025-02-10,0.87,0.88,0.84,0.86,168300
2025-02-07,0.86,0.88,0.83,0.84,186100
2025-02-06,0.87,0.89,0.86,0.86,106400
2025-02-05,0.85,0.89,0.85,0.86,139600
2025-02-04,0.89,0.9,0.85,0.86,167900
2025-02-03,0.85,0.9,0.85,0.86,121900
2025-01-31,0.89,0.9,0.85,0.88,212100
2025-01-30,0.94,0.94,0.86,0.89,195100
2025-01-29,0.93,0.93,0.88,0.91,189000
2025-01-28,0.91,0.94,0.91,0.92,206700
2025-01-27,0.87,0.97,0.85,0.93,563400
2025-01-24,0.87,0.9,0.86,0.89,156600
2025-01-23,0.88,0.88,0.84,0.87,327600
2025-01-22,0.87,0.9,0.86,0.87,247600
2025-01-21,0.89,0.89,0.85,0.88,213900
2025-01-17,0.89,0.9,0.87,0.87,116900
2025-01-16,0.89,0.9,0.84,0.86,151900
2025-01-15,0.88,0.91,0.83,0.89,264500
2025-01-14,0.9,0.93,0.87,0.89,247000
2025-01-13,0.88,0.93,0.86,0.9,220400
2025-01-10,0.91,0.92,0.88,0.91,388800
2025-01-08,0.9,0.95,0.88,0.88,294800
2025-01-07,0.91,0.95,0.89,0.92,323800
2025-01-06,0.9,0.96,0.89,0.95,786000
2025-01-03,0.88,0.92,0.86,0.91,284100
2025-01-02,0.89,0.96,0.88,0.88,330000
2024-12-31,0.85,0.89,0.82,0.89,291000
2024-12-30,0.9,0.9,0.84,0.86,378000
2024-12-27,0.88,0.95,0.87,0.9,809600
2024-12-26,0.86,0.89,0.84,0.87,499600
2024-12-24,0.87,0.87,0.82,0.83,117500
2024-12-23,0.83,0.86,0.81,0.86,381700
2024-12-20,0.78,0.83,0.77,0.83,234100
2024-12-19,0.76,0.77,0.72,0.77,267500
2024-12-18,0.77,0.81,0.76,0.79,138600
2024-12-17,0.76,0.79,0.75,0.77,60100
2024-12-16,0.79,0.82,0.75,0.77,127600
2024-12-13,0.82,0.84,0.77,0.78,186800
2024-12-12,0.84,0.84,0.77,0.81,151100
2024-12-11,0.84,0.85,0.82,0.82,71500
2024-12-10,0.84,0.85,0.83,0.84,39300
2024-12-09,0.82,0.9,0.82,0.86,255900
2024-12-06,0.84,0.86,0.82,0.83,60700
2024-12-05,0.84,0.86,0.82,0.84,41600
