Date,Open,High,Low,Close,Volume
2025-03-13,0.41,0.43,0.39,0.4,134034
2025-03-12,0.42,0.42,0.39,0.41,594800
2025-03-11,0.4,0.43,0.39,0.4,723400
2025-03-10,0.44,0.45,0.41,0.41,1028800
2025-03-07,0.45,0.49,0.42,0.45,912500
2025-03-06,0.47,0.52,0.45,0.46,1339100
2025-03-05,0.41,0.49,0.41,0.46,1418300
2025-03-04,0.41,0.43,0.39,0.42,862800
2025-03-03,0.44,0.47,0.39,0.42,952800
2025-02-28,0.45,0.48,0.43,0.45,1188200
2025-02-27,0.49,0.52,0.45,0.45,1414700
2025-02-26,0.48,0.53,0.47,0.49,794300
2025-02-25,0.52,0.52,0.45,0.49,1186800
2025-02-24,0.5,0.53,0.47,0.5,1316600
2025-02-21,0.49,0.57,0.47,0.5,2533200
2025-02-20,0.58,0.58,0.47,0.47,3246100
2025-02-19,0.62,0.62,0.56,0.58,1294200
2025-02-18,0.66,0.68,0.56,0.61,2036900
2025-02-14,0.68,0.68,0.6,0.67,2244600
2025-02-13,0.55,0.69,0.54,0.68,5076200
2025-02-12,0.54,0.55,0.51,0.53,1336400
2025-02-11,0.55,0.55,0.5,0.54,1093800
2025-02-10,0.55,0.57,0.48,0.55,2895500
2025-02-07,0.46,0.62,0.46,0.56,8875600
2025-02-06,0.43,0.46,0.41,0.45,1051900
2025-02-05,0.47,0.47,0.42,0.43,1594400
2025-02-04,0.47,0.5,0.43,0.47,4455100
2025-02-03,0.42,0.45,0.42,0.44,572500
2025-01-31,0.45,0.46,0.43,0.44,684600
2025-01-30,0.46,0.47,0.44,0.45,925200
2025-01-29,0.47,0.47,0.44,0.45,1174200
2025-01-28,0.44,0.54,0.43,0.48,3446200
2025-01-27,0.45,0.5,0.43,0.44,1908200
2025-01-24,0.47,0.47,0.4,0.46,3744000
2025-01-23,0.61,0.61,0.48,0.5,4426000
2025-01-22,0.68,0.7,0.54,0.63,35321900
2025-01-21,0.51,0.66,0.51,0.61,12746100
2025-01-17,0.56,0.59,0.53,0.53,613200
2025-01-16,0.59,0.61,0.56,0.57,481200
2025-01-15,0.57,0.62,0.57,0.59,892400
2025-01-14,0.59,0.61,0.55,0.57,757100
2025-01-13,0.67,0.68,0.49,0.63,2461300
2025-01-10,0.72,0.76,0.64,0.67,1397600
2025-01-08,0.83,0.86,0.73,0.73,1607700
2025-01-07,0.92,0.94,0.82,0.86,1440400
2025-01-06,0.96,1.02,0.92,0.94,1761000
2025-01-03,0.86,0.96,0.86,0.96,1265700
2025-01-02,0.99,0.99,0.82,0.87,1379800
2024-12-31,0.88,1.0,0.77,0.92,3401300
2024-12-30,0.88,0.92,0.81,0.82,2181700
2024-12-27,1.0,1.0,0.9,0.93,1429200
2024-12-26,1.0,1.01,0.84,0.98,2122200
2024-12-24,1.02,1.05,0.95,1.01,1345400
2024-12-23,0.96,1.06,0.96,1.03,2580100
2024-12-20,1.06,1.14,0.96,0.97,3610800
2024-12-19,0.95,1.31,0.95,1.02,10521100
2024-12-18,0.78,1.15,0.78,0.9,8487400
2024-12-17,1.09,1.1,0.78,0.85,11871100
2024-12-16,1.4,1.41,1.09,1.12,11421900
2024-12-13,1.17,1.42,1.06,1.26,8323700
2024-12-12,1.7,1.77,0.99,1.2,20387200
2024-12-11,1.11,1.64,1.1,1.52,17490400
2024-12-10,0.78,1.17,0.78,1.08,23915100
2024-12-09,0.55,0.79,0.55,0.78,14022600
2024-12-06,0.53,0.69,0.49,0.55,47385100
2024-12-05,0.32,0.5,0.3,0.46,59095300
2024-12-04,0.3,0.31,0.28,0.3,6634600
2024-12-03,0.31,0.32,0.3,0.3,1508000
2024-12-02,0.32,0.33,0.29,0.3,1622000
2024-11-29,0.3,0.31,0.28,0.3,1066500
2024-11-27,0.3,0.31,0.28,0.3,1413700
2024-11-26,0.29,0.35,0.28,0.31,8222200
2024-11-25,0.27,0.29,0.26,0.27,1353300
2024-11-22,0.24,0.27,0.24,0.26,544000
2024-11-21,0.24,0.27,0.23,0.25,1077400
2024-11-20,0.25,0.27,0.23,0.24,1198600
2024-11-19,0.26,0.29,0.25,0.26,1231600
2024-11-18,0.25,0.32,0.24,0.27,2970900
2024-11-15,0.27,0.28,0.22,0.25,2198600
2024-11-14,0.3,0.31,0.26,0.26,2453500
2024-11-13,0.34,0.37,0.29,0.31,2565900
2024-11-12,0.41,0.42,0.32,0.36,2796000
2024-11-11,0.41,0.42,0.4,0.41,1267400
2024-11-08,0.41,0.42,0.38,0.39,2470100
2024-11-07,0.37,0.46,0.33,0.43,9583400
2024-11-06,0.29,0.52,0.28,0.36,51286900
2024-11-05,0.28,0.29,0.26,0.28,2063300
2024-11-04,0.26,0.29,0.25,0.28,2584100
2024-11-01,0.29,0.29,0.25,0.26,2882700
2024-10-31,0.25,0.3,0.25,0.28,4341500
2024-10-30,0.25,0.27,0.25,0.25,1910700
2024-10-29,0.26,0.27,0.24,0.26,3669100
2024-10-28,0.22,0.33,0.22,0.31,9779400
2024-10-25,0.21,0.22,0.21,0.22,497100
2024-10-24,0.21,0.22,0.2,0.22,777900
2024-10-23,0.21,0.22,0.21,0.22,1218000
2024-10-22,0.23,0.25,0.21,0.22,2183400
2024-10-21,0.22,0.24,0.21,0.23,3009200
2024-10-18,0.21,0.22,0.2,0.21,933500
2024-10-17,0.23,0.23,0.21,0.21,2093400
2024-10-16,0.25,0.28,0.22,0.23,6630700
2024-10-15,0.21,0.22,0.2,0.21,1700400
2024-10-14,0.21,0.22,0.2,0.21,309900
2024-10-11,0.2,0.22,0.19,0.21,608700
2024-10-10,0.21,0.21,0.2,0.2,776000
2024-10-09,0.21,0.22,0.2,0.21,703200
2024-10-08,0.22,0.22,0.21,0.21,599000
2024-10-07,0.22,0.22,0.21,0.22,778700
2024-10-04,0.22,0.23,0.21,0.23,1133200
2024-10-03,0.23,0.23,0.21,0.22,2052100
2024-10-02,0.23,0.25,0.22,0.23,6113400
2024-10-01,0.22,0.23,0.2,0.21,3141000
2024-09-30,0.21,0.23,0.2,0.22,3011300
2024-09-27,0.26,0.26,0.22,0.22,22979600
2024-09-26,0.26,0.26,0.25,0.25,5443000
2024-09-25,0.27,0.27,0.25,0.26,477500
2024-09-24,0.27,0.28,0.26,0.27,175500
2024-09-23,0.28,0.29,0.26,0.27,272200
2024-09-20,0.29,0.3,0.28,0.28,312400
2024-09-19,0.28,0.3,0.28,0.28,520800
2024-09-18,0.28,0.29,0.28,0.28,375000
2024-09-17,0.28,0.3,0.28,0.28,268000
2024-09-16,0.3,0.3,0.27,0.27,385000
2024-09-13,0.31,0.31,0.29,0.3,306700
2024-09-12,0.29,0.31,0.29,0.29,294400
2024-09-11,0.3,0.31,0.29,0.29,290400
2024-09-10,0.32,0.32,0.29,0.3,169100
2024-09-09,0.3,0.31,0.28,0.31,421100
2024-09-06,0.29,0.3,0.27,0.29,358400
2024-09-05,0.35,0.36,0.27,0.29,1181900
2024-09-04,0.37,0.37,0.33,0.35,266400
2024-09-03,0.38,0.38,0.32,0.33,249300
2024-08-30,0.37,0.38,0.35,0.38,138100
2024-08-29,0.37,0.39,0.37,0.38,92000
2024-08-28,0.4,0.4,0.37,0.38,99200
2024-08-27,0.42,0.42,0.38,0.4,204100
2024-08-26,0.43,0.43,0.4,0.41,118000
2024-08-23,0.42,0.43,0.41,0.42,63200
2024-08-22,0.44,0.45,0.42,0.42,61300
2024-08-21,0.44,0.45,0.43,0.44,127100
2024-08-20,0.44,0.45,0.43,0.45,167400
2024-08-19,0.42,0.46,0.42,0.45,200300
2024-08-16,0.43,0.44,0.42,0.42,52200
2024-08-15,0.42,0.43,0.41,0.42,25500
2024-08-14,0.43,0.45,0.41,0.42,41700
2024-08-13,0.46,0.46,0.42,0.42,168500
2024-08-12,0.45,0.45,0.41,0.45,75500
2024-08-09,0.44,0.46,0.42,0.44,65400
2024-08-08,0.43,0.47,0.4,0.45,285900
2024-08-07,0.43,0.45,0.39,0.43,261300
2024-08-06,0.36,0.42,0.36,0.41,262800
2024-08-05,0.39,0.4,0.34,0.36,507400
