Date,Open,High,Low,Close,Volume
2025-03-13,10.85,11.0,9.99,10.13,52078
2025-03-12,10.48,10.94,10.23,10.88,181100
2025-03-11,10.24,10.56,9.61,10.34,189400
2025-03-10,10.58,10.89,9.96,10.23,176900
2025-03-07,10.0,10.81,9.5,10.64,766400
2025-03-06,10.21,10.88,9.85,9.98,306300
2025-03-05,9.94,10.45,9.79,10.34,242700
2025-03-04,8.8,10.51,8.53,9.94,575800
2025-03-03,9.44,9.94,8.84,8.9,582400
2025-02-28,9.5,9.61,8.75,9.43,414400
2025-02-27,9.83,9.99,9.47,9.5,204500
2025-02-26,10.14,10.56,9.59,9.82,244200
2025-02-25,11.07,11.19,10.17,10.18,206100
2025-02-24,13.18,13.18,11.12,11.18,268900
2025-02-21,13.28,13.43,12.97,13.15,314100
2025-02-20,13.14,13.27,12.55,13.13,179300
2025-02-19,12.65,13.24,12.65,13.16,299300
2025-02-18,12.91,13.25,12.66,12.76,230500
2025-02-14,12.23,12.93,11.97,12.88,149000
2025-02-13,12.48,12.8,12.22,12.62,151300
2025-02-12,11.93,12.46,11.85,12.41,150200
2025-02-11,11.77,12.1,11.52,12.1,198400
2025-02-10,12.2,12.26,11.78,11.87,95800
2025-02-07,12.54,12.56,12.01,12.25,186700
2025-02-06,12.85,12.96,12.28,12.59,140400
2025-02-05,12.57,12.78,12.18,12.74,147200
2025-02-04,12.62,12.8,12.24,12.51,209500
2025-02-03,11.65,13.15,11.49,12.7,305800
2025-01-31,11.7,12.36,11.57,11.95,215100
2025-01-30,11.66,11.99,11.43,11.72,122600
2025-01-29,11.14,11.53,11.02,11.46,140200
2025-01-28,11.32,11.57,10.96,11.29,113700
2025-01-27,11.46,12.03,11.19,11.35,160400
2025-01-24,11.54,11.62,11.09,11.42,174200
2025-01-23,11.47,11.75,11.13,11.66,188600
2025-01-22,11.21,11.91,11.0,11.27,169900
2025-01-21,10.97,11.36,10.84,11.21,187700
2025-01-17,11.57,11.69,10.77,10.93,199300
2025-01-16,11.25,11.52,11.0,11.25,254100
2025-01-15,10.78,11.25,10.56,11.23,319900
2025-01-14,11.02,11.3,10.42,10.53,303700
2025-01-13,11.79,11.79,10.35,10.85,428400
2025-01-10,12.37,12.49,11.38,11.92,738800
2025-01-08,13.3,13.3,12.66,12.7,375500
2025-01-07,13.17,13.37,12.88,13.29,677800
2025-01-06,13.64,13.8,13.15,13.17,140000
2025-01-03,13.24,13.77,13.09,13.62,108100
2025-01-02,13.22,13.53,12.97,13.13,141700
2024-12-31,13.21,13.71,12.53,13.09,189700
2024-12-30,13.73,13.85,13.11,13.13,267800
2024-12-27,13.0,13.91,12.84,13.84,256200
2024-12-26,12.43,13.11,12.32,13.08,217800
2024-12-24,12.45,12.73,12.04,12.53,160000
2024-12-23,12.44,12.44,11.9,12.4,325600
2024-12-20,11.85,12.59,11.62,12.46,1207100
2024-12-19,12.12,12.28,11.64,12.0,377200
2024-12-18,12.66,13.02,11.99,12.1,443500
2024-12-17,12.48,12.64,12.05,12.55,131900
2024-12-16,12.52,12.69,11.94,12.55,805900
2024-12-13,12.56,12.76,12.28,12.52,114600
2024-12-12,12.8,12.92,12.43,12.61,231700
2024-12-11,12.88,13.14,12.65,12.85,159300
2024-12-10,12.54,12.97,12.5,12.73,206200
2024-12-09,13.08,13.32,12.81,12.82,113500
2024-12-06,12.67,13.21,12.6,13.15,145000
2024-12-05,12.66,12.92,12.48,12.62,202700
2024-12-04,12.6,12.98,12.37,12.71,171500
2024-12-03,12.56,12.92,12.4,12.54,142600
2024-12-02,12.8,13.06,12.55,12.63,307300
2024-11-29,12.88,13.02,12.67,12.8,140800
2024-11-27,13.08,13.27,12.76,12.85,268400
2024-11-26,13.9,14.19,13.03,13.05,282700
2024-11-25,13.4,14.01,13.4,13.9,309500
2024-11-22,12.72,13.25,12.5,13.19,205400
2024-11-21,12.99,13.04,12.46,12.73,205500
2024-11-20,12.43,13.0,12.07,12.78,261700
2024-11-19,12.36,12.74,12.1,12.47,324700
2024-11-18,12.93,12.93,12.2,12.46,346300
2024-11-15,14.07,14.07,11.51,12.66,954200
2024-11-14,14.84,15.22,14.0,14.11,464200
2024-11-13,15.07,15.3,14.52,14.64,176700
2024-11-12,15.68,15.86,14.71,14.94,361500
2024-11-11,16.02,16.14,15.5,15.7,149400
2024-11-08,15.75,16.09,15.33,15.85,870900
2024-11-07,16.26,16.54,15.6,15.73,217600
2024-11-06,16.54,16.54,15.74,16.25,274400
2024-11-05,15.33,15.39,14.83,15.23,109200
2024-11-04,14.96,15.6,14.62,15.36,165800
2024-11-01,15.55,15.95,14.58,14.93,158800
2024-10-31,15.86,16.26,15.45,15.5,133500
2024-10-30,15.9,16.18,15.82,15.86,84700
2024-10-29,15.66,16.17,15.58,15.91,104900
2024-10-28,15.66,16.3,15.62,15.74,96000
2024-10-25,15.97,16.31,15.6,15.61,114300
2024-10-24,15.77,16.0,15.5,15.8,245200
2024-10-23,16.1,16.49,15.79,15.82,133900
2024-10-22,16.08,16.49,16.07,16.35,128500
2024-10-21,15.76,16.34,15.63,16.13,209700
2024-10-18,15.57,15.86,15.4,15.83,179200
2024-10-17,15.94,16.14,15.45,15.45,124900
2024-10-16,15.77,16.08,15.56,15.9,152800
2024-10-15,15.16,15.9,15.11,15.77,111300
2024-10-14,15.1,15.47,15.0,15.16,116800
2024-10-11,14.49,15.19,14.42,15.16,137400
2024-10-10,14.17,14.6,14.06,14.5,156500
2024-10-09,15.29,15.4,14.19,14.37,146800
2024-10-08,15.31,15.57,15.17,15.26,151700
2024-10-07,15.22,15.52,14.94,15.27,109500
2024-10-04,15.05,15.1,14.76,15.04,125600
2024-10-03,14.58,14.91,14.39,14.82,170700
2024-10-02,14.5,14.72,14.23,14.67,255100
2024-10-01,14.9,14.9,14.25,14.58,305700
2024-09-30,14.37,14.95,14.26,14.91,186500
2024-09-27,14.41,14.61,14.24,14.4,102000
2024-09-26,14.5,14.5,14.17,14.24,118400
2024-09-25,14.28,14.88,14.05,14.35,220500
2024-09-24,14.01,14.29,13.85,14.28,275000
2024-09-23,14.96,15.09,13.94,13.98,331000
2024-09-20,15.19,15.3,14.84,14.85,2329800
2024-09-19,15.34,15.56,14.97,15.19,290400
2024-09-18,14.89,15.72,14.76,15.01,213700
2024-09-17,15.32,15.64,14.88,14.98,241500
2024-09-16,15.17,15.62,14.8,15.14,281900
2024-09-13,14.82,15.31,14.7,14.98,807200
2024-09-12,15.59,15.65,14.58,14.65,386300
2024-09-11,15.9,15.9,15.54,15.54,169300
