Date,Open,High,Low,Close,Volume
2025-03-13,3.55,3.58,2.9,3.09,135240
2025-03-12,4.08,4.25,3.44,3.52,159600
2025-03-11,4.07,4.25,3.68,3.82,98100
2025-03-10,4.09,4.27,3.66,3.82,104200
2025-03-07,4.51,4.7,3.88,4.15,142200
2025-03-06,6.43,6.43,4.53,4.56,217600
2025-03-05,6.29,6.75,5.8,6.45,173600
2025-03-04,5.34,6.77,5.34,5.99,271800
2025-03-03,5.16,5.93,5.02,5.22,158100
2025-02-28,5.1,5.19,4.75,4.97,37500
2025-02-27,5.0,5.2,4.86,5.05,16100
2025-02-26,4.55,5.12,4.45,5.0,35100
2025-02-25,5.04,5.1,4.41,4.52,111500
2025-02-24,5.55,6.03,4.72,4.92,103100
2025-02-21,5.82,5.97,5.26,5.4,99900
2025-02-20,6.3,6.9,5.55,5.99,335100
2025-02-19,4.95,6.39,4.75,6.15,287100
2025-02-18,4.69,4.95,4.5,4.85,110700
2025-02-14,4.98,5.2,4.6,4.74,172700
2025-02-13,4.17,5.74,4.15,4.59,431000
2025-02-12,3.9,4.14,3.82,4.13,46500
2025-02-11,4.0,4.05,3.55,3.91,73700
2025-02-10,4.3,4.65,3.86,3.98,125300
2025-02-07,3.56,4.4,3.55,4.23,137700
2025-02-06,3.62,3.7,3.42,3.55,35100
2025-02-05,3.94,4.16,3.42,3.59,117600
2025-02-04,3.24,3.87,3.11,3.76,101300
2025-02-03,3.13,3.2,3.1,3.17,46400
2025-01-31,3.32,3.49,3.0,3.13,75700
2025-01-30,3.48,3.5,3.06,3.38,250800
2025-01-29,3.4,3.43,3.03,3.21,129000
2025-01-28,2.72,3.16,2.6,3.15,150000
2025-01-27,2.52,2.61,2.5,2.59,29300
2025-01-24,2.4,2.7,2.36,2.43,42000
2025-01-23,2.38,2.49,2.26,2.4,11600
2025-01-22,2.34,2.82,2.34,2.46,41800
2025-01-21,2.2,2.34,2.2,2.32,30800
2025-01-17,2.19,2.29,2.18,2.27,8400
2025-01-16,2.5,2.5,2.16,2.18,12900
2025-01-15,2.26,2.3,2.12,2.14,40400
2025-01-14,2.25,2.33,2.13,2.15,34200
2025-01-13,2.32,2.32,2.2,2.23,11100
2025-01-10,2.36,2.42,2.16,2.17,35800
2025-01-08,2.36,2.92,2.26,2.42,163200
2025-01-07,2.44,2.53,2.41,2.5,15100
2025-01-06,2.46,2.55,2.43,2.48,14200
2025-01-03,2.48,2.48,2.4,2.44,8300
2025-01-02,2.31,2.5,2.29,2.31,22500
2024-12-31,2.37,2.48,2.2,2.31,20800
2024-12-30,2.26,2.34,2.23,2.34,12400
2024-12-27,2.4,2.5,2.2,2.31,52800
2024-12-26,2.11,2.45,2.05,2.32,58900
2024-12-24,2.16,2.16,2.01,2.11,8700
2024-12-23,2.17,2.17,2.09,2.17,11900
2024-12-20,2.0,2.17,2.0,2.07,21200
2024-12-19,2.17,2.2,1.96,2.0,42300
2024-12-18,2.27,2.4,2.19,2.19,24600
2024-12-17,2.38,2.5,2.26,2.29,21900
2024-12-16,2.21,2.39,2.21,2.34,22100
2024-12-13,2.28,2.36,2.12,2.19,15400
2024-12-12,2.47,2.5,2.3,2.31,28700
2024-12-11,2.37,2.43,2.18,2.43,35500
2024-12-10,2.36,2.45,2.35,2.43,9400
2024-12-09,2.52,2.53,2.32,2.45,41800
2024-12-06,2.28,2.54,2.26,2.45,24000
2024-12-05,2.48,2.48,2.21,2.4,30100
2024-12-04,2.42,2.61,2.42,2.43,14700
2024-12-03,2.46,2.47,2.29,2.45,31500
2024-12-02,2.66,2.66,2.44,2.45,33900
2024-11-29,2.63,2.68,2.63,2.66,4000
2024-11-27,2.7,2.8,2.6,2.65,17500
2024-11-26,2.65,2.7,2.58,2.69,11000
2024-11-25,2.56,2.65,2.56,2.58,9700
2024-11-22,2.51,2.61,2.42,2.55,24300
2024-11-21,2.51,2.67,2.44,2.55,20000
