Date,Open,High,Low,Close,Volume
2025-03-13,0.01,0.01,0.01,0.01,300000
2025-03-12,0.01,0.01,0.0,0.01,328890
2025-03-11,0.01,0.01,0.0,0.0,11005
2025-03-10,0.01,0.01,0.0,0.01,1006946
2025-03-07,0.0,0.01,0.0,0.01,436142
2025-03-06,0.01,0.01,0.0,0.0,142400
2025-03-05,0.01,0.01,0.0,0.0,299620
2025-03-04,0.0,0.0,0.0,0.0,0
2025-03-03,0.01,0.01,0.0,0.0,2727860
2025-02-28,0.01,0.01,0.01,0.01,489242
2025-02-27,0.01,0.01,0.01,0.01,108000
2025-02-26,0.01,0.01,0.01,0.01,92290
2025-02-25,0.01,0.01,0.01,0.01,196040
2025-02-24,0.01,0.01,0.01,0.01,17150
2025-02-21,0.01,0.01,0.01,0.01,160240
2025-02-20,0.01,0.01,0.01,0.01,250739
2025-02-19,0.01,0.01,0.01,0.01,55700
2025-02-18,0.01,0.01,0.01,0.01,3811446
2025-02-14,0.01,0.01,0.01,0.01,227194
2025-02-13,0.01,0.01,0.01,0.01,268588
2025-02-12,0.01,0.01,0.01,0.01,444512
2025-02-11,0.01,0.01,0.01,0.01,112202
2025-02-10,0.01,0.01,0.01,0.01,3122060
2025-02-07,0.02,0.02,0.01,0.01,6321105
2025-02-06,0.02,0.02,0.02,0.02,294339
2025-02-05,0.02,0.02,0.02,0.02,225000
2025-02-04,0.02,0.02,0.02,0.02,1526532
2025-02-03,0.02,0.02,0.02,0.02,1039330
2025-01-31,0.02,0.02,0.02,0.02,525277
2025-01-30,0.02,0.02,0.02,0.02,334873
2025-01-29,0.02,0.02,0.02,0.02,61790
2025-01-28,0.02,0.02,0.02,0.02,140143
2025-01-27,0.02,0.02,0.02,0.02,40590
2025-01-24,0.02,0.02,0.02,0.02,315168
2025-01-23,0.02,0.02,0.02,0.02,343687
2025-01-22,0.02,0.02,0.02,0.02,478280
2025-01-21,0.02,0.02,0.02,0.02,904520
2025-01-17,0.02,0.02,0.02,0.02,2176520
2025-01-16,0.02,0.02,0.02,0.02,120405
2025-01-15,0.02,0.02,0.02,0.02,794329
2025-01-14,0.02,0.02,0.01,0.02,6346098
2025-01-13,0.03,0.03,0.02,0.02,1459828
2025-01-10,0.02,0.03,0.02,0.02,317113
2025-01-08,0.03,0.03,0.02,0.02,431470
2025-01-07,0.02,0.03,0.02,0.02,2137326
2025-01-06,0.03,0.03,0.02,0.03,705219
2025-01-03,0.03,0.03,0.03,0.03,1222191
2025-01-02,0.02,0.03,0.02,0.03,3465910
2024-12-31,0.03,0.04,0.03,0.04,1882431
2024-12-30,0.03,0.04,0.03,0.03,842260
2024-12-27,0.03,0.04,0.03,0.03,939738
2024-12-26,0.03,0.04,0.03,0.03,1320150
2024-12-24,0.03,0.03,0.03,0.03,175992
2024-12-23,0.03,0.03,0.03,0.03,1237684
2024-12-20,0.03,0.03,0.03,0.03,457148
2024-12-19,0.03,0.03,0.02,0.03,1197979
2024-12-18,0.03,0.03,0.02,0.03,2125330
2024-12-17,0.03,0.03,0.03,0.03,194311
2024-12-16,0.03,0.03,0.03,0.03,1182533
2024-12-13,0.03,0.03,0.03,0.03,1390932
2024-12-12,0.03,0.03,0.03,0.03,1364886
2024-12-11,0.03,0.03,0.03,0.03,732250
2024-12-10,0.03,0.03,0.03,0.03,1336811
2024-12-09,0.03,0.03,0.03,0.03,1444938
2024-12-06,0.03,0.03,0.02,0.03,115050
2024-12-05,0.02,0.03,0.02,0.03,573340
2024-12-04,0.03,0.03,0.02,0.02,1438324
2024-12-03,0.03,0.03,0.02,0.03,956542
2024-12-02,0.03,0.03,0.02,0.03,1030306
2024-11-29,0.03,0.03,0.02,0.03,1163104
2024-11-27,0.02,0.03,0.02,0.03,985402
2024-11-26,0.02,0.02,0.02,0.02,1748223
2024-11-25,0.03,0.03,0.02,0.02,1667282
2024-11-22,0.03,0.03,0.03,0.03,3219108
2024-11-21,0.02,0.03,0.02,0.03,12138227
2024-11-20,0.02,0.02,0.02,0.02,29050
2024-11-19,0.02,0.02,0.02,0.02,74180
2024-11-18,0.02,0.02,0.02,0.02,103511
2024-11-15,0.02,0.02,0.02,0.02,166628
2024-11-14,0.02,0.02,0.02,0.02,669777
2024-11-13,0.02,0.02,0.02,0.02,388056
2024-11-12,0.02,0.02,0.02,0.02,984700
2024-11-11,0.02,0.02,0.02,0.02,103890
2024-11-08,0.02,0.02,0.02,0.02,481599
2024-11-07,0.02,0.02,0.02,0.02,231540
2024-11-06,0.02,0.02,0.02,0.02,967783
2024-11-05,0.02,0.02,0.02,0.02,261500
2024-11-04,0.02,0.02,0.02,0.02,407000
2024-11-01,0.02,0.02,0.02,0.02,172104
2024-10-31,0.02,0.02,0.02,0.02,205431
2024-10-30,0.02,0.02,0.02,0.02,657349
2024-10-29,0.02,0.02,0.02,0.02,2855
2024-10-28,0.02,0.02,0.02,0.02,353280
2024-10-25,0.02,0.02,0.02,0.02,1133000
2024-10-24,0.02,0.02,0.02,0.02,165776
2024-10-23,0.02,0.02,0.02,0.02,384900
2024-10-22,0.02,0.02,0.02,0.02,992751
2024-10-21,0.02,0.02,0.02,0.02,108730
2024-10-18,0.02,0.02,0.02,0.02,204700
2024-10-17,0.02,0.02,0.02,0.02,5825
2024-10-16,0.02,0.02,0.02,0.02,519
2024-10-15,0.02,0.02,0.02,0.02,197000
2024-10-14,0.02,0.02,0.02,0.02,87577
2024-10-11,0.02,0.02,0.01,0.02,189990
2024-10-10,0.02,0.02,0.02,0.02,228926
2024-10-09,0.02,0.02,0.02,0.02,297690
2024-10-08,0.02,0.02,0.02,0.02,329366
2024-10-07,0.02,0.02,0.02,0.02,864050
2024-10-04,0.02,0.02,0.02,0.02,61200
2024-10-03,0.02,0.02,0.02,0.02,0
2024-10-02,0.02,0.02,0.02,0.02,84468
2024-10-01,0.02,0.02,0.02,0.02,196218
2024-09-30,0.02,0.02,0.02,0.02,100878
2024-09-27,0.02,0.02,0.02,0.02,60749
2024-09-26,0.02,0.02,0.02,0.02,61390
2024-09-25,0.02,0.02,0.02,0.02,307311
2024-09-24,0.02,0.02,0.02,0.02,164342
2024-09-23,0.02,0.02,0.02,0.02,561614
2024-09-20,0.02,0.02,0.02,0.02,202062
2024-09-19,0.02,0.02,0.02,0.02,86676
2024-09-18,0.02,0.02,0.02,0.02,174035
2024-09-17,0.02,0.02,0.02,0.02,137728
2024-09-16,0.02,0.02,0.02,0.02,627618
2024-09-13,0.03,0.03,0.03,0.03,119268
2024-09-12,0.03,0.03,0.02,0.03,2039493
2024-09-11,0.03,0.03,0.03,0.03,424394
2024-09-10,0.03,0.03,0.03,0.03,137771
2024-09-09,0.03,0.03,0.03,0.03,162336
2024-09-06,0.03,0.03,0.03,0.03,171036
2024-09-05,0.03,0.03,0.03,0.03,811850
2024-09-04,0.03,0.03,0.03,0.03,60062
2024-09-03,0.03,0.03,0.03,0.03,295803
2024-08-30,0.03,0.03,0.03,0.03,522658
2024-08-29,0.03,0.04,0.03,0.04,467463
2024-08-28,0.03,0.03,0.03,0.03,59534
2024-08-27,0.03,0.03,0.03,0.03,73334
2024-08-26,0.03,0.03,0.03,0.03,463485
2024-08-23,0.03,0.03,0.03,0.03,328525
2024-08-22,0.03,0.03,0.03,0.03,454845
2024-08-21,0.03,0.03,0.03,0.03,326098
2024-08-20,0.03,0.03,0.03,0.03,155925
2024-08-19,0.03,0.03,0.03,0.03,344506
2024-08-16,0.03,0.03,0.03,0.03,2461109
2024-08-15,0.04,0.04,0.03,0.03,2749724
2024-08-14,0.03,0.03,0.03,0.03,467691
2024-08-13,0.03,0.04,0.03,0.03,1534670
2024-08-12,0.04,0.04,0.03,0.04,616504
2024-08-09,0.03,0.04,0.03,0.04,891282
2024-08-08,0.03,0.03,0.03,0.03,775262
2024-08-07,0.03,0.03,0.03,0.03,895350
2024-08-06,0.03,0.03,0.03,0.03,1625290
2024-08-05,0.04,0.04,0.03,0.03,1079886
2024-08-02,0.04,0.04,0.04,0.04,347334
2024-08-01,0.04,0.04,0.04,0.04,1026918
2024-07-31,0.04,0.04,0.04,0.04,1674419
2024-07-30,0.04,0.04,0.03,0.04,718532
2024-07-29,0.03,0.04,0.03,0.04,2347414
2024-07-26,0.03,0.03,0.03,0.03,1930680
2024-07-25,0.03,0.03,0.02,0.03,1914562
2024-07-24,0.03,0.03,0.02,0.03,297708
2024-07-23,0.03,0.03,0.03,0.03,58090
2024-07-22,0.03,0.03,0.03,0.03,55806
2024-07-19,0.03,0.03,0.03,0.03,10024
2024-07-18,0.03,0.03,0.03,0.03,176865
