Date,Open,High,Low,Close,Volume
2025-03-20,0.67,0.7,0.58,0.62,180588
2025-03-19,0.72,0.72,0.67,0.7,121000
2025-03-18,0.7,0.75,0.65,0.71,233600
2025-03-17,0.6,0.72,0.57,0.69,318300
2025-03-14,0.56,0.57,0.53,0.55,58800
2025-03-13,0.57,0.57,0.52,0.53,92500
2025-03-12,0.56,0.57,0.53,0.55,86000
2025-03-11,0.59,0.59,0.5,0.55,226900
2025-03-10,0.52,0.64,0.49,0.59,1079200
2025-03-07,0.47,0.49,0.46,0.48,141600
2025-03-06,0.47,0.5,0.46,0.49,194900
2025-03-05,0.45,0.49,0.45,0.48,169000
2025-03-04,0.62,0.62,0.47,0.5,1207400
2025-03-03,0.46,0.65,0.46,0.59,7232800
2025-02-28,0.44,0.46,0.44,0.46,16100
2025-02-27,0.44,0.44,0.42,0.44,6700
2025-02-26,0.45,0.45,0.42,0.44,8000
2025-02-25,0.44,0.44,0.43,0.43,121000
2025-02-24,0.45,0.46,0.44,0.44,10600
2025-02-21,0.45,0.46,0.44,0.45,53600
2025-02-20,0.46,0.46,0.45,0.46,58100
2025-02-19,0.46,0.47,0.45,0.46,47700
2025-02-18,0.45,0.47,0.45,0.46,51200
2025-02-14,0.49,0.49,0.46,0.47,137600
2025-02-13,0.45,0.5,0.45,0.47,72700
2025-02-12,0.47,0.49,0.45,0.46,77500
2025-02-11,0.51,0.52,0.48,0.49,38200
2025-02-10,0.49,0.5,0.49,0.5,27700
2025-02-07,0.48,0.5,0.48,0.5,42600
2025-02-06,0.48,0.5,0.47,0.5,36000
2025-02-05,0.47,0.48,0.47,0.48,86100
2025-02-04,0.47,0.5,0.45,0.48,148900
2025-02-03,0.48,0.49,0.47,0.49,64200
2025-01-31,0.49,0.5,0.48,0.48,66600
2025-01-30,0.49,0.51,0.47,0.5,169000
2025-01-29,0.49,0.5,0.47,0.49,47700
2025-01-28,0.5,0.5,0.47,0.49,25900
2025-01-27,0.53,0.53,0.47,0.49,105300
2025-01-24,0.58,0.58,0.53,0.53,150600
2025-01-23,0.62,0.64,0.53,0.59,330800
2025-01-22,0.47,0.65,0.47,0.61,505400
2025-01-21,0.48,0.52,0.47,0.49,186000
2025-01-17,0.46,0.52,0.46,0.49,84500
2025-01-16,0.48,0.48,0.45,0.46,18400
2025-01-15,0.48,0.48,0.46,0.48,37700
2025-01-14,0.47,0.6,0.46,0.48,404000
2025-01-13,0.47,0.48,0.45,0.46,24400
2025-01-10,0.5,0.5,0.47,0.47,64400
2025-01-08,0.5,0.5,0.46,0.49,26900
2025-01-07,0.51,0.51,0.48,0.5,100800
2025-01-06,0.5,0.52,0.5,0.5,155800
