Date,Open,High,Low,Close,Volume
2025-03-19,6.32,6.43,6.32,6.4,64820
2025-03-18,6.44,6.54,6.28,6.36,110200
2025-03-17,6.44,6.65,6.35,6.45,158400
2025-03-14,6.37,6.52,6.37,6.44,116600
2025-03-13,6.36,6.5,6.0,6.25,352900
2025-03-12,6.54,6.69,6.49,6.59,96100
2025-03-11,6.69,6.77,6.35,6.5,90100
2025-03-10,6.96,7.08,6.77,6.77,122900
2025-03-07,6.96,7.1,6.89,6.96,79400
2025-03-06,7.03,7.12,6.86,6.96,55400
2025-03-05,7.02,7.11,6.87,7.01,35600
2025-03-04,7.01,7.08,6.83,7.03,77400
2025-03-03,7.2,7.28,7.02,7.1,123600
2025-02-28,6.99,7.2,6.99,7.16,280200
2025-02-27,7.36,7.36,7.04,7.05,174300
2025-02-26,7.31,7.44,7.3,7.39,65900
2025-02-25,7.45,7.49,7.24,7.33,103100
2025-02-24,7.47,7.5,7.32,7.42,171800
2025-02-21,7.45,7.49,7.25,7.37,167200
2025-02-20,7.19,7.47,7.19,7.38,133200
2025-02-19,6.99,7.21,6.97,7.21,119100
2025-02-18,7.18,7.26,7.04,7.09,112600
2025-02-14,7.37,7.43,7.22,7.24,140000
2025-02-13,7.3,7.49,7.25,7.32,184000
2025-02-12,7.34,7.5,7.28,7.3,103000
2025-02-11,7.45,7.53,7.4,7.5,123400
2025-02-10,7.75,7.87,7.46,7.53,153700
2025-02-07,7.2,8.0,7.13,7.64,324300
2025-02-06,7.13,7.49,7.13,7.27,130000
2025-02-05,7.05,7.18,6.96,7.13,211800
2025-02-04,6.87,7.3,6.87,7.07,72500
2025-02-03,6.94,7.14,6.75,6.88,89400
2025-01-31,6.87,6.96,6.71,6.96,48400
2025-01-30,6.84,7.0,6.84,6.9,81000
2025-01-29,6.86,6.93,6.74,6.77,87900
2025-01-28,6.91,6.97,6.78,6.86,69500
2025-01-27,6.69,7.0,6.69,7.0,85200
2025-01-24,6.66,6.78,6.54,6.78,58600
2025-01-23,6.38,6.63,6.34,6.63,148800
2025-01-22,6.53,6.61,6.39,6.47,304000
2025-01-21,6.39,6.69,6.39,6.56,83500
2025-01-17,6.34,6.5,6.33,6.38,64200
2025-01-16,6.06,6.32,6.04,6.32,49900
2025-01-15,5.95,6.12,5.9,6.08,62400
2025-01-14,5.66,5.94,5.66,5.94,74700
2025-01-13,5.86,5.91,5.6,5.66,81100
2025-01-10,6.14,6.14,5.86,5.87,66600
2025-01-08,6.27,6.28,5.99,6.21,51100
2025-01-07,6.46,6.47,6.25,6.29,26800
2025-01-06,6.28,6.5,6.28,6.37,27500
2025-01-03,6.1,6.45,6.1,6.32,57200
2025-01-02,6.19,6.26,6.0,6.13,43400
2024-12-31,6.04,6.15,5.96,6.07,41500
2024-12-30,6.06,6.15,5.96,6.04,76100
2024-12-27,6.16,6.17,6.02,6.08,43400
2024-12-26,6.09,6.19,6.04,6.13,31000
