Date,Open,High,Low,Close,Volume
2025-03-18,2.2,2.2,2.2,2.2,0
2025-03-17,2.2,2.2,2.2,2.2,0
2025-03-14,2.2,2.2,2.2,2.2,0
2025-03-13,2.2,2.2,2.2,2.2,0
2025-03-12,2.2,2.2,2.2,2.2,0
2025-03-11,2.2,2.2,2.2,2.2,0
2025-03-10,2.2,2.2,2.2,2.2,0
2025-03-07,2.2,2.2,2.2,2.2,0
2025-03-06,2.2,2.2,2.2,2.2,0
2025-03-05,2.2,2.43,2.2,2.2,1400
2025-03-04,2.25,2.25,2.25,2.25,0
2025-03-03,2.25,2.25,2.25,2.25,100
2025-02-28,1.79,1.79,1.79,1.79,0
2025-02-27,1.79,1.79,1.79,1.79,500
2025-02-26,2.0,2.0,2.0,2.0,0
2025-02-25,2.0,2.0,2.0,2.0,0
2025-02-24,2.0,2.0,2.0,2.0,0
2025-02-21,2.0,2.0,2.0,2.0,100
2025-02-20,2.69,2.69,2.69,2.69,0
2025-02-19,2.69,2.69,2.69,2.69,500
2025-02-18,1.79,3.54,1.75,3.0,9100
2025-02-14,1.95,1.95,1.65,1.65,1500
2025-02-13,2.81,2.81,1.73,2.05,6100
2025-02-12,3.2,3.2,3.2,3.2,0
2025-02-11,3.1,3.2,3.1,3.2,3200
2025-02-10,2.98,3.1,2.98,3.0,1900
2025-02-07,2.97,2.97,2.97,2.97,0
2025-02-06,2.82,2.97,1.79,2.97,7000
2025-02-05,3.84,3.85,3.09,3.09,2700
2025-02-04,3.5,3.7,3.5,3.7,8300
2025-02-03,3.5,3.5,3.0,3.49,8300
2025-01-31,3.0,3.73,3.0,3.73,500
2025-01-30,3.09,3.09,3.09,3.09,200
2025-01-29,3.74,3.74,3.58,3.6,500
2025-01-28,3.15,4.0,3.15,3.5,27500
2025-01-27,2.75,3.41,2.75,3.1,23800
2025-01-24,1.37,2.95,1.37,2.55,70800
2025-01-23,1.65,1.65,1.63,1.63,4900
2025-01-22,1.38,1.63,1.38,1.63,10700
2025-01-21,1.48,1.49,1.48,1.48,15600
2025-01-17,0.9,0.92,0.9,0.92,3000
2025-01-16,1.0,1.36,0.8,0.81,13300
2025-01-15,1.0,1.09,0.99,1.0,5600
2025-01-14,0.9,0.9,0.9,0.9,0
2025-01-13,0.8,0.9,0.8,0.9,400
2025-01-10,0.9,0.9,0.9,0.9,0
2025-01-08,0.9,0.9,0.9,0.9,1100
2025-01-07,0.87,0.87,0.87,0.87,0
2025-01-06,0.87,0.87,0.87,0.87,0
2025-01-03,0.87,0.87,0.87,0.87,0
2025-01-02,0.42,0.87,0.42,0.87,3500
2024-12-31,0.66,0.66,0.66,0.66,0
2024-12-30,0.66,0.66,0.66,0.66,0
2024-12-27,0.66,0.66,0.66,0.66,500
2024-12-26,0.6,0.6,0.6,0.6,0
2024-12-24,0.6,0.6,0.6,0.6,1200
2024-12-23,0.35,0.35,0.35,0.35,0
2024-12-20,0.35,0.35,0.35,0.35,2500
2024-12-19,0.5,0.5,0.5,0.5,1000
2024-12-18,0.48,0.5,0.48,0.48,5200
2024-12-17,0.51,0.55,0.23,0.48,23100
2024-12-16,0.21,0.21,0.21,0.21,0
2024-12-13,0.21,0.21,0.21,0.21,0
2024-12-12,0.21,0.21,0.21,0.21,0
2024-12-11,0.21,0.21,0.21,0.21,0
2024-12-10,0.21,0.21,0.21,0.21,3000
2024-12-09,0.64,0.64,0.64,0.64,0
2024-12-06,0.64,0.64,0.64,0.64,0
2024-12-05,0.64,0.64,0.64,0.64,0
2024-12-04,0.64,0.64,0.64,0.64,0
2024-12-03,0.64,0.64,0.64,0.64,0
2024-12-02,0.64,0.64,0.64,0.64,0
2024-11-29,0.64,0.64,0.64,0.64,0
2024-11-27,0.64,0.64,0.64,0.64,0
2024-11-26,0.64,0.64,0.64,0.64,0
2024-11-25,0.64,0.64,0.64,0.64,0
2024-11-22,0.64,0.64,0.64,0.64,0
2024-11-21,0.64,0.64,0.64,0.64,0
2024-11-20,0.64,0.64,0.64,0.64,0
2024-11-19,0.64,0.64,0.64,0.64,0
2024-11-18,0.64,0.64,0.64,0.64,0
2024-11-15,0.64,0.64,0.64,0.64,800
2024-11-14,0.23,0.65,0.23,0.65,3300
2024-11-13,0.7,0.7,0.7,0.7,0
2024-11-12,0.7,0.7,0.7,0.7,0
2024-11-11,0.7,0.7,0.7,0.7,0
2024-11-08,0.7,0.7,0.7,0.7,900
2024-11-07,0.7,0.7,0.7,0.7,300
2024-11-06,0.39,0.39,0.39,0.39,10800
2024-11-05,0.39,0.39,0.39,0.39,200
2024-11-04,0.21,0.21,0.21,0.21,0
2024-11-01,0.21,0.21,0.21,0.21,0
2024-10-31,0.3,0.3,0.21,0.21,1000
2024-10-30,0.21,0.21,0.21,0.21,4000
2024-10-29,0.28,0.28,0.28,0.28,6200
2024-10-28,0.28,0.28,0.28,0.28,700
2024-10-25,0.28,0.28,0.28,0.28,0
2024-10-24,0.28,0.28,0.28,0.28,0
2024-10-23,0.28,0.28,0.28,0.28,0
2024-10-22,0.28,0.28,0.28,0.28,0
2024-10-21,0.28,0.28,0.28,0.28,0
2024-10-18,0.28,0.28,0.28,0.28,0
2024-10-17,0.28,0.28,0.28,0.28,200
2024-10-16,0.29,0.29,0.29,0.29,0
2024-10-15,0.29,0.29,0.29,0.29,0
2024-10-14,0.29,0.29,0.29,0.29,0
2024-10-11,0.29,0.29,0.29,0.29,0
2024-10-10,0.25,0.29,0.25,0.29,2000
2024-10-09,0.29,0.29,0.29,0.29,0
2024-10-08,0.29,0.29,0.29,0.29,2000
2024-10-07,0.3,0.3,0.3,0.3,0
2024-10-04,0.3,0.3,0.3,0.3,0
2024-10-03,0.3,0.3,0.3,0.3,0
2024-10-02,0.3,0.3,0.3,0.3,2500
2024-10-01,0.33,0.4,0.33,0.4,5000
2024-09-30,0.38,0.38,0.38,0.38,0
2024-09-27,0.38,0.38,0.38,0.38,0
2024-09-26,0.38,0.38,0.38,0.38,0
2024-09-25,0.38,0.38,0.38,0.38,0
2024-09-24,0.38,0.38,0.38,0.38,0
2024-09-23,0.38,0.38,0.38,0.38,0
2024-09-20,0.38,0.38,0.38,0.38,0
2024-09-19,0.38,0.38,0.38,0.38,3000
2024-09-18,0.3,0.3,0.3,0.3,2500
2024-09-17,0.31,0.31,0.2,0.2,3500
2024-09-16,0.3,0.3,0.3,0.3,0
2024-09-13,0.3,0.3,0.3,0.3,5000
2024-09-12,0.29,0.29,0.29,0.29,0
2024-09-11,0.29,0.29,0.29,0.29,0
2024-09-10,0.29,0.29,0.29,0.29,2900
2024-09-09,0.3,0.3,0.3,0.3,0
2024-09-06,0.3,0.3,0.3,0.3,200
2024-09-05,0.25,0.25,0.25,0.25,0
2024-09-04,0.25,0.25,0.25,0.25,0
2024-09-03,0.25,0.25,0.25,0.25,0
2024-08-30,0.25,0.25,0.25,0.25,0
2024-08-29,0.25,0.29,0.25,0.25,10100
