Date,Open,High,Low,Close,Volume
2025-03-13,6.74,6.83,6.61,6.62,4017
2025-03-12,6.63,6.97,6.63,6.75,5400
2025-03-11,7.11,7.11,6.64,6.81,4300
2025-03-10,6.91,7.21,6.66,6.7,9600
2025-03-07,6.82,7.39,6.72,6.85,12300
2025-03-06,6.81,7.76,6.81,7.06,20600
2025-03-05,6.9,6.99,6.53,6.81,14200
2025-03-04,7.46,7.46,6.9,6.94,23400
2025-03-03,7.64,7.64,7.35,7.36,31000
2025-02-28,7.69,7.69,7.61,7.66,6600
2025-02-27,7.69,7.78,7.62,7.69,11100
2025-02-26,7.72,7.8,7.51,7.6,48600
2025-02-25,7.82,7.82,7.72,7.72,5800
2025-02-24,7.78,7.98,7.75,7.75,33500
2025-02-21,7.8,7.87,7.77,7.77,14800
2025-02-20,7.82,7.89,7.79,7.88,16300
2025-02-19,7.89,7.89,7.77,7.83,14500
2025-02-18,7.89,7.95,7.78,7.78,22300
2025-02-14,7.87,8.03,7.81,7.89,14100
2025-02-13,8.01,8.08,7.81,7.99,16200
2025-02-12,7.96,8.28,7.96,8.01,16300
2025-02-11,7.8,8.58,7.8,7.91,116800
2025-02-10,7.82,7.99,7.8,7.85,33300
2025-02-07,7.83,7.93,7.81,7.81,7300
2025-02-06,7.82,7.88,7.81,7.82,5900
2025-02-05,7.82,8.08,7.82,7.87,8000
2025-02-04,7.97,8.13,7.81,7.81,8400
2025-02-03,7.9,7.97,7.75,7.95,52200
2025-01-31,7.86,8.05,7.8,8.05,27300
2025-01-30,8.07,8.07,7.85,7.85,5900
2025-01-29,8.17,8.17,7.8,7.85,111100
2025-01-28,8.41,8.44,7.95,8.38,18600
2025-01-27,8.07,8.54,7.98,8.5,32200
2025-01-24,8.26,8.26,8.06,8.14,24100
2025-01-23,8.53,8.53,8.05,8.26,16900
2025-01-22,8.6,8.7,8.51,8.51,10700
2025-01-21,8.21,8.72,8.14,8.58,37000
2025-01-17,8.5,8.64,8.02,8.14,38900
2025-01-16,8.5,8.63,8.39,8.47,29400
2025-01-15,8.38,9.0,8.38,8.54,35600
2025-01-14,8.43,8.64,8.25,8.51,17400
2025-01-13,8.9,9.02,8.32,8.55,35300
2025-01-10,8.76,9.02,8.28,8.8,66000
2025-01-08,8.45,8.99,8.15,8.76,99100
2025-01-07,8.25,8.7,8.25,8.45,71800
2025-01-06,7.87,8.22,7.79,8.17,18100
2025-01-03,7.8,7.93,7.78,7.89,15600
2025-01-02,7.92,7.92,7.75,7.84,26000
2024-12-31,7.86,7.91,7.83,7.83,10000
2024-12-30,7.88,7.94,7.8,7.88,27300
2024-12-27,8.09,8.19,7.79,8.01,11900
2024-12-26,7.84,8.07,7.74,8.06,9900
2024-12-24,7.83,7.94,7.73,7.73,17200
2024-12-23,8.21,8.21,7.83,7.86,18400
2024-12-20,8.0,8.23,7.97,8.23,11200
2024-12-19,8.05,8.1,7.82,7.87,19500
