Date,Open,High,Low,Close,Volume
2025-03-19,277.5,281.3,277.29,280.51,3069436
2025-03-18,280.02,280.5,275.94,278.73,5881700
2025-03-17,277.37,282.73,276.08,280.75,4484300
2025-03-14,275.0,279.89,272.68,279.4,6976900
2025-03-13,282.05,282.56,269.75,271.74,9494500
2025-03-12,281.85,285.93,279.09,284.58,7463900
2025-03-11,273.72,280.45,272.0,277.05,8313400
2025-03-10,276.97,278.35,270.72,272.9,10040200
2025-03-07,283.18,288.31,275.17,282.89,8248100
2025-03-06,288.23,298.08,284.83,286.05,10396800
2025-03-05,287.22,292.68,285.62,291.97,6612600
2025-03-04,290.0,291.65,282.24,287.34,9096300
2025-03-03,301.0,303.07,291.06,293.06,6298200
2025-02-28,295.96,301.98,292.15,297.85,10863100
2025-02-27,296.34,304.92,292.67,294.9,16691400
2025-02-26,312.66,313.7,306.45,307.33,12638500
2025-02-25,306.25,308.42,300.62,305.88,7360100
2025-02-24,311.51,312.73,303.52,308.32,6652900
2025-02-21,318.97,318.97,306.86,309.8,7353200
2025-02-20,322.24,324.45,318.21,318.43,6393100
2025-02-19,329.74,329.74,322.87,324.53,5012000
2025-02-18,328.59,329.16,323.0,328.96,5262100
2025-02-14,328.03,328.5,322.62,326.54,5879700
2025-02-13,326.2,330.35,323.22,329.85,4312100
2025-02-12,319.55,327.0,316.97,326.12,5643400
2025-02-11,324.02,326.44,321.26,324.4,5455900
2025-02-10,327.92,331.75,326.65,327.2,5981900
2025-02-07,332.0,333.82,323.72,325.83,7626100
2025-02-06,337.48,337.48,329.1,330.81,13240600
2025-02-05,345.72,348.04,338.87,347.93,4521000
2025-02-04,345.62,346.93,338.67,344.14,4965600
2025-02-03,335.97,341.46,331.26,339.24,4549400
2025-01-31,348.0,349.5,340.1,341.7,5781500
2025-01-30,340.9,348.0,340.0,343.57,7591100
2025-01-29,358.76,360.18,351.5,354.0,6266700
2025-01-28,354.77,367.09,350.46,359.95,12099300
2025-01-27,332.36,353.15,330.5,347.1,15661100
2025-01-24,336.3,338.65,331.79,333.88,3299100
2025-01-23,332.33,335.46,329.6,334.66,4355900
2025-01-22,331.25,335.23,327.28,332.62,7259300
2025-01-21,329.4,329.52,322.45,326.84,6397200
2025-01-17,328.72,329.57,323.07,324.56,6303600
2025-01-16,322.94,327.72,319.55,320.0,5047700
2025-01-15,329.88,331.53,320.78,321.16,6042700
2025-01-14,325.0,329.94,321.5,323.54,5935200
2025-01-13,314.6,320.55,313.8,319.07,4583000
2025-01-10,322.77,322.77,316.02,317.85,6540000
2025-01-08,327.74,328.8,323.11,326.9,3788200
2025-01-07,330.5,331.5,322.91,324.93,4643100
2025-01-06,334.02,336.6,327.28,330.53,5785300
2025-01-03,332.1,333.44,329.27,332.9,4101200
2025-01-02,336.31,338.92,327.81,330.66,4807100
2024-12-31,336.27,337.15,332.41,334.33,3026000
2024-12-30,333.47,338.11,331.61,335.74,3411100
2024-12-27,340.35,342.27,335.27,338.45,3220400
2024-12-26,344.88,344.88,341.03,341.72,3483300
2024-12-24,343.0,344.95,340.83,344.43,1811000
2024-12-23,342.25,343.85,336.68,342.9,5330300
2024-12-20,332.74,346.45,331.14,343.65,14932300
2024-12-19,341.7,343.53,335.43,336.23,7423400
2024-12-18,354.5,354.77,335.24,337.23,8400000
2024-12-17,356.49,356.82,348.71,350.57,6911000
2024-12-16,350.38,357.66,350.16,356.82,5482300
2024-12-13,363.59,364.38,352.1,353.91,5538000
2024-12-12,354.6,359.59,352.52,357.62,5422000
2024-12-11,353.09,359.79,351.48,354.45,7546600
2024-12-10,350.95,355.08,347.03,348.42,6033000
2024-12-09,361.29,361.29,350.39,351.17,6475000
2024-12-06,364.57,366.73,360.68,361.58,5738900
2024-12-05,360.37,365.03,356.26,360.97,10942100
2024-12-04,366.39,368.58,356.24,367.45,24733100
2024-12-03,327.03,332.42,323.28,331.05,12632400
2024-12-02,331.62,334.12,329.73,330.63,6063400
2024-11-29,328.96,331.61,326.88,329.61,3517600
2024-11-27,336.08,337.0,328.51,329.63,7471500
2024-11-26,341.59,343.42,338.75,342.79,4492800
2024-11-25,344.61,347.45,337.9,338.72,7117200
2024-11-22,338.56,342.42,335.4,341.63,5649400
2024-11-21,330.97,342.55,328.23,335.4,8364200
2024-11-20,324.92,326.89,321.64,325.33,3763500
2024-11-19,318.64,324.33,315.64,323.06,5469900
2024-11-18,326.63,326.63,319.85,321.88,4251100
2024-11-15,326.56,329.88,323.81,324.89,7093000
2024-11-14,342.05,345.61,330.44,331.27,7630600
2024-11-13,345.11,347.79,338.38,341.33,6902900
2024-11-12,338.9,348.46,338.12,340.76,7659700
2024-11-11,324.88,344.49,324.88,341.34,13954200
2024-11-08,309.68,322.44,309.09,321.58,8485000
2024-11-07,307.15,311.83,305.65,310.43,5722600
2024-11-06,304.65,308.21,302.72,306.55,5874900
2024-11-05,297.1,298.47,294.4,297.15,4456100
2024-11-04,297.65,299.84,292.59,297.67,5107900
2024-11-01,289.9,296.65,289.67,294.38,3527500
2024-10-31,292.27,295.75,289.22,291.04,4301800
2024-10-30,296.73,299.2,296.01,296.06,2826500
2024-10-29,293.66,300.26,292.48,298.55,4280700
2024-10-28,293.27,295.73,292.16,293.44,3867800
2024-10-25,289.67,294.04,288.5,290.13,3351200
2024-10-24,286.23,288.58,284.85,286.43,3210700
2024-10-23,287.4,287.97,282.3,284.11,3227100
2024-10-22,289.42,291.61,287.32,288.0,3100100
2024-10-21,288.67,292.59,287.71,290.96,2712600
2024-10-18,291.71,294.37,289.82,292.61,3087900
2024-10-17,291.63,293.01,289.77,290.78,2830000
2024-10-16,287.22,290.59,283.91,290.53,3497000
2024-10-15,293.13,293.25,287.67,288.02,3850800
2024-10-14,289.59,292.12,287.92,291.31,3642500
2024-10-11,288.88,289.91,285.97,287.77,3597000
2024-10-10,287.59,289.9,284.3,289.84,3965500
2024-10-09,290.49,291.24,286.75,287.59,4851000
2024-10-08,285.67,292.3,283.78,291.24,5211200
2024-10-07,286.25,287.84,283.06,284.25,4794700
2024-10-04,283.54,287.56,281.15,287.42,6129900
2024-10-03,278.67,280.8,277.41,280.59,3868400
2024-10-02,273.41,281.68,270.54,279.16,8512300
2024-10-01,273.83,274.39,269.38,270.56,4369900
2024-09-30,273.64,275.43,268.83,273.4,5059700
2024-09-27,275.95,277.52,274.75,276.32,5220100
2024-09-26,275.82,278.32,272.4,275.45,5253400
2024-09-25,270.14,276.73,269.07,273.78,7920000
2024-09-24,269.52,272.15,265.99,270.13,7154500
2024-09-23,266.95,267.75,261.94,263.91,6034000
2024-09-20,265.71,270.01,261.02,266.5,11463200
2024-09-19,260.42,269.23,257.76,265.69,11022800
2024-09-18,255.71,255.83,250.67,252.14,4436700
2024-09-17,258.02,258.67,254.07,254.5,5423400
2024-09-16,253.88,257.11,253.88,256.21,5367000
2024-09-13,251.86,256.14,251.77,253.88,4998900
2024-09-12,250.71,253.45,248.89,252.68,5221400
2024-09-11,244.15,249.34,241.36,248.89,4822200
2024-09-10,246.46,246.67,242.65,245.49,3544800
2024-09-09,245.83,248.69,244.11,245.1,4588800
2024-09-06,247.07,249.32,240.79,243.31,6259400
2024-09-05,245.31,247.83,244.34,245.45,4083600
2024-09-04,245.8,248.81,244.5,247.01,4706500
2024-09-03,251.94,253.0,245.97,247.39,6190400
2024-08-30,256.74,258.43,250.32,252.22,10507700
2024-08-29,270.28,271.21,255.59,256.31,14301700
2024-08-28,261.12,264.46,256.66,258.2,10981900
2024-08-27,258.95,263.74,258.7,263.49,5276400
2024-08-26,263.23,266.58,262.53,264.56,3818300
2024-08-23,261.28,264.88,259.99,263.29,4711300
2024-08-22,260.79,262.55,256.57,257.89,5111400
2024-08-21,260.39,261.43,258.48,260.38,4648200
2024-08-20,264.23,264.78,260.32,261.13,5731300
2024-08-19,262.39,264.67,260.92,264.66,4501300
2024-08-16,261.04,262.89,258.98,262.2,3494900
2024-08-15,257.2,262.18,255.55,262.08,5167900
2024-08-14,254.7,257.01,253.17,254.63,4145200
2024-08-13,252.32,255.09,252.32,253.91,4031600
2024-08-12,251.92,253.4,248.35,250.63,3679700
2024-08-09,248.03,252.27,247.78,251.85,2975300
2024-08-08,242.58,248.76,242.42,248.45,4474300
2024-08-07,241.95,245.86,239.01,239.39,4035500
2024-08-06,240.44,243.19,237.39,237.77,5673900
2024-08-05,231.69,241.17,231.58,238.36,6899300
2024-08-02,247.12,247.33,240.47,243.31,6504500
2024-08-01,259.2,262.65,249.06,252.38,5527400
2024-07-31,255.52,261.12,254.66,258.1,4647700
2024-07-30,258.92,260.04,254.43,257.23,3944300
2024-07-29,262.0,265.36,257.82,257.89,5101400
2024-07-26,257.47,263.77,256.37,262.0,6127300
2024-07-25,254.05,263.37,251.04,255.83,7155800
2024-07-24,252.94,255.22,248.23,249.1,5204100
2024-07-23,255.9,256.63,253.06,255.37,3905500
2024-07-22,248.08,254.89,247.33,253.39,5647600
2024-07-19,247.98,248.32,244.51,246.96,4468900
2024-07-18,251.46,251.77,245.06,246.68,6351600
2024-07-17,253.31,254.88,248.93,250.54,5625300
2024-07-16,253.09,256.09,251.99,255.34,4780400
2024-07-15,255.33,255.7,251.44,252.18,4404300
2024-07-12,250.94,254.6,249.01,253.28,4705500
2024-07-11,251.92,254.73,250.24,250.44,5341800
2024-07-10,250.52,254.11,245.44,251.91,8947700
2024-07-09,255.4,256.3,250.41,251.75,7014900
2024-07-08,260.27,261.72,256.1,256.27,6539300
2024-07-05,261.6,264.68,260.21,262.07,6562100
2024-07-03,255.89,260.11,255.85,259.84,4755700
2024-07-02,253.96,256.63,252.98,255.1,5130600
2024-07-01,257.05,258.38,253.45,255.12,5871700
2024-06-28,252.42,259.07,252.1,256.01,12619300
2024-06-27,243.96,257.5,243.41,251.77,12869000
2024-06-26,240.44,242.57,238.88,242.12,4524700
2024-06-25,240.75,242.07,238.85,240.73,6216600
2024-06-24,242.16,243.37,238.79,238.92,7545700
2024-06-21,239.55,244.33,239.17,244.02,15928800
2024-06-20,231.86,242.73,231.86,240.77,14809600
2024-06-18,229.5,231.3,228.25,230.82,7119800
2024-06-17,229.3,230.85,226.8,229.5,10563700
2024-06-14,228.37,234.25,228.22,230.95,8833700
2024-06-13,234.52,234.65,227.69,228.06,13566700
2024-06-12,239.54,241.17,233.89,234.8,10260100
2024-06-11,240.13,242.71,235.25,239.96,7264400
2024-06-10,240.76,242.6,239.41,240.81,7660100
2024-06-07,241.3,242.89,239.27,240.82,6883800
2024-06-06,238.86,245.7,238.43,241.73,11693800
2024-06-05,234.64,235.91,230.56,235.52,10772100
2024-06-04,234.72,239.57,231.21,233.86,11197500
2024-06-03,233.62,239.96,229.23,235.61,19962700
2024-05-31,218.18,233.62,215.14,233.44,36807400
2024-05-30,222.45,224.13,211.1,217.08,66860900
2024-05-29,266.86,271.71,266.63,270.46,13397900
2024-05-28,271.94,272.07,266.02,268.68,9294100
2024-05-24,269.78,273.79,267.39,271.13,8321600
2024-05-23,285.46,285.78,276.28,277.38,5456600
2024-05-22,282.2,285.87,281.63,282.61,3309200
2024-05-21,285.57,286.0,282.08,282.55,3492100
2024-05-20,284.78,286.5,283.9,285.85,2799300
2024-05-17,285.82,286.12,283.05,284.39,3478900
2024-05-16,288.19,288.79,283.37,283.47,3559200
2024-05-15,278.55,286.58,278.54,286.32,5828500
2024-05-14,275.78,277.67,273.87,275.62,3056800
2024-05-13,275.96,276.62,274.02,276.34,2998700
2024-05-10,274.93,278.45,273.8,275.49,2912300
2024-05-09,271.01,274.18,269.92,274.0,4709700
2024-05-08,274.56,278.75,274.56,277.78,3283300
2024-05-07,274.42,277.69,272.9,276.0,3507700
2024-05-06,274.99,275.95,272.89,274.46,3744800
2024-05-03,275.64,276.49,272.19,272.5,4041600
2024-05-02,269.28,271.92,266.8,270.97,3859900
2024-05-01,267.88,272.83,265.42,267.55,3761000
2024-04-30,273.34,273.44,267.22,267.8,5218000
2024-04-29,273.72,276.11,272.06,274.57,3576400
2024-04-26,273.83,275.72,272.3,273.12,3754600
2024-04-25,270.44,272.42,268.13,271.98,4811900
2024-04-24,276.82,277.75,272.94,275.01,3938800
2024-04-23,273.78,275.52,269.26,275.5,6285200
2024-04-22,278.2,278.51,268.41,272.64,6747200
2024-04-19,271.33,271.99,267.59,269.22,4903600
2024-04-18,275.14,275.15,268.6,270.76,5918200
2024-04-17,276.56,277.78,273.67,275.14,4199400
2024-04-16,273.61,279.37,271.28,276.23,7624300
2024-04-15,281.74,285.26,270.5,271.74,18365100
2024-04-12,295.61,296.58,292.25,293.07,3816700
2024-04-11,298.2,299.81,295.15,297.88,3468600
2024-04-10,297.18,299.64,296.88,298.35,3036400
2024-04-09,302.03,304.3,297.98,301.08,2998100
2024-04-08,299.82,302.21,298.25,300.45,3142900
2024-04-05,292.29,302.13,292.05,300.63,4917600
2024-04-04,306.95,309.98,290.86,292.89,8351000
2024-04-03,302.7,305.85,301.81,303.44,3047400
