Date,Open,High,Low,Close,Volume
2025-03-19,8.79,8.95,8.75,8.87,2344278
2025-03-18,8.63,8.84,8.47,8.8,1801400
2025-03-17,9.13,9.15,8.62,8.64,2397300
2025-03-14,9.33,9.43,9.06,9.14,2069300
2025-03-13,9.47,9.63,8.99,9.2,3846100
2025-03-12,8.93,9.69,8.81,9.42,7012900
2025-03-11,8.21,8.21,7.93,8.08,2472500
2025-03-10,8.34,8.39,8.15,8.19,1700100
2025-03-07,8.29,8.56,8.2,8.43,2003700
2025-03-06,8.43,8.55,8.24,8.29,1099700
2025-03-05,8.47,8.58,8.38,8.54,1340000
2025-03-04,8.15,8.5,8.11,8.44,1929900
2025-03-03,8.5,8.61,8.25,8.29,1624300
2025-02-28,8.45,8.56,8.34,8.47,1889200
2025-02-27,8.66,8.75,8.49,8.49,1117900
2025-02-26,8.63,8.8,8.54,8.62,1492800
2025-02-25,8.75,8.78,8.58,8.62,1249500
2025-02-24,8.9,8.95,8.64,8.72,1209800
2025-02-21,9.24,9.3,8.86,8.87,1755700
2025-02-20,9.16,9.2,9.03,9.11,1941400
2025-02-19,9.25,9.35,9.08,9.21,1971300
2025-02-18,9.02,9.35,9.0,9.29,1916500
2025-02-14,9.23,9.27,8.96,8.98,761200
2025-02-13,9.25,9.27,9.04,9.18,1113100
2025-02-12,8.95,9.25,8.9,9.19,1577900
2025-02-11,8.86,9.09,8.86,9.08,2497300
2025-02-10,8.8,8.99,8.75,8.97,2119100
2025-02-07,8.67,8.84,8.45,8.68,1427700
2025-02-06,8.93,9.0,8.86,8.88,769400
2025-02-05,8.91,8.95,8.83,8.93,746400
2025-02-04,8.87,8.99,8.81,8.91,734900
2025-02-03,8.5,8.86,8.5,8.82,1283300
2025-01-31,8.94,9.36,8.88,8.91,1210100
2025-01-30,9.07,9.16,8.83,8.88,1163100
2025-01-29,9.21,9.24,8.98,9.12,2947600
2025-01-28,9.02,9.48,8.96,9.25,1568600
2025-01-27,8.7,9.32,8.52,8.99,1795800
2025-01-24,8.88,8.93,8.73,8.73,713700
2025-01-23,8.57,8.85,8.57,8.84,1081700
2025-01-22,8.61,8.77,8.56,8.66,1062000
2025-01-21,8.64,8.71,8.56,8.63,752700
2025-01-17,8.73,8.74,8.51,8.56,1962600
2025-01-16,8.66,8.7,8.51,8.58,1525800
2025-01-15,8.72,8.77,8.57,8.61,1302900
2025-01-14,8.36,8.52,8.33,8.49,917300
2025-01-13,8.18,8.28,8.14,8.26,1375500
2025-01-10,8.4,8.46,8.25,8.26,978500
