Date,Open,High,Low,Close,Volume
2025-03-19,0.02,0.02,0.02,0.02,160000
2025-03-18,0.02,0.02,0.02,0.02,164200
2025-03-17,0.02,0.02,0.02,0.02,74900
2025-03-14,0.02,0.02,0.02,0.02,107400
2025-03-13,0.02,0.02,0.02,0.02,25000
2025-03-12,0.02,0.02,0.02,0.02,538900
2025-03-11,0.02,0.02,0.02,0.02,46400
2025-03-10,0.02,0.02,0.02,0.02,6900
2025-03-07,0.02,0.02,0.02,0.02,240600
2025-03-06,0.02,0.02,0.02,0.02,4500
2025-03-05,0.02,0.02,0.02,0.02,25000
2025-03-04,0.03,0.03,0.03,0.03,0
2025-03-03,0.03,0.03,0.03,0.03,79200
2025-02-28,0.03,0.03,0.03,0.03,12500
2025-02-27,0.02,0.02,0.02,0.02,100
2025-02-26,0.03,0.03,0.02,0.02,307100
2025-02-25,0.04,0.04,0.03,0.03,16200
2025-02-24,0.03,0.04,0.03,0.03,72300
2025-02-21,0.03,0.03,0.03,0.03,463000
2025-02-20,0.03,0.03,0.03,0.03,6300
2025-02-19,0.03,0.03,0.03,0.03,45000
2025-02-18,0.03,0.03,0.03,0.03,0
2025-02-14,0.03,0.03,0.03,0.03,7900
2025-02-13,0.03,0.03,0.03,0.03,226400
2025-02-12,0.03,0.03,0.03,0.03,127800
2025-02-11,0.03,0.03,0.03,0.03,3000
2025-02-10,0.03,0.03,0.03,0.03,139400
2025-02-07,0.03,0.03,0.03,0.03,56000
2025-02-06,0.03,0.03,0.03,0.03,23100
2025-02-05,0.03,0.03,0.03,0.03,98000
2025-02-04,0.03,0.03,0.02,0.03,240400
2025-02-03,0.03,0.03,0.03,0.03,30000
2025-01-31,0.03,0.03,0.02,0.03,437500
2025-01-30,0.02,0.03,0.02,0.03,50000
2025-01-29,0.03,0.03,0.02,0.02,10800
2025-01-28,0.02,0.03,0.02,0.02,140100
2025-01-27,0.02,0.03,0.02,0.02,125000
2025-01-24,0.02,0.03,0.02,0.03,52200
2025-01-23,0.02,0.02,0.02,0.02,0
2025-01-22,0.02,0.02,0.02,0.02,20600
2025-01-21,0.02,0.02,0.02,0.02,34100
2025-01-17,0.02,0.02,0.02,0.02,19500
2025-01-16,0.02,0.02,0.02,0.02,44000
2025-01-15,0.02,0.02,0.02,0.02,29400
2025-01-14,0.02,0.02,0.02,0.02,8600
2025-01-13,0.02,0.02,0.02,0.02,45400
2025-01-10,0.02,0.02,0.02,0.02,0
2025-01-08,0.02,0.02,0.02,0.02,55700
2025-01-07,0.02,0.03,0.02,0.03,15000
