Date,Open,High,Low,Close,Volume
2025-03-19,8.46,8.69,8.39,8.48,94540
2025-03-18,8.8,8.81,8.3,8.43,154500
2025-03-17,8.81,8.99,8.55,8.81,206200
2025-03-14,8.49,9.0,8.4,8.77,138400
2025-03-13,8.24,8.41,8.03,8.23,103700
2025-03-12,8.45,8.48,8.06,8.26,162400
2025-03-11,8.27,8.48,8.13,8.32,167900
2025-03-10,8.32,8.5,8.07,8.14,119200
2025-03-07,8.27,8.76,8.25,8.68,173400
2025-03-06,9.5,9.5,8.28,8.29,402900
2025-03-05,8.84,9.26,8.68,9.06,223900
2025-03-04,8.85,8.96,8.5,8.67,179400
2025-03-03,9.05,9.3,8.63,8.8,183500
2025-02-28,8.89,9.4,8.7,9.0,161000
2025-02-27,9.41,9.6,9.02,9.27,236100
2025-02-26,9.6,9.7,9.13,9.6,231900
2025-02-25,9.68,9.85,9.29,9.59,127200
2025-02-24,10.03,10.18,8.91,9.68,410100
2025-02-21,10.39,11.16,9.82,10.26,336300
2025-02-20,10.33,10.52,9.1,10.39,418200
2025-02-19,11.01,11.49,10.25,10.43,325900
2025-02-18,10.52,11.32,10.23,11.09,477400
2025-02-14,10.47,10.75,9.52,10.27,257900
2025-02-13,9.22,10.14,8.89,9.77,206100
2025-02-12,9.09,10.15,9.06,9.31,264800
2025-02-11,10.77,10.77,8.91,8.99,585800
2025-02-10,7.97,11.82,7.95,11.1,1082900
2025-02-07,8.04,8.26,7.77,7.83,207700
2025-02-06,9.22,9.22,7.53,8.04,376400
2025-02-05,8.52,8.92,8.3,8.72,78100
2025-02-04,8.16,8.79,8.15,8.48,97400
2025-02-03,7.68,8.83,7.02,8.05,134200
2025-01-31,7.76,8.3,7.76,8.05,57500
2025-01-30,7.96,8.06,7.57,7.79,95000
2025-01-29,7.6,8.07,7.34,7.92,79700
2025-01-28,7.62,7.75,7.19,7.56,67500
2025-01-27,7.1,8.0,7.07,7.6,119200
2025-01-24,7.01,7.12,7.01,7.08,34000
2025-01-23,6.78,7.0,6.57,6.96,70000
2025-01-22,6.92,7.07,6.76,6.87,63300
2025-01-21,7.12,7.28,6.92,6.97,79400
2025-01-17,6.53,7.16,6.43,7.08,77100
2025-01-16,6.57,6.63,6.41,6.44,84700
2025-01-15,6.59,6.72,6.45,6.5,64900
2025-01-14,6.64,6.76,6.54,6.6,58200
2025-01-13,6.53,6.67,6.45,6.51,45100
2025-01-10,6.8,6.8,6.5,6.54,50500
2025-01-08,6.8,6.89,6.71,6.81,53100
2025-01-07,6.72,6.93,6.65,6.8,60800
2025-01-06,7.01,7.1,6.76,6.77,66300
2025-01-03,7.17,7.17,6.98,7.08,191600
2025-01-02,7.29,7.3,7.02,7.13,111900
2024-12-31,6.96,7.4,6.77,7.4,159000
2024-12-30,6.9,7.06,6.65,6.92,86700
2024-12-27,7.15,7.15,6.86,6.9,54200
2024-12-26,7.13,7.42,7.02,7.2,67800
2024-12-24,7.12,7.38,6.92,7.19,50600
2024-12-23,7.06,7.17,6.91,7.13,66300
2024-12-20,6.89,7.29,6.81,7.05,138000
2024-12-19,7.39,7.4,6.61,7.07,305600
2024-12-18,7.62,7.62,7.05,7.28,256500
2024-12-17,7.7,7.79,7.24,7.62,131500
2024-12-16,7.74,8.01,7.7,7.79,173800
2024-12-13,7.35,7.8,7.18,7.74,111500
2024-12-12,7.59,7.64,7.34,7.42,89300
2024-12-11,7.38,7.75,7.3,7.59,336900
2024-12-10,7.1,7.54,6.87,7.43,234100
2024-12-09,7.31,7.5,6.91,7.21,261600
