Date,Open,High,Low,Close,Volume
2025-03-21,0.03,0.1,0.03,0.1,1000
2025-03-20,0.1,0.1,0.1,0.1,500
2025-03-19,0.1,0.1,0.1,0.1,100
2025-03-18,0.06,0.09,0.06,0.09,17500
2025-03-17,0.09,0.09,0.08,0.09,2300
2025-03-14,0.1,0.1,0.1,0.1,0
2025-03-13,0.02,0.1,0.02,0.1,1700
2025-03-12,0.08,0.1,0.05,0.1,44900
2025-03-11,0.1,0.1,0.1,0.1,0
2025-03-10,0.1,0.1,0.1,0.1,1100
2025-03-07,0.1,0.1,0.09,0.1,1900
2025-03-06,0.1,0.1,0.1,0.1,500
2025-03-05,0.1,0.1,0.1,0.1,500
2025-03-04,0.02,0.1,0.01,0.1,154800
2025-03-03,0.09,0.1,0.07,0.1,1200
2025-02-28,0.1,0.1,0.1,0.1,200
2025-02-27,0.07,0.1,0.07,0.1,1700
2025-02-26,0.1,0.1,0.09,0.09,2700
2025-02-25,0.1,0.1,0.1,0.1,0
2025-02-24,0.07,0.1,0.07,0.1,3100
2025-02-21,0.1,0.1,0.1,0.1,800
2025-02-20,0.1,0.1,0.1,0.1,0
2025-02-19,0.1,0.1,0.1,0.1,2500
2025-02-18,0.1,0.1,0.1,0.1,9200
2025-02-14,0.07,0.1,0.07,0.1,1200
2025-02-13,0.07,0.1,0.07,0.1,1600
2025-02-12,0.1,0.1,0.1,0.1,500
2025-02-11,0.1,0.1,0.1,0.1,1000
2025-02-10,0.1,0.1,0.1,0.1,1000
2025-02-07,0.1,0.1,0.1,0.1,0
2025-02-06,0.1,0.1,0.1,0.1,500
2025-02-05,0.09,0.1,0.07,0.1,279000
2025-02-04,0.1,0.1,0.08,0.08,1500
2025-02-03,0.1,0.1,0.08,0.08,66800
2025-01-31,0.1,0.1,0.08,0.08,150200
2025-01-30,0.1,0.1,0.1,0.1,4500
2025-01-29,0.1,0.1,0.1,0.1,0
2025-01-28,0.1,0.1,0.08,0.1,2100
2025-01-27,0.1,0.1,0.1,0.1,0
2025-01-24,0.1,0.1,0.1,0.1,2000
2025-01-23,0.12,0.12,0.07,0.1,9000
2025-01-22,0.07,0.13,0.07,0.1,9900
2025-01-21,0.09,0.13,0.09,0.13,2800
2025-01-17,0.12,0.12,0.12,0.12,0
2025-01-16,0.12,0.12,0.09,0.12,1400
2025-01-15,0.11,0.11,0.1,0.1,2100
2025-01-14,0.1,0.1,0.1,0.1,5700
2025-01-13,0.12,0.12,0.12,0.12,0
2025-01-10,0.09,0.12,0.09,0.12,3200
2025-01-08,0.12,0.12,0.09,0.12,6200
2025-01-07,0.08,0.11,0.07,0.09,21200
2025-01-06,0.1,0.11,0.1,0.11,19800
2025-01-03,0.07,0.12,0.07,0.12,1500
2025-01-02,0.13,0.13,0.13,0.13,0
2024-12-31,0.13,0.13,0.13,0.13,500
2024-12-30,0.13,0.13,0.13,0.13,0
2024-12-27,0.11,0.13,0.1,0.13,19300
2024-12-26,0.14,0.14,0.14,0.14,500
2024-12-24,0.13,0.13,0.07,0.11,10100
2024-12-23,0.1,0.1,0.1,0.1,17000
2024-12-20,0.1,0.1,0.1,0.1,57300
2024-12-19,0.11,0.14,0.1,0.14,27700
2024-12-18,0.14,0.14,0.14,0.14,0
2024-12-17,0.13,0.14,0.11,0.14,5000
2024-12-16,0.11,0.14,0.11,0.14,2300
2024-12-13,0.14,0.14,0.13,0.14,6400
2024-12-12,0.13,0.13,0.13,0.13,4000
2024-12-11,0.13,0.13,0.11,0.13,17800
2024-12-10,0.11,0.14,0.11,0.14,1000
2024-12-09,0.14,0.14,0.14,0.14,300
2024-12-06,0.12,0.14,0.11,0.13,4100
2024-12-05,0.12,0.12,0.12,0.12,9100
2024-12-04,0.16,0.16,0.13,0.15,5300
2024-12-03,0.16,0.16,0.13,0.16,9200
2024-12-02,0.16,0.16,0.13,0.13,3200
2024-11-29,0.15,0.15,0.15,0.15,0
2024-11-27,0.15,0.15,0.15,0.15,5000
2024-11-26,0.15,0.15,0.15,0.15,1300
2024-11-25,0.15,0.15,0.15,0.15,2200
2024-11-22,0.15,0.15,0.1,0.15,22600
2024-11-21,0.13,0.17,0.13,0.15,31700
2024-11-20,0.17,0.17,0.15,0.15,600
2024-11-19,0.15,0.15,0.15,0.15,500
2024-11-18,0.15,0.15,0.15,0.15,100
2024-11-15,0.15,0.15,0.15,0.15,12600
2024-11-14,0.16,0.16,0.16,0.16,0
2024-11-13,0.16,0.16,0.15,0.16,12100
2024-11-12,0.15,0.17,0.15,0.16,31300
2024-11-11,0.15,0.17,0.15,0.17,5000
2024-11-08,0.13,0.17,0.13,0.15,7100
2024-11-07,0.15,0.15,0.15,0.15,5000
2024-11-06,0.16,0.17,0.13,0.15,72200
2024-11-05,0.17,0.17,0.17,0.17,0
2024-11-04,0.17,0.17,0.17,0.17,6000
2024-11-01,0.17,0.17,0.15,0.15,11600
2024-10-31,0.14,0.15,0.14,0.15,2200
2024-10-30,0.17,0.17,0.17,0.17,100
2024-10-29,0.18,0.18,0.15,0.15,900
2024-10-28,0.2,0.2,0.13,0.14,14200
2024-10-25,0.21,0.21,0.15,0.15,190900
2024-10-24,0.21,0.21,0.17,0.17,69700
2024-10-23,0.23,0.23,0.16,0.16,39500
2024-10-22,0.2,0.2,0.17,0.17,23100
2024-10-21,0.23,0.23,0.16,0.17,80600
2024-10-18,0.23,0.23,0.18,0.18,123100
2024-10-17,0.18,0.23,0.18,0.23,20700
2024-10-16,0.22,0.23,0.22,0.23,8500
2024-10-15,0.23,0.23,0.23,0.23,500
2024-10-14,0.18,0.23,0.18,0.23,10100
2024-10-11,0.18,0.23,0.18,0.23,1100
2024-10-10,0.23,0.23,0.23,0.23,500
2024-10-09,0.22,0.22,0.22,0.22,0
2024-10-08,0.22,0.22,0.22,0.22,300
2024-10-07,0.23,0.24,0.23,0.23,29000
2024-10-04,0.2,0.23,0.2,0.23,93300
2024-10-03,0.2,0.2,0.15,0.2,800
2024-10-02,0.2,0.2,0.2,0.2,0
2024-10-01,0.16,0.2,0.16,0.2,2100
2024-09-30,0.2,0.2,0.2,0.2,1000
2024-09-27,0.21,0.21,0.21,0.21,2100
2024-09-26,0.21,0.21,0.21,0.21,0
2024-09-25,0.21,0.21,0.21,0.21,0
2024-09-24,0.16,0.21,0.16,0.21,800
2024-09-23,0.21,0.21,0.21,0.21,2000
