Date,Open,High,Low,Close,Volume
2025-03-19,58.55,58.95,57.86,58.28,847927
2025-03-18,58.3,59.61,58.14,58.7,3911200
2025-03-17,57.23,59.84,56.98,58.96,5365400
2025-03-14,56.01,57.14,55.6,57.0,3615600
2025-03-13,55.48,56.38,55.26,55.83,3505100
2025-03-12,56.38,56.6,54.74,55.48,2861900
2025-03-11,56.99,57.21,55.16,56.06,4606800
2025-03-10,56.58,58.17,56.1,56.99,5143600
2025-03-07,55.07,56.86,54.94,56.4,3749500
2025-03-06,54.7,55.31,53.81,55.08,2958700
2025-03-05,55.03,55.5,53.87,55.19,5457900
2025-03-04,55.43,56.1,54.58,54.82,3917600
2025-03-03,54.65,56.34,54.45,55.27,5295500
2025-02-28,51.7,55.39,51.5,54.44,12161700
2025-02-27,52.19,52.38,50.72,51.34,4440500
2025-02-26,52.32,52.81,51.78,52.61,5605800
2025-02-25,52.35,52.59,51.16,52.16,6783000
2025-02-24,52.75,52.75,51.37,52.23,5246400
2025-02-21,52.0,52.21,51.24,52.17,6204000
2025-02-20,52.38,52.68,51.48,51.9,3676400
2025-02-19,51.2,52.82,51.15,52.42,4284300
2025-02-18,50.41,51.41,49.89,51.3,5189700
2025-02-14,50.7,52.14,50.04,50.06,4675800
2025-02-13,52.8,52.92,51.05,51.52,3783500
2025-02-12,50.25,52.84,50.08,52.68,5683900
2025-02-11,49.76,50.86,49.39,50.81,4593200
2025-02-10,49.94,50.48,49.06,50.17,6735900
2025-02-07,51.0,51.5,49.92,50.09,5562500
2025-02-06,52.75,52.93,50.98,51.15,5684900
2025-02-05,52.29,53.07,51.63,52.44,4372300
2025-02-04,52.5,52.89,51.58,51.72,4422300
2025-02-03,53.24,53.49,51.64,52.44,6874500
2025-01-31,54.48,55.67,53.26,54.0,12046700
2025-01-30,56.34,56.34,53.52,54.06,7986900
2025-01-29,56.21,56.34,55.58,55.8,4849800
2025-01-28,57.84,58.48,55.6,56.11,4838600
2025-01-27,57.13,58.85,56.34,57.74,8062200
2025-01-24,57.38,59.03,57.3,58.87,4892400
2025-01-23,58.37,59.29,56.98,57.28,6590600
