Date,Open,High,Low,Close,Volume
2025-03-20,95.92,97.68,95.54,97.21,292542
2025-03-19,97.72,98.22,96.71,96.97,377200
2025-03-18,96.79,98.84,96.11,97.63,288500
2025-03-17,95.53,98.05,95.53,97.04,381600
2025-03-14,94.97,95.59,94.12,95.52,272400
2025-03-13,95.27,95.27,93.43,93.74,400400
2025-03-12,98.45,98.61,95.05,95.7,459000
2025-03-11,99.26,99.79,97.2,98.25,419200
2025-03-10,99.75,101.46,99.12,99.53,348200
2025-03-07,99.98,101.31,99.5,100.97,253200
2025-03-06,98.89,100.66,98.85,100.24,264400
2025-03-05,98.79,100.32,98.51,99.99,290200
2025-03-04,97.24,99.72,96.76,98.14,261600
2025-03-03,101.48,102.76,97.78,98.54,249900
2025-02-28,101.57,101.57,99.28,101.23,383000
2025-02-27,102.39,103.41,101.69,101.93,384500
2025-02-26,101.74,103.11,101.67,102.94,403000
2025-02-25,100.75,102.61,99.75,101.7,359400
2025-02-24,101.81,102.19,99.31,100.72,382800
2025-02-21,103.27,103.3,101.18,101.84,371100
2025-02-20,101.24,102.93,100.12,102.43,256400
2025-02-19,99.73,101.86,99.43,101.3,260300
2025-02-18,99.41,101.47,99.41,100.65,268800
2025-02-14,102.81,102.87,98.48,99.08,484300
2025-02-13,100.9,102.26,100.26,101.82,251600
2025-02-12,100.1,101.01,99.74,100.11,290200
2025-02-11,99.77,101.41,99.38,101.17,248300
2025-02-10,99.65,101.32,99.02,100.54,417400
2025-02-07,97.08,99.89,96.66,99.47,519100
2025-02-06,91.77,96.62,90.53,96.21,526000
2025-02-05,93.59,94.66,93.15,94.51,263900
2025-02-04,93.26,94.43,92.94,93.6,200200
2025-02-03,94.3,94.69,92.9,93.37,301900
2025-01-31,97.86,98.29,96.36,96.82,241500
2025-01-30,97.79,99.2,97.42,97.93,158900
2025-01-29,95.96,97.66,95.96,96.9,181300
2025-01-28,97.89,97.89,95.27,95.87,222800
2025-01-27,98.35,99.05,97.19,98.42,324500
2025-01-24,99.97,99.97,98.8,99.38,173800
2025-01-23,98.85,100.26,98.5,99.97,259300
2025-01-22,100.57,101.03,98.66,99.6,299200
2025-01-21,98.72,100.78,97.68,100.43,482600
2025-01-17,96.24,98.67,95.67,98.01,334100
2025-01-16,93.8,94.71,93.11,94.04,217600
2025-01-15,93.95,94.03,93.05,93.55,207200
2025-01-14,91.73,92.92,91.11,92.4,288800
2025-01-13,88.47,91.27,88.27,91.19,335100
2025-01-10,90.52,90.81,89.11,89.39,471700
2025-01-08,92.52,92.52,91.44,92.0,306200
2025-01-07,93.21,93.93,92.72,93.51,210300
2025-01-06,94.0,95.12,93.13,93.4,242500
2025-01-03,92.49,94.02,91.73,93.82,160700
2025-01-02,92.76,93.26,91.37,91.85,216400
2024-12-31,92.59,93.45,91.6,92.19,321300
2024-12-30,91.97,93.3,91.25,92.6,246100
2024-12-27,92.69,93.78,91.65,92.44,136800
2024-12-26,92.1,93.97,91.97,93.47,140200
2024-12-24,91.32,92.58,90.83,92.45,91800
2024-12-23,91.79,92.22,91.15,91.48,214200
2024-12-20,91.35,94.15,91.1,92.22,1070900
2024-12-19,94.53,94.53,91.97,92.27,359700
2024-12-18,94.28,99.9,93.49,93.92,571100
2024-12-17,91.58,92.95,90.59,91.3,274300
2024-12-16,93.15,94.25,92.26,92.54,318700
2024-12-13,93.44,93.64,92.51,93.02,265300
2024-12-12,94.52,94.68,93.43,94.01,210600
2024-12-11,94.76,95.3,94.04,94.94,286300
2024-12-10,95.36,95.36,93.35,93.57,240400
2024-12-09,94.93,96.96,94.74,95.7,299500
2024-12-06,95.16,95.45,93.52,94.23,214000
2024-12-05,96.14,96.23,94.92,94.97,200200
2024-12-04,96.0,96.95,95.52,96.12,143600
2024-12-03,97.36,97.36,95.22,95.99,162700
2024-12-02,96.65,98.17,95.95,97.16,308400
2024-11-29,96.1,96.97,95.93,96.17,117800
2024-11-27,96.64,97.37,95.64,95.77,151200
2024-11-26,97.61,97.71,95.9,96.4,163500
2024-11-25,97.52,100.01,97.52,98.5,420300
2024-11-22,94.56,97.43,94.56,97.02,308800
2024-11-21,94.0,95.19,93.18,94.56,317400
2024-11-20,93.62,94.22,92.63,93.78,270000
2024-11-19,94.75,95.07,93.23,93.63,310300
2024-11-18,95.41,96.29,94.64,95.64,289900
2024-11-15,97.33,98.45,95.4,95.64,409800
2024-11-14,97.49,97.49,96.23,96.8,247700
2024-11-13,98.8,98.8,97.23,97.46,318100
2024-11-12,98.98,99.54,96.23,98.45,317600
2024-11-11,98.1,100.37,97.25,99.61,359900
2024-11-08,95.02,97.7,94.08,96.94,400000
2024-11-07,97.92,98.04,93.05,95.23,661700
2024-11-06,102.87,103.16,100.35,101.38,581700
2024-11-05,96.19,98.69,96.19,98.59,211700
2024-11-04,96.24,98.75,96.11,96.81,242800
2024-11-01,96.81,97.51,96.2,96.9,162500
2024-10-31,97.53,98.03,96.16,96.37,252800
2024-10-30,98.94,99.61,97.5,97.55,198100
2024-10-29,99.64,99.75,98.59,99.13,221400
2024-10-28,99.84,101.03,99.79,100.27,123100
2024-10-25,99.07,100.26,98.29,98.84,169400
2024-10-24,98.96,98.99,97.66,98.17,183400
2024-10-23,98.07,99.22,97.62,98.65,206700
2024-10-22,99.1,99.11,97.5,98.54,199100
2024-10-21,101.86,102.3,99.34,99.36,154700
2024-10-18,103.11,103.83,101.63,101.75,271700
2024-10-17,102.53,103.1,102.11,102.55,114600
2024-10-16,101.64,103.37,101.33,102.57,168700
2024-10-15,102.99,103.83,100.8,101.07,238100
2024-10-14,102.48,103.55,101.87,103.47,147000
2024-10-11,100.96,102.56,100.96,102.48,138300
2024-10-10,100.35,101.21,99.96,100.97,212000
2024-10-09,100.24,102.64,99.5,101.98,149200
