Date,Open,High,Low,Close,Volume
2025-03-21,0.94,0.94,0.83,0.88,10100
2025-03-20,0.95,0.95,0.94,0.94,7500
2025-03-19,0.85,0.95,0.85,0.95,1500
2025-03-18,0.89,0.89,0.89,0.89,600
2025-03-17,0.95,0.99,0.87,0.9,7800
2025-03-14,0.85,0.94,0.85,0.94,1000
2025-03-13,0.96,0.97,0.96,0.96,2600
2025-03-12,0.87,0.97,0.85,0.96,6000
2025-03-11,0.85,0.9,0.85,0.85,1000
2025-03-10,0.85,0.92,0.85,0.85,2300
2025-03-07,0.91,0.91,0.85,0.85,1600
2025-03-06,0.9,0.9,0.88,0.9,3700
2025-03-05,0.98,0.98,0.85,0.85,400
2025-03-04,0.89,0.98,0.85,0.87,16800
2025-03-03,0.95,0.95,0.9,0.9,3800
2025-02-28,1.0,1.06,0.95,0.96,5600
2025-02-27,0.98,1.07,0.98,1.06,1900
2025-02-26,1.07,1.07,1.05,1.06,900
2025-02-25,1.0,1.07,1.0,1.01,13600
2025-02-24,0.94,1.0,0.94,0.95,4900
2025-02-21,0.97,1.03,0.97,1.03,8500
2025-02-20,0.99,0.99,0.9,0.97,3400
2025-02-19,0.94,0.96,0.94,0.94,4800
2025-02-18,0.95,0.99,0.9,0.95,20600
2025-02-14,0.98,0.99,0.98,0.99,800
2025-02-13,0.89,0.97,0.87,0.94,6000
2025-02-12,0.97,0.97,0.88,0.97,14700
2025-02-11,0.9,1.09,0.9,1.09,5100
2025-02-10,1.08,1.23,0.9,0.95,32400
2025-02-07,1.0,1.25,1.0,1.11,9100
2025-02-06,0.9,1.07,0.9,1.07,5400
2025-02-05,0.95,1.0,0.95,0.98,2800
2025-02-04,0.95,0.98,0.95,0.98,4300
2025-02-03,1.0,1.0,0.96,0.96,16300
2025-01-31,1.01,1.08,1.01,1.08,20300
2025-01-30,1.0,1.04,1.0,1.04,900
2025-01-29,0.98,1.0,0.98,1.0,34400
2025-01-28,0.99,1.0,0.99,1.0,11500
2025-01-27,1.12,1.12,0.98,1.0,33300
2025-01-24,1.14,1.15,1.04,1.13,7800
2025-01-23,1.21,1.28,1.08,1.14,35400
2025-01-22,1.45,1.45,1.2,1.44,12900
2025-01-21,1.42,1.52,1.33,1.45,27900
2025-01-17,1.47,1.47,1.34,1.42,1900
2025-01-16,1.3,1.44,1.3,1.44,3400
2025-01-15,1.42,1.42,1.38,1.4,1800
2025-01-14,1.32,1.47,1.32,1.45,5500
2025-01-13,1.5,1.52,1.32,1.51,12300
