Date,Open,High,Low,Close,Volume
2025-03-13,9.94,11.04,9.73,10.04,1409665
2025-03-12,9.77,9.93,9.41,9.84,744000
2025-03-11,8.66,9.6,8.66,9.58,629000
2025-03-10,8.52,8.78,8.37,8.6,442400
2025-03-07,8.96,9.13,8.51,8.78,368900
2025-03-06,8.82,9.12,8.52,8.95,395400
2025-03-05,9.43,9.54,8.79,9.03,616800
2025-03-04,9.05,9.56,8.7,9.42,602500
2025-03-03,9.77,9.86,9.14,9.2,314300
2025-02-28,9.51,9.71,9.29,9.66,368200
2025-02-27,10.02,10.17,9.57,9.59,399100
2025-02-26,9.73,10.39,9.45,9.85,740700
2025-02-25,10.65,10.71,9.62,9.67,716600
2025-02-24,10.94,11.07,10.29,10.71,490700
2025-02-21,12.36,12.36,10.87,10.99,739700
2025-02-20,11.32,12.31,11.18,12.26,531300
2025-02-19,11.01,11.36,10.8,11.31,231100
2025-02-18,10.94,11.2,10.82,11.0,245200
2025-02-14,11.5,11.5,10.9,10.91,207500
2025-02-13,11.22,11.45,11.22,11.4,240800
2025-02-12,11.07,11.44,11.06,11.16,206300
2025-02-11,11.29,11.46,11.11,11.23,316200
2025-02-10,10.89,11.37,10.89,11.31,345000
2025-02-07,10.91,11.32,10.75,10.76,282500
2025-02-06,11.02,11.19,10.7,10.75,277900
2025-02-05,10.76,11.04,10.57,10.96,202200
2025-02-04,10.58,10.79,10.49,10.68,218000
2025-02-03,10.33,11.09,10.13,10.65,272200
2025-01-31,11.02,11.04,10.7,10.73,340700
2025-01-30,10.77,11.32,10.55,11.05,445400
2025-01-29,9.91,10.63,9.7,10.56,694000
2025-01-28,9.69,10.12,9.34,9.95,944400
2025-01-27,12.53,12.61,9.3,9.49,2152200
2025-01-24,13.34,13.52,13.11,13.18,413900
2025-01-23,12.92,13.68,12.91,13.39,489100
2025-01-22,12.92,13.31,12.84,12.98,399700
2025-01-21,12.76,13.13,12.56,12.79,383300
2025-01-17,12.83,12.96,12.51,12.68,239500
2025-01-16,12.5,12.84,12.26,12.7,259400
2025-01-15,12.75,12.85,12.35,12.53,311300
2025-01-14,11.89,12.46,11.62,12.44,494300
2025-01-13,11.48,11.91,11.1,11.83,600600
2025-01-10,12.27,12.3,11.42,11.85,381400
2025-01-08,12.18,12.35,11.63,12.13,701700
2025-01-07,11.97,12.64,11.85,12.28,1134400
2025-01-06,11.78,11.89,11.24,11.45,414000
2025-01-03,11.83,12.0,11.57,11.74,299400
2025-01-02,11.85,12.31,11.43,11.69,298600
2024-12-31,11.35,11.6,11.19,11.45,304500
2024-12-30,11.06,11.28,10.82,11.26,351600
2024-12-27,11.14,11.26,10.87,11.14,184300
2024-12-26,11.09,11.27,10.95,11.17,152800
2024-12-24,11.0,11.17,10.81,11.16,112000
2024-12-23,11.0,11.19,10.8,10.97,291000
2024-12-20,11.17,11.48,10.87,10.93,374500
2024-12-19,11.36,11.49,11.01,11.24,398900
2024-12-18,11.83,12.1,10.95,11.12,339600
2024-12-17,11.83,11.84,11.31,11.76,417500
2024-12-16,12.43,12.47,11.77,11.85,471500
2024-12-13,12.36,12.59,12.06,12.39,224800
2024-12-12,12.5,12.75,12.31,12.4,319700
2024-12-11,13.65,13.65,12.53,12.63,581400
2024-12-10,13.03,13.82,12.87,13.49,541700
2024-12-09,13.0,13.24,12.45,13.02,374300
2024-12-06,12.51,13.03,12.15,12.95,426400
2024-12-05,12.72,12.82,12.36,12.48,332200
2024-12-04,12.11,12.63,12.08,12.6,440000
2024-12-03,12.19,12.3,11.82,12.11,284500
2024-12-02,12.17,12.55,11.74,12.06,385700
2024-11-29,12.13,12.63,12.11,12.2,169000
2024-11-27,12.43,12.69,12.24,12.25,240200
2024-11-26,12.54,12.95,12.11,12.26,476700
2024-11-25,13.47,14.0,12.73,12.74,513600
2024-11-22,12.98,13.39,12.76,13.34,491300
2024-11-21,12.97,13.35,12.68,12.91,458500
2024-11-20,12.8,13.2,12.73,12.95,407300
2024-11-19,12.55,12.99,12.37,12.89,391700
2024-11-18,13.12,13.2,12.47,12.75,639400
2024-11-15,13.5,13.5,12.52,12.85,1074600
2024-11-14,13.25,13.56,12.68,13.38,1364400
2024-11-13,12.68,13.18,10.92,13.13,2719700
2024-11-12,10.95,11.01,9.89,10.45,854300
2024-11-11,10.5,11.26,10.31,11.01,844700
2024-11-08,10.53,10.84,10.04,10.44,618300
2024-11-07,10.35,10.86,10.01,10.62,777200
2024-11-06,9.66,10.35,9.57,10.28,960100
2024-11-05,8.92,9.22,8.91,9.0,499700
2024-11-04,9.23,9.45,8.13,8.9,637300
2024-11-01,9.98,10.1,9.46,9.7,479000
2024-10-31,10.06,10.31,9.85,9.93,631500
2024-10-30,10.46,10.69,10.11,10.15,327700
2024-10-29,10.38,10.72,10.12,10.43,338400
2024-10-28,10.3,10.58,10.0,10.43,417100
2024-10-25,9.72,10.45,9.72,10.29,557500
2024-10-24,9.58,9.67,8.82,9.58,664700
2024-10-23,9.6,9.84,9.33,9.48,308400
2024-10-22,9.96,10.18,9.68,9.71,284600
2024-10-21,10.34,10.34,9.81,9.93,250100
2024-10-18,10.11,10.35,9.86,10.29,392900
2024-10-17,10.43,10.44,9.81,10.03,391800
2024-10-16,10.2,10.8,10.1,10.48,621800
2024-10-15,9.91,10.44,9.71,10.09,538600
2024-10-14,10.4,10.55,9.95,10.04,316100
2024-10-11,9.86,10.53,9.83,10.39,403800
2024-10-10,9.83,10.05,9.55,9.87,220500
2024-10-09,9.82,9.94,9.64,9.88,220600
2024-10-08,9.8,10.23,9.61,9.93,437800
2024-10-07,10.64,10.72,9.81,9.99,641400
2024-10-04,9.92,10.87,9.85,10.59,995400
2024-10-03,9.48,10.15,9.34,9.75,399600
2024-10-02,9.78,9.82,9.5,9.57,398700
2024-10-01,9.4,9.88,9.27,9.7,478000
2024-09-30,9.61,9.86,9.25,9.43,837000
2024-09-27,8.88,9.95,8.61,9.7,1232000
2024-09-26,8.92,9.2,8.43,8.8,824900
2024-09-25,7.45,9.09,7.42,8.86,1419200
2024-09-24,7.02,7.58,6.98,7.44,551300
2024-09-23,6.96,7.09,6.82,6.99,225100
2024-09-20,6.63,7.14,6.61,6.88,781700
2024-09-19,6.72,6.8,6.54,6.71,251400
2024-09-18,6.56,6.8,6.34,6.51,267900
2024-09-17,6.42,6.75,6.4,6.44,199000
2024-09-16,6.45,6.48,6.32,6.4,173700
2024-09-13,6.47,6.53,6.2,6.39,286100
2024-09-12,6.2,6.52,6.2,6.39,207800
2024-09-11,6.11,6.19,5.92,6.12,243500
2024-09-10,5.92,6.31,5.92,6.18,252300
2024-09-09,5.88,6.09,5.76,5.93,283800
2024-09-06,6.26,6.3,5.81,5.85,430900
2024-09-05,6.41,6.41,6.24,6.27,272600
2024-09-04,6.46,6.66,6.26,6.33,170800
2024-09-03,6.61,6.64,6.29,6.47,388000
2024-08-30,6.99,7.0,6.63,6.71,452000
2024-08-29,6.59,7.11,6.49,7.05,366800
2024-08-28,6.41,6.54,6.21,6.54,397600
2024-08-27,6.33,6.6,6.27,6.51,254100
2024-08-26,6.09,6.46,6.04,6.25,301900
2024-08-23,6.22,6.34,5.84,6.0,444900
2024-08-22,5.84,6.19,5.69,6.1,381500
2024-08-21,6.02,6.16,5.9,5.9,332600
2024-08-20,6.13,6.18,5.75,5.98,400100
2024-08-19,5.74,6.02,5.74,5.96,263300
2024-08-16,5.69,5.82,5.58,5.74,431700
2024-08-15,6.39,6.41,5.73,5.75,382500
2024-08-14,6.07,6.29,5.76,6.25,743900
2024-08-13,5.59,6.07,5.56,6.05,602500
2024-08-12,5.75,5.81,5.21,5.57,1002400
2024-08-09,5.64,5.74,5.45,5.73,464000
2024-08-08,5.31,6.0,5.31,5.63,895600
2024-08-07,5.85,5.89,4.86,5.34,2905600
2024-08-06,6.67,7.06,6.6,6.84,377800
2024-08-05,6.55,6.89,6.35,6.66,437600
2024-08-02,7.28,7.42,6.88,7.05,523000
2024-08-01,7.88,7.97,7.44,7.53,259100
2024-07-31,7.56,8.19,7.49,7.96,859600
2024-07-30,7.78,7.84,7.35,7.38,319000
2024-07-29,8.11,8.17,7.66,7.81,265700
