Date,Open,High,Low,Close,Volume
2025-03-20,0.02,0.03,0.02,0.03,3445110
2025-03-19,0.02,0.02,0.02,0.02,1862200
2025-03-18,0.02,0.03,0.02,0.02,5128500
2025-03-17,0.02,0.02,0.02,0.02,5203300
2025-03-14,0.02,0.02,0.02,0.02,4512800
2025-03-13,0.02,0.02,0.02,0.02,3358500
2025-03-12,0.02,0.02,0.02,0.02,3400000
2025-03-11,0.02,0.02,0.02,0.02,12063200
2025-03-10,0.02,0.02,0.02,0.02,3894600
2025-03-07,0.02,0.02,0.02,0.02,3070900
2025-03-06,0.03,0.03,0.02,0.02,3172100
2025-03-05,0.02,0.02,0.02,0.02,2060600
2025-03-04,0.02,0.02,0.02,0.02,7555600
2025-03-03,0.02,0.03,0.02,0.02,3494400
2025-02-28,0.03,0.03,0.02,0.02,4892400
2025-02-27,0.03,0.03,0.02,0.03,5055000
2025-02-26,0.03,0.03,0.02,0.03,5088200
2025-02-25,0.03,0.03,0.02,0.03,21605800
2025-02-24,0.03,0.03,0.03,0.03,6036700
2025-02-21,0.03,0.03,0.03,0.03,4695600
2025-02-20,0.03,0.03,0.03,0.03,4505200
2025-02-19,0.03,0.03,0.03,0.03,8035900
2025-02-18,0.03,0.03,0.03,0.03,5551500
2025-02-14,0.03,0.03,0.03,0.03,7572800
2025-02-13,0.03,0.03,0.03,0.03,5581800
2025-02-12,0.03,0.03,0.03,0.03,4142100
2025-02-11,0.03,0.03,0.03,0.03,4923800
2025-02-10,0.03,0.03,0.03,0.03,16052600
2025-02-07,0.03,0.03,0.03,0.03,6307000
2025-02-06,0.03,0.03,0.03,0.03,17080200
2025-02-05,0.03,0.03,0.03,0.03,13843500
2025-02-04,0.03,0.03,0.03,0.03,3744200
2025-02-03,0.03,0.03,0.03,0.03,8070800
2025-01-31,0.03,0.03,0.03,0.03,4565100
2025-01-30,0.03,0.03,0.03,0.03,8129200
2025-01-29,0.03,0.03,0.03,0.03,3484000
2025-01-28,0.03,0.03,0.03,0.03,5377200
2025-01-27,0.03,0.03,0.03,0.03,7560600
2025-01-24,0.03,0.03,0.03,0.03,4693100
2025-01-23,0.03,0.03,0.03,0.03,4806900
2025-01-22,0.03,0.03,0.03,0.03,7562200
2025-01-21,0.03,0.03,0.03,0.03,15940100
2025-01-17,0.03,0.03,0.03,0.03,24604400
2025-01-16,0.03,0.03,0.03,0.03,5653700
2025-01-15,0.03,0.03,0.03,0.03,11916100
2025-01-14,0.03,0.03,0.03,0.03,6588000
2025-01-13,0.03,0.03,0.03,0.03,8577800
2025-01-10,0.03,0.03,0.03,0.03,8888700
2025-01-08,0.03,0.03,0.03,0.03,6610500
2025-01-07,0.03,0.03,0.03,0.03,12564000
2025-01-06,0.03,0.03,0.02,0.03,19758700
2025-01-03,0.03,0.03,0.03,0.03,8525600
2025-01-02,0.03,0.03,0.02,0.03,13451400
2024-12-31,0.02,0.03,0.02,0.02,8600100
2024-12-30,0.03,0.03,0.02,0.03,10839600
2024-12-27,0.03,0.03,0.02,0.03,9491300
2024-12-26,0.03,0.03,0.02,0.03,8739400
2024-12-24,0.03,0.03,0.02,0.03,3682700
2024-12-23,0.03,0.03,0.03,0.03,6565500
2024-12-20,0.03,0.03,0.03,0.03,11992900
2024-12-19,0.03,0.03,0.02,0.03,11244000
2024-12-18,0.03,0.03,0.02,0.03,34794100
2024-12-17,0.02,0.03,0.02,0.02,5707000
2024-12-16,0.02,0.03,0.02,0.02,6196300
2024-12-13,0.03,0.03,0.02,0.02,4155800
2024-12-12,0.03,0.03,0.02,0.03,4321000
2024-12-11,0.02,0.03,0.02,0.03,4964900
2024-12-10,0.02,0.03,0.02,0.02,7009400
2024-12-09,0.03,0.03,0.02,0.02,8709800
2024-12-06,0.02,0.03,0.02,0.03,6700900
2024-12-05,0.03,0.03,0.02,0.02,13705000
2024-12-04,0.03,0.03,0.03,0.03,14324100
2024-12-03,0.02,0.03,0.02,0.03,16348800
2024-12-02,0.02,0.03,0.02,0.02,14778100
2024-11-29,0.02,0.02,0.02,0.02,3300000
2024-11-27,0.02,0.02,0.02,0.02,2257900
2024-11-26,0.02,0.02,0.02,0.02,3823600
2024-11-25,0.02,0.02,0.02,0.02,6658200
2024-11-22,0.02,0.02,0.02,0.02,6701700
2024-11-21,0.02,0.02,0.02,0.02,8044600
2024-11-20,0.02,0.02,0.01,0.02,9312100
2024-11-19,0.02,0.02,0.01,0.02,19257100
2024-11-18,0.02,0.02,0.02,0.02,18592500
2024-11-15,0.02,0.02,0.02,0.02,25517100
2024-11-14,0.02,0.02,0.02,0.02,4666600
2024-11-13,0.02,0.02,0.02,0.02,7811200
2024-11-12,0.02,0.02,0.02,0.02,8159000
2024-11-11,0.02,0.02,0.02,0.02,25838600
2024-11-08,0.02,0.02,0.02,0.02,7076100
2024-11-07,0.02,0.02,0.02,0.02,9967500
2024-11-06,0.02,0.02,0.02,0.02,12171800
2024-11-05,0.02,0.03,0.02,0.03,6744000
