Date,Open,High,Low,Close,Volume
2025-03-19,2.55,2.6,2.54,2.58,667
2025-03-18,2.59,2.59,2.59,2.59,0
2025-03-17,2.52,2.59,2.52,2.59,3200
2025-03-14,2.57,2.63,2.53,2.54,9100
2025-03-13,2.63,2.64,2.56,2.63,2000
2025-03-12,2.65,2.65,2.64,2.64,1000
2025-03-11,2.6,2.65,2.53,2.58,8400
2025-03-10,2.69,2.69,2.6,2.68,2600
2025-03-07,2.61,2.66,2.56,2.65,6400
2025-03-06,2.62,2.68,2.56,2.65,5700
2025-03-05,2.69,2.69,2.68,2.68,1100
2025-03-04,2.6,2.68,2.6,2.66,6200
2025-03-03,2.6,2.69,2.6,2.69,3000
2025-02-28,2.66,2.66,2.6,2.62,3600
2025-02-27,2.65,2.69,2.62,2.62,4400
2025-02-26,2.63,2.64,2.59,2.64,400
2025-02-25,2.63,2.63,2.53,2.59,1200
2025-02-24,2.55,2.6,2.55,2.6,500
2025-02-21,2.53,2.6,2.53,2.58,4000
2025-02-20,2.55,2.56,2.54,2.56,1200
2025-02-19,2.59,2.59,2.53,2.53,700
2025-02-18,2.53,2.6,2.53,2.57,1200
2025-02-14,2.54,2.6,2.54,2.6,600
2025-02-13,2.64,2.64,2.54,2.57,1700
2025-02-12,2.53,2.53,2.53,2.53,300
2025-02-11,2.55,2.55,2.55,2.55,300
2025-02-10,2.48,2.64,2.48,2.58,1400
2025-02-07,2.53,2.56,2.53,2.56,1000
2025-02-06,2.53,2.58,2.53,2.54,1300
2025-02-05,2.6,2.6,2.53,2.56,600
2025-02-04,2.56,2.56,2.55,2.56,1400
2025-02-03,2.54,2.6,2.45,2.55,9800
2025-01-31,2.5,2.53,2.5,2.52,1600
2025-01-30,2.64,2.64,2.5,2.54,3500
2025-01-29,2.5,2.6,2.48,2.55,3900
2025-01-28,2.51,2.58,2.5,2.55,4800
2025-01-27,2.59,2.6,2.45,2.54,2500
2025-01-24,2.53,2.55,2.46,2.55,3300
2025-01-23,2.54,2.56,2.54,2.56,1000
2025-01-22,2.51,2.63,2.51,2.56,1100
2025-01-21,2.54,2.64,2.51,2.56,2700
2025-01-17,2.46,2.55,2.46,2.52,4500
2025-01-16,2.49,2.49,2.49,2.49,0
2025-01-15,2.49,2.49,2.49,2.49,400
2025-01-14,2.43,2.52,2.39,2.46,2400
2025-01-13,2.54,2.64,2.49,2.49,10000
2025-01-10,2.59,2.59,2.51,2.58,6200
2025-01-08,2.69,2.69,2.51,2.61,5000
2025-01-07,2.55,2.69,2.49,2.58,6300
2025-01-06,2.24,2.58,2.23,2.5,35000
2025-01-03,2.21,2.21,2.14,2.17,1300
2025-01-02,2.18,2.22,2.13,2.22,1200
2024-12-31,2.15,2.15,2.09,2.15,2500
2024-12-30,2.2,2.2,2.2,2.2,0
2024-12-27,2.22,2.26,2.2,2.2,2800
2024-12-26,2.25,2.31,2.19,2.26,1600
2024-12-24,2.3,2.3,2.3,2.3,300
2024-12-23,2.27,2.27,2.19,2.19,800
2024-12-20,2.09,2.27,2.09,2.27,2400
2024-12-19,2.2,2.23,2.07,2.2,1900
2024-12-18,2.12,2.22,2.05,2.05,2300
2024-12-17,2.16,2.23,2.14,2.23,1400
2024-12-16,2.16,2.16,2.16,2.16,0
2024-12-13,2.1,2.2,2.1,2.16,3200
2024-12-12,2.09,2.23,2.09,2.21,1800
2024-12-11,2.09,2.22,2.09,2.22,400
2024-12-10,2.11,2.15,2.11,2.15,800
2024-12-09,2.1,2.18,2.09,2.14,1600
2024-12-06,2.03,2.18,2.03,2.18,2300
2024-12-05,2.22,2.24,1.94,2.1,13000
2024-12-04,2.13,2.23,2.09,2.14,800
2024-12-03,2.24,2.24,2.11,2.18,3900
2024-12-02,2.09,2.25,2.09,2.24,3200
2024-11-29,2.25,2.26,2.11,2.26,600
2024-11-27,2.27,2.27,2.14,2.14,1100
2024-11-26,2.23,2.23,2.1,2.16,2700
2024-11-25,2.1,2.1,2.03,2.03,800
2024-11-22,1.96,2.35,1.96,2.12,4200
2024-11-21,2.04,2.04,2.0,2.03,3800
2024-11-20,2.01,2.04,2.0,2.03,3800
2024-11-19,2.04,2.04,2.04,2.04,800
2024-11-18,1.97,2.04,1.97,2.03,2700
2024-11-15,2.03,2.03,1.99,2.02,3100
2024-11-14,1.97,2.02,1.97,2.02,1100
2024-11-13,2.03,2.04,1.99,2.02,2800
2024-11-12,2.04,2.04,2.0,2.01,3800
2024-11-11,1.93,2.04,1.93,2.03,6700
2024-11-08,1.93,1.94,1.89,1.94,4300
2024-11-07,1.88,1.94,1.88,1.88,1900
2024-11-06,1.93,1.97,1.87,1.91,2700
2024-11-05,1.86,1.97,1.77,1.9,43300
2024-11-04,1.85,1.87,1.85,1.87,1100
2024-11-01,1.97,1.97,1.88,1.88,1800
2024-10-31,1.9,1.9,1.9,1.9,0
2024-10-30,1.89,1.97,1.89,1.9,1100
2024-10-29,1.95,1.96,1.85,1.96,700
2024-10-28,1.89,1.89,1.85,1.88,1100
2024-10-25,1.88,1.93,1.87,1.9,2300
2024-10-24,1.91,1.96,1.82,1.96,2600
2024-10-23,1.94,1.97,1.91,1.97,3700
2024-10-22,1.91,1.91,1.91,1.91,200
2024-10-21,1.96,1.96,1.96,1.96,400
2024-10-18,1.91,1.91,1.91,1.91,300
2024-10-17,1.91,1.94,1.91,1.93,2400
2024-10-16,1.91,1.96,1.91,1.96,600
2024-10-15,1.97,1.97,1.9,1.96,2200
2024-10-14,1.76,1.95,1.76,1.95,600
2024-10-11,1.89,1.97,1.87,1.88,2300
2024-10-10,1.96,1.96,1.96,1.96,300
2024-10-09,1.83,1.92,1.83,1.91,1000
2024-10-08,1.92,1.92,1.92,1.92,200
2024-10-07,1.83,1.93,1.79,1.8,3500
2024-10-04,1.89,1.89,1.83,1.83,400
2024-10-03,1.82,1.83,1.81,1.82,1100
2024-10-02,1.86,1.86,1.85,1.85,400
2024-10-01,1.8,1.8,1.76,1.77,2300
2024-09-30,1.86,1.9,1.8,1.8,1100
2024-09-27,1.81,1.86,1.77,1.82,3000
2024-09-26,1.81,1.96,1.8,1.8,5700
2024-09-25,1.8,1.91,1.8,1.83,3500
2024-09-24,1.83,1.88,1.75,1.8,15900
2024-09-23,1.93,1.99,1.89,1.91,2600
2024-09-20,1.85,1.96,1.8,1.96,8300
2024-09-19,1.95,2.0,1.79,1.81,3700
2024-09-18,1.92,2.03,1.79,1.85,36600
2024-09-17,2.03,2.09,2.03,2.06,2800
2024-09-16,2.0,2.06,2.0,2.04,5300
2024-09-13,2.05,2.09,2.02,2.02,3600
2024-09-12,2.03,2.11,2.02,2.08,3900
2024-09-11,2.09,2.13,1.99,2.07,7300
2024-09-10,2.16,2.24,2.09,2.13,11200
2024-09-09,2.19,2.24,2.11,2.2,13300
2024-09-06,2.02,2.19,2.01,2.17,10200
2024-09-05,2.05,2.16,2.02,2.09,12000
2024-09-04,1.99,2.05,1.87,2.04,9600
2024-09-03,1.99,1.99,1.9,1.99,10100
2024-08-30,2.03,2.03,1.89,1.96,12500
2024-08-29,1.8,2.05,1.8,1.96,14100
2024-08-28,1.78,2.13,1.7,2.08,115000
2024-08-27,1.64,1.83,1.63,1.72,19300
2024-08-26,1.59,1.71,1.59,1.66,1900
2024-08-23,1.59,1.69,1.59,1.6,800
2024-08-22,1.6,1.69,1.6,1.63,3100
2024-08-21,1.57,1.71,1.57,1.65,3100
2024-08-20,1.53,1.57,1.53,1.57,300
2024-08-19,1.55,1.57,1.55,1.56,1600
2024-08-16,1.56,1.56,1.54,1.55,1000
2024-08-15,1.53,1.57,1.53,1.56,600
2024-08-14,1.56,1.57,1.56,1.57,300
2024-08-13,1.53,1.57,1.51,1.57,2600
2024-08-12,1.51,1.57,1.51,1.56,2900
2024-08-09,1.53,1.58,1.53,1.57,1500
2024-08-08,1.57,1.57,1.57,1.57,0
2024-08-07,1.57,1.57,1.57,1.57,300
2024-08-06,1.58,1.58,1.55,1.57,1100
2024-08-05,1.57,1.59,1.5,1.55,5400
2024-08-02,1.53,1.61,1.53,1.61,3500
2024-08-01,1.54,1.61,1.54,1.56,3500
2024-07-31,1.59,1.61,1.55,1.57,6600
2024-07-30,1.54,1.63,1.54,1.61,1800
2024-07-29,1.62,1.67,1.54,1.59,2200
2024-07-26,1.53,1.56,1.49,1.55,1400
2024-07-25,1.49,1.61,1.49,1.61,2400
2024-07-24,1.49,1.54,1.49,1.49,2000
2024-07-23,1.5,1.52,1.39,1.41,13900
2024-07-22,1.63,1.63,1.33,1.5,19200
2024-07-19,1.69,1.69,1.69,1.69,600
2024-07-18,1.75,1.75,1.75,1.75,400
2024-07-17,1.7,1.7,1.7,1.7,0
2024-07-16,1.64,1.7,1.58,1.7,1500
2024-07-15,1.59,1.67,1.59,1.67,1000
2024-07-12,1.68,1.78,1.62,1.63,5000
2024-07-11,1.64,1.74,1.62,1.72,19700
2024-07-10,1.68,1.68,1.55,1.66,6300
2024-07-09,1.7,1.72,1.51,1.6,32000
2024-07-08,1.75,1.78,1.7,1.7,5100
2024-07-05,1.79,1.84,1.74,1.76,3000
2024-07-03,1.78,1.82,1.78,1.82,1000
2024-07-02,1.78,1.81,1.74,1.74,700
2024-07-01,1.8,1.82,1.74,1.76,5700
2024-06-28,1.74,1.79,1.74,1.76,2200
2024-06-27,1.76,1.84,1.74,1.79,4900
2024-06-26,1.78,1.85,1.78,1.79,2400
2024-06-25,1.79,1.9,1.78,1.81,5600
2024-06-24,1.93,1.96,1.78,1.82,11500
2024-06-21,1.87,1.92,1.74,1.84,16000
2024-06-20,1.83,1.93,1.77,1.83,12800
2024-06-18,1.85,1.86,1.7,1.78,14700
2024-06-17,1.78,1.93,1.75,1.87,14100
2024-06-14,1.73,1.9,1.73,1.8,17600
2024-06-13,1.77,1.83,1.77,1.77,9900
