Date,Open,High,Low,Close,Volume
2025-03-21,0.05,0.05,0.05,0.05,13900
2025-03-20,0.04,0.05,0.04,0.04,247200
2025-03-19,0.05,0.05,0.05,0.05,0
2025-03-18,0.05,0.05,0.05,0.05,12500
2025-03-17,0.05,0.05,0.04,0.05,10600
2025-03-14,0.05,0.05,0.05,0.05,50000
2025-03-13,0.05,0.05,0.04,0.04,21400
2025-03-12,0.05,0.05,0.05,0.05,47000
2025-03-11,0.05,0.05,0.05,0.05,10000
2025-03-10,0.05,0.05,0.05,0.05,7100
2025-03-07,0.05,0.05,0.05,0.05,67000
2025-03-06,0.05,0.05,0.05,0.05,359500
2025-03-05,0.05,0.05,0.05,0.05,161000
2025-03-04,0.04,0.05,0.04,0.05,37400
2025-03-03,0.04,0.05,0.04,0.04,16400
2025-02-28,0.05,0.05,0.05,0.05,7100
2025-02-27,0.05,0.05,0.04,0.04,6100
2025-02-26,0.05,0.05,0.04,0.04,13300
2025-02-25,0.05,0.06,0.04,0.05,99900
2025-02-24,0.06,0.06,0.04,0.06,11700
2025-02-21,0.06,0.06,0.04,0.05,188400
2025-02-20,0.06,0.06,0.05,0.06,21900
2025-02-19,0.05,0.06,0.05,0.05,60900
2025-02-18,0.06,0.06,0.05,0.05,39900
2025-02-14,0.06,0.06,0.06,0.06,74100
2025-02-13,0.05,0.05,0.05,0.05,0
2025-02-12,0.05,0.05,0.05,0.05,21100
2025-02-11,0.05,0.05,0.05,0.05,20000
2025-02-10,0.05,0.05,0.05,0.05,65000
2025-02-07,0.05,0.05,0.05,0.05,5000
2025-02-06,0.05,0.05,0.05,0.05,2000
2025-02-05,0.05,0.05,0.05,0.05,38000
2025-02-04,0.05,0.05,0.04,0.04,5900
2025-02-03,0.04,0.04,0.04,0.04,9100
2025-01-31,0.04,0.04,0.04,0.04,210600
2025-01-30,0.04,0.04,0.04,0.04,11000
2025-01-29,0.05,0.05,0.04,0.04,81200
2025-01-28,0.05,0.05,0.05,0.05,49400
2025-01-27,0.05,0.05,0.05,0.05,115900
2025-01-24,0.05,0.05,0.05,0.05,110300
2025-01-23,0.04,0.05,0.04,0.05,100200
2025-01-22,0.05,0.06,0.05,0.05,222400
2025-01-21,0.05,0.06,0.04,0.05,243300
2025-01-17,0.05,0.05,0.05,0.05,46400
2025-01-16,0.05,0.05,0.05,0.05,189700
2025-01-15,0.05,0.05,0.04,0.05,168800
2025-01-14,0.04,0.05,0.04,0.05,142800
2025-01-13,0.05,0.05,0.04,0.04,271500
2025-01-10,0.04,0.04,0.04,0.04,167900
2025-01-08,0.04,0.04,0.04,0.04,131000
2025-01-07,0.04,0.04,0.04,0.04,264400
2025-01-06,0.04,0.04,0.04,0.04,29200
2025-01-03,0.04,0.04,0.03,0.04,105200
2025-01-02,0.03,0.04,0.03,0.03,75400
2024-12-31,0.03,0.03,0.03,0.03,32800
2024-12-30,0.03,0.03,0.03,0.03,115800
2024-12-27,0.03,0.03,0.03,0.03,23100
2024-12-26,0.03,0.03,0.03,0.03,4600
2024-12-24,0.03,0.03,0.03,0.03,29400
2024-12-23,0.03,0.03,0.03,0.03,10000
2024-12-20,0.03,0.03,0.03,0.03,15200
2024-12-19,0.03,0.03,0.03,0.03,142500
2024-12-18,0.03,0.03,0.03,0.03,45200
2024-12-17,0.03,0.03,0.03,0.03,125000
2024-12-16,0.04,0.04,0.03,0.03,527400
2024-12-13,0.04,0.04,0.04,0.04,162700
2024-12-12,0.04,0.04,0.04,0.04,49000
2024-12-11,0.04,0.04,0.04,0.04,36300
2024-12-10,0.04,0.04,0.04,0.04,49600
2024-12-09,0.04,0.04,0.03,0.04,43200
2024-12-06,0.03,0.04,0.03,0.04,2100
2024-12-05,0.04,0.04,0.03,0.03,16000
2024-12-04,0.03,0.04,0.03,0.03,77000
2024-12-03,0.04,0.04,0.03,0.03,429300
2024-12-02,0.04,0.04,0.03,0.04,35600
2024-11-29,0.04,0.04,0.04,0.04,25000
2024-11-27,0.04,0.04,0.03,0.03,26300
2024-11-26,0.04,0.04,0.03,0.04,408700
2024-11-25,0.03,0.04,0.03,0.03,149800
2024-11-22,0.03,0.05,0.03,0.04,1607300
2024-11-21,0.04,0.04,0.04,0.04,118900
2024-11-20,0.04,0.04,0.03,0.04,260900
2024-11-19,0.03,0.03,0.03,0.03,36300
2024-11-18,0.03,0.03,0.03,0.03,89000
2024-11-15,0.03,0.03,0.03,0.03,2900
2024-11-14,0.03,0.03,0.03,0.03,466200
2024-11-13,0.03,0.03,0.03,0.03,15800
2024-11-12,0.04,0.04,0.04,0.04,26700
2024-11-11,0.03,0.03,0.03,0.03,5000
2024-11-08,0.03,0.03,0.03,0.03,1200
2024-11-07,0.03,0.03,0.03,0.03,1500
2024-11-06,0.03,0.03,0.03,0.03,400
2024-11-05,0.03,0.03,0.03,0.03,400
2024-11-04,0.04,0.04,0.04,0.04,0
2024-11-01,0.04,0.04,0.03,0.04,74800
2024-10-31,0.04,0.04,0.04,0.04,101200
2024-10-30,0.03,0.04,0.03,0.04,504000
2024-10-29,0.03,0.04,0.03,0.03,55400
2024-10-28,0.03,0.03,0.03,0.03,22100
2024-10-25,0.03,0.04,0.03,0.03,26100
2024-10-24,0.04,0.04,0.04,0.04,0
2024-10-23,0.04,0.04,0.04,0.04,0
