Date,Open,High,Low,Close,Volume
2025-03-21,0.02,0.02,0.02,0.02,1147504
2025-03-20,0.02,0.02,0.02,0.02,153586
2025-03-19,0.02,0.02,0.02,0.02,769122
2025-03-18,0.02,0.02,0.02,0.02,348559
2025-03-17,0.02,0.02,0.02,0.02,1211366
2025-03-14,0.02,0.02,0.02,0.02,825892
2025-03-13,0.02,0.02,0.02,0.02,767084
2025-03-12,0.02,0.03,0.02,0.02,1531477
2025-03-11,0.02,0.02,0.02,0.02,1935473
2025-03-10,0.02,0.02,0.02,0.02,621610
2025-03-07,0.02,0.02,0.02,0.02,605515
2025-03-06,0.02,0.02,0.02,0.02,978589
2025-03-05,0.02,0.02,0.02,0.02,644624
2025-03-04,0.02,0.02,0.02,0.02,1348540
2025-03-03,0.02,0.02,0.02,0.02,118455
2025-02-28,0.02,0.02,0.02,0.02,249923
2025-02-27,0.02,0.02,0.02,0.02,209304
2025-02-26,0.02,0.02,0.02,0.02,514189
2025-02-25,0.02,0.02,0.02,0.02,425923
2025-02-24,0.02,0.02,0.02,0.02,489302
2025-02-21,0.02,0.02,0.02,0.02,427158
2025-02-20,0.02,0.02,0.02,0.02,223865
2025-02-19,0.02,0.02,0.02,0.02,270114
2025-02-18,0.02,0.02,0.02,0.02,490341
2025-02-14,0.02,0.02,0.02,0.02,554077
2025-02-13,0.02,0.02,0.02,0.02,853663
2025-02-12,0.02,0.02,0.02,0.02,329239
2025-02-11,0.02,0.02,0.02,0.02,280582
2025-02-10,0.02,0.02,0.02,0.02,73422
2025-02-07,0.02,0.02,0.02,0.02,257309
2025-02-06,0.02,0.02,0.02,0.02,433044
2025-02-05,0.02,0.02,0.02,0.02,195246
2025-02-04,0.02,0.02,0.02,0.02,243320
2025-02-03,0.02,0.02,0.02,0.02,425327
2025-01-31,0.02,0.02,0.02,0.02,220598
2025-01-30,0.02,0.02,0.02,0.02,174246
2025-01-29,0.03,0.03,0.02,0.02,1093617
2025-01-28,0.02,0.02,0.02,0.02,581699
2025-01-27,0.02,0.02,0.02,0.02,1029094
2025-01-24,0.02,0.02,0.02,0.02,527188
2025-01-23,0.02,0.02,0.02,0.02,745616
2025-01-22,0.02,0.02,0.02,0.02,1607092
2025-01-21,0.02,0.02,0.02,0.02,791854
2025-01-17,0.02,0.02,0.02,0.02,2787735
2025-01-16,0.02,0.03,0.02,0.02,2518477
2025-01-15,0.03,0.03,0.02,0.02,1044512
2025-01-14,0.03,0.03,0.02,0.03,2719991
2025-01-13,0.03,0.03,0.02,0.03,2727019
2025-01-10,0.02,0.03,0.02,0.02,7688129
2025-01-08,0.02,0.02,0.01,0.02,5521278
2025-01-07,0.01,0.02,0.01,0.01,1943900
2025-01-06,0.01,0.02,0.01,0.01,6190639
2025-01-03,0.01,0.01,0.01,0.01,153502
2025-01-02,0.01,0.01,0.01,0.01,249790
2024-12-31,0.01,0.01,0.01,0.01,2054863
2024-12-30,0.01,0.01,0.01,0.01,1088449
2024-12-27,0.01,0.01,0.01,0.01,1578299
2024-12-26,0.01,0.01,0.01,0.01,539764
2024-12-24,0.01,0.01,0.01,0.01,378264
2024-12-23,0.01,0.01,0.01,0.01,836892
2024-12-20,0.01,0.01,0.01,0.01,172373
2024-12-19,0.01,0.01,0.01,0.01,171257
2024-12-18,0.01,0.01,0.01,0.01,167655
2024-12-17,0.01,0.01,0.01,0.01,1125975
2024-12-16,0.01,0.01,0.01,0.01,598717
2024-12-13,0.01,0.01,0.01,0.01,48872
2024-12-12,0.02,0.02,0.01,0.01,330007
2024-12-11,0.01,0.02,0.01,0.01,304997
2024-12-10,0.01,0.02,0.01,0.02,1011298
2024-12-09,0.01,0.02,0.01,0.02,566630
2024-12-06,0.01,0.01,0.01,0.01,1115098
2024-12-05,0.01,0.01,0.01,0.01,122983
2024-12-04,0.01,0.01,0.01,0.01,557452
2024-12-03,0.01,0.02,0.01,0.01,339629
2024-12-02,0.01,0.02,0.01,0.02,867331
2024-11-29,0.01,0.02,0.01,0.02,580734
2024-11-27,0.01,0.02,0.01,0.02,630839
2024-11-26,0.01,0.01,0.01,0.01,68634
2024-11-25,0.01,0.01,0.01,0.01,141787
2024-11-22,0.01,0.02,0.01,0.02,105672
2024-11-21,0.01,0.01,0.01,0.01,306808
2024-11-20,0.02,0.02,0.01,0.01,257705
2024-11-19,0.02,0.02,0.01,0.01,109130
2024-11-18,0.01,0.02,0.01,0.01,181024
2024-11-15,0.01,0.01,0.01,0.01,537906
2024-11-14,0.01,0.01,0.01,0.01,248108
2024-11-13,0.01,0.01,0.01,0.01,243465
2024-11-12,0.01,0.01,0.01,0.01,420645
2024-11-11,0.01,0.01,0.01,0.01,1087862
2024-11-08,0.01,0.01,0.01,0.01,514001
2024-11-07,0.01,0.01,0.01,0.01,650611
2024-11-06,0.01,0.01,0.01,0.01,69501
2024-11-05,0.01,0.01,0.01,0.01,206456
2024-11-04,0.01,0.01,0.01,0.01,25139
2024-11-01,0.01,0.01,0.01,0.01,341238
2024-10-31,0.01,0.01,0.01,0.01,50054
2024-10-30,0.01,0.01,0.01,0.01,57994
2024-10-29,0.01,0.01,0.01,0.01,478833
2024-10-28,0.01,0.01,0.01,0.01,124283
2024-10-25,0.01,0.01,0.01,0.01,378926
2024-10-24,0.01,0.01,0.01,0.01,130966
2024-10-23,0.01,0.01,0.01,0.01,508059
