Date,Open,High,Low,Close,Volume
2025-03-18,0.0,0.0,0.0,0.0,0
2025-03-17,0.0,0.0,0.0,0.0,0
2025-03-14,0.0,0.0,0.0,0.0,0
2025-03-13,0.0,0.0,0.0,0.0,0
2025-03-12,0.0,0.0,0.0,0.0,0
2025-03-11,0.0,0.0,0.0,0.0,0
2025-03-10,0.0,0.0,0.0,0.0,0
2025-03-07,0.0,0.0,0.0,0.0,0
2025-03-06,0.0,0.0,0.0,0.0,0
2025-03-05,0.0,0.0,0.0,0.0,0
2025-03-04,0.0,0.0,0.0,0.0,0
2025-03-03,0.0,0.0,0.0,0.0,0
2025-02-28,0.0,0.0,0.0,0.0,0
2025-02-27,0.0,0.0,0.0,0.0,0
2025-02-26,0.0,0.0,0.0,0.0,0
2025-02-25,0.0,0.0,0.0,0.0,0
2025-02-24,0.0,0.0,0.0,0.0,0
2025-02-21,0.0,0.0,0.0,0.0,0
2025-02-20,0.0,0.0,0.0,0.0,0
2025-02-19,0.0,0.0,0.0,0.0,0
2025-02-18,0.0,0.0,0.0,0.0,0
2025-02-14,0.0,0.0,0.0,0.0,0
2025-02-13,0.0,0.0,0.0,0.0,0
2025-02-12,0.0,0.0,0.0,0.0,0
2025-02-11,0.0,0.0,0.0,0.0,0
2025-02-10,0.0,0.0,0.0,0.0,1667
2025-02-07,0.01,0.01,0.01,0.01,0
2025-02-06,0.01,0.01,0.01,0.01,0
2025-02-05,0.01,0.01,0.01,0.01,0
2025-02-04,0.01,0.01,0.01,0.01,0
2025-02-03,0.01,0.01,0.01,0.01,0
2025-01-31,0.01,0.01,0.01,0.01,0
2025-01-30,0.01,0.01,0.01,0.01,0
2025-01-29,0.01,0.01,0.01,0.01,0
2025-01-28,0.01,0.01,0.01,0.01,0
2025-01-27,0.01,0.01,0.01,0.01,0
2025-01-24,0.01,0.01,0.01,0.01,0
2025-01-23,0.01,0.01,0.01,0.01,0
2025-01-22,0.01,0.01,0.01,0.01,0
2025-01-21,0.01,0.01,0.01,0.01,0
2025-01-17,0.01,0.01,0.01,0.01,0
2025-01-16,0.01,0.01,0.01,0.01,0
2025-01-15,0.02,0.02,0.01,0.01,12493
2025-01-14,0.03,0.05,0.02,0.02,73879
2025-01-13,0.03,0.03,0.03,0.03,491
2025-01-10,0.05,0.42,0.03,0.08,36702
2025-01-08,0.08,0.08,0.08,0.08,1048
2025-01-07,0.03,0.04,0.03,0.03,3391
2025-01-06,0.04,0.04,0.04,0.04,604
2025-01-03,0.03,0.03,0.03,0.03,210
2025-01-02,0.03,0.03,0.03,0.03,1019
2024-12-31,0.04,0.1,0.03,0.04,1824
2024-12-30,0.03,0.06,0.03,0.06,11652
2024-12-27,0.04,0.04,0.04,0.04,393
2024-12-26,0.04,0.04,0.04,0.04,2180
2024-12-24,0.04,0.04,0.04,0.04,568
2024-12-23,0.04,0.04,0.04,0.04,13321
2024-12-20,0.04,0.05,0.04,0.05,2066
2024-12-19,0.04,0.05,0.04,0.05,943
2024-12-18,0.05,0.05,0.05,0.05,233
2024-12-17,0.04,0.04,0.04,0.04,1199
2024-12-16,0.04,0.04,0.04,0.04,611
2024-12-13,0.06,0.06,0.06,0.06,0
2024-12-12,0.06,0.06,0.06,0.06,0
2024-12-11,0.06,0.06,0.06,0.06,0
2024-12-10,0.05,0.06,0.05,0.06,1704
2024-12-09,0.05,0.05,0.04,0.04,2427
2024-12-06,0.04,0.04,0.04,0.04,0
2024-12-05,0.04,0.04,0.04,0.04,561
2024-12-04,0.05,0.05,0.05,0.05,245
2024-12-03,0.07,0.07,0.07,0.07,0
2024-12-02,0.07,0.07,0.07,0.07,0
2024-11-29,0.07,0.07,0.07,0.07,249
2024-11-27,0.05,0.05,0.05,0.05,0
2024-11-26,0.05,0.05,0.05,0.05,139
2024-11-25,0.06,0.06,0.06,0.06,114
2024-11-22,0.06,0.06,0.06,0.06,433
2024-11-21,0.04,0.06,0.04,0.06,1358
2024-11-20,0.04,0.04,0.04,0.04,153
2024-11-19,0.04,0.04,0.04,0.04,0
2024-11-18,0.04,0.04,0.04,0.04,384
2024-11-15,0.18,0.18,0.01,0.05,19399
2024-11-14,0.03,0.18,0.03,0.03,4368
2024-11-13,0.04,0.05,0.02,0.02,4584
2024-11-12,0.08,0.08,0.08,0.08,0
2024-11-11,0.04,0.08,0.04,0.08,9117
2024-11-08,0.05,0.05,0.05,0.05,1166
2024-11-07,0.14,0.14,0.07,0.07,9152
2024-11-06,0.17,0.17,0.17,0.17,0
2024-11-05,0.1,0.17,0.1,0.17,4042
2024-11-04,0.1,0.1,0.1,0.1,0
2024-11-01,0.1,0.1,0.1,0.1,153
2024-10-31,0.11,0.11,0.07,0.07,1056
2024-10-30,0.05,0.06,0.05,0.06,1687
