Date,Open,High,Low,Close,Volume
2025-03-21,0.45,0.45,0.42,0.42,295400
2025-03-20,0.44,0.46,0.4,0.45,731200
2025-03-19,0.42,0.44,0.41,0.44,479000
2025-03-18,0.42,0.43,0.39,0.41,474400
2025-03-17,0.4,0.44,0.38,0.43,1467000
2025-03-14,0.4,0.41,0.36,0.38,1865100
2025-03-13,0.43,0.43,0.4,0.41,33440800
2025-03-12,0.38,0.38,0.35,0.36,648200
2025-03-11,0.37,0.41,0.37,0.4,570000
2025-03-10,0.38,0.39,0.35,0.38,490400
2025-03-07,0.4,0.41,0.37,0.39,544800
2025-03-06,0.4,0.41,0.35,0.4,617600
2025-03-05,0.35,0.4,0.33,0.39,979000
2025-03-04,0.31,0.35,0.27,0.35,1431300
2025-03-03,0.33,0.34,0.3,0.33,854500
2025-02-28,0.32,0.35,0.3,0.34,766700
2025-02-27,0.34,0.37,0.32,0.34,1575600
2025-02-26,0.42,0.49,0.34,0.36,45931700
2025-02-25,0.39,0.4,0.33,0.37,1018000
2025-02-24,0.39,0.42,0.39,0.41,423200
2025-02-21,0.4,0.42,0.37,0.39,853700
2025-02-20,0.44,0.44,0.4,0.4,515400
2025-02-19,0.43,0.44,0.41,0.43,391300
2025-02-18,0.42,0.45,0.41,0.43,518300
2025-02-14,0.43,0.45,0.41,0.42,1129700
2025-02-13,0.45,0.45,0.43,0.44,469900
2025-02-12,0.44,0.47,0.43,0.45,798500
2025-02-11,0.48,0.48,0.45,0.46,598600
2025-02-10,0.5,0.52,0.47,0.48,788100
2025-02-07,0.51,0.53,0.48,0.5,772200
2025-02-06,0.48,0.53,0.47,0.51,1118900
2025-02-05,0.45,0.5,0.45,0.47,674600
2025-02-04,0.47,0.5,0.44,0.47,836500
2025-02-03,0.43,0.47,0.43,0.44,919800
2025-01-31,0.47,0.5,0.46,0.47,1042300
2025-01-30,0.46,0.49,0.43,0.45,1217400
2025-01-29,0.5,0.51,0.46,0.46,1999500
2025-01-28,0.52,0.54,0.48,0.52,2183700
2025-01-27,0.57,0.66,0.54,0.54,4419100
2025-01-24,0.57,0.59,0.52,0.58,3965500
2025-01-23,0.6,0.61,0.52,0.6,10836700
2025-01-22,0.72,0.92,0.61,0.64,328541400
2025-01-21,0.53,0.55,0.49,0.49,880700
2025-01-17,0.54,0.55,0.49,0.53,640400
2025-01-16,0.51,0.59,0.5,0.56,1151700
2025-01-15,0.45,0.54,0.44,0.52,221000
2025-01-14,0.52,0.52,0.43,0.46,208200
2025-01-13,0.52,0.55,0.51,0.52,76700
2025-01-10,0.56,0.58,0.51,0.53,431500
2025-01-08,0.53,0.55,0.51,0.54,224700
2025-01-07,0.52,0.58,0.48,0.54,643200
2025-01-06,0.54,0.55,0.48,0.55,604600
2025-01-03,0.46,0.54,0.45,0.52,1255400
2025-01-02,0.41,0.45,0.39,0.45,285500
2024-12-31,0.42,0.42,0.38,0.41,322000
2024-12-30,0.42,0.43,0.4,0.41,235300
2024-12-27,0.43,0.43,0.4,0.41,489000
2024-12-26,0.41,0.43,0.39,0.41,166500
2024-12-24,0.39,0.41,0.38,0.41,123500
2024-12-23,0.43,0.45,0.38,0.4,638100
2024-12-20,0.42,0.44,0.4,0.4,192800
2024-12-19,0.45,0.45,0.42,0.42,136100
