Date,Open,High,Low,Close,Volume
2025-03-21,6.87,6.98,6.85,6.92,23000
2025-03-20,6.57,6.99,6.57,6.8,5900
2025-03-19,7.25,7.27,6.91,7.03,9200
2025-03-18,7.3,7.3,6.91,7.21,4000
2025-03-17,6.55,7.3,6.55,7.0,29400
2025-03-14,6.77,6.88,6.51,6.55,15900
2025-03-13,7.03,7.03,6.73,6.75,4400
2025-03-12,6.76,7.13,6.76,6.95,15100
2025-03-11,6.61,6.91,6.49,6.91,6200
2025-03-10,7.13,7.13,6.66,6.78,10800
2025-03-07,7.01,7.08,6.83,7.05,11700
2025-03-06,7.31,7.37,6.74,7.17,31600
2025-03-05,6.93,7.97,6.93,7.57,80200
2025-03-04,6.72,7.0,6.44,6.92,13000
2025-03-03,7.19,7.19,6.66,6.99,32600
2025-02-28,7.17,7.17,6.61,6.93,10800
2025-02-27,6.86,7.15,6.6,6.97,24600
2025-02-26,6.45,6.75,6.41,6.71,26500
2025-02-25,6.5,6.75,6.48,6.57,21900
2025-02-24,6.65,6.7,6.39,6.64,37700
2025-02-21,6.95,6.95,6.55,6.64,31100
2025-02-20,6.8,6.99,6.5,6.84,33000
2025-02-19,7.25,7.61,6.61,6.77,112500
2025-02-18,8.38,8.38,7.21,7.22,155100
2025-02-14,7.84,8.65,7.7,8.38,73700
2025-02-13,7.4,7.86,7.01,7.76,105000
2025-02-12,8.02,8.99,6.97,7.44,622400
2025-02-11,10.07,10.88,10.0,10.88,113700
2025-02-10,11.2,11.2,9.83,10.3,63300
2025-02-07,10.48,11.2,10.48,11.02,92000
2025-02-06,9.55,10.79,9.55,10.73,83200
2025-02-05,9.15,9.8,9.15,9.7,77600
2025-02-04,9.25,9.66,9.25,9.3,24100
2025-02-03,9.07,9.4,9.0,9.22,41000
2025-01-31,9.57,9.59,8.87,9.2,188100
2025-01-30,8.85,9.74,8.34,9.48,69000
2025-01-29,8.7,8.9,8.34,8.83,29500
2025-01-28,8.35,8.95,8.04,8.77,73100
2025-01-27,8.0,8.44,7.84,8.36,112400
2025-01-24,8.25,8.3,7.92,8.11,60900
2025-01-23,7.62,8.35,7.61,8.15,62100
2025-01-22,7.65,7.85,7.51,7.69,76000
2025-01-21,7.3,7.85,7.0,7.68,140800
2025-01-17,7.01,7.6,7.01,7.25,17500
2025-01-16,7.15,7.24,6.95,7.01,7600
2025-01-15,6.5,7.18,6.5,7.13,13800
2025-01-14,6.62,6.74,6.51,6.65,20100
2025-01-13,6.71,6.84,6.55,6.55,15800
2025-01-10,6.8,7.12,6.61,6.81,36900
2025-01-08,7.49,7.7,6.76,6.82,66000
2025-01-07,7.65,7.84,7.41,7.69,45400
2025-01-06,8.01,8.14,7.45,7.53,80000
2025-01-03,7.8,8.39,7.8,7.93,114400
2025-01-02,7.39,8.79,7.39,7.71,180300
2024-12-31,6.89,7.2,6.52,6.94,33200
2024-12-30,7.14,7.2,6.81,6.87,34500
2024-12-27,7.05,7.19,6.83,6.98,26700
2024-12-26,6.33,7.32,6.24,6.93,49600
2024-12-24,6.04,6.28,6.04,6.24,38000
2024-12-23,5.9,6.0,5.8,6.0,13200
2024-12-20,5.78,6.04,5.75,5.92,12900
2024-12-19,5.8,6.0,5.67,6.0,17900
2024-12-18,5.99,6.13,5.7,5.76,19800
2024-12-17,5.99,6.2,5.95,6.19,3300
2024-12-16,6.08,6.23,6.06,6.11,23900
2024-12-13,6.12,6.18,6.0,6.18,25000
2024-12-12,6.2,6.34,6.05,6.09,12500
2024-12-11,6.46,6.52,6.15,6.21,48500
2024-12-10,6.58,6.58,6.46,6.46,6200
2024-12-09,6.4,6.73,6.4,6.55,89400
2024-12-06,6.33,6.79,6.33,6.79,2400
2024-12-05,6.56,6.56,6.16,6.28,33600
2024-12-04,6.54,6.81,6.48,6.68,12300
2024-12-03,6.78,6.83,6.41,6.54,42100
2024-12-02,6.8,6.85,6.72,6.72,2700
2024-11-29,6.38,6.99,6.38,6.86,23400
2024-11-27,6.45,6.95,6.25,6.65,83900
2024-11-26,7.01,7.01,6.15,6.49,73000
2024-11-25,6.98,7.03,6.82,6.91,18600
2024-11-22,6.61,6.8,6.46,6.8,74100
2024-11-21,6.14,6.55,6.1,6.55,23700
2024-11-20,6.35,6.5,6.0,6.43,39300
2024-11-19,6.49,6.67,6.27,6.47,16100
2024-11-18,6.82,6.82,6.45,6.6,11700
2024-11-15,6.66,6.87,6.66,6.7,10000
2024-11-14,6.8,6.96,6.64,6.76,14000
2024-11-13,7.02,7.3,6.64,6.95,50400
2024-11-12,7.3,7.5,7.08,7.09,21300
2024-11-11,7.44,7.85,7.4,7.4,89300
2024-11-08,6.85,7.84,6.85,7.63,156500
2024-11-07,6.91,7.01,6.86,6.87,5800
2024-11-06,6.82,7.07,6.8,7.05,15000
2024-11-05,6.71,6.89,6.7,6.7,5800
2024-11-04,6.98,6.98,6.75,6.78,18900
2024-11-01,7.02,7.1,6.88,6.99,12300
2024-10-31,7.01,7.04,6.81,7.04,26100
2024-10-30,6.75,7.0,6.75,6.85,22400
2024-10-29,7.24,7.24,6.83,7.19,18800
2024-10-28,6.75,7.24,6.66,7.19,36700
2024-10-25,6.76,7.12,6.6,6.8,70800
2024-10-24,6.2,6.85,6.05,6.55,92000
2024-10-23,5.4,6.25,5.4,6.05,31100
2024-10-22,5.17,5.53,5.15,5.53,22700
2024-10-21,5.22,5.25,5.07,5.24,11100
2024-10-18,5.24,5.25,5.0,5.2,9800
2024-10-17,5.25,5.3,4.95,5.11,12600
2024-10-16,5.12,5.39,5.12,5.26,10000
2024-10-15,5.17,5.25,5.04,5.2,6300
2024-10-14,5.19,5.39,5.15,5.17,8800
2024-10-11,5.26,5.37,5.19,5.27,6100
2024-10-10,5.35,5.35,5.13,5.26,8400
2024-10-09,5.3,5.39,5.08,5.22,23700
2024-10-08,5.35,5.37,5.3,5.31,6700
2024-10-07,5.31,5.4,5.25,5.35,7600
2024-10-04,5.28,5.4,5.25,5.4,9200
2024-10-03,5.45,5.45,5.29,5.3,5400
2024-10-02,5.36,5.46,5.33,5.39,6900
2024-10-01,5.7,5.7,5.25,5.48,11000
2024-09-30,5.4,5.76,5.37,5.7,6500
2024-09-27,5.12,5.39,5.12,5.35,4900
2024-09-26,5.47,5.56,5.14,5.25,27400
2024-09-25,5.55,5.55,5.42,5.46,9600
2024-09-24,5.68,5.73,5.45,5.52,21400
2024-09-23,5.91,5.91,5.68,5.68,14600
2024-09-20,5.77,5.9,5.75,5.79,43900
2024-09-19,5.98,6.05,5.8,5.8,12500
2024-09-18,5.9,6.05,5.8,5.8,10100
2024-09-17,5.8,5.95,5.73,5.75,15800
2024-09-16,5.93,6.09,5.76,5.76,12900
2024-09-13,5.97,6.2,5.91,5.91,8300
2024-09-12,6.04,6.11,5.95,5.95,6500
2024-09-11,5.95,6.03,5.95,6.02,10600
2024-09-10,5.99,6.08,5.9,5.91,6300
2024-09-09,5.91,6.02,5.8,5.95,8100
2024-09-06,5.81,6.02,5.73,6.0,11500
2024-09-05,5.81,6.02,5.81,5.85,6600
2024-09-04,6.14,6.14,5.91,6.02,1400
2024-09-03,5.85,6.11,5.85,5.89,17600
2024-08-30,5.99,5.99,5.85,5.85,1600
2024-08-29,5.84,6.12,5.84,5.89,3700
2024-08-28,5.91,5.97,5.86,5.9,5800
2024-08-27,6.05,6.13,5.9,6.06,3200
2024-08-26,6.05,6.15,6.05,6.13,9700
2024-08-23,5.92,6.01,5.83,6.01,6000
2024-08-22,6.09,6.09,5.8,6.0,12300
2024-08-21,6.1,6.42,6.0,6.01,20900
2024-08-20,6.18,6.33,6.11,6.22,3400
2024-08-19,6.11,6.44,6.03,6.28,9200
2024-08-16,6.14,6.22,5.95,6.11,4500
2024-08-15,6.05,6.3,6.05,6.28,10300
2024-08-14,6.04,6.19,5.88,6.07,5900
2024-08-13,6.04,6.1,5.81,5.99,10800
2024-08-12,5.98,6.19,5.77,5.91,10000
2024-08-09,5.86,5.94,5.8,5.85,16500
2024-08-08,6.02,6.17,5.74,5.75,20100
2024-08-07,6.11,6.22,5.82,6.14,12300
2024-08-06,6.17,6.34,5.81,6.19,18000
2024-08-05,5.7,6.45,5.46,5.95,111800
2024-08-02,6.26,6.29,5.9,5.9,18600
2024-08-01,6.41,6.45,6.25,6.28,17200
2024-07-31,6.4,6.75,6.4,6.5,8400
2024-07-30,7.06,7.14,6.39,6.47,33100
2024-07-29,7.22,7.25,6.93,7.07,8500
2024-07-26,7.02,7.09,6.79,6.91,32800
2024-07-25,7.17,7.35,7.0,7.24,12900
2024-07-24,6.93,7.37,6.87,7.37,47100
2024-07-23,6.92,7.08,6.62,7.08,17000
2024-07-22,6.77,7.09,6.61,6.86,42400
2024-07-19,6.99,6.99,6.66,6.76,32400
2024-07-18,7.36,7.78,6.83,6.83,40600
2024-07-17,7.61,7.74,7.36,7.61,20800
2024-07-16,7.58,7.86,7.51,7.82,34500
2024-07-15,7.46,7.88,7.33,7.55,20500
2024-07-12,7.09,7.56,7.01,7.48,40200
2024-07-11,7.66,7.85,7.2,7.24,69900
2024-07-10,7.25,7.88,7.14,7.6,150300
2024-07-09,6.78,7.23,6.49,7.11,111700
2024-07-08,6.99,7.2,6.81,6.81,98100
2024-07-05,6.78,7.17,6.72,6.9,74900
2024-07-03,6.58,6.97,6.58,6.82,42600
2024-07-02,6.86,7.17,6.52,6.71,118900
2024-07-01,7.05,7.3,6.32,6.89,331800
2024-06-28,6.72,7.6,6.4,7.09,1084400
2024-06-27,5.8,7.07,5.8,6.45,11683400
2024-06-26,4.68,4.79,4.21,4.6,87500
2024-06-25,4.76,5.11,4.64,4.68,40300
2024-06-24,5.27,5.46,4.88,4.9,34000
2024-06-21,5.58,5.73,5.4,5.4,6700
2024-06-20,5.2,5.54,5.2,5.4,5000
2024-06-18,5.8,5.85,5.2,5.2,29500
2024-06-17,6.0,6.04,5.75,5.75,11900
2024-06-14,5.9,6.02,5.9,5.96,13700
2024-06-13,6.15,6.29,5.88,6.0,33500
2024-06-12,6.11,6.78,6.03,6.15,34200
2024-06-11,6.1,6.41,6.1,6.18,5600
2024-06-10,6.57,6.7,6.02,6.21,21400
2024-06-07,6.59,6.66,6.57,6.57,3800
2024-06-06,6.73,6.85,6.57,6.57,8500
2024-06-05,7.03,7.03,6.82,6.83,4300
2024-06-04,6.81,7.18,6.74,6.74,7100
2024-06-03,6.99,7.18,6.77,6.77,7100
2024-05-31,6.07,7.23,6.07,6.72,49000
2024-05-30,6.21,6.47,6.2,6.45,7700
2024-05-29,6.31,6.34,6.2,6.22,5600
2024-05-28,6.5,6.64,6.21,6.45,58600
2024-05-24,6.5,6.56,6.5,6.51,7300
2024-05-23,6.62,6.64,6.5,6.5,354900
2024-05-22,6.55,6.65,6.5,6.51,3900
2024-05-21,6.53,6.65,6.53,6.58,5300
2024-05-20,6.65,6.68,6.5,6.63,7500
2024-05-17,6.66,6.69,6.5,6.55,2700
2024-05-16,6.7,6.95,6.5,6.73,11100
2024-05-15,6.71,6.82,6.68,6.76,3800
2024-05-14,6.82,7.09,6.7,6.86,8100
2024-05-13,6.97,7.15,6.8,6.82,3700
2024-05-10,7.29,7.29,6.85,6.9,8500
2024-05-09,6.93,6.93,6.71,6.71,700
2024-05-08,6.84,7.3,6.8,7.08,2400
2024-05-07,7.03,7.17,6.74,6.92,17500
2024-05-06,6.99,7.03,6.69,6.94,10700
2024-05-03,6.83,7.01,6.78,7.01,4500
2024-05-02,6.72,7.03,6.7,6.76,8100
2024-05-01,6.62,7.09,6.62,6.81,8700
2024-04-30,6.84,6.85,6.74,6.82,1600
2024-04-29,6.35,6.98,6.35,6.85,10200
2024-04-26,6.32,6.54,6.24,6.3,5700
2024-04-25,6.7,6.77,6.18,6.18,8200
2024-04-24,6.48,6.51,6.4,6.4,1100
2024-04-23,6.26,6.68,6.22,6.57,5300
2024-04-22,6.47,6.47,6.15,6.33,12600
2024-04-19,6.83,6.83,6.43,6.59,7600
