Date,Open,High,Low,Close,Volume
2025-03-20,0.0,0.0,0.0,0.0,503867
2025-03-19,0.0,0.0,0.0,0.0,10193546
2025-03-18,0.0,0.0,0.0,0.0,13072702
2025-03-17,0.0,0.0,0.0,0.0,4703000
2025-03-14,0.0,0.0,0.0,0.0,660000
2025-03-13,0.0,0.0,0.0,0.0,2095000
2025-03-12,0.0,0.0,0.0,0.0,0
2025-03-11,0.0,0.0,0.0,0.0,5220000
2025-03-10,0.0,0.0,0.0,0.0,9677900
2025-03-07,0.0,0.0,0.0,0.0,0
2025-03-06,0.0,0.0,0.0,0.0,9884999
2025-03-05,0.0,0.0,0.0,0.0,0
2025-03-04,0.0,0.0,0.0,0.0,3593332
2025-03-03,0.0,0.0,0.0,0.0,6393096
2025-02-28,0.0,0.0,0.0,0.0,8221092
2025-02-27,0.0,0.0,0.0,0.0,0
2025-02-26,0.0,0.0,0.0,0.0,7580002
2025-02-25,0.0,0.0,0.0,0.0,8771727
2025-02-24,0.0,0.0,0.0,0.0,11572494
2025-02-21,0.0,0.0,0.0,0.0,18525586
2025-02-20,0.0,0.0,0.0,0.0,7075707
2025-02-19,0.0,0.0,0.0,0.0,525040
2025-02-18,0.0,0.0,0.0,0.0,1533289
2025-02-14,0.0,0.0,0.0,0.0,0
2025-02-13,0.0,0.0,0.0,0.0,450
2025-02-12,0.0,0.0,0.0,0.0,0
2025-02-11,0.0,0.0,0.0,0.0,2950418
2025-02-10,0.0,0.0,0.0,0.0,710000
2025-02-07,0.0,0.0,0.0,0.0,0
2025-02-06,0.0,0.0,0.0,0.0,10000
2025-02-05,0.0,0.0,0.0,0.0,3380507
2025-02-04,0.0,0.0,0.0,0.0,5190025
2025-02-03,0.0,0.0,0.0,0.0,2903284
2025-01-31,0.0,0.0,0.0,0.0,5530654
2025-01-30,0.0,0.0,0.0,0.0,2135420
2025-01-29,0.0,0.0,0.0,0.0,10001
2025-01-28,0.0,0.0,0.0,0.0,4405645
2025-01-27,0.0,0.0,0.0,0.0,2441067
2025-01-24,0.0,0.0,0.0,0.0,40000
2025-01-23,0.0,0.0,0.0,0.0,177000
2025-01-22,0.0,0.0,0.0,0.0,2164522
2025-01-21,0.0,0.0,0.0,0.0,12630169
2025-01-17,0.0,0.0,0.0,0.0,5542474
2025-01-16,0.0,0.0,0.0,0.0,8145526
2025-01-15,0.0,0.0,0.0,0.0,2552560
2025-01-14,0.0,0.0,0.0,0.0,9346384
2025-01-13,0.0,0.0,0.0,0.0,1522004
2025-01-10,0.0,0.0,0.0,0.0,1369998
2025-01-08,0.0,0.0,0.0,0.0,907740
2025-01-07,0.0,0.0,0.0,0.0,5611796
2025-01-06,0.0,0.0,0.0,0.0,316003
2025-01-03,0.0,0.0,0.0,0.0,25076
2025-01-02,0.0,0.0,0.0,0.0,520000
2024-12-31,0.0,0.0,0.0,0.0,4038204
2024-12-30,0.0,0.0,0.0,0.0,4542166
2024-12-27,0.0,0.0,0.0,0.0,2368862
2024-12-26,0.0,0.0,0.0,0.0,2456363
2024-12-24,0.0,0.0,0.0,0.0,1532539
2024-12-23,0.0,0.0,0.0,0.0,100000
2024-12-20,0.0,0.0,0.0,0.0,168000
2024-12-19,0.0,0.0,0.0,0.0,390000
2024-12-18,0.0,0.0,0.0,0.0,0
2024-12-17,0.0,0.0,0.0,0.0,11000
2024-12-16,0.01,0.01,0.01,0.01,1857
2024-12-13,0.0,0.0,0.0,0.0,12621
2024-12-12,0.0,0.0,0.0,0.0,22501
2024-12-11,0.01,0.01,0.01,0.01,0
2024-12-10,0.01,0.01,0.01,0.01,0
2024-12-09,0.01,0.01,0.01,0.01,90150
2024-12-06,0.0,0.01,0.0,0.01,112764
2024-12-05,0.0,0.01,0.0,0.01,40676
2024-12-04,0.0,0.0,0.0,0.0,750
2024-12-03,0.01,0.01,0.01,0.01,0
2024-12-02,0.01,0.01,0.01,0.01,193299
2024-11-29,0.01,0.01,0.01,0.01,120000
2024-11-27,0.01,0.01,0.01,0.01,709396
2024-11-26,0.0,0.01,0.0,0.0,55000
2024-11-25,0.0,0.0,0.0,0.0,0
2024-11-22,0.0,0.0,0.0,0.0,0
2024-11-21,0.0,0.0,0.0,0.0,5000
2024-11-20,0.0,0.01,0.0,0.01,228000
2024-11-19,0.01,0.01,0.01,0.01,20500
2024-11-18,0.01,0.01,0.01,0.01,0
2024-11-15,0.01,0.01,0.01,0.01,48001
2024-11-14,0.01,0.01,0.0,0.0,658186
2024-11-13,0.0,0.0,0.0,0.0,110000
2024-11-12,0.0,0.0,0.0,0.0,10000
2024-11-11,0.01,0.01,0.01,0.01,0
2024-11-08,0.01,0.01,0.01,0.01,672000
2024-11-07,0.0,0.0,0.0,0.0,0
2024-11-06,0.01,0.01,0.0,0.0,143798
2024-11-05,0.01,0.01,0.01,0.01,100000
2024-11-04,0.01,0.01,0.01,0.01,1069010
2024-11-01,0.01,0.01,0.01,0.01,200000
2024-10-31,0.01,0.01,0.01,0.01,945892
2024-10-30,0.01,0.01,0.01,0.01,865673
2024-10-29,0.01,0.01,0.01,0.01,0
2024-10-28,0.01,0.01,0.01,0.01,74462
2024-10-25,0.01,0.01,0.01,0.01,4800
2024-10-24,0.01,0.01,0.01,0.01,0
2024-10-23,0.01,0.01,0.01,0.01,3029
2024-10-22,0.01,0.01,0.01,0.01,0
2024-10-21,0.01,0.01,0.01,0.01,201100
2024-10-18,0.01,0.01,0.01,0.01,0
2024-10-17,0.01,0.01,0.01,0.01,10000
2024-10-16,0.01,0.01,0.01,0.01,3940
2024-10-15,0.01,0.01,0.01,0.01,18000
2024-10-14,0.01,0.01,0.01,0.01,20000
2024-10-11,0.01,0.01,0.01,0.01,300000
2024-10-10,0.01,0.01,0.01,0.01,0
2024-10-09,0.01,0.01,0.01,0.01,0
2024-10-08,0.01,0.01,0.01,0.01,500000
2024-10-07,0.01,0.01,0.01,0.01,86195
2024-10-04,0.01,0.01,0.01,0.01,15000
2024-10-03,0.01,0.01,0.01,0.01,0
2024-10-02,0.01,0.01,0.01,0.01,10000
2024-10-01,0.01,0.01,0.01,0.01,0
2024-09-30,0.01,0.01,0.01,0.01,145000
2024-09-27,0.01,0.01,0.01,0.01,159754
2024-09-26,0.01,0.01,0.01,0.01,100000
2024-09-25,0.01,0.01,0.01,0.01,649800
2024-09-24,0.01,0.01,0.01,0.01,599827
2024-09-23,0.01,0.01,0.01,0.01,325
2024-09-20,0.01,0.01,0.01,0.01,10000
2024-09-19,0.01,0.01,0.01,0.01,0
2024-09-18,0.01,0.01,0.01,0.01,1000
2024-09-17,0.01,0.01,0.01,0.01,0
2024-09-16,0.01,0.01,0.01,0.01,7211
2024-09-13,0.01,0.01,0.01,0.01,500
2024-09-12,0.01,0.01,0.01,0.01,0
2024-09-11,0.01,0.01,0.01,0.01,0
2024-09-10,0.01,0.01,0.01,0.01,0
2024-09-09,0.01,0.01,0.01,0.01,263200
2024-09-06,0.01,0.01,0.01,0.01,181654
2024-09-05,0.01,0.01,0.01,0.01,442097
2024-09-04,0.01,0.01,0.01,0.01,0
2024-09-03,0.01,0.01,0.01,0.01,0
2024-08-30,0.01,0.01,0.01,0.01,0
2024-08-29,0.01,0.01,0.01,0.01,200000
2024-08-28,0.01,0.01,0.01,0.01,0
2024-08-27,0.01,0.01,0.01,0.01,0
2024-08-26,0.01,0.01,0.01,0.01,0
2024-08-23,0.01,0.01,0.01,0.01,0
2024-08-22,0.01,0.01,0.01,0.01,0
2024-08-21,0.01,0.01,0.01,0.01,0
2024-08-20,0.01,0.01,0.01,0.01,8999
2024-08-19,0.01,0.01,0.01,0.01,0
2024-08-16,0.01,0.01,0.01,0.01,0
2024-08-15,0.01,0.01,0.01,0.01,110101
2024-08-14,0.01,0.01,0.01,0.01,100101
2024-08-13,0.01,0.01,0.01,0.01,1612720
2024-08-12,0.01,0.01,0.01,0.01,0
2024-08-09,0.01,0.01,0.01,0.01,66000
2024-08-08,0.02,0.02,0.01,0.01,454133
2024-08-07,0.02,0.02,0.02,0.02,30300
2024-08-06,0.03,0.03,0.02,0.02,292724
2024-08-05,0.04,0.04,0.03,0.03,32820
2024-08-02,0.04,0.04,0.04,0.04,0
2024-08-01,0.02,0.04,0.02,0.04,4061
2024-07-31,0.04,0.04,0.04,0.04,0
2024-07-30,0.04,0.04,0.04,0.04,3200
2024-07-29,0.03,0.03,0.03,0.03,4300
2024-07-26,0.03,0.04,0.03,0.04,1000
2024-07-25,0.04,0.04,0.04,0.04,0
2024-07-24,0.04,0.04,0.04,0.04,0
2024-07-23,0.04,0.04,0.04,0.04,1000
2024-07-22,0.04,0.04,0.04,0.04,0
2024-07-19,0.04,0.04,0.04,0.04,0
2024-07-18,0.04,0.04,0.04,0.04,13252
2024-07-17,0.02,0.02,0.02,0.02,0
2024-07-16,0.02,0.02,0.02,0.02,7000
2024-07-15,0.03,0.03,0.03,0.03,0
2024-07-12,0.03,0.04,0.03,0.03,7521
2024-07-11,0.03,0.03,0.02,0.02,9438
2024-07-10,0.05,0.05,0.05,0.05,3500
2024-07-09,0.03,0.03,0.03,0.03,10275
2024-07-08,0.02,0.03,0.02,0.03,15000
2024-07-05,0.02,0.04,0.02,0.04,20135
