Date,Open,High,Low,Close,Volume
2025-03-19,11.16,11.48,11.16,11.44,100386
2025-03-18,11.01,11.35,10.87,11.13,126700
2025-03-17,10.9,11.24,10.77,11.18,101900
2025-03-14,10.89,11.05,10.76,10.77,103000
2025-03-13,10.99,11.05,10.65,10.78,144600
2025-03-12,11.19,11.2,10.74,11.05,138800
2025-03-11,11.6,11.6,11.08,11.09,146900
2025-03-10,11.51,11.64,11.03,11.48,146500
2025-03-07,12.3,12.48,11.54,11.78,159400
2025-03-06,11.08,11.3,10.92,11.23,96600
2025-03-05,11.22,11.25,10.91,11.12,63000
2025-03-04,11.35,11.37,11.13,11.22,101600
2025-03-03,12.29,12.29,11.35,11.43,128800
2025-02-28,11.56,11.81,11.55,11.78,78900
2025-02-27,11.85,12.0,11.57,11.61,90300
2025-02-26,12.61,12.65,11.82,11.91,247600
2025-02-25,12.58,13.85,12.41,12.64,660000
2025-02-24,11.39,11.39,11.05,11.18,88600
2025-02-21,11.72,11.72,11.06,11.3,101600
2025-02-20,11.52,11.57,11.22,11.55,57100
2025-02-19,11.55,11.55,11.15,11.52,87000
2025-02-18,11.9,11.95,11.65,11.7,95900
2025-02-14,11.8,11.97,11.66,11.91,69700
2025-02-13,11.37,11.81,11.24,11.68,92900
2025-02-12,11.34,11.4,10.88,11.29,72200
2025-02-11,11.25,11.58,11.25,11.56,74500
2025-02-10,11.34,11.48,11.24,11.42,74100
2025-02-07,11.54,11.6,11.09,11.25,77000
2025-02-06,12.0,12.14,11.51,11.56,73200
2025-02-05,12.27,12.39,11.79,11.97,77000
2025-02-04,12.08,12.45,12.08,12.31,76800
2025-02-03,12.05,12.36,11.97,12.06,90600
2025-01-31,12.98,13.06,12.44,12.45,64600
2025-01-30,13.26,13.46,12.83,12.92,51800
2025-01-29,13.11,13.36,13.05,13.19,62200
2025-01-28,13.46,13.54,12.94,13.11,126300
2025-01-27,13.31,13.55,13.1,13.47,103700
2025-01-24,13.3,13.46,13.2,13.46,91000
2025-01-23,12.88,13.38,12.88,13.38,79400
2025-01-22,13.14,13.23,13.0,13.04,80400
2025-01-21,13.17,13.33,12.9,13.14,99100
2025-01-17,13.14,13.23,12.86,13.05,98200
2025-01-16,13.28,13.32,12.74,12.91,102200
2025-01-15,13.15,13.37,12.75,13.2,97200
2025-01-14,12.96,12.96,12.11,12.75,199300
2025-01-13,12.55,12.93,12.32,12.9,193100
2025-01-10,12.88,13.02,12.5,12.86,121300
2025-01-08,13.3,13.56,12.81,13.14,108700
2025-01-07,13.85,14.12,13.25,13.38,140100
2025-01-06,13.59,13.87,13.52,13.84,107200
2025-01-03,13.31,13.56,13.07,13.43,163900
2025-01-02,13.38,13.66,13.03,13.25,100400
2024-12-31,13.22,13.37,12.93,13.14,152800
2024-12-30,13.16,13.35,12.96,13.17,107700
2024-12-27,13.58,13.58,13.21,13.4,115500
2024-12-26,13.5,13.85,13.39,13.63,87100
2024-12-24,13.28,13.7,13.19,13.57,79400
2024-12-23,13.18,13.27,12.99,13.24,95100
2024-12-20,12.89,13.33,12.89,13.07,145800
2024-12-19,13.24,13.29,12.86,13.08,134500
2024-12-18,14.1,14.27,12.9,13.1,149300
2024-12-17,14.09,14.4,13.86,13.99,134500
2024-12-16,14.23,14.62,14.13,14.24,98700
2024-12-13,14.3,14.48,13.79,14.24,104500
2024-12-12,15.1,15.46,14.25,14.29,101800
2024-12-11,15.04,15.41,14.4,15.19,188800
2024-12-10,15.12,15.32,14.43,14.69,204500
2024-12-09,14.63,15.59,14.63,15.04,332000
2024-12-06,14.11,14.43,13.88,14.36,258800
2024-12-05,14.6,14.78,13.61,14.0,601400
2024-12-04,16.45,16.46,15.85,16.09,187100
2024-12-03,16.64,16.71,16.04,16.42,140200
2024-12-02,16.01,16.82,15.77,16.73,197900
2024-11-29,15.6,16.08,15.47,15.95,113700
2024-11-27,15.88,16.17,15.38,15.44,96400
2024-11-26,16.12,16.13,15.51,15.76,100300
2024-11-25,15.56,16.58,15.52,16.21,116600
2024-11-22,15.06,15.44,15.04,15.33,67900
2024-11-21,14.86,15.22,14.66,14.95,131400
2024-11-20,14.7,14.94,14.46,14.77,106900
2024-11-19,14.82,15.06,14.69,14.8,83100
2024-11-18,15.4,15.49,14.88,15.04,117500
2024-11-15,16.12,16.21,15.23,15.4,112200
2024-11-14,16.43,16.6,15.99,16.11,137400
2024-11-13,16.83,17.29,16.32,16.37,106400
2024-11-12,16.62,17.1,16.4,16.56,116700
2024-11-11,16.09,16.92,16.09,16.71,157100
2024-11-08,16.72,16.77,16.05,16.17,127400
2024-11-07,16.86,17.46,16.57,16.66,135500
2024-11-06,17.07,17.58,16.39,16.75,213100
2024-11-05,16.02,16.36,16.0,16.25,97100
2024-11-04,15.83,16.29,15.83,16.08,97200
2024-11-01,15.85,16.21,15.85,16.09,98300
2024-10-31,16.31,16.41,15.57,15.74,107900
2024-10-30,16.38,16.96,16.21,16.37,93900
2024-10-29,16.52,16.71,16.24,16.4,107100
2024-10-28,16.5,16.94,16.5,16.72,128900
2024-10-25,16.3,16.7,16.06,16.24,69600
2024-10-24,16.29,16.58,16.02,16.07,76300
2024-10-23,16.55,16.89,16.0,16.28,133900
2024-10-22,16.34,16.77,16.25,16.75,132400
2024-10-21,17.64,17.78,16.45,16.5,206000
2024-10-18,17.9,18.28,17.39,17.68,127900
2024-10-17,19.8,19.88,17.62,17.86,256400
2024-10-16,19.12,19.8,18.95,19.8,157400
2024-10-15,18.41,19.33,18.39,18.71,209200
2024-10-14,17.25,18.53,17.19,18.32,238500
2024-10-11,15.97,17.09,15.92,17.06,132700
2024-10-10,16.32,16.32,15.53,16.07,88400
2024-10-09,16.61,16.69,16.2,16.57,75100
2024-10-08,16.43,16.9,16.38,16.56,119500
2024-10-07,16.53,16.88,16.36,16.69,116400
2024-10-04,16.49,16.98,16.33,16.6,123800
2024-10-03,16.23,16.44,15.76,16.15,75200
2024-10-02,15.87,16.39,15.8,16.35,85100
2024-10-01,17.25,17.25,16.06,16.08,136600
2024-09-30,17.1,17.65,16.88,17.27,126500
2024-09-27,17.0,17.58,16.87,17.11,118500
2024-09-26,16.91,17.08,16.68,16.84,130100
2024-09-25,16.68,16.95,16.25,16.46,110900
2024-09-24,16.66,17.17,16.66,16.71,113800
2024-09-23,16.77,16.94,16.27,16.75,123600
2024-09-20,16.37,16.91,16.08,16.5,172200
2024-09-19,16.53,16.71,16.34,16.69,67800
2024-09-18,15.63,16.95,15.63,16.07,145100
2024-09-17,15.33,15.89,15.18,15.65,89400
2024-09-16,15.06,15.43,14.91,15.17,115400
2024-09-13,14.25,15.24,14.22,15.02,128300
2024-09-12,13.93,14.35,13.74,14.11,86200
2024-09-11,13.81,13.97,13.68,13.78,55900
2024-09-10,13.58,14.03,13.3,13.95,88500
2024-09-09,13.64,14.27,13.33,13.55,133300
2024-09-06,14.24,14.44,12.76,13.18,131200
2024-09-05,16.49,17.76,14.22,14.27,295700
2024-09-04,15.25,15.25,14.7,15.11,89900
2024-09-03,15.4,15.54,15.14,15.3,95500
2024-08-30,15.59,15.77,15.43,15.49,60700
2024-08-29,15.61,15.77,15.3,15.49,51800
2024-08-28,16.54,16.54,15.33,15.53,113300
2024-08-27,15.94,17.28,15.74,16.7,121400
2024-08-26,15.61,16.21,15.61,16.02,79600
2024-08-23,14.88,15.78,14.88,15.46,57700
2024-08-22,15.19,15.19,14.75,14.84,46700
2024-08-21,15.24,15.35,14.93,15.26,31000
2024-08-20,15.12,15.22,14.88,15.02,81200
2024-08-19,15.44,15.56,15.09,15.13,62000
2024-08-16,15.13,15.51,15.11,15.4,61500
