Date,Open,High,Low,Close,Volume
2025-03-13,7.12,7.12,7.12,7.12,100
2025-03-12,7.09,7.09,7.09,7.09,0
2025-03-11,7.09,7.09,7.09,7.09,0
2025-03-10,7.16,7.19,7.09,7.09,5300
2025-03-07,7.29,7.29,7.27,7.27,1400
2025-03-06,7.45,7.47,7.34,7.34,700
2025-03-05,7.5,7.6,7.5,7.6,700
2025-03-04,7.45,7.6,7.45,7.45,2400
2025-03-03,7.3,7.5,7.3,7.45,3800
2025-02-28,7.3,7.3,7.3,7.3,100
2025-02-27,7.39,7.39,7.25,7.25,3300
2025-02-26,7.4,7.4,7.38,7.38,1100
2025-02-25,7.36,7.4,7.3,7.4,4500
2025-02-24,7.36,7.4,7.36,7.4,7300
2025-02-21,7.29,7.45,7.29,7.36,4900
2025-02-20,7.22,7.25,7.22,7.25,600
2025-02-19,7.18,7.2,7.18,7.2,400
2025-02-18,7.25,7.25,7.18,7.19,7700
2025-02-14,7.29,7.29,7.25,7.25,1100
2025-02-13,7.19,7.3,7.17,7.25,3300
2025-02-12,7.17,7.18,7.17,7.18,300
2025-02-11,7.18,7.18,7.18,7.18,100
2025-02-10,7.18,7.18,7.15,7.18,1700
2025-02-07,7.17,7.17,7.17,7.17,1000
2025-02-06,7.24,7.24,7.23,7.23,1800
2025-02-05,7.13,7.2,7.13,7.2,3400
2025-02-04,7.11,7.13,7.11,7.13,1600
2025-02-03,7.06,7.1,7.06,7.1,400
2025-01-31,7.06,7.09,7.05,7.09,6800
2025-01-30,7.2,7.2,7.06,7.06,10500
2025-01-29,7.1,7.16,7.1,7.16,2800
2025-01-28,7.01,7.15,7.01,7.13,1900
2025-01-27,7.05,7.1,7.0,7.0,8000
2025-01-24,7.06,7.1,7.04,7.05,1400
2025-01-23,7.1,7.19,7.1,7.19,500
2025-01-22,7.1,7.1,7.04,7.1,900
2025-01-21,7.05,7.05,7.05,7.05,500
2025-01-17,7.04,7.04,7.01,7.01,300
2025-01-16,7.1,7.1,7.0,7.0,2200
2025-01-15,7.12,7.18,7.1,7.17,1000
2025-01-14,7.18,7.18,7.12,7.12,1100
2025-01-13,7.17,7.17,7.17,7.17,0
2025-01-10,7.19,7.19,7.17,7.17,200
2025-01-08,7.05,7.05,7.05,7.05,0
2025-01-07,7.05,7.05,7.05,7.05,100
2025-01-06,7.01,7.2,7.0,7.04,2800
2025-01-03,7.0,7.0,7.0,7.0,0
2025-01-02,7.04,7.04,7.0,7.0,600
2024-12-31,6.98,7.0,6.98,7.0,2000
2024-12-30,7.15,7.19,6.9,7.0,12200
2024-12-27,7.18,7.21,7.15,7.15,2100
2024-12-26,7.2,7.2,7.0,7.0,5800
2024-12-24,7.08,7.19,7.08,7.19,2300
2024-12-23,7.11,7.11,7.06,7.06,2700
2024-12-20,7.11,7.11,7.11,7.11,0
