Date,Open,High,Low,Close,Volume
2025-03-14,454.56,458.0,452.85,455.5,1911900
2025-03-13,449.44,455.35,447.5,453.26,2213400
2025-03-12,451.8,453.44,447.33,449.67,2652600
2025-03-11,460.12,460.36,449.62,452.56,2845700
2025-03-10,464.44,469.61,456.5,460.52,3129200
2025-03-07,464.62,468.44,461.88,467.21,1824000
2025-03-06,465.14,468.59,461.81,464.61,3712100
2025-03-05,460.39,468.86,459.02,466.69,2385700
2025-03-04,467.04,467.72,458.35,459.82,5027000
2025-03-03,467.54,470.66,459.45,460.71,3072900
2025-02-28,463.52,466.78,459.1,465.5,2332900
2025-02-27,462.0,466.67,458.35,458.75,2071000
2025-02-26,464.81,465.96,459.74,460.02,1576100
2025-02-25,457.76,467.43,457.76,465.94,2342100
2025-02-24,457.48,462.66,454.5,457.01,2108300
2025-02-21,462.04,463.62,456.0,456.48,1939600
2025-02-20,458.17,460.59,456.88,460.36,1335400
2025-02-19,459.29,464.09,458.59,460.53,1883800
2025-02-18,453.36,464.48,448.55,464.28,2808500
2025-02-14,459.52,462.56,455.18,455.48,1705500
2025-02-13,456.04,461.06,455.86,459.52,2265300
2025-02-12,455.8,458.61,453.04,457.04,1695200
2025-02-11,458.72,461.0,457.79,459.21,1587700
2025-02-10,453.31,459.59,451.89,459.33,1876700
2025-02-07,455.02,456.64,451.0,453.54,1668100
2025-02-06,448.53,459.98,448.5,459.15,2423300
2025-02-05,451.89,453.56,449.41,452.19,2696500
2025-02-04,454.42,457.3,451.32,453.29,2503800
2025-02-03,443.55,453.3,439.0,452.7,2701200
2025-01-31,442.94,446.68,437.18,444.64,2820700
2025-01-30,437.54,448.18,437.54,444.9,2545900
2025-01-29,433.77,437.56,433.05,436.86,2631100
2025-01-28,438.54,438.95,433.79,434.06,2158400
2025-01-27,436.88,439.93,433.54,438.03,2833400
2025-01-24,441.4,441.9,437.58,437.79,1547800
2025-01-23,441.25,441.67,438.97,439.36,1811300
2025-01-22,444.19,447.2,441.0,441.13,2643900
2025-01-21,438.21,442.59,437.98,440.99,2281900
2025-01-17,438.54,438.54,432.09,434.55,2412200
2025-01-16,426.5,431.31,426.23,431.05,1511600
2025-01-15,431.78,432.48,424.99,426.56,2202300
2025-01-14,420.88,426.39,419.32,425.87,2344300
2025-01-13,414.41,421.27,412.32,420.03,2824500
2025-01-10,414.23,416.5,410.35,412.77,2642600
2025-01-08,415.35,419.02,412.82,418.61,2252300
2025-01-07,410.66,417.61,409.32,413.57,3209100
2025-01-06,414.05,416.99,410.75,411.54,2630600
2025-01-03,414.77,416.6,411.73,412.13,1995900
2025-01-02,419.35,421.31,412.39,412.79,2110900
2024-12-31,417.22,418.71,414.37,417.28,1386700
2024-12-30,417.79,418.86,414.03,416.27,1608000
2024-12-27,421.8,424.54,420.14,421.57,1444900
2024-12-26,422.71,425.18,421.5,422.91,991500
2024-12-24,420.78,424.64,419.18,424.35,824200
2024-12-23,421.03,424.24,416.29,420.93,2084300
2024-12-20,417.84,423.93,416.88,422.9,6680900
2024-12-19,420.7,424.16,417.64,418.19,3292000
2024-12-18,427.49,429.87,420.65,420.87,3271900
2024-12-17,426.82,431.75,424.52,428.77,3320200
2024-12-16,434.27,434.28,425.99,426.88,3691400
2024-12-13,436.16,436.34,431.32,433.85,2254200
2024-12-12,438.48,440.91,436.44,437.04,1719300
2024-12-11,441.82,444.17,438.7,439.07,1612500
2024-12-10,443.33,444.9,435.8,443.33,2326100
2024-12-09,446.41,449.3,440.46,441.11,2833900
2024-12-06,446.56,449.36,445.46,447.95,2191300
2024-12-05,455.74,456.13,446.52,447.09,2303200
2024-12-04,454.76,459.88,453.8,457.92,2188300
2024-12-03,460.36,460.36,455.06,456.6,1868300
2024-12-02,458.07,458.12,453.56,456.78,1801800
2024-11-29,454.09,458.73,453.2,458.07,1351500
2024-11-27,453.79,456.69,453.79,454.22,2069100
2024-11-26,450.6,453.77,448.42,453.71,2600000
2024-11-25,451.7,454.1,450.15,452.8,3835600
2024-11-22,450.96,454.3,450.68,451.9,1864800
2024-11-21,448.99,452.26,446.76,452.19,2072800
2024-11-20,440.93,448.04,438.73,447.29,1928700
2024-11-19,440.99,441.85,436.97,441.25,2084600
2024-11-18,443.7,446.41,442.47,445.73,1751400
2024-11-15,448.21,448.83,444.07,446.25,2414000
2024-11-14,452.76,454.97,450.23,450.62,1666700
2024-11-13,450.96,454.64,448.0,453.35,1538400
2024-11-12,455.37,457.37,450.7,452.7,1749000
2024-11-11,456.57,459.46,452.46,453.55,1981200
2024-11-08,462.38,462.67,456.3,456.57,1496700
2024-11-07,462.05,465.01,460.65,462.52,1925500
2024-11-06,460.88,462.74,455.41,459.7,2626900
2024-11-05,455.41,457.94,451.29,452.01,1749000
2024-11-04,455.08,458.87,453.4,455.41,1616100
2024-11-01,453.62,456.42,450.63,454.41,2347400
2024-10-31,452.07,460.07,451.59,453.26,3615600
2024-10-30,470.27,471.99,469.35,470.4,1794300
2024-10-29,471.64,473.3,469.75,471.65,2056600
2024-10-28,472.79,474.97,470.71,472.98,1440400
2024-10-25,472.11,475.62,469.93,470.76,2458400
2024-10-24,475.32,475.4,468.63,471.45,994300
2024-10-23,476.13,479.18,473.84,474.4,1541400
2024-10-22,478.73,479.42,474.97,478.9,1429700
2024-10-21,481.88,482.41,478.01,480.3,1065700
2024-10-18,480.08,484.19,478.46,483.37,1255200
2024-10-17,483.83,484.4,481.31,482.98,1051700
2024-10-16,475.49,482.24,475.29,480.91,1210100
2024-10-15,474.55,480.29,474.18,477.66,1477100
2024-10-14,471.37,475.12,470.42,474.55,1076800
2024-10-11,469.11,471.6,467.86,471.04,1105300
2024-10-10,468.92,469.63,464.78,466.44,1249500
2024-10-09,464.54,467.66,464.07,466.59,1245500
2024-10-08,462.56,467.08,462.16,466.46,1272300
2024-10-07,461.51,463.38,457.85,460.3,2019600
2024-10-04,467.18,467.85,461.93,465.21,2131000
2024-10-03,468.97,469.75,465.18,466.77,1072300
2024-10-02,471.06,474.41,469.66,472.82,1024600
2024-10-01,473.94,474.83,470.89,472.01,1342100
2024-09-30,476.27,476.55,471.14,473.84,1532600
2024-09-27,476.66,480.3,476.24,476.47,1252500
2024-09-26,475.96,479.05,473.48,478.63,1092800
2024-09-25,477.95,478.55,472.68,473.99,1283800
2024-09-24,475.91,477.71,472.48,476.31,1588600
2024-09-23,471.69,476.15,469.11,474.33,1148400
2024-09-20,466.52,469.12,463.79,468.92,3672700
2024-09-19,469.8,470.15,465.64,466.2,1897200
2024-09-18,468.67,468.67,461.78,464.07,1149900
2024-09-17,472.51,473.96,467.53,468.67,1357100
2024-09-16,471.42,472.48,467.41,471.9,1307200
2024-09-13,462.56,468.79,462.05,465.84,1162700
2024-09-12,463.47,464.48,459.48,464.38,1916900
2024-09-11,460.94,462.9,450.63,462.16,1585400
2024-09-10,459.04,462.68,457.92,460.78,1247100
2024-09-09,457.15,462.58,456.61,460.14,2076200
2024-09-06,461.41,464.71,453.28,453.95,2012100
2024-09-05,467.36,468.48,460.15,462.57,1882200
2024-09-04,473.19,474.55,468.58,469.14,1310300
2024-09-03,469.56,474.19,468.5,469.66,2104000
2024-08-30,470.64,475.35,467.11,473.83,1385600
2024-08-29,469.35,472.17,465.97,468.36,944700
2024-08-28,468.47,471.24,466.51,468.47,1327200
2024-08-27,468.34,468.42,464.28,467.97,1293400
2024-08-26,461.33,465.41,460.77,464.13,1216200
2024-08-23,460.2,462.12,457.27,461.43,1308000
2024-08-22,457.57,460.36,455.65,457.44,1179100
2024-08-21,455.69,457.85,454.15,457.48,853700
2024-08-20,454.38,456.71,452.37,453.83,1115600
2024-08-19,452.98,454.51,451.94,454.34,1013700
2024-08-16,451.92,453.17,448.13,452.59,1115400
2024-08-15,447.87,452.55,447.21,451.92,1105000
2024-08-14,447.48,447.81,444.99,447.01,906700
2024-08-13,444.36,446.1,441.63,445.54,1174800
2024-08-12,442.88,444.25,440.98,442.65,853000
2024-08-09,442.84,444.01,438.07,442.88,1108500
2024-08-08,438.14,443.7,436.85,443.4,1491300
2024-08-07,445.16,446.83,437.24,437.77,1619300
2024-08-06,439.96,447.05,439.5,441.54,1598200
2024-08-05,449.79,451.45,437.15,439.4,2281700
2024-08-02,445.45,453.55,439.6,449.8,2714600
2024-08-01,451.85,455.22,445.75,449.15,2244000
2024-07-31,449.37,453.94,448.33,449.3,1874000
2024-07-30,448.38,452.5,446.47,446.68,1755600
2024-07-29,447.29,449.03,444.91,445.8,1015200
2024-07-26,440.01,448.56,439.36,447.21,1307400
2024-07-25,440.86,444.25,437.89,438.93,1777300
2024-07-24,444.32,445.41,438.53,439.65,1700700
2024-07-23,443.75,444.47,440.89,443.27,1060700
2024-07-22,443.74,444.56,440.34,441.97,1096700
2024-07-19,441.25,441.48,437.83,440.64,1503800
2024-07-18,441.42,447.18,441.42,441.91,1458700
2024-07-17,442.96,447.58,442.6,445.13,1896500
2024-07-16,434.01,443.86,434.01,441.61,1173300
2024-07-15,436.62,437.06,433.48,434.13,1271500
2024-07-12,433.54,440.32,432.61,436.62,1843900
2024-07-11,431.07,434.07,429.59,430.87,1368400
2024-07-10,429.1,432.02,426.33,430.93,1554000
2024-07-09,430.18,431.57,426.76,427.21,1052100
2024-07-08,432.59,433.88,430.3,431.71,1502200
2024-07-05,428.41,431.92,425.23,431.69,1499400
2024-07-03,425.65,429.66,425.53,428.93,865100
2024-07-02,424.04,426.52,420.7,426.11,1886400
2024-07-01,435.09,436.7,421.46,424.97,2462900
2024-06-28,436.05,438.17,434.07,434.75,2470200
2024-06-27,436.59,437.44,433.5,436.15,1236500
2024-06-26,435.71,436.59,432.31,434.36,1634400
2024-06-25,439.87,440.95,436.26,437.09,1523000
2024-06-24,440.63,442.35,438.05,439.04,1440900
2024-06-21,439.3,439.87,435.93,438.65,4046200
2024-06-20,435.02,441.1,434.42,438.53,1626100
2024-06-18,435.54,436.67,431.2,435.95,1384500
2024-06-17,432.32,439.18,430.99,436.55,1939000
2024-06-14,433.38,434.11,430.09,432.91,1396100
2024-06-13,427.01,436.77,426.39,435.73,1650000
2024-06-12,433.55,436.44,429.9,430.15,1914800
2024-06-11,423.88,431.75,422.65,431.45,1582400
2024-06-10,428.73,430.08,427.21,428.0,1408000
2024-06-07,429.99,434.14,427.6,429.69,1492000
2024-06-06,431.99,431.99,427.96,429.84,1282600
2024-06-05,427.75,431.53,425.36,431.05,2116800
2024-06-04,427.32,430.08,424.66,427.15,2157400
2024-06-03,428.75,431.16,424.72,428.93,1809000
2024-05-31,424.77,430.57,422.22,430.11,3621600
2024-05-30,420.56,425.18,419.97,424.77,1375900
2024-05-29,420.29,423.04,418.58,420.89,1465600
2024-05-28,425.64,427.93,421.83,424.58,1696500
2024-05-24,427.9,432.08,427.59,430.16,1157400
2024-05-23,430.52,431.53,426.32,426.93,1674800
2024-05-22,429.78,431.36,426.93,429.39,1655000
2024-05-21,426.12,431.74,426.12,429.64,1228300
2024-05-20,427.35,427.6,425.68,427.24,1499200
2024-05-17,424.96,428.09,424.46,427.15,1150700
2024-05-16,426.37,427.26,422.53,424.35,1839700
2024-05-15,428.89,429.95,424.19,425.47,1745200
2024-05-14,429.1,430.01,424.79,426.74,1288100
2024-05-13,429.67,431.73,428.32,429.38,1269800
2024-05-10,425.15,429.43,425.12,428.99,1234500
