Date,Open,High,Low,Close,Volume
2025-03-19,18.12,18.37,17.9,18.18,56258
2025-03-18,18.59,18.9,18.0,18.15,89300
2025-03-17,19.55,21.39,18.79,18.86,250700
2025-03-14,18.49,18.76,17.8,18.51,135600
2025-03-13,20.9,20.99,18.34,18.51,205800
2025-03-12,21.25,21.79,21.11,21.36,68500
2025-03-11,21.48,21.58,21.2,21.25,40400
2025-03-10,21.7,21.89,21.18,21.32,49200
2025-03-07,21.74,22.04,21.43,21.89,23500
2025-03-06,21.74,21.79,21.04,21.71,34700
2025-03-05,21.92,22.19,21.78,21.88,40100
2025-03-04,21.83,22.07,21.13,21.78,78300
2025-03-03,22.0,22.85,21.66,22.14,57500
2025-02-28,22.0,22.25,21.85,22.04,40200
2025-02-27,22.42,22.45,22.02,22.02,21900
2025-02-26,23.01,23.01,22.19,22.45,47900
2025-02-25,22.71,23.01,22.29,22.96,36800
2025-02-24,22.81,23.22,22.5,22.71,35200
2025-02-21,23.05,23.05,22.46,22.67,31200
2025-02-20,22.5,22.95,22.23,22.8,22000
2025-02-19,22.76,22.76,22.4,22.73,24000
2025-02-18,23.03,23.09,22.72,22.91,26000
2025-02-14,23.48,23.5,22.95,23.07,63600
2025-02-13,22.99,23.1,22.57,23.1,44700
2025-02-12,22.65,22.96,22.65,22.79,19800
2025-02-11,22.63,23.0,22.63,23.0,27000
2025-02-10,22.77,22.9,22.25,22.77,26200
2025-02-07,22.7,22.87,22.54,22.66,27200
2025-02-06,22.78,23.22,22.7,22.9,33700
2025-02-05,22.27,22.95,22.19,22.91,79800
2025-02-04,22.31,22.67,22.12,22.31,62700
2025-02-03,22.63,23.08,22.46,22.5,44900
2025-01-31,23.06,23.41,22.77,23.06,52600
2025-01-30,23.32,23.37,22.93,23.08,35100
2025-01-29,23.06,23.3,22.75,23.07,65000
2025-01-28,22.94,23.64,22.65,23.2,75500
2025-01-27,22.84,23.44,22.45,22.61,82200
2025-01-24,22.9,23.37,22.75,22.95,45300
2025-01-23,22.45,23.31,22.45,23.09,129400
2025-01-22,22.87,22.96,22.39,22.47,47400
2025-01-21,23.16,23.3,22.84,22.93,63000
2025-01-17,23.18,23.22,22.85,23.05,108700
2025-01-16,23.46,23.46,22.9,22.99,88500
2025-01-15,23.33,23.71,22.85,23.47,55800
2025-01-14,23.54,23.98,22.67,22.71,44000
2025-01-13,22.78,23.74,22.42,23.3,43600
2025-01-10,23.69,24.12,22.96,23.04,48500
2025-01-08,24.04,24.32,23.73,24.1,64400
2025-01-07,24.99,25.2,23.95,24.13,61100
2025-01-06,24.87,25.1,24.64,25.05,63500
2025-01-03,24.5,24.87,24.28,24.83,41900
2025-01-02,24.74,24.74,24.19,24.34,55400
2024-12-31,24.14,24.76,24.14,24.46,43400
2024-12-30,24.33,24.99,23.79,24.06,66900
2024-12-27,23.47,24.51,22.62,24.33,127400
2024-12-26,24.52,25.2,23.76,23.85,81600
2024-12-24,24.82,25.49,23.38,24.87,179600
2024-12-23,26.32,27.37,25.94,26.75,118600
2024-12-20,25.2,26.85,25.2,26.22,180500
2024-12-19,25.65,26.27,25.15,25.58,46700
2024-12-18,26.6,26.88,25.15,25.28,66100
2024-12-17,26.7,26.8,26.39,26.6,45300
2024-12-16,26.94,27.34,26.65,26.68,30700
2024-12-13,26.67,27.12,26.31,26.94,32900
2024-12-12,27.56,27.56,26.75,26.76,29400
2024-12-11,27.65,28.08,27.46,27.86,49600
2024-12-10,27.04,27.66,26.72,27.42,37300
2024-12-09,26.97,27.29,26.45,26.8,32300
2024-12-06,26.66,27.0,25.88,26.83,41400
2024-12-05,26.94,26.98,25.88,26.45,51800
2024-12-04,27.18,27.18,26.52,27.08,31900
2024-12-03,27.7,27.7,26.74,27.21,25300
2024-12-02,27.66,27.81,27.38,27.62,27100
2024-11-29,27.64,27.99,27.42,27.71,16200
2024-11-27,28.12,28.32,27.47,27.54,44500
2024-11-26,26.96,27.91,26.87,27.81,33100
2024-11-25,27.51,27.85,27.04,27.25,66900
2024-11-22,27.63,27.69,27.19,27.41,30300
2024-11-21,26.46,27.58,26.33,27.44,76500
2024-11-20,26.62,26.82,26.37,26.46,37200
2024-11-19,26.1,26.65,26.09,26.62,25400
2024-11-18,26.68,26.84,25.98,26.17,29000
2024-11-15,26.22,26.56,25.88,26.31,36600
2024-11-14,26.66,26.89,25.67,25.95,65500
2024-11-13,27.4,27.63,26.87,26.9,36700
2024-11-12,28.33,28.41,27.01,27.11,45600
2024-11-11,28.25,28.48,27.87,28.35,97000
2024-11-08,28.5,28.79,27.72,27.9,35800
2024-11-07,28.76,28.91,28.27,28.32,53600
2024-11-06,28.47,29.13,28.19,28.82,117600
2024-11-05,25.14,27.14,25.14,27.12,36800
2024-11-04,25.48,25.86,25.24,25.67,31100
2024-11-01,25.69,25.94,25.31,25.46,18700
2024-10-31,25.94,25.94,25.5,25.56,22800
2024-10-30,26.1,26.65,26.05,26.05,16500
2024-10-29,25.93,26.23,25.93,26.14,17300
2024-10-28,25.94,26.35,25.84,26.25,36400
2024-10-25,26.72,26.72,25.72,25.87,37100
2024-10-24,26.86,26.92,26.26,26.45,25000
2024-10-23,26.69,26.88,26.4,26.63,28400
2024-10-22,26.51,27.07,26.51,26.98,22100
2024-10-21,27.53,27.59,26.86,26.97,23700
2024-10-18,28.03,28.03,27.68,27.8,18100
2024-10-17,27.93,28.06,27.49,27.91,19100
2024-10-16,27.65,27.88,27.33,27.76,52000
2024-10-15,27.56,28.18,27.19,27.32,74500
2024-10-14,27.41,27.47,27.12,27.42,26000
2024-10-11,26.75,27.31,26.75,27.27,17400
2024-10-10,26.69,26.96,26.47,26.82,31600
2024-10-09,26.42,27.06,26.42,27.04,29000
2024-10-08,26.42,26.63,25.96,26.56,18600
2024-10-07,26.95,26.95,26.22,26.32,18900
2024-10-04,26.37,26.99,26.27,26.84,37000
2024-10-03,25.8,26.28,25.45,25.99,96400
2024-10-02,26.16,26.29,25.97,26.02,23700
2024-10-01,26.16,26.47,25.63,26.16,45600
2024-09-30,26.04,26.67,25.79,26.35,72500
2024-09-27,26.89,26.89,26.05,26.05,31800
2024-09-26,26.37,26.87,26.25,26.59,58900
2024-09-25,26.93,26.93,26.19,26.28,31000
2024-09-24,27.43,27.44,26.69,26.98,48000
2024-09-23,27.45,27.58,27.02,27.19,50400
2024-09-20,27.36,27.73,27.19,27.46,205500
2024-09-19,27.28,27.37,26.69,27.34,56400
2024-09-18,26.54,27.48,26.2,26.77,72900
2024-09-17,25.81,27.08,25.8,26.46,82700
2024-09-16,25.81,25.97,25.45,25.82,53800
2024-09-13,25.35,25.83,25.06,25.81,35800
2024-09-12,24.44,25.5,24.03,25.24,107000
2024-09-11,23.89,24.3,23.69,24.23,43900
2024-09-10,23.68,24.38,22.12,24.11,117900
2024-09-09,24.74,25.05,24.62,24.85,83600
2024-09-06,24.68,24.88,24.12,24.78,28500
2024-09-05,25.0,25.0,24.22,24.6,48300
2024-09-04,24.25,24.95,24.12,24.95,48000
2024-09-03,24.58,24.72,23.69,24.04,47900
2024-08-30,24.92,24.98,24.57,24.93,34000
2024-08-29,24.87,24.93,24.18,24.72,53000
2024-08-28,24.85,25.01,24.53,24.61,77300
2024-08-27,23.66,25.74,23.66,24.77,101800
2024-08-26,22.41,24.28,22.15,23.93,139200
2024-08-23,21.12,22.63,20.98,22.6,36800
2024-08-22,21.56,21.56,21.01,21.06,23100
2024-08-21,21.62,21.62,21.25,21.42,16000
2024-08-20,21.31,21.65,21.11,21.36,26700
2024-08-19,21.21,21.31,20.95,21.21,17500
2024-08-16,20.9,21.36,20.89,21.02,17800
2024-08-15,20.64,21.25,20.48,20.92,28100
2024-08-14,20.42,20.58,20.2,20.2,33600
2024-08-13,20.06,20.51,20.06,20.51,31600
2024-08-12,20.54,20.63,19.96,20.06,33600
2024-08-09,20.71,20.71,19.97,20.4,65100
2024-08-08,20.37,20.72,20.18,20.66,29600
2024-08-07,20.75,20.75,20.12,20.16,32400
2024-08-06,20.09,20.37,19.8,20.37,41600
2024-08-05,20.15,20.28,19.59,20.12,88100
2024-08-02,20.64,21.26,20.56,20.93,37700
2024-08-01,21.99,22.09,21.03,21.24,53100
2024-07-31,22.07,22.36,21.65,21.91,301600
2024-07-30,21.91,22.01,21.35,21.98,35100
2024-07-29,21.9,22.0,21.55,21.71,20900
2024-07-26,22.27,22.27,21.81,21.98,74100
2024-07-25,22.08,22.78,21.74,21.97,73800
2024-07-24,22.1,22.13,21.69,21.8,30600
2024-07-23,21.93,22.23,21.81,21.97,37900
2024-07-22,21.92,22.07,21.8,22.02,40100
2024-07-19,22.25,22.5,21.9,21.92,19800
2024-07-18,22.34,23.05,21.91,22.18,54500
2024-07-17,22.06,22.75,22.06,22.59,49800
2024-07-16,21.58,22.37,21.58,22.3,64900
2024-07-15,21.13,21.78,20.82,21.77,65600
2024-07-12,21.28,21.36,20.91,21.09,30000
2024-07-11,20.29,21.43,19.99,20.96,133400
2024-07-10,19.83,20.01,19.74,19.79,53900
2024-07-09,19.55,19.82,19.55,19.82,32100
2024-07-08,19.73,19.84,19.48,19.64,32300
2024-07-05,19.75,19.81,19.21,19.61,34800
2024-07-03,20.05,20.2,19.81,19.9,44600
2024-07-02,20.33,20.33,19.91,19.94,30700
2024-07-01,20.54,20.55,19.88,20.15,26700
2024-06-28,20.33,20.69,19.93,20.61,109200
2024-06-27,20.13,20.52,19.86,20.1,14800
2024-06-26,20.0,20.15,19.97,19.98,32700
2024-06-25,20.04,20.05,19.93,20.0,28000
2024-06-24,19.65,20.19,19.4,19.94,26600
2024-06-21,19.53,19.94,19.26,19.77,74900
2024-06-20,19.7,19.89,19.51,19.66,33600
2024-06-18,19.31,19.76,19.31,19.64,36900
2024-06-17,19.2,19.49,19.11,19.33,17800
2024-06-14,19.15,19.78,19.15,19.33,28500
2024-06-13,19.88,20.15,19.53,19.58,14000
2024-06-12,20.1,20.38,19.81,19.96,36900
2024-06-11,19.55,19.7,19.16,19.67,40800
2024-06-10,21.24,21.24,19.62,19.71,37300
2024-06-07,20.6,22.5,20.54,21.06,144100
2024-06-06,20.08,20.51,20.06,20.16,71900
2024-06-05,20.24,20.25,19.8,20.23,33000
2024-06-04,19.8,20.1,19.74,20.05,44800
2024-06-03,20.07,20.07,19.59,19.86,35200
2024-05-31,19.46,20.01,19.46,19.83,26300
2024-05-30,19.76,19.96,19.36,19.5,23100
2024-05-29,19.88,20.29,19.49,19.53,29600
2024-05-28,19.84,20.7,19.75,20.12,46700
2024-05-24,19.78,19.88,19.36,19.64,35000
2024-05-23,20.38,20.38,19.58,19.67,60300
2024-05-22,20.75,20.75,20.25,20.34,35400
2024-05-21,21.05,21.05,20.5,20.76,25200
2024-05-20,21.26,21.29,21.07,21.13,21200
2024-05-17,21.13,21.53,21.01,21.33,27200
2024-05-16,20.97,21.06,20.69,21.02,25500
2024-05-15,21.26,21.26,21.0,21.06,17300
2024-05-14,21.32,21.32,21.02,21.12,41800
2024-05-13,21.03,21.37,20.79,21.04,42200
2024-05-10,20.93,21.14,20.93,21.03,25500
2024-05-09,20.87,21.08,20.84,21.02,28700
2024-05-08,20.93,20.96,20.72,20.93,26600
2024-05-07,21.14,21.14,20.66,20.92,50000
2024-05-06,21.79,21.79,20.77,20.8,41200
2024-05-03,21.36,21.79,20.84,21.78,65200
2024-05-02,20.14,21.28,19.91,21.24,114000
2024-05-01,19.71,20.15,19.67,19.88,54900
2024-04-30,19.68,19.76,19.51,19.59,87700
2024-04-29,19.8,19.8,19.45,19.66,22800
2024-04-26,19.61,19.7,19.45,19.66,30600
2024-04-25,19.85,19.85,19.33,19.55,43300
2024-04-24,19.51,19.97,19.39,19.88,40700
2024-04-23,19.22,19.82,19.22,19.52,32900
2024-04-22,19.31,19.54,19.17,19.52,64000
2024-04-19,19.02,19.41,18.91,19.4,53300
2024-04-18,18.83,19.17,18.79,19.13,55800
2024-04-17,18.81,18.93,18.58,18.82,43000
2024-04-16,18.88,18.88,18.49,18.76,39100
2024-04-15,19.06,19.07,18.48,18.92,51900
2024-04-12,19.13,19.13,18.88,19.11,91700
2024-04-11,19.03,19.14,18.93,19.12,26500
2024-04-10,18.93,19.16,18.61,19.12,57800
2024-04-09,19.39,19.44,19.13,19.29,19600
2024-04-08,19.3,19.42,19.1,19.41,39000
2024-04-05,19.14,19.46,19.01,19.35,23600
2024-04-04,19.22,19.59,19.08,19.15,34200
2024-04-03,19.06,19.19,18.92,19.19,39400
2024-04-02,19.06,19.25,19.01,19.17,26200
2024-04-01,19.55,19.55,19.17,19.22,17300
2024-03-28,19.22,19.56,19.22,19.37,35300
2024-03-27,19.01,19.21,18.97,19.15,37300
2024-03-26,19.27,19.29,18.91,19.0,26100
2024-03-25,19.12,19.29,19.05,19.1,14500
2024-03-22,19.68,19.69,19.03,19.08,22800
2024-03-21,19.71,19.91,19.3,19.58,80100
2024-03-20,19.32,19.64,19.12,19.57,32000
2024-03-19,19.02,19.35,18.92,19.32,34700
2024-03-18,18.86,19.15,18.74,18.99,38700
2024-03-15,19.03,19.12,18.69,18.92,129300
2024-03-14,18.25,18.79,18.25,18.58,48300
2024-03-13,18.14,18.5,18.14,18.28,65400
2024-03-12,18.21,18.39,18.05,18.3,39000
2024-03-11,18.16,18.72,18.16,18.3,77800
2024-03-08,19.15,19.15,18.25,18.34,76200
2024-03-07,17.74,18.01,17.74,17.94,38100
2024-03-06,17.66,17.82,17.53,17.54,21400
2024-03-05,17.98,18.06,17.65,17.67,30500
2024-03-04,17.99,18.38,17.67,18.05,27900
2024-03-01,17.67,18.08,17.67,17.73,30600
2024-02-29,18.2,18.48,18.01,18.21,30500
2024-02-28,18.06,18.22,17.9,17.95,20100
2024-02-27,17.86,18.35,17.86,18.23,22600
2024-02-26,17.3,17.99,17.26,17.95,35500
2024-02-23,17.46,17.47,17.33,17.34,19800
2024-02-22,17.6,17.65,17.38,17.53,38300
2024-02-21,17.79,17.82,17.5,17.71,25900
2024-02-20,17.88,18.15,17.85,17.89,21200
2024-02-16,18.19,18.24,17.99,18.09,27700
2024-02-15,17.8,18.27,17.56,18.2,38100
2024-02-14,17.48,17.66,17.35,17.61,26800
2024-02-13,18.09,18.15,17.14,17.22,48800
2024-02-12,17.87,18.62,17.87,18.43,50300
2024-02-09,17.51,17.76,17.25,17.73,25900
2024-02-08,17.78,17.78,17.44,17.53,24000
2024-02-07,18.04,18.17,17.62,17.64,37100
2024-02-06,17.52,18.09,17.41,17.99,33100
2024-02-05,17.5,17.98,17.41,17.5,72100
2024-02-02,17.94,18.05,17.68,17.68,35500
2024-02-01,18.06,18.39,18.06,18.13,26300
2024-01-31,18.33,18.34,17.9,17.9,41200
2024-01-30,18.56,18.63,18.33,18.33,13900
2024-01-29,18.64,18.64,18.22,18.64,26000
2024-01-26,18.76,18.94,18.41,18.44,31400
2024-01-25,18.5,18.7,18.35,18.55,27200
2024-01-24,18.95,19.13,18.21,18.25,45300
2024-01-23,18.46,18.85,18.15,18.72,43100
2024-01-22,18.19,18.5,18.19,18.46,35200
2024-01-19,18.32,18.32,17.82,17.99,31400
2024-01-18,18.12,18.24,17.96,18.16,28900
2024-01-17,17.77,18.59,17.49,18.05,34700
2024-01-16,18.32,18.32,17.87,17.99,46300
2024-01-12,18.48,18.61,17.91,18.42,65800
2024-01-11,17.99,18.47,17.82,18.13,47700
2024-01-10,18.27,18.49,17.99,18.14,62000
2024-01-09,18.39,18.68,18.22,18.28,67300
2024-01-08,18.91,18.91,18.56,18.74,38200
2024-01-05,18.93,19.12,18.66,18.87,62900
2024-01-04,19.47,19.51,19.0,19.1,52500
2024-01-03,20.0,20.25,19.22,19.28,72200
2024-01-02,20.56,20.56,20.06,20.1,56800
2023-12-29,19.9,20.42,19.9,20.35,55700
2023-12-28,20.52,20.67,20.29,20.41,44100
2023-12-27,20.51,21.25,20.45,20.73,72400
2023-12-26,20.13,20.62,19.98,20.41,51000
2023-12-22,19.66,20.62,19.14,20.16,172900
2023-12-21,18.76,18.92,18.43,18.86,66900
2023-12-20,18.62,19.32,18.56,18.62,68000
2023-12-19,19.16,19.36,18.6,18.69,82700
2023-12-18,18.84,19.4,18.75,19.24,88000
2023-12-15,19.02,19.07,18.49,18.79,198200
2023-12-14,18.68,18.97,18.37,18.71,61500
2023-12-13,18.02,18.64,17.69,18.57,113900
2023-12-12,18.55,18.55,17.84,17.93,52100
2023-12-11,18.0,18.52,18.0,18.44,36300
2023-12-08,18.94,18.94,18.43,18.75,45000
2023-12-07,18.89,19.0,18.56,18.87,43100
2023-12-06,19.07,19.07,18.58,18.8,81100
2023-12-05,18.6,19.16,17.77,18.97,198900
2023-12-04,17.41,18.58,17.3,18.53,227400
2023-12-01,15.33,18.95,15.33,17.99,582900
2023-11-30,15.04,15.04,14.89,14.94,38600
2023-11-29,15.17,15.4,15.0,15.04,38500
2023-11-28,15.22,15.24,15.03,15.05,42400
2023-11-27,15.18,15.24,15.04,15.17,30200
2023-11-24,15.05,15.24,15.05,15.19,10800
2023-11-22,14.95,15.24,14.93,15.2,27900
2023-11-21,14.59,14.94,14.48,14.92,25400
2023-11-20,14.86,14.89,14.5,14.57,176400
2023-11-17,15.01,15.01,14.64,14.88,56000
2023-11-16,14.94,15.01,14.7,14.88,25900
2023-11-15,14.79,15.27,14.66,15.01,69900
2023-11-14,14.14,14.7,14.14,14.69,49900
2023-11-13,14.02,14.09,14.01,14.01,22900
2023-11-10,13.94,14.13,13.93,14.09,35700
2023-11-09,14.06,14.21,13.9,13.96,58600
2023-11-08,14.13,14.13,13.89,13.97,38400
2023-11-07,14.16,14.16,13.98,14.06,45500
2023-11-06,14.13,14.18,13.88,14.12,39800
2023-11-03,14.35,14.58,13.99,14.03,122700
2023-11-02,13.97,14.17,13.95,14.15,69800
2023-11-01,14.12,14.12,13.75,13.89,36300
2023-10-31,14.12,14.12,13.89,14.05,54300
2023-10-30,14.0,14.23,13.9,14.04,165600
2023-10-27,14.21,14.22,13.77,13.84,39300
2023-10-26,14.13,14.28,14.05,14.13,55200
2023-10-25,13.77,14.16,13.77,14.1,47400
2023-10-24,13.75,13.92,13.75,13.88,37200
2023-10-23,13.67,13.86,13.64,13.66,37800
2023-10-20,13.95,14.03,13.7,13.7,40500
2023-10-19,14.01,14.08,13.77,13.93,44600
2023-10-18,14.4,14.4,14.01,14.01,56500
2023-10-17,14.44,14.62,14.34,14.37,76100
2023-10-16,14.5,14.6,14.47,14.49,32200
2023-10-13,14.31,14.43,14.29,14.32,41400
2023-10-12,14.84,14.84,14.21,14.24,53700
2023-10-11,14.94,15.42,14.79,14.86,71400
2023-10-10,14.5,14.89,14.46,14.83,47500
2023-10-09,14.49,14.72,14.37,14.59,29300
2023-10-06,14.42,14.57,14.07,14.54,51200
2023-10-05,14.48,14.57,14.42,14.45,86300
2023-10-04,14.48,14.57,14.11,14.51,108100
2023-10-03,14.7,14.76,14.45,14.46,102100
2023-10-02,14.94,14.94,14.66,14.74,125000
2023-09-29,14.85,15.03,14.77,14.98,89200
2023-09-28,14.65,14.85,14.65,14.83,46700
2023-09-27,14.5,14.65,14.41,14.62,67300
2023-09-26,14.38,14.54,14.33,14.5,45000
2023-09-25,14.55,14.55,14.38,14.45,39600
2023-09-22,14.61,14.71,14.34,14.55,59800
2023-09-21,14.34,14.79,14.34,14.62,93700
2023-09-20,14.77,14.88,14.69,14.78,51700
2023-09-19,14.78,14.92,14.74,14.84,36000
2023-09-18,14.84,14.89,14.65,14.74,33200
2023-09-15,14.84,14.86,14.72,14.81,140500
2023-09-14,14.82,14.93,14.78,14.86,52700
2023-09-13,14.58,14.86,14.55,14.73,61800
2023-09-12,14.28,14.55,14.23,14.53,75600
2023-09-11,14.23,14.48,14.09,14.25,126100
2023-09-08,14.06,14.58,13.82,14.17,168800
2023-09-07,14.75,15.02,14.71,14.79,74600
2023-09-06,14.75,14.87,14.53,14.75,33900
2023-09-05,15.02,15.02,14.67,14.72,38800
2023-09-01,15.11,15.25,15.06,15.11,37300
2023-08-31,15.4,15.4,15.01,15.07,48900
2023-08-30,15.17,15.51,15.17,15.45,42100
2023-08-29,15.15,15.29,15.15,15.18,26300
2023-08-28,15.11,15.21,15.02,15.15,25800
2023-08-25,14.88,15.29,14.87,15.11,32700
2023-08-24,14.64,15.01,14.63,14.91,34000
2023-08-23,14.78,14.87,14.66,14.71,34900
2023-08-22,14.66,15.03,14.54,14.69,37500
2023-08-21,14.88,14.88,14.58,14.63,30400
2023-08-18,14.71,15.09,14.71,14.85,37700
2023-08-17,14.81,14.9,14.69,14.76,47800
2023-08-16,14.75,15.13,14.75,14.77,47100
2023-08-15,15.21,15.33,14.8,14.95,207000
2023-08-14,14.95,15.2,14.95,15.16,37700
2023-08-11,15.44,15.58,15.34,15.38,31100
2023-08-10,15.43,15.43,15.25,15.41,39900
2023-08-09,15.28,15.41,15.04,15.34,73200
2023-08-08,15.1,15.17,14.88,15.14,32300
2023-08-07,14.97,15.45,14.97,15.14,43900
2023-08-04,15.12,15.28,15.02,15.04,35600
2023-08-03,15.25,15.36,15.05,15.08,36000
2023-08-02,15.46,15.64,15.19,15.27,56900
2023-08-01,15.19,15.59,14.62,15.49,85300
2023-07-31,14.57,15.24,14.57,15.18,109200
2023-07-28,14.56,14.72,14.49,14.52,41700
2023-07-27,14.95,15.12,14.48,14.53,48900
2023-07-26,14.7,14.98,14.7,14.92,30100
2023-07-25,14.69,14.88,14.6,14.71,43000
2023-07-24,14.76,14.83,14.58,14.76,53500
2023-07-21,14.93,15.06,14.69,14.76,65600
2023-07-20,14.95,14.97,14.77,14.83,50300
2023-07-19,15.17,15.24,14.9,14.9,59500
2023-07-18,15.16,15.43,15.12,15.17,59500
2023-07-17,14.98,15.24,14.87,15.16,114500
2023-07-14,15.18,15.18,14.77,14.85,54900
2023-07-13,15.25,15.48,15.09,15.16,70800
2023-07-12,15.29,15.56,15.22,15.33,100400
2023-07-11,15.21,15.29,15.03,15.12,96600
2023-07-10,15.18,15.53,15.08,15.15,52800
2023-07-07,15.18,15.38,15.1,15.23,84100
2023-07-06,15.01,15.14,14.8,15.13,51500
2023-07-05,15.28,15.28,15.01,15.02,50500
2023-07-03,15.11,15.22,15.03,15.18,47800
2023-06-30,15.28,15.49,14.94,15.14,78800
2023-06-29,14.86,15.16,14.82,15.14,64200
2023-06-28,15.13,15.13,14.45,14.89,105400
2023-06-27,15.39,15.58,14.97,15.14,69000
2023-06-26,15.28,15.68,15.06,15.4,144000
2023-06-23,15.44,15.74,15.19,15.26,2200600
2023-06-22,15.7,15.74,15.5,15.64,79400
2023-06-21,15.22,15.73,15.12,15.7,90000
2023-06-20,15.12,15.46,15.09,15.33,83000
2023-06-16,15.77,15.87,15.16,15.16,85700
2023-06-15,15.99,16.09,15.72,15.82,58400
2023-06-14,16.01,16.12,15.71,15.91,112600
2023-06-13,15.18,16.05,15.09,15.87,133300
2023-06-12,14.78,15.05,14.39,15.05,162800
2023-06-09,14.78,15.14,14.6,14.64,81700
2023-06-08,14.77,15.23,14.75,14.75,125500
2023-06-07,15.32,15.67,14.57,14.77,212200
2023-06-06,15.49,16.06,15.49,16.03,118000
2023-06-05,15.63,15.83,15.41,15.54,64600
2023-06-02,15.83,16.01,15.83,15.92,54300
2023-06-01,15.58,15.85,15.51,15.82,45900
2023-05-31,15.45,15.68,15.34,15.65,54500
2023-05-30,15.87,15.98,15.57,15.61,47800
2023-05-26,15.91,15.99,15.87,15.94,31900
2023-05-25,16.45,16.45,15.84,15.91,46600
2023-05-24,16.49,16.61,16.37,16.42,39800
2023-05-23,16.38,16.81,16.37,16.51,36600
2023-05-22,16.33,16.59,16.22,16.38,51500
2023-05-19,15.87,16.31,15.72,16.19,119800
2023-05-18,15.72,15.92,15.51,15.86,56100
2023-05-17,15.8,15.83,15.51,15.8,41700
2023-05-16,15.78,15.95,15.73,15.83,28100
2023-05-15,16.16,16.16,15.84,15.89,31200
2023-05-12,16.06,16.19,16.01,16.06,54000
2023-05-11,16.05,16.18,15.86,16.12,43200
2023-05-10,16.3,16.43,15.86,16.17,99200
2023-05-09,16.25,16.39,16.15,16.29,34900
