Date,Open,High,Low,Close,Volume
2025-03-13,2.9,3.02,2.77,2.97,328083
2025-03-12,2.69,2.95,2.66,2.91,279800
2025-03-11,2.69,2.75,2.51,2.66,399000
2025-03-10,2.63,2.79,2.56,2.62,290000
2025-03-07,2.8,2.95,2.69,2.7,294200
2025-03-06,2.75,2.89,2.67,2.81,385300
2025-03-05,2.51,2.72,2.46,2.71,1064500
2025-03-04,2.35,2.65,2.34,2.5,1561100
2025-03-03,2.9,2.95,2.32,2.34,1100400
2025-02-28,3.0,3.38,2.83,2.86,697300
2025-02-27,3.16,3.2,2.97,2.99,571300
2025-02-26,3.41,3.44,3.11,3.16,791100
2025-02-25,3.73,3.83,3.37,3.38,288000
2025-02-24,3.91,3.91,3.42,3.73,171100
2025-02-21,4.06,4.22,3.87,3.89,179300
2025-02-20,4.38,4.38,3.97,4.03,287500
2025-02-19,4.33,4.52,4.12,4.46,119700
2025-02-18,4.44,4.72,4.21,4.33,391100
2025-02-14,4.56,4.57,4.26,4.5,252800
2025-02-13,4.0,4.29,3.85,4.22,284600
2025-02-12,4.18,4.27,3.84,3.95,509200
2025-02-11,4.56,4.91,4.2,4.25,317500
2025-02-10,4.9,5.07,4.23,4.62,402800
2025-02-07,5.33,5.54,4.74,4.95,764100
2025-02-06,5.94,6.04,5.39,5.42,86200
2025-02-05,5.85,6.04,5.45,5.81,258000
2025-02-04,5.42,5.8,5.22,5.77,170800
2025-02-03,5.29,5.58,5.23,5.55,86900
2025-01-31,5.22,5.6,5.2,5.43,142700
2025-01-30,5.25,5.48,5.18,5.25,147200
2025-01-29,5.68,5.68,5.2,5.21,79300
2025-01-28,5.83,6.02,5.39,5.68,155100
2025-01-27,5.56,5.89,5.5,5.87,121600
2025-01-24,5.55,5.93,5.25,5.58,168600
2025-01-23,4.87,5.63,4.67,5.61,631400
2025-01-22,4.89,5.23,4.87,4.9,306000
2025-01-21,5.15,5.16,4.85,4.88,302200
2025-01-17,5.24,5.29,4.85,5.07,274700
2025-01-16,5.49,5.73,4.78,5.19,338100
2025-01-15,6.0,6.06,5.34,5.49,263800
2025-01-14,6.34,6.39,5.79,5.8,296300
2025-01-13,6.25,6.43,6.02,6.34,117400
2025-01-10,6.66,6.71,6.1,6.39,267800
2025-01-08,7.25,7.25,6.77,6.82,194400
2025-01-07,7.1,7.38,6.94,7.33,177400
2025-01-06,7.28,7.66,7.09,7.13,238500
2025-01-03,6.71,7.6,6.63,7.29,227500
2025-01-02,6.71,6.99,6.5,6.67,174100
2024-12-31,6.6,6.66,6.29,6.58,98200
2024-12-30,6.62,6.77,6.3,6.54,274800
2024-12-27,6.79,6.9,6.45,6.78,182900
2024-12-26,6.23,6.79,6.12,6.78,90100
2024-12-24,6.21,6.36,5.95,6.35,44300
2024-12-23,6.21,6.34,6.15,6.21,105300
2024-12-20,5.91,6.34,5.81,6.28,598900
2024-12-19,6.3,6.4,5.97,6.04,154500
2024-12-18,6.97,7.04,6.24,6.36,160000
2024-12-17,7.09,7.4,6.77,6.96,204000
2024-12-16,6.9,7.17,6.84,7.08,170600
2024-12-13,7.01,7.27,6.78,6.88,166300
2024-12-12,7.5,7.85,7.03,7.13,171800
2024-12-11,8.46,8.54,7.62,7.63,150000
2024-12-10,8.24,8.55,7.96,8.36,862100
2024-12-09,7.73,8.35,7.71,8.29,212600
2024-12-06,7.08,7.72,6.92,7.63,221300
2024-12-05,6.76,7.1,6.4,7.08,457500
2024-12-04,7.28,7.29,6.54,6.75,428800
2024-12-03,8.37,8.38,7.27,7.35,295000
2024-12-02,8.2,8.74,8.18,8.41,360500
2024-11-29,7.82,8.3,7.72,8.23,117600
2024-11-27,7.85,8.15,7.58,7.83,228900
2024-11-26,7.27,7.58,7.14,7.33,123900
2024-11-25,6.53,7.28,6.53,7.23,240300
2024-11-22,6.23,6.72,6.2,6.47,170400
2024-11-21,6.17,6.35,5.94,6.2,155900
2024-11-20,5.99,6.25,5.77,6.12,239300
2024-11-19,5.99,6.25,5.8,6.02,271500
2024-11-18,6.62,6.62,5.81,6.0,503800
2024-11-15,7.85,7.95,6.65,6.65,779300
2024-11-14,7.7,8.52,7.56,7.78,1032100
2024-11-13,8.65,11.72,7.64,7.64,5967600
2024-11-12,8.03,8.03,7.47,7.69,182900
2024-11-11,8.0,8.0,7.49,7.95,228500
2024-11-08,7.9,8.2,7.71,8.0,93600
2024-11-07,8.2,8.38,7.77,7.89,161500
2024-11-06,8.15,8.41,7.94,8.2,293200
2024-11-05,8.21,8.43,8.01,8.03,139900
2024-11-04,7.92,8.38,7.84,8.24,260800
2024-11-01,7.98,8.07,7.82,7.93,221300
2024-10-31,8.31,8.38,7.54,7.9,325700
2024-10-30,8.85,9.52,8.1,8.27,1148600
2024-10-29,9.82,9.97,9.64,9.97,100300
2024-10-28,9.61,10.13,9.51,9.83,152100
2024-10-25,9.91,10.05,9.48,9.5,152800
2024-10-24,9.78,10.05,9.48,9.9,321300
2024-10-23,10.02,10.16,9.53,9.79,166300
2024-10-22,10.52,10.71,9.55,10.07,505800
2024-10-21,11.25,11.3,10.4,10.52,649200
2024-10-18,9.16,11.17,9.09,11.12,953800
2024-10-17,9.11,9.27,8.88,9.1,168100
2024-10-16,9.06,9.23,8.83,9.15,219300
2024-10-15,7.93,9.05,7.88,8.93,206600
2024-10-14,8.14,8.16,7.95,7.96,226500
2024-10-11,7.96,8.21,7.86,8.19,340100
2024-10-10,8.37,8.49,7.9,7.96,386500
2024-10-09,8.76,8.76,8.33,8.5,174600
2024-10-08,8.47,8.96,8.45,8.75,220900
2024-10-07,8.62,8.68,8.22,8.52,285100
2024-10-04,9.24,9.36,8.52,8.66,230300
2024-10-03,8.69,9.2,8.5,9.11,288500
2024-10-02,8.71,8.76,8.39,8.72,165800
2024-10-01,9.01,9.14,8.72,8.74,187800
2024-09-30,9.08,9.35,8.95,9.04,460500
2024-09-27,9.0,9.35,8.84,9.11,320200
2024-09-26,9.04,9.27,8.8,8.91,285400
2024-09-25,8.9,9.41,8.64,8.95,437700
2024-09-24,9.6,9.66,8.8,8.84,299300
2024-09-23,10.77,10.77,9.42,9.44,253700
2024-09-20,10.4,10.88,10.05,10.78,2496100
2024-09-19,9.75,10.45,9.62,10.42,290500
2024-09-18,9.65,9.77,9.36,9.58,258000
2024-09-17,9.69,9.9,9.4,9.56,231400
2024-09-16,9.82,10.17,9.23,9.59,241800
2024-09-13,9.93,10.23,9.55,9.67,158600
2024-09-12,10.2,10.4,9.61,9.87,153500
2024-09-11,10.31,10.52,10.06,10.24,112500
2024-09-10,10.79,11.17,10.33,10.35,217600
2024-09-09,10.8,11.45,10.74,10.82,420200
2024-09-06,11.33,11.35,10.81,10.9,160000
2024-09-05,11.3,11.56,11.0,11.4,179900
2024-09-04,11.35,11.77,10.92,11.2,104200
2024-09-03,11.46,11.61,11.3,11.4,162000
2024-08-30,11.68,11.79,10.99,11.51,142000
2024-08-29,11.58,11.96,11.48,11.62,147300
2024-08-28,11.1,11.77,10.99,11.43,257000
2024-08-27,11.33,11.63,10.96,11.05,142700
2024-08-26,12.13,12.33,11.13,11.31,166700
2024-08-23,12.19,12.37,11.79,12.05,225200
2024-08-22,12.68,12.72,12.15,12.18,71800
2024-08-21,12.28,12.76,12.09,12.69,170400
2024-08-20,11.78,12.2,11.57,12.17,106400
2024-08-19,12.24,12.38,11.74,11.89,196000
2024-08-16,12.04,12.45,11.89,12.21,105800
2024-08-15,11.92,12.13,11.8,12.1,168400
2024-08-14,11.83,12.31,11.63,11.69,298800
2024-08-13,11.88,12.35,10.93,11.7,170400
2024-08-12,11.47,12.01,11.01,11.98,118300
2024-08-09,11.76,12.05,11.46,11.5,110900
2024-08-08,11.75,11.89,11.17,11.69,241000
2024-08-07,12.94,12.95,11.42,11.72,258900
2024-08-06,11.69,12.61,11.6,12.6,322700
2024-08-05,12.09,12.77,11.5,11.67,451300
2024-08-02,12.77,13.63,12.45,13.25,386600
2024-08-01,12.5,13.07,12.34,13.06,223400
2024-07-31,12.86,12.86,12.27,12.55,196800
2024-07-30,12.66,12.99,12.25,12.72,479300
2024-07-29,11.53,12.67,11.5,12.54,609100
2024-07-26,11.92,12.05,11.36,11.5,299500
2024-07-25,11.84,12.1,11.65,11.79,384100
2024-07-24,11.79,12.04,11.65,11.82,325300
2024-07-23,11.53,12.33,11.49,11.77,504500
2024-07-22,11.24,11.86,11.13,11.54,554100
2024-07-19,11.1,11.36,10.9,11.19,265600
2024-07-18,11.4,11.61,11.04,11.09,260300
2024-07-17,12.51,12.62,11.0,11.32,425700
2024-07-16,13.31,13.48,12.6,12.64,477700
2024-07-15,14.09,15.31,12.16,13.01,2428100
2024-07-12,17.5,18.23,16.42,17.6,1002800
2024-07-11,19.5,19.5,16.48,17.44,937000
2024-07-10,16.81,17.19,16.0,16.44,179100
2024-07-09,15.97,16.9,15.97,16.75,217900
2024-07-08,15.62,16.74,15.58,16.35,374700
2024-07-05,14.76,15.63,14.35,15.49,113600
2024-07-03,13.78,14.93,13.78,14.89,96000
2024-07-02,15.75,15.75,13.8,14.02,403100
2024-07-01,15.91,17.36,15.56,15.61,221700
2024-06-28,15.27,16.4,15.05,16.04,549800
2024-06-27,14.75,14.91,13.65,14.86,207200
2024-06-26,16.62,16.69,14.53,14.64,112000
2024-06-25,16.98,17.28,16.55,16.87,104300
2024-06-24,16.23,17.18,16.11,17.0,228100
2024-06-21,15.8,16.34,15.6,16.2,631600
2024-06-20,15.51,16.32,15.45,15.68,103600
2024-06-18,16.08,16.26,15.3,15.64,80400
2024-06-17,17.17,17.41,16.14,16.25,62500
2024-06-14,18.81,18.81,17.06,17.38,143300
2024-06-13,18.75,19.14,17.5,18.76,323600
2024-06-12,17.95,18.5,17.2,18.19,265600
2024-06-11,18.78,18.78,17.43,17.58,156900
2024-06-10,17.11,18.96,16.79,18.73,300900
