Date,Open,High,Low,Close,Volume
2025-03-14,239.42,243.62,239.0,243.11,1414000
2025-03-13,243.47,243.92,236.21,237.29,2026600
2025-03-12,248.0,249.04,240.19,243.81,2349800
2025-03-11,254.87,255.93,243.32,246.31,3143000
2025-03-10,258.36,260.69,255.07,257.22,2447300
2025-03-07,261.45,264.98,256.65,262.75,2337400
2025-03-06,268.38,268.55,262.14,262.63,1663100
2025-03-05,269.55,272.47,268.02,271.1,1456000
2025-03-04,276.41,276.41,268.0,270.8,2390100
2025-03-03,280.0,284.48,275.37,277.72,1635200
2025-02-28,278.97,282.35,277.76,280.45,2269800
2025-02-27,281.48,283.66,276.68,277.21,1571200
2025-02-26,278.55,284.36,278.31,281.53,1607600
2025-02-25,277.04,277.16,271.09,276.84,1807600
2025-02-24,278.73,279.97,274.13,276.14,2058300
2025-02-21,286.01,286.56,274.39,276.85,1983200
2025-02-20,286.28,287.01,282.68,286.56,1153100
2025-02-19,285.84,288.28,283.31,286.92,1414100
2025-02-18,282.89,288.65,280.25,287.78,1601800
2025-02-14,289.63,289.91,282.45,282.89,1659900
2025-02-13,290.02,290.81,285.27,287.6,1899300
2025-02-12,283.35,290.82,282.86,289.8,2692500
2025-02-11,290.67,294.93,284.38,287.36,3055500
2025-02-10,305.24,305.54,300.69,303.77,1770800
2025-02-07,304.25,306.83,302.18,303.29,1662500
2025-02-06,293.32,303.45,292.84,302.27,1826800
2025-02-05,290.41,292.49,287.44,291.74,1329700
2025-02-04,290.83,291.21,288.45,290.1,1401800
2025-02-03,286.15,290.32,282.46,289.81,1218000
2025-01-31,291.0,293.05,288.64,289.94,1293100
2025-01-30,290.27,294.33,290.27,291.89,1030500
2025-01-29,288.72,289.62,286.55,289.01,1302200
2025-01-28,286.66,290.23,285.69,288.0,1403400
2025-01-27,280.82,287.63,279.79,287.41,1569700
2025-01-24,284.36,285.95,281.72,283.48,1339800
2025-01-23,281.16,284.5,276.79,284.43,1694400
2025-01-22,277.15,280.15,277.09,279.78,1412400
2025-01-21,270.66,277.43,269.12,277.1,2772900
2025-01-17,278.38,278.98,275.88,276.56,1805200
2025-01-16,275.38,277.2,274.44,275.38,1588200
2025-01-15,280.97,282.96,275.19,275.43,1513400
2025-01-14,272.39,276.12,271.46,275.81,1106000
2025-01-13,269.78,272.72,269.24,271.68,935700
2025-01-10,272.56,274.55,269.93,270.16,1317600
2025-01-08,269.48,273.29,269.23,272.92,1172200
2025-01-07,270.91,273.29,268.68,269.18,1132100
2025-01-06,274.64,275.29,271.39,272.01,1260300
2025-01-03,275.45,276.33,271.58,274.67,1773000
2025-01-02,280.53,280.61,272.9,273.84,1211900
2024-12-31,280.35,280.57,277.59,278.32,740200
2024-12-30,281.05,281.47,276.87,279.68,1021000
2024-12-27,283.38,285.41,280.15,283.03,717600
2024-12-26,284.37,286.63,284.21,285.92,473700
2024-12-24,283.0,285.91,282.13,285.75,424000
2024-12-23,282.86,283.53,279.85,283.0,907800
2024-12-20,276.21,286.29,276.19,283.33,2619100
2024-12-19,280.57,282.16,277.57,278.4,1489900
2024-12-18,288.85,290.6,276.91,277.03,1861100
2024-12-17,288.13,290.67,287.82,288.79,1310600
2024-12-16,286.94,291.42,285.7,289.75,976900
2024-12-13,287.97,288.94,285.43,286.44,797200
2024-12-12,292.03,293.35,289.1,289.34,1168000
2024-12-11,289.34,292.31,288.89,291.08,876800
2024-12-10,288.36,289.1,284.86,287.03,866700
2024-12-09,291.84,293.21,285.64,286.33,1064700
2024-12-06,292.04,294.79,291.69,291.94,1013100
2024-12-05,289.31,293.99,289.23,291.83,1307400
2024-12-04,285.44,289.36,283.86,288.98,1115400
2024-12-03,286.57,287.35,283.08,284.29,928800
2024-12-02,288.32,289.29,284.0,285.6,1574300
2024-11-29,284.91,289.78,284.9,288.44,702400
2024-11-27,287.24,287.26,283.98,284.96,1112900
2024-11-26,288.16,289.15,285.89,287.54,1459100
2024-11-25,285.44,288.98,285.16,287.36,1808400
2024-11-22,282.7,284.31,282.25,283.66,990300
2024-11-21,281.29,283.2,279.64,282.81,944500
2024-11-20,278.3,279.57,277.29,278.93,938600
2024-11-19,278.05,279.45,275.04,278.02,890500
2024-11-18,279.33,280.98,276.81,280.19,1733900
2024-11-15,280.73,281.2,276.43,277.53,1751100
2024-11-14,285.2,286.22,280.5,280.76,1396800
2024-11-13,283.42,287.75,283.09,285.19,1274000
2024-11-12,284.34,285.72,282.44,284.74,1143200
2024-11-11,279.81,284.91,279.81,284.63,1895500
2024-11-08,276.57,281.53,275.97,279.54,1516600
2024-11-07,274.89,277.25,272.63,276.44,1472700
2024-11-06,268.9,276.17,267.29,275.02,2148500
2024-11-05,252.94,259.9,252.94,258.5,1604300
2024-11-04,254.29,255.54,248.43,255.28,2222000
2024-11-01,257.32,262.21,257.27,259.4,1481600
2024-10-31,263.08,264.18,258.76,258.86,1308100
2024-10-30,262.49,264.41,262.07,263.08,897800
2024-10-29,261.62,263.92,261.11,262.71,791500
2024-10-28,263.17,263.42,259.51,261.37,1127500
2024-10-25,262.13,263.94,260.19,260.95,1162000
2024-10-24,258.81,260.65,256.28,259.46,1195100
2024-10-23,259.31,261.82,254.34,256.67,1990300
2024-10-22,263.61,264.7,262.17,264.31,1198100
2024-10-21,263.31,265.25,262.08,263.78,869100
2024-10-18,263.39,265.39,261.9,264.41,886800
2024-10-17,263.32,264.01,261.12,263.39,1163500
2024-10-16,259.26,262.11,258.44,261.39,709200
2024-10-15,260.2,262.14,258.34,259.41,1252400
2024-10-14,260.05,262.16,259.25,260.39,1139700
2024-10-11,260.06,262.96,259.88,261.45,1084700
2024-10-10,259.72,260.75,258.13,259.37,1038200
2024-10-09,255.14,261.84,254.85,260.71,1442600
2024-10-08,254.18,256.2,252.4,255.43,1207900
2024-10-07,252.86,254.7,251.94,254.02,2406700
2024-10-04,252.15,253.7,251.09,253.47,1129400
2024-10-03,244.96,248.55,244.91,248.36,935600
2024-10-02,244.19,247.89,243.75,247.71,857600
2024-10-01,247.6,248.19,242.01,244.98,1382500
2024-09-30,250.92,252.81,245.36,247.49,1646300
2024-09-27,251.68,253.29,250.54,251.91,1238400
2024-09-26,247.06,249.88,245.12,249.59,1431800
2024-09-25,246.36,246.51,243.53,244.4,951400
2024-09-24,241.93,246.35,241.76,246.27,1225300
2024-09-23,243.75,244.03,240.28,240.59,1393400
2024-09-20,242.81,243.64,239.82,243.3,3663400
2024-09-19,241.88,244.92,240.96,243.37,1676100
2024-09-18,237.83,240.65,235.74,237.67,1539600
2024-09-17,232.68,235.17,231.72,234.56,1005300
2024-09-16,232.03,234.69,230.86,231.42,993100
2024-09-13,230.51,231.52,228.64,230.7,1034100
2024-09-12,227.78,229.79,226.57,229.67,1044700
2024-09-11,224.66,226.76,220.85,226.31,1330900
2024-09-10,226.66,227.97,220.96,224.66,1755200
2024-09-09,227.91,229.92,225.53,227.57,1876900
2024-09-06,228.44,231.86,226.14,226.58,3355300
2024-09-05,228.7,229.52,225.84,228.03,1808800
2024-09-04,228.97,229.63,227.09,228.43,1412200
2024-09-03,233.15,233.65,228.71,229.69,1802700
2024-08-30,231.52,234.38,230.02,233.64,2218100
2024-08-29,228.72,232.56,227.86,230.33,1954400
2024-08-28,225.41,227.16,225.17,226.3,1026200
2024-08-27,223.4,227.16,222.8,226.6,1017700
2024-08-26,225.56,227.11,223.15,223.66,1104900
2024-08-23,224.97,226.63,223.94,224.25,958300
2024-08-22,222.81,224.89,222.13,223.12,991200
2024-08-21,223.07,224.13,222.06,223.51,710500
2024-08-20,223.5,224.47,221.87,222.13,1069700
2024-08-19,220.31,224.99,220.07,224.14,1068600
2024-08-16,220.62,220.68,218.75,219.57,1005700
2024-08-15,218.08,221.32,217.33,220.28,1726700
2024-08-14,215.42,216.12,213.97,215.51,847400
2024-08-13,213.69,215.27,211.71,214.85,1081100
2024-08-12,216.36,216.36,212.84,213.11,1075200
2024-08-09,213.93,217.4,212.49,216.38,1214100
2024-08-08,213.88,216.22,213.21,214.22,1369600
2024-08-07,214.36,216.05,212.22,213.2,2854400
2024-08-06,210.95,216.82,209.65,213.68,1911700
2024-08-05,207.54,210.79,203.06,209.81,4057500
2024-08-02,213.55,215.06,208.49,212.11,3679000
2024-08-01,224.5,224.84,214.04,217.18,3067900
2024-07-31,228.32,234.49,221.3,225.64,4316500
2024-07-30,237.25,239.78,236.31,237.03,1752800
2024-07-29,236.2,237.77,233.98,236.71,1335700
2024-07-26,233.88,236.0,232.29,234.87,929400
2024-07-25,233.28,235.78,230.63,232.04,1380100
2024-07-24,239.48,239.85,233.18,233.32,1762500
2024-07-23,240.89,243.81,240.2,240.54,730900
2024-07-22,241.83,242.22,239.39,241.17,1212700
2024-07-19,243.21,243.93,240.88,242.13,1342500
2024-07-18,242.98,246.69,242.27,242.31,1399800
2024-07-17,251.4,253.47,245.68,245.74,1752900
2024-07-16,246.13,253.33,245.88,253.25,1562300
2024-07-15,241.03,245.05,240.22,244.87,1062300
2024-07-12,239.41,243.65,238.41,241.02,1699300
2024-07-11,241.17,241.17,237.5,238.03,1765400
2024-07-10,236.22,240.97,235.43,240.75,1376000
2024-07-09,239.1,239.1,235.66,235.79,1254900
2024-07-08,240.32,241.28,237.42,238.11,1040300
2024-07-05,238.74,239.62,236.71,239.22,851900
2024-07-03,237.88,239.91,236.74,238.42,866700
2024-07-02,238.06,238.37,234.95,238.23,1417300
2024-07-01,240.42,241.58,235.72,237.76,1475000
2024-06-28,240.63,244.99,239.26,240.0,6788900
2024-06-27,241.18,241.18,238.45,240.48,1153600
2024-06-26,240.9,241.48,237.92,239.75,1592600
2024-06-25,244.73,245.07,242.0,243.04,1283800
2024-06-24,241.45,244.47,241.45,243.87,1058600
2024-06-21,243.9,244.14,240.98,241.75,3299600
2024-06-20,240.91,242.62,240.89,242.2,1154400
2024-06-18,243.49,245.39,240.36,241.28,1320100
2024-06-17,236.81,243.26,235.86,242.91,1406900
2024-06-14,237.58,238.0,233.42,237.7,1566300
2024-06-13,233.5,239.01,232.95,238.71,1188700
2024-06-12,232.31,235.4,232.31,234.83,1477700
2024-06-11,230.09,231.54,228.25,230.94,1285100
2024-06-10,228.32,231.71,228.3,231.06,1219800
2024-06-07,229.83,231.2,228.45,229.41,2723400
2024-06-06,231.17,233.73,229.68,230.34,1028000
2024-06-05,229.49,231.53,227.82,231.07,987800
2024-06-04,224.95,230.01,224.79,228.83,1100600
2024-06-03,230.04,230.31,224.38,226.71,1644000
2024-05-31,227.84,229.7,225.78,229.48,1660100
2024-05-30,227.12,227.92,225.04,227.29,934600
2024-05-29,230.17,230.74,226.17,226.79,1161700
2024-05-28,233.11,235.87,231.28,232.43,993800
2024-05-24,232.12,234.99,231.59,234.86,909200
2024-05-23,234.77,234.77,230.15,230.37,1650400
2024-05-22,234.88,237.02,233.16,233.81,1091600
2024-05-21,238.82,238.82,234.77,235.91,839700
2024-05-20,235.48,238.13,235.07,237.94,954100
2024-05-17,236.58,237.2,233.97,235.36,1217000
2024-05-16,233.3,237.11,233.3,236.58,1280800
2024-05-15,234.39,235.11,233.22,233.65,1569000
2024-05-14,235.6,236.21,233.34,233.52,2105300
2024-05-13,238.85,239.29,233.86,235.14,1288800
2024-05-10,235.63,238.28,235.14,238.07,1145300
2024-05-09,230.35,235.37,228.55,235.18,1229700
2024-05-08,233.21,233.93,232.14,233.01,1194500
2024-05-07,234.46,235.9,233.31,233.64,897900
2024-05-06,233.07,235.0,233.05,234.46,1067900
2024-05-03,235.02,236.38,231.97,232.26,1572800
2024-05-02,234.0,234.34,230.32,233.22,1413200
2024-05-01,231.42,234.88,228.51,231.53,2157100
2024-04-30,238.55,239.51,233.16,233.78,1862900
2024-04-29,239.07,241.81,237.21,238.1,1209100
2024-04-26,238.37,241.69,238.34,238.44,1065500
2024-04-25,239.66,240.7,237.84,239.53,1207400
2024-04-24,241.74,247.14,240.89,241.63,2301300
2024-04-23,235.05,237.59,235.05,237.3,1196200
2024-04-22,236.19,236.71,233.17,235.05,1046400
2024-04-19,235.02,236.92,232.22,233.65,1842300
2024-04-18,238.26,238.84,233.73,233.95,1841200
2024-04-17,241.64,242.89,235.18,236.09,2684100
2024-04-16,245.74,246.26,242.3,243.18,1088900
2024-04-15,252.53,254.45,245.74,245.94,1433300
2024-04-12,253.56,254.58,246.84,248.56,1930100
2024-04-11,251.58,257.98,250.49,255.98,1545200
2024-04-10,249.78,252.65,248.76,251.82,1317500
2024-04-09,252.92,252.95,248.85,252.4,1152800
2024-04-08,251.71,252.51,250.89,252.15,1205600
2024-04-05,246.42,251.8,245.8,251.4,1293200
2024-04-04,250.82,252.29,245.59,246.41,1607300
2024-04-03,244.71,248.3,244.31,248.1,1071000
2024-04-02,247.68,247.68,244.09,245.27,1252300
2024-04-01,251.0,251.98,248.24,248.83,1178500
2024-03-28,252.53,252.56,249.15,249.8,999200
2024-03-27,252.42,252.42,250.23,251.04,1302300
